Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
12Z 01 Dec 1986,0,1011.0,60,22.6,16.6,69,11.89,100,2,294.8,329.1,296.9
12Z 01 Dec 1986,1,1000.0,148,22.0,15.0,64,10.83,220,57,295.1,326.5,297.1
12Z 01 Dec 1986,2,850.0,1536,10.2,4.2,66,6.12,315,14,296.8,315.0,297.9
12Z 01 Dec 1986,3,840.0,1635,9.2,3.2,66,5.77,314,14,296.8,314.0,297.8
12Z 01 Dec 1986,4,807.0,1967,9.0,-12.0,21,1.90,312,15,300.0,306.1,300.3
12Z 01 Dec 1986,5,700.0,3138,5.2,NA,NA,NA,305,17,308.2,NA,308.2
12Z 01 Dec 1986,6,500.0,4790,-11.5,NA,NA,NA,300,31,318.9,NA,318.9
12Z 01 Dec 1986,7,400.0,7470,-23.5,NA,NA,NA,280,42,324.4,NA,324.4
12Z 01 Dec 1986,8,300.0,9500,-40.7,NA,NA,NA,NA,NA,327.9,NA,327.9
12Z 01 Dec 1986,9,250.0,10720,-48.5,NA,NA,NA,NA,NA,333.8,NA,333.8
12Z 01 Dec 1986,10,200.0,12160,-56.3,NA,NA,NA,NA,NA,343.4,NA,343.4
00Z 02 Dec 1986,0,1013.0,60,12.2,NA,NA,NA,90,2,284.3,NA,284.3
00Z 02 Dec 1986,1,1000.0,161,13.6,8.9,73,7.20,80,2,286.8,307.1,288.0
00Z 02 Dec 1986,2,850.0,1538,14.0,NA,NA,NA,315,10,300.8,NA,300.8
00Z 02 Dec 1986,3,700.0,3159,8.0,NA,NA,NA,315,24,311.3,NA,311.3
00Z 02 Dec 1986,4,500.0,5850,-8.5,NA,NA,NA,265,24,322.6,NA,322.6
00Z 02 Dec 1986,5,400.0,7530,-22.3,NA,NA,NA,260,28,325.9,NA,325.9
00Z 02 Dec 1986,6,300.0,9570,-39.5,NA,NA,NA,260,51,329.6,NA,329.6
00Z 02 Dec 1986,7,250.0,10810,-43.3,NA,NA,NA,265,79,341.6,NA,341.6
00Z 02 Dec 1986,8,200.0,12280,-52.5,NA,NA,NA,260,76,349.5,NA,349.5
00Z 02 Dec 1986,9,150.0,14100,-61.9,NA,NA,NA,NA,NA,363.2,NA,363.2
00Z 02 Dec 1986,10,129.0,15024,-65.7,NA,NA,NA,NA,NA,372.4,NA,372.4
00Z 02 Dec 1986,11,100.0,16560,-68.5,NA,NA,NA,NA,NA,395.1,NA,395.1
00Z 02 Dec 1986,12,70.0,18670,-73.3,NA,NA,NA,NA,NA,427.2,NA,427.2
00Z 02 Dec 1986,13,50.0,20650,-70.5,NA,NA,NA,NA,NA,476.9,NA,476.9
12Z 02 Dec 1986,0,1011.0,60,21.4,12.4,56,9.02,360,2,293.6,319.7,295.2
12Z 02 Dec 1986,1,1000.0,147,20.8,7.8,43,6.68,360,2,293.9,313.5,295.1
12Z 02 Dec 1986,2,968.0,427,19.6,-3.4,21,3.09,352,3,295.5,304.9,296.0
12Z 02 Dec 1986,3,852.0,1513,14.2,-10.8,17,1.98,321,7,300.8,307.2,301.2
12Z 02 Dec 1986,4,850.0,1533,14.0,NA,NA,NA,320,7,300.8,NA,300.8
12Z 02 Dec 1986,5,739.0,2703,10.2,NA,NA,NA,320,16,308.9,NA,308.9
12Z 02 Dec 1986,6,700.0,3151,6.6,NA,NA,NA,320,20,309.8,NA,309.8
12Z 02 Dec 1986,7,662.0,3606,3.2,NA,NA,NA,315,21,310.9,NA,310.9
12Z 02 Dec 1986,8,619.0,4146,0.0,NA,NA,NA,309,21,313.3,NA,313.3
12Z 02 Dec 1986,9,600.0,4395,-1.5,NA,NA,NA,306,21,314.3,NA,314.3
12Z 02 Dec 1986,10,500.0,5820,-10.9,NA,NA,NA,290,23,319.7,NA,319.7
12Z 02 Dec 1986,11,460.0,6457,-14.7,NA,NA,NA,279,24,322.6,NA,322.6
12Z 02 Dec 1986,12,400.0,7500,-23.3,NA,NA,NA,260,27,324.6,NA,324.6
12Z 02 Dec 1986,13,300.0,9540,-39.9,NA,NA,NA,245,35,329.0,NA,329.0
12Z 02 Dec 1986,14,294.0,9678,-41.1,NA,NA,NA,247,37,329.2,NA,329.2
12Z 02 Dec 1986,15,250.0,10770,-45.3,NA,NA,NA,260,57,338.6,NA,338.6
12Z 02 Dec 1986,16,237.0,11126,-46.7,NA,NA,NA,260,66,341.7,NA,341.7
12Z 02 Dec 1986,17,232.0,11266,-47.3,NA,NA,NA,260,69,342.8,NA,342.8
12Z 02 Dec 1986,18,200.0,12240,-51.7,NA,NA,NA,250,60,350.7,NA,350.7
12Z 02 Dec 1986,19,150.0,14050,-23.3,NA,NA,NA,NA,NA,429.6,NA,429.6
12Z 02 Dec 1986,20,135.0,14753,-67.3,NA,NA,NA,NA,NA,364.8,NA,364.8
00Z 03 Dec 1986,0,1013.0,60,12.2,10.7,91,8.03,315,2,284.3,306.7,285.7
00Z 03 Dec 1986,1,1000.0,162,16.0,9.0,63,7.25,315,3,289.1,309.9,290.4
00Z 03 Dec 1986,2,990.0,248,19.0,9.0,52,7.33,316,3,293.0,314.3,294.3
00Z 03 Dec 1986,3,910.0,963,14.2,-0.8,36,3.98,321,8,295.2,307.2,295.9
00Z 03 Dec 1986,4,875.0,1294,14.8,-10.2,17,2.02,323,10,299.1,305.6,299.5
00Z 03 Dec 1986,5,850.0,1538,15.8,NA,NA,NA,325,11,302.7,NA,302.7
00Z 03 Dec 1986,6,833.0,1709,16.4,NA,NA,NA,323,11,305.1,NA,305.1
00Z 03 Dec 1986,7,700.0,3161,6.8,NA,NA,NA,305,15,310.0,NA,310.0
00Z 03 Dec 1986,8,607.0,4316,0.0,NA,NA,NA,303,17,315.0,NA,315.0
00Z 03 Dec 1986,9,600.0,4409,-0.7,NA,NA,NA,303,17,315.3,NA,315.3
00Z 03 Dec 1986,10,500.0,5840,-10.1,NA,NA,NA,300,19,320.7,NA,320.7
00Z 03 Dec 1986,11,400.0,7530,-19.9,NA,NA,NA,300,46,329.0,NA,329.0
00Z 03 Dec 1986,12,399.0,7549,-20.1,NA,NA,NA,300,46,329.0,NA,329.0
00Z 03 Dec 1986,13,300.0,9580,-38.3,NA,NA,NA,300,35,331.3,NA,331.3
00Z 03 Dec 1986,14,265.0,10428,-44.9,NA,NA,NA,276,46,333.6,NA,333.6
00Z 03 Dec 1986,15,250.0,10820,-45.1,NA,NA,NA,265,51,338.9,NA,338.9
00Z 03 Dec 1986,16,224.0,11552,-45.7,NA,NA,NA,270,68,348.8,NA,348.8
00Z 03 Dec 1986,17,223.0,11582,-45.7,NA,NA,NA,269,67,349.2,NA,349.2
00Z 03 Dec 1986,18,200.0,12300,-50.3,NA,NA,NA,255,44,352.9,NA,352.9
00Z 03 Dec 1986,19,150.0,14130,-61.1,NA,NA,NA,265,47,364.6,NA,364.6
00Z 03 Dec 1986,20,137.0,14689,-64.5,NA,NA,NA,256,43,368.2,NA,368.2
00Z 03 Dec 1986,21,117.0,15649,-66.9,NA,NA,NA,240,37,380.7,NA,380.7
00Z 03 Dec 1986,22,112.0,15914,-65.3,NA,NA,NA,236,53,388.5,NA,388.5
00Z 03 Dec 1986,23,100.0,16600,-67.7,NA,NA,NA,225,94,396.7,NA,396.7
00Z 03 Dec 1986,24,99.0,16660,-67.9,NA,NA,NA,224,93,397.4,NA,397.4
00Z 03 Dec 1986,25,86.0,17511,-64.5,NA,NA,NA,212,72,420.6,NA,420.6
00Z 03 Dec 1986,26,70.0,18770,-62.7,NA,NA,NA,195,42,449.9,NA,449.9
00Z 03 Dec 1986,27,50.0,20890,-54.1,NA,NA,NA,215,46,515.5,NA,515.5
00Z 03 Dec 1986,28,30.0,24210,-47.7,NA,NA,NA,5,11,614.0,NA,614.0
12Z 03 Dec 1986,0,1011.0,60,21.0,15.0,69,10.71,315,2,293.2,324.0,295.1
12Z 03 Dec 1986,1,1000.0,147,21.6,6.6,38,6.15,315,3,294.8,312.9,295.8
12Z 03 Dec 1986,2,850.0,1537,14.6,NA,NA,NA,290,8,301.4,NA,301.4
12Z 03 Dec 1986,3,700.0,3162,9.0,NA,NA,NA,255,6,312.4,NA,312.4
12Z 03 Dec 1986,4,500.0,5870,-7.5,NA,NA,NA,75,11,323.8,NA,323.8
12Z 03 Dec 1986,5,400.0,7550,-22.1,NA,NA,NA,345,21,326.2,NA,326.2
12Z 03 Dec 1986,6,300.0,9610,-37.7,NA,NA,NA,300,30,332.1,NA,332.1
12Z 03 Dec 1986,7,250.0,10840,-44.9,NA,NA,NA,310,29,339.2,NA,339.2
12Z 03 Dec 1986,8,200.0,12413,-20.1,NA,NA,NA,296,36,400.8,NA,400.8
12Z 03 Dec 1986,9,130.0,15327,-64.5,NA,NA,NA,270,49,373.8,NA,373.8
