Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
12Z 01 Feb 1987,0,1010.0,60,24.6,14.6,54,10.44,90,2,296.9,327.4,298.8
12Z 01 Feb 1987,1,1000.0,140,23.6,13.6,53,9.88,90,2,296.8,325.6,298.5
12Z 01 Feb 1987,2,850.0,1530,12.8,-8.2,22,2.43,120,3,299.5,307.2,300.0
12Z 01 Feb 1987,3,700.0,3128,1.6,-20.4,18,1.08,205,7,304.2,307.9,304.4
12Z 01 Feb 1987,4,500.0,5770,-13.1,NA,NA,NA,285,39,317.0,NA,317.0
12Z 01 Feb 1987,5,455.0,6476,-17.8,NA,NA,NA,270,64,319.8,NA,319.8
12Z 01 Feb 1987,6,400.0,7440,-24.1,NA,NA,NA,NA,NA,323.6,NA,323.6
12Z 01 Feb 1987,7,300.0,9500,-32.9,NA,NA,NA,NA,NA,338.9,NA,338.9
12Z 01 Feb 1987,8,250.0,10760,-41.5,NA,NA,NA,NA,NA,344.2,NA,344.2
12Z 01 Feb 1987,9,200.0,12250,-49.7,NA,NA,NA,NA,NA,353.9,NA,353.9
12Z 01 Feb 1987,10,150.0,14100,-58.9,NA,NA,NA,NA,NA,368.4,NA,368.4
12Z 01 Feb 1987,11,100.0,16570,-70.3,NA,NA,NA,NA,NA,391.6,NA,391.6
12Z 01 Feb 1987,12,75.0,18285,-68.3,NA,NA,NA,NA,NA,429.4,NA,429.4
12Z 01 Feb 1987,13,70.0,18700,-66.7,NA,NA,NA,NA,NA,441.4,NA,441.4
12Z 01 Feb 1987,14,69.0,18787,-66.3,NA,NA,NA,NA,NA,444.0,NA,444.0
12Z 01 Feb 1987,15,66.0,19055,-68.5,NA,NA,NA,NA,NA,444.9,NA,444.9
12Z 01 Feb 1987,16,50.0,20750,-61.1,NA,NA,NA,NA,NA,499.1,NA,499.1
12Z 01 Feb 1987,17,39.0,22304,-57.9,NA,NA,NA,NA,NA,543.9,NA,543.9
00Z 02 Feb 1987,0,1012.0,60,12.6,12.6,100,9.13,360,0,284.8,310.1,286.3
00Z 02 Feb 1987,1,1000.0,153,15.8,7.8,59,6.68,100,2,288.9,308.1,290.1
00Z 02 Feb 1987,2,983.0,300,20.4,1.4,28,4.33,108,3,295.0,308.0,295.8
00Z 02 Feb 1987,3,946.0,629,18.4,2.4,34,4.83,126,4,296.2,310.7,297.1
00Z 02 Feb 1987,4,925.0,821,18.0,-0.2,29,4.08,136,4,297.7,310.1,298.4
00Z 02 Feb 1987,5,853.0,1506,12.2,-9.8,21,2.14,173,7,298.6,305.4,299.0
00Z 02 Feb 1987,6,850.0,1535,11.8,-10.2,20,2.08,175,7,298.5,305.1,298.9
00Z 02 Feb 1987,7,700.0,3126,0.2,NA,NA,NA,335,7,302.7,NA,302.7
00Z 02 Feb 1987,8,500.0,5770,-12.1,NA,NA,NA,265,37,318.2,NA,318.2
00Z 02 Feb 1987,9,400.0,7440,-24.5,NA,NA,NA,240,53,323.1,NA,323.1
00Z 02 Feb 1987,10,378.0,7814,-26.5,NA,NA,NA,340,95,325.7,NA,325.7
00Z 02 Feb 1987,11,105.0,16283,-71.1,NA,NA,NA,NA,NA,384.7,NA,384.7
00Z 02 Feb 1987,12,73.0,18473,-64.5,NA,NA,NA,NA,NA,440.7,NA,440.7
00Z 02 Feb 1987,13,70.0,18730,-64.1,NA,NA,NA,NA,NA,446.9,NA,446.9
00Z 02 Feb 1987,14,50.0,20790,-62.1,NA,NA,NA,NA,NA,496.7,NA,496.7
00Z 02 Feb 1987,15,40.0,22194,-54.3,NA,NA,NA,NA,NA,549.0,NA,549.0
00Z 02 Feb 1987,16,36.0,22871,-52.7,NA,NA,NA,NA,NA,569.9,NA,569.9
12Z 02 Feb 1987,0,1010.0,60,4.6,-4.4,52,2.74,90,2,277.0,284.8,277.4
12Z 02 Feb 1987,1,1000.0,140,23.6,14.6,57,10.55,90,2,296.8,327.5,298.6
12Z 02 Feb 1987,2,940.0,675,17.6,10.6,64,8.60,39,5,295.9,321.1,297.5
12Z 02 Feb 1987,3,850.0,1527,12.2,-0.8,41,4.26,315,9,298.9,311.9,299.7
12Z 02 Feb 1987,4,669.0,3484,0.0,NA,NA,NA,304,32,306.4,NA,306.4
12Z 02 Feb 1987,5,644.0,3788,-1.5,NA,NA,NA,302,35,308.0,NA,308.0
12Z 02 Feb 1987,6,616.0,4141,-1.5,NA,NA,NA,300,40,312.0,NA,312.0
12Z 02 Feb 1987,7,600.0,4349,-3.3,NA,NA,NA,299,42,312.2,NA,312.2
12Z 02 Feb 1987,8,432.0,6847,-22.9,NA,NA,NA,284,73,318.1,NA,318.1
12Z 02 Feb 1987,9,319.0,9008,-35.7,NA,NA,NA,270,102,329.1,NA,329.1
12Z 02 Feb 1987,10,265.0,10296,-35.7,NA,NA,NA,NA,NA,347.0,NA,347.0
12Z 02 Feb 1987,11,211.0,11836,-48.3,NA,NA,NA,NA,NA,350.7,NA,350.7
12Z 02 Feb 1987,12,110.0,15887,-72.5,NA,NA,NA,NA,NA,377.0,NA,377.0
12Z 02 Feb 1987,13,80.0,17773,-68.7,NA,NA,NA,NA,NA,420.7,NA,420.7
12Z 02 Feb 1987,14,70.0,18570,-69.1,NA,NA,NA,NA,NA,436.2,NA,436.2
12Z 02 Feb 1987,15,67.0,18831,-69.3,NA,NA,NA,NA,NA,441.3,NA,441.3
12Z 02 Feb 1987,16,50.0,20620,-58.9,NA,NA,NA,NA,NA,504.2,NA,504.2
12Z 02 Feb 1987,17,30.0,23850,-57.1,NA,NA,NA,NA,NA,588.4,NA,588.4
12Z 02 Feb 1987,18,26.0,24759,-55.1,NA,NA,NA,NA,NA,618.6,NA,618.6
12Z 02 Feb 1987,19,25.0,25007,-59.3,NA,NA,NA,NA,NA,613.5,NA,613.5
00Z 03 Feb 1987,0,1012.0,60,14.0,13.6,97,9.76,90,2,286.2,313.4,287.9
00Z 03 Feb 1987,1,1000.0,154,16.0,12.9,82,9.43,90,3,289.1,315.8,290.8
00Z 03 Feb 1987,2,974.0,380,20.6,11.6,56,8.88,86,4,296.0,321.9,297.6
00Z 03 Feb 1987,3,892.0,1132,14.4,8.4,67,7.81,72,7,297.1,320.1,298.5
00Z 03 Feb 1987,4,850.0,1538,11.8,-0.2,44,4.46,65,8,298.5,312.1,299.3
00Z 03 Feb 1987,5,700.0,3127,-1.3,-13.3,40,1.97,300,9,301.0,307.3,301.4
00Z 03 Feb 1987,6,500.0,5760,-13.9,NA,NA,NA,260,28,316.0,NA,316.0
00Z 03 Feb 1987,7,400.0,7420,-26.3,NA,NA,NA,252,61,320.7,NA,320.7
00Z 03 Feb 1987,8,327.0,8849,-33.3,NA,NA,NA,245,90,330.1,NA,330.1
00Z 03 Feb 1987,9,300.0,9460,-36.3,NA,NA,NA,NA,NA,334.1,NA,334.1
00Z 03 Feb 1987,10,250.0,10720,-38.5,NA,NA,NA,NA,NA,348.7,NA,348.7
00Z 03 Feb 1987,11,150.0,14090,-57.3,NA,NA,NA,NA,NA,371.1,NA,371.1
00Z 03 Feb 1987,12,100.0,16590,-67.7,NA,NA,NA,NA,NA,396.7,NA,396.7
00Z 03 Feb 1987,13,84.0,17630,-71.7,NA,NA,NA,NA,NA,408.8,NA,408.8
00Z 03 Feb 1987,14,70.0,18720,-66.9,NA,NA,NA,NA,NA,440.9,NA,440.9
00Z 03 Feb 1987,15,50.0,20780,-62.9,NA,NA,NA,NA,NA,494.8,NA,494.8
00Z 03 Feb 1987,16,47.0,21154,-62.7,NA,NA,NA,NA,NA,504.1,NA,504.1
00Z 03 Feb 1987,17,41.0,22002,-52.3,NA,NA,NA,NA,NA,550.1,NA,550.1
00Z 03 Feb 1987,18,30.0,23973,-55.3,NA,NA,NA,NA,NA,593.3,NA,593.3
00Z 03 Feb 1987,19,25.0,25131,-56.9,NA,NA,NA,NA,NA,620.4,NA,620.4
12Z 03 Feb 1987,0,1010.0,60,25.4,18.4,65,13.36,NA,NA,297.7,336.7,300.1
12Z 03 Feb 1987,1,1000.0,146,24.7,17.4,64,12.68,NA,NA,297.9,334.9,300.1
12Z 03 Feb 1987,2,921.0,859,19.4,9.4,52,8.10,NA,NA,299.5,323.6,301.0
12Z 03 Feb 1987,3,803.0,2019,11.0,-12.0,19,1.91,NA,NA,302.5,308.7,302.9
12Z 03 Feb 1987,4,673.0,3461,0.0,-16.0,29,1.64,NA,NA,305.9,311.3,306.2
12Z 03 Feb 1987,5,655.0,3677,-1.5,-21.5,20,1.05,NA,NA,306.6,310.1,306.8
12Z 03 Feb 1987,6,636.0,3911,-1.5,NA,NA,NA,NA,NA,309.1,NA,309.1
12Z 03 Feb 1987,7,600.0,4372,-4.9,NA,NA,NA,NA,NA,310.4,NA,310.4
12Z 03 Feb 1987,8,290.0,9724,-38.3,NA,NA,NA,NA,NA,334.5,NA,334.5
12Z 03 Feb 1987,9,259.0,10502,-37.7,NA,NA,NA,NA,NA,346.4,NA,346.4
12Z 03 Feb 1987,10,161.0,13677,-52.3,NA,NA,NA,NA,NA,372.1,NA,372.1
12Z 03 Feb 1987,11,144.0,14387,-58.7,NA,NA,NA,NA,NA,373.1,NA,373.1
12Z 03 Feb 1987,12,81.0,17891,-71.5,NA,NA,NA,223,NA,413.5,NA,413.5
12Z 03 Feb 1987,13,70.0,18760,-67.7,NA,NA,NA,NA,NA,439.2,NA,439.2
12Z 03 Feb 1987,14,50.0,20810,-61.1,NA,NA,NA,NA,NA,499.1,NA,499.1
00Z 04 Feb 1987,0,1012.0,60,16.2,12.6,79,9.13,90,6,288.4,314.1,289.9
00Z 04 Feb 1987,1,1000.0,154,16.2,11.2,72,8.42,90,6,289.4,313.3,290.8
00Z 04 Feb 1987,2,891.0,1134,16.4,7.4,55,7.30,83,7,299.3,321.0,300.6
00Z 04 Feb 1987,3,850.0,1530,12.0,-5.0,30,3.12,80,8,298.7,308.4,299.3
00Z 04 Feb 1987,4,700.0,3120,0.0,-17.0,27,1.45,265,23,302.4,307.2,302.7
00Z 04 Feb 1987,5,500.0,5730,-15.5,-32.5,22,0.50,225,55,314.1,315.9,314.2
00Z 04 Feb 1987,6,474.0,6125,-18.0,NA,NA,NA,200,67,315.8,NA,315.8
00Z 04 Feb 1987,7,400.0,7380,-25.9,NA,NA,NA,NA,NA,321.2,NA,321.2
00Z 04 Feb 1987,8,300.0,9440,-32.1,NA,NA,NA,NA,NA,340.0,NA,340.0
00Z 04 Feb 1987,9,250.0,10710,-37.1,NA,NA,NA,NA,NA,350.8,NA,350.8
00Z 04 Feb 1987,10,200.0,12230,-43.7,NA,NA,NA,NA,NA,363.4,NA,363.4
00Z 04 Feb 1987,11,150.0,14140,-50.5,NA,NA,NA,NA,NA,382.9,NA,382.9
00Z 04 Feb 1987,12,100.0,16710,-62.3,NA,NA,NA,NA,NA,407.1,NA,407.1
00Z 04 Feb 1987,13,85.0,17703,-65.1,NA,NA,NA,NA,NA,420.8,NA,420.8
00Z 04 Feb 1987,14,70.0,18890,-62.1,NA,NA,NA,NA,NA,451.2,NA,451.2
00Z 04 Feb 1987,15,66.0,19253,-61.3,NA,NA,NA,NA,NA,460.6,NA,460.6
00Z 04 Feb 1987,16,50.0,20980,-59.1,NA,NA,NA,NA,NA,503.8,NA,503.8
12Z 04 Feb 1987,0,1011.0,60,22.0,14.0,60,10.03,360,0,294.2,323.2,296.0
12Z 04 Feb 1987,1,1000.0,148,21.4,12.4,56,9.12,357,1,294.6,321.0,296.2
12Z 04 Feb 1987,2,979.0,332,20.4,9.4,49,7.61,353,2,295.3,317.6,296.7
12Z 04 Feb 1987,3,947.0,617,17.0,6.0,48,6.23,345,3,294.7,313.1,295.8
12Z 04 Feb 1987,4,873.0,1305,11.8,6.8,71,7.15,326,8,296.2,317.3,297.5
12Z 04 Feb 1987,5,850.0,1528,10.0,3.0,62,5.62,320,9,296.6,313.4,297.6
12Z 04 Feb 1987,6,720.0,2884,0.0,-17.0,27,1.41,312,13,300.0,304.6,300.3
12Z 04 Feb 1987,7,700.0,3109,-1.5,-19.5,24,1.17,311,14,300.8,304.7,301.0
12Z 04 Feb 1987,8,666.0,3503,-3.9,-23.9,19,0.84,309,15,302.4,305.2,302.6
12Z 04 Feb 1987,9,600.0,4318,-8.1,NA,NA,NA,304,18,306.7,NA,306.7
12Z 04 Feb 1987,10,565.0,4782,-10.3,NA,NA,NA,301,20,309.4,NA,309.4
12Z 04 Feb 1987,11,500.0,5710,-16.7,NA,NA,NA,295,23,312.6,NA,312.6
12Z 04 Feb 1987,12,461.0,6319,-20.7,NA,NA,NA,NA,NA,315.0,NA,315.0
12Z 04 Feb 1987,13,400.0,7370,-23.1,NA,NA,NA,NA,NA,324.9,NA,324.9
12Z 04 Feb 1987,14,300.0,9450,-31.7,NA,NA,NA,NA,NA,340.6,NA,340.6
12Z 04 Feb 1987,15,250.0,10720,-37.7,NA,NA,NA,NA,NA,349.9,NA,349.9
12Z 04 Feb 1987,16,200.0,12240,-43.3,NA,NA,NA,NA,NA,364.0,NA,364.0
12Z 04 Feb 1987,17,150.0,14120,-54.7,NA,NA,NA,NA,NA,375.6,NA,375.6
12Z 04 Feb 1987,18,108.0,16175,-69.5,NA,NA,NA,NA,NA,384.6,NA,384.6
12Z 04 Feb 1987,19,100.0,16640,-69.5,NA,NA,NA,NA,NA,393.2,NA,393.2
12Z 04 Feb 1987,20,70.0,18800,-63.3,NA,NA,NA,NA,NA,448.6,NA,448.6
00Z 05 Feb 1987,0,1010.0,60,12.0,11.2,95,8.33,360,2,284.3,307.5,285.8
00Z 05 Feb 1987,1,1000.0,153,14.2,10.6,79,8.08,355,2,287.4,310.2,288.8
00Z 05 Feb 1987,2,850.0,1516,7.4,1.4,66,5.01,320,9,293.9,308.7,294.8
00Z 05 Feb 1987,3,700.0,3095,2.2,-16.8,23,1.47,330,18,304.9,309.8,305.2
00Z 05 Feb 1987,4,500.0,5730,-15.9,NA,NA,NA,255,17,313.6,NA,313.6
00Z 05 Feb 1987,5,400.0,7380,-23.1,NA,NA,NA,260,62,324.9,NA,324.9
00Z 05 Feb 1987,6,312.0,9176,-30.4,NA,NA,NA,270,94,338.7,NA,338.7
00Z 05 Feb 1987,7,300.0,9460,-31.5,NA,NA,NA,NA,NA,340.9,NA,340.9
