Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
12Z 01 Mar 1987,0,1010.0,60,27.0,7.0,28,6.26,270,4,299.3,318.1,300.4
12Z 01 Mar 1987,1,1000.0,140,25.8,8.8,34,7.15,270,5,298.9,320.3,300.2
12Z 01 Mar 1987,2,998.0,158,25.6,9.6,36,7.57,270,5,298.9,321.5,300.3
12Z 01 Mar 1987,3,872.0,1323,15.2,5.2,51,6.40,249,11,299.9,319.1,301.0
12Z 01 Mar 1987,4,850.0,1539,12.6,4.6,58,6.29,245,12,299.3,318.2,300.5
12Z 01 Mar 1987,5,845.0,1589,12.0,5.0,62,6.51,247,12,299.2,318.7,300.4
12Z 01 Mar 1987,6,786.0,2191,9.0,-15.0,17,1.53,265,16,302.2,307.2,302.5
12Z 01 Mar 1987,7,760.0,2469,9.0,NA,NA,NA,274,17,305.2,NA,305.2
12Z 01 Mar 1987,8,721.0,2902,5.6,NA,NA,NA,287,20,306.1,NA,306.1
12Z 01 Mar 1987,9,700.0,3144,6.6,NA,NA,NA,295,21,309.8,NA,309.8
12Z 01 Mar 1987,10,631.0,3983,0.0,NA,NA,NA,292,23,311.6,NA,311.6
12Z 01 Mar 1987,11,600.0,4383,-3.5,NA,NA,NA,290,24,312.0,NA,312.0
12Z 01 Mar 1987,12,584.0,4596,-5.3,NA,NA,NA,290,24,312.3,NA,312.3
12Z 01 Mar 1987,13,500.0,5790,-15.3,NA,NA,NA,285,27,314.3,NA,314.3
12Z 01 Mar 1987,14,471.0,6239,-18.5,NA,NA,NA,285,29,315.8,NA,315.8
12Z 01 Mar 1987,15,414.0,7190,-24.3,NA,NA,NA,285,33,320.2,NA,320.2
12Z 01 Mar 1987,16,400.0,7440,-26.3,NA,NA,NA,285,34,320.7,NA,320.7
12Z 01 Mar 1987,17,332.0,8764,-36.5,NA,NA,NA,279,40,324.3,NA,324.3
12Z 01 Mar 1987,18,300.0,9460,-42.3,NA,NA,NA,275,43,325.6,NA,325.6
12Z 01 Mar 1987,19,282.0,9876,-45.5,NA,NA,NA,272,49,326.8,NA,326.8
12Z 01 Mar 1987,20,263.0,10341,-45.3,NA,NA,NA,268,55,333.7,NA,333.7
12Z 01 Mar 1987,21,250.0,10680,-45.3,NA,NA,NA,265,60,338.6,NA,338.6
12Z 01 Mar 1987,22,230.0,11238,-45.3,NA,NA,NA,268,73,346.8,NA,346.8
12Z 01 Mar 1987,23,218.0,11595,-45.7,NA,NA,NA,270,82,351.5,NA,351.5
12Z 01 Mar 1987,24,200.0,12170,-46.3,NA,NA,NA,NA,NA,359.3,NA,359.3
12Z 01 Mar 1987,25,170.0,13245,-48.1,NA,NA,NA,NA,NA,373.4,NA,373.4
12Z 01 Mar 1987,26,150.0,14060,-53.1,NA,NA,NA,NA,NA,378.4,NA,378.4
12Z 01 Mar 1987,27,120.0,15475,-60.5,NA,NA,NA,NA,NA,389.7,NA,389.7
12Z 01 Mar 1987,28,100.0,16620,-57.5,NA,NA,NA,NA,NA,416.4,NA,416.4
12Z 01 Mar 1987,29,84.0,17709,-62.3,NA,NA,NA,NA,NA,427.9,NA,427.9
12Z 01 Mar 1987,30,70.0,18830,-64.3,NA,NA,NA,NA,NA,446.5,NA,446.5
12Z 01 Mar 1987,31,60.0,19769,-65.9,NA,NA,NA,NA,NA,463.0,NA,463.0
12Z 01 Mar 1987,32,50.0,20890,-60.5,NA,NA,NA,NA,NA,500.5,NA,500.5
12Z 01 Mar 1987,33,46.0,21411,-58.5,NA,NA,NA,NA,NA,517.4,NA,517.4
12Z 01 Mar 1987,34,30.0,24170,-46.7,NA,NA,NA,NA,NA,616.7,NA,616.7
12Z 01 Mar 1987,35,23.0,25951,-41.7,NA,NA,NA,NA,NA,680.0,NA,680.0
00Z 02 Mar 1987,0,1011.0,60,13.0,12.3,96,8.96,360,0,285.3,310.2,286.8
00Z 02 Mar 1987,1,1000.0,145,16.8,11.8,72,8.76,353,1,289.9,314.9,291.5
00Z 02 Mar 1987,2,850.0,1537,12.8,2.8,51,5.54,255,11,299.5,316.3,300.5
00Z 02 Mar 1987,3,700.0,3034,3.6,0.3,79,5.62,30,67,306.4,323.9,307.5
00Z 02 Mar 1987,4,262.0,10239,-49.9,NA,NA,NA,295,25,327.3,NA,327.3
00Z 02 Mar 1987,5,144.0,NA,NA,NA,NA,NA,275,75
12Z 02 Mar 1987,0,1010.0,60,24.8,11.8,44,8.67,360,4,297.1,322.6,298.7
12Z 02 Mar 1987,1,1000.0,140,24.0,5.0,29,5.50,345,9,297.1,313.6,298.1
12Z 02 Mar 1987,2,996.0,175,23.6,2.6,25,4.65,343,9,297.1,311.1,297.9
12Z 02 Mar 1987,3,874.0,1299,15.6,1.6,39,4.94,279,7,300.1,315.1,301.0
12Z 02 Mar 1987,4,850.0,1534,13.4,1.4,44,5.01,265,7,300.2,315.4,301.1
12Z 02 Mar 1987,5,770.0,2355,6.0,-2.0,56,4.31,260,10,300.8,314.0,301.6
12Z 02 Mar 1987,6,741.0,2669,5.2,-17.8,17,1.28,258,11,303.2,307.5,303.5
12Z 02 Mar 1987,7,700.0,3131,1.8,NA,NA,NA,255,13,304.4,NA,304.4
12Z 02 Mar 1987,8,676.0,3411,0.0,NA,NA,NA,262,13,305.5,NA,305.5
12Z 02 Mar 1987,9,600.0,4353,-6.3,NA,NA,NA,285,12,308.8,NA,308.8
12Z 02 Mar 1987,10,500.0,5750,-15.9,NA,NA,NA,320,10,313.6,NA,313.6
12Z 02 Mar 1987,11,449.0,6555,-20.9,NA,NA,NA,325,17,317.1,NA,317.1
12Z 02 Mar 1987,12,400.0,7400,-27.3,NA,NA,NA,330,25,319.4,NA,319.4
12Z 02 Mar 1987,13,300.0,9420,-41.5,NA,NA,NA,340,72,326.8,NA,326.8
12Z 02 Mar 1987,14,284.0,9788,-43.9,NA,NA,NA,334,70,328.5,NA,328.5
12Z 02 Mar 1987,15,250.0,10630,-48.9,NA,NA,NA,320,66,333.2,NA,333.2
12Z 02 Mar 1987,16,231.0,11148,-51.9,NA,NA,NA,325,64,336.3,NA,336.3
12Z 02 Mar 1987,17,200.0,12090,-49.5,NA,NA,NA,300,NA,354.2,NA,354.2
12Z 02 Mar 1987,18,183.0,12669,-47.5,NA,NA,NA,NA,NA,366.6,NA,366.6
12Z 02 Mar 1987,19,150.0,13954,-53.8,NA,NA,NA,NA,NA,377.2,NA,377.2
12Z 02 Mar 1987,20,106.0,16142,-64.5,NA,NA,NA,NA,NA,396.2,NA,396.2
12Z 02 Mar 1987,21,100.0,16501,-63.7,NA,NA,NA,NA,NA,404.4,NA,404.4
12Z 02 Mar 1987,22,78.0,18035,-60.7,NA,NA,NA,NA,NA,440.4,NA,440.4
12Z 02 Mar 1987,23,63.0,19352,-64.3,NA,NA,NA,NA,NA,460.1,NA,460.1
12Z 03 Mar 1987,0,1008.0,60,25.0,13.0,47,9.42,360,4,297.5,325.1,299.2
12Z 03 Mar 1987,1,1000.0,122,24.6,11.6,44,8.65,360,4,297.8,323.2,299.3
12Z 03 Mar 1987,2,945.0,615,22.2,3.2,29,5.12,357,7,300.2,315.8,301.1
12Z 03 Mar 1987,3,795.0,2082,9.4,2.4,62,5.76,348,16,301.7,319.2,302.7
12Z 03 Mar 1987,4,765.0,2400,7.6,-15.4,18,1.52,346,18,303.1,308.1,303.4
12Z 03 Mar 1987,5,635.0,3913,0.8,NA,NA,NA,336,27,311.9,NA,311.9
12Z 03 Mar 1987,6,625.0,4040,0.0,NA,NA,NA,335,28,312.4,NA,312.4
12Z 03 Mar 1987,7,600.0,4365,-2.5,NA,NA,NA,333,30,313.2,NA,313.2
12Z 03 Mar 1987,8,475.0,6173,-15.3,NA,NA,NA,320,42,319.0,NA,319.0
12Z 03 Mar 1987,9,358.0,8252,-28.9,NA,NA,NA,305,56,327.6,NA,327.6
12Z 03 Mar 1987,10,296.0,9581,-39.9,NA,NA,NA,295,65,330.3,NA,330.3
12Z 03 Mar 1987,11,270.0,10191,-42.4,NA,NA,NA,290,70,335.4,NA,335.4
12Z 03 Mar 1987,12,182.0,12809,-53.1,NA,NA,NA,280,57,358.0,NA,358.0
12Z 03 Mar 1987,13,140.0,14490,-55.3,NA,NA,NA,NA,NA,382.1,NA,382.1
12Z 03 Mar 1987,14,89.0,17347,-60.3,NA,NA,NA,275,41,424.9,NA,424.9
12Z 03 Mar 1987,15,73.0,18579,-61.1,NA,NA,NA,275,29,447.9,NA,447.9
12Z 03 Mar 1987,16,70.0,18840,-60.7,NA,NA,NA,275,27,454.2,NA,454.2
12Z 03 Mar 1987,17,50.0,20950,-58.5,NA,NA,NA,270,23,505.2,NA,505.2
12Z 03 Mar 1987,18,41.0,22193,-59.9,NA,NA,NA,NA,NA,531.2,NA,531.2
12Z 03 Mar 1987,19,25.8,25167,-47.7,NA,NA,NA,NA,NA,641.0,NA,641.0
12Z 03 Mar 1987,20,17.0,27931,-45.9,NA,NA,NA,NA,NA,727.9,NA,727.9
00Z 04 Mar 1987,0,1008.0,60,15.0,12.1,83,8.87,135,2,287.5,312.5,289.0
00Z 04 Mar 1987,1,1000.0,127,17.4,10.4,63,7.97,135,2,290.6,313.4,291.9
00Z 04 Mar 1987,2,979.0,310,24.0,7.0,34,6.46,130,3,299.0,318.3,300.1
00Z 04 Mar 1987,3,939.0,671,21.6,3.6,31,5.30,120,4,300.1,316.2,301.1
00Z 04 Mar 1987,4,903.0,1006,19.0,5.0,40,6.09,110,5,300.8,319.2,301.9
