Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 01 Apr 1987,0,1003.0,60,21.6,15.6,69,11.23,360,4,294.5,326.9,296.5
00Z 01 Apr 1987,1,1000.0,79,22.0,15.0,64,10.83,360,5,295.1,326.5,297.1
00Z 01 Apr 1987,2,942.0,604,27.4,3.4,21,5.21,357,6,305.7,322.0,306.7
00Z 01 Apr 1987,3,800.0,2028,18.2,-2.8,24,3.91,350,10,310.5,323.1,311.3
00Z 01 Apr 1987,4,671.0,3511,9.2,NA,NA,NA,341,13,316.4,NA,316.4
00Z 01 Apr 1987,5,600.0,4429,3.4,NA,NA,NA,336,16,320.0,NA,320.0
00Z 01 Apr 1987,6,556.0,5044,0.0,NA,NA,NA,332,17,323.0,NA,323.0
00Z 01 Apr 1987,7,448.0,6740,-11.7,NA,NA,NA,322,22,328.9,NA,328.9
00Z 01 Apr 1987,8,347.0,8659,-23.3,NA,NA,NA,310,27,338.1,NA,338.1
00Z 01 Apr 1987,9,261.0,10681,-39.3,NA,NA,NA,297,33,343.2,NA,343.2
00Z 01 Apr 1987,10,164.0,13667,-69.3,NA,NA,NA,275,43,341.7,NA,341.7
00Z 01 Apr 1987,11,80.0,17964,-69.3,NA,NA,NA,NA,NA,419.5,NA,419.5
00Z 01 Apr 1987,12,70.0,18770,-66.1,NA,NA,NA,NA,NA,442.6,NA,442.6
00Z 01 Apr 1987,13,50.0,20830,-62.5,NA,NA,NA,NA,NA,495.8,NA,495.8
00Z 01 Apr 1987,14,43.0,21763,-61.9,NA,NA,NA,NA,NA,519.1,NA,519.1
00Z 01 Apr 1987,15,30.0,24030,-54.7,NA,NA,NA,NA,NA,594.9,NA,594.9
00Z 01 Apr 1987,16,25.0,25203,-52.1,NA,NA,NA,NA,NA,634.2,NA,634.2
00Z 01 Apr 1987,17,10.0,31284,-40.7,NA,NA,NA,NA,NA,866.5,NA,866.5
12Z 01 Apr 1987,0,1000.0
12Z 01 Apr 1987,1,998.0,60,28.4,22.4,70,17.43,NA,NA,301.7,353.4,304.9
12Z 01 Apr 1987,2,888.0,1092,30.2,9.2,27,8.29,NA,NA,313.8,340.0,315.4
12Z 01 Apr 1987,3,850.0,1476,27.8,11.8,37,10.31,NA,NA,315.2,347.8,317.2
12Z 01 Apr 1987,4,813.0,1868,25.4,14.4,51,12.85,NA,NA,316.7,357.3,319.2
12Z 01 Apr 1987,5,733.0,2771,20.2,4.2,35,7.10,NA,NA,320.6,343.7,321.9
12Z 01 Apr 1987,6,693.0,3252,17.4,-1.6,27,4.94,NA,NA,322.6,339.1,323.6
00Z 02 Apr 1987,0,1000.0,47
00Z 02 Apr 1987,1,999.0,60,21.0,14.0,64,10.15,45,12,294.2,323.6,296.0
00Z 02 Apr 1987,2,956.0,444,29.0,2.0,18,4.65,18,17,306.1,320.6,306.9
00Z 02 Apr 1987,3,850.0,1472,23.4,-0.6,20,4.33,305,32,310.6,324.5,311.5
00Z 02 Apr 1987,4,775.0,2270,18.6,-4.4,21,3.58,303,34,313.8,325.5,314.5
00Z 02 Apr 1987,5,700.0,3131,11.8,-9.2,22,2.73,300,36,315.5,324.7,316.0
00Z 02 Apr 1987,6,656.0,3670,7.8,-11.2,25,2.49,301,38,316.9,325.3,317.4
00Z 02 Apr 1987,7,600.0,4402,4.0,-11.0,33,2.77,302,41,320.7,330.1,321.2
00Z 02 Apr 1987,8,575.0,4747,2.4,-10.6,38,2.98,303,42,322.8,332.9,323.3
00Z 02 Apr 1987,9,520.0,5557,0.0,-19.0,22,1.65,304,46,329.3,335.2,329.6
00Z 02 Apr 1987,10,500.0,5870,-1.9,-18.9,26,1.73,305,47,330.7,336.9,331.0
00Z 02 Apr 1987,11,458.0,6562,-4.7,-19.7,30,1.76,295,48,335.6,342.0,335.9
00Z 02 Apr 1987,12,426.0,7127,-8.5,-25.5,24,1.13,287,48,337.7,342.0,337.9
00Z 02 Apr 1987,13,400.0,7610,-12.5,NA,NA,NA,280,49,338.6,NA,338.6
00Z 02 Apr 1987,14,300.0,9740,-29.3,NA,NA,NA,NA,NA,344.0,NA,344.0
00Z 02 Apr 1987,15,250.0,11020,-39.7,NA,NA,NA,NA,NA,346.9,NA,346.9
00Z 02 Apr 1987,16,200.0,12500,-52.3,NA,NA,NA,NA,NA,349.8,NA,349.8
00Z 02 Apr 1987,17,196.0,12631,-53.3,NA,NA,NA,NA,NA,350.2,NA,350.2
00Z 02 Apr 1987,18,150.0,14320,-63.1,NA,NA,NA,NA,NA,361.2,NA,361.2
00Z 02 Apr 1987,19,122.0,15571,-68.5,NA,NA,NA,NA,NA,373.3,NA,373.3
00Z 02 Apr 1987,20,100.0,16760,-68.5,NA,NA,NA,NA,NA,395.1,NA,395.1
00Z 02 Apr 1987,21,71.0,18812,-68.5,NA,NA,NA,NA,NA,435.7,NA,435.7
00Z 02 Apr 1987,22,50.0,20966,-58.1,NA,NA,NA,NA,NA,506.1,NA,506.1
00Z 02 Apr 1987,23,32.0,23800,-54.3,NA,NA,NA,NA,NA,585.1,NA,585.1
00Z 02 Apr 1987,24,23.0,25962,-44.7,NA,NA,NA,NA,NA,671.2,NA,671.2
00Z 02 Apr 1987,25,16.0,28413,-40.1,NA,NA,NA,NA,NA,759.5,NA,759.5
12Z 02 Apr 1987,0,1000.0,31
12Z 02 Apr 1987,1,998.0,60,36.6,10.6,21,8.10,320,10,309.9,335.1,311.4
12Z 02 Apr 1987,2,850.0,1490,25.0,5.0,28,6.47,313,20,312.3,332.8,313.5
12Z 02 Apr 1987,3,333.0,8341,-24.2,NA,NA,NA,270,80,340.9,NA,340.9
12Z 02 Apr 1987,4,143.0,14521,-68.5,NA,NA,NA,NA,NA,356.7,NA,356.7
12Z 02 Apr 1987,5,70.0,18740,-70.7,NA,NA,NA,NA,NA,432.8,NA,432.8
12Z 02 Apr 1987,6,66.0,19088,-71.1,NA,NA,NA,NA,NA,439.3,NA,439.3
12Z 02 Apr 1987,7,50.0,20760,-63.1,NA,NA,NA,NA,NA,494.4,NA,494.4
12Z 02 Apr 1987,8,30.0,23960,-55.9,NA,NA,NA,NA,NA,591.6,NA,591.6
12Z 02 Apr 1987,9,20.0,26580,-45.5,NA,NA,NA,NA,NA,696.1,NA,696.1
