Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 01 May 1987,0,1001.0,60,20.4,18.8,91,13.84,90,12,293.5,333.0,295.9
00Z 01 May 1987,1,1000.0,61,20.4,18.8,91,13.85,70,12,293.6,333.2,296.0
00Z 01 May 1987,2,962.0,397,21.4,19.2,87,14.78,112,10,297.8,340.9,300.5
00Z 01 May 1987,3,900.0,979,24.0,13.0,50,10.56,183,6,306.2,338.3,308.2
00Z 01 May 1987,4,850.0,1478,21.3,18.7,85,16.24,245,3,308.4,357.9,311.4
00Z 01 May 1987,5,806.0,1935,19.0,17.9,93,16.29,NA,NA,310.7,360.8,313.8
00Z 01 May 1987,6,772.0,2301,16.4,5.4,48,7.34,NA,NA,311.8,334.8,313.1
00Z 01 May 1987,7,700.0,3114,8.5,-4.9,38,3.81,NA,NA,311.9,324.2,312.6
00Z 01 May 1987,8,685.0,3293,6.8,-7.2,36,3.27,NA,NA,311.9,322.6,312.5
00Z 01 May 1987,9,600.0,4371,0.8,-6.2,59,4.03,NA,NA,317.0,330.3,317.8
00Z 01 May 1987,10,592.0,4479,0.0,-7.0,59,3.84,NA,NA,317.3,330.0,318.0
00Z 01 May 1987,11,490.0,5972,-8.7,-16.7,52,2.12,NA,NA,324.2,331.7,324.6
00Z 01 May 1987,12,427.0,7027,-15.1,-16.3,91,2.52,NA,NA,329.1,338.0,329.6
00Z 01 May 1987,13,389.0,7728,-18.7,-34.7,23,0.52,NA,NA,333.2,335.3,333.4
00Z 01 May 1987,14,278.0,10146,-36.7,NA,NA,NA,NA,NA,340.9,NA,340.9
00Z 01 May 1987,15,239.0,11181,-42.5,NA,NA,NA,NA,NA,347.2,NA,347.2
00Z 01 May 1987,16,222.0,11682,-40.9,NA,NA,NA,NA,NA,357.0,NA,357.0
00Z 01 May 1987,17,175.0,13265,-51.5,NA,NA,NA,NA,NA,364.7,NA,364.7
00Z 01 May 1987,18,100.0,16770,-67.5,NA,NA,NA,NA,NA,397.1,NA,397.1
00Z 01 May 1987,19,82.0,17962,-69.3,NA,NA,NA,NA,NA,416.5,NA,416.5
00Z 01 May 1987,20,70.0,18910,-68.1,NA,NA,NA,NA,NA,438.4,NA,438.4
00Z 01 May 1987,21,57.0,20156,-63.1,NA,NA,NA,NA,NA,476.2,NA,476.2
00Z 01 May 1987,22,50.0,20970,-58.3,NA,NA,NA,NA,NA,505.7,NA,505.7
00Z 01 May 1987,23,30.0,24280,-44.9,NA,NA,NA,NA,NA,621.6,NA,621.6
00Z 01 May 1987,24,20.0,26980,-38.3,NA,NA,NA,NA,NA,718.1,NA,718.1
12Z 01 May 1987,0,1000.0,47
12Z 01 May 1987,1,999.0,60,29.0,22.0,66,16.98,90,10,302.2,352.6,305.3
12Z 01 May 1987,2,940.0,597,24.2,19.2,74,15.13,122,9,302.6,347.7,305.4
12Z 01 May 1987,3,890.0,1074,25.4,7.4,32,7.31,151,7,308.7,331.4,310.0
12Z 01 May 1987,4,850.0,1474,22.6,7.6,38,7.76,175,6,309.8,334.0,311.3
12Z 01 May 1987,5,805.0,1945,19.4,7.4,46,8.09,204,9,311.2,336.5,312.8
12Z 01 May 1987,6,758.0,2460,15.8,-1.2,31,4.65,237,13,312.8,327.7,313.6
12Z 01 May 1987,7,713.0,2975,11.4,-1.6,40,4.80,270,17,313.4,328.9,314.3
12Z 01 May 1987,8,700.0,3129,10.4,-3.6,37,4.21,280,18,314.0,327.6,314.8
12Z 01 May 1987,9,600.0,4395,2.0,-12.0,35,2.55,287,26,318.4,327.0,318.9
12Z 01 May 1987,10,580.0,4668,0.0,-11.0,43,2.86,288,28,319.1,328.8,319.7
12Z 01 May 1987,11,551.0,5077,-3.3,-10.3,58,3.19,291,31,319.9,330.7,320.6
12Z 01 May 1987,12,524.0,5474,-6.1,-21.1,29,1.36,293,33,321.2,326.0,321.5
12Z 01 May 1987,13,500.0,5840,-8.1,-19.1,41,1.70,295,36,323.1,329.1,323.4
12Z 01 May 1987,14,498.0,5871,-8.3,-19.3,41,1.68,295,36,323.2,329.1,323.6
12Z 01 May 1987,15,464.0,6417,-10.9,-28.9,21,0.76,290,33,326.6,329.4,326.7
12Z 01 May 1987,16,400.0,7540,-18.3,NA,NA,NA,280,27,331.1,NA,331.1
12Z 01 May 1987,17,389.0,7747,-18.3,NA,NA,NA,278,30,333.8,NA,333.8
12Z 01 May 1987,18,300.0,9630,-31.3,NA,NA,NA,260,56,341.1,NA,341.1
12Z 01 May 1987,19,278.0,10170,-34.5,NA,NA,NA,256,75,344.0,NA,344.0
12Z 01 May 1987,20,250.0,10910,-39.1,NA,NA,NA,250,101,347.8,NA,347.8
12Z 01 May 1987,21,243.0,11103,-40.2,NA,NA,NA,255,129,349.0,NA,349.0
12Z 01 May 1987,22,226.0,11597,-42.9,NA,NA,NA,257,106,352.2,NA,352.2
12Z 01 May 1987,23,207.0,12189,-43.1,NA,NA,NA,259,79,360.8,NA,360.8
12Z 01 May 1987,24,200.0,12420,-44.7,NA,NA,NA,260,68,361.8,NA,361.8
12Z 01 May 1987,25,150.0,14300,-55.3,NA,NA,NA,NA,NA,374.6,NA,374.6
12Z 01 May 1987,26,128.0,15304,-60.1,NA,NA,NA,NA,NA,383.3,NA,383.3
12Z 01 May 1987,27,100.0,16820,-67.9,NA,NA,NA,NA,NA,396.3,NA,396.3
12Z 01 May 1987,28,99.0,16880,-68.3,NA,NA,NA,NA,NA,396.6,NA,396.6
00Z 02 May 1987,0,1002.0,60,24.0,21.9,88,16.82,90,10,297.0,345.8,300.0
00Z 02 May 1987,1,1000.0,70,23.8,21.5,87,16.44,90,10,296.9,344.6,299.9
00Z 02 May 1987,2,850.0,1494,21.6,6.6,38,7.24,190,10,308.8,331.2,310.1
00Z 02 May 1987,3,700.0,3146,10.0,1.0,54,5.91,275,23,313.5,332.4,314.6
00Z 02 May 1987,4,500.0,5850,-6.9,-11.9,68,3.09,280,26,324.6,335.2,325.2
00Z 02 May 1987,5,400.0,7570,-16.3,-31.3,26,0.70,260,36,333.7,336.4,333.9
00Z 02 May 1987,6,300.0,9670,-31.5,NA,NA,NA,265,51,340.9,NA,340.9
00Z 02 May 1987,7,250.0,10940,-36.5,NA,NA,NA,245,58,351.7,NA,351.7
00Z 02 May 1987,8,200.0,12450,-46.7,NA,NA,NA,NA,NA,358.7,NA,358.7
00Z 02 May 1987,9,150.0,14320,-56.3,NA,NA,NA,NA,NA,372.9,NA,372.9
00Z 02 May 1987,10,101.0,16760,-67.7,NA,NA,NA,NA,NA,395.5,NA,395.5
00Z 02 May 1987,11,100.0,16820,-67.3,NA,NA,NA,NA,NA,397.4,NA,397.4
00Z 02 May 1987,12,94.0,17191,-64.5,NA,NA,NA,NA,NA,410.0,NA,410.0
00Z 02 May 1987,13,83.0,17934,-68.9,NA,NA,NA,NA,NA,415.9,NA,415.9
00Z 02 May 1987,14,70.0,18950,-65.3,NA,NA,NA,NA,NA,444.4,NA,444.4
00Z 02 May 1987,15,50.0,21050,-58.7,NA,NA,NA,NA,NA,504.7,NA,504.7
00Z 02 May 1987,16,30.0,24370,-42.5,NA,NA,NA,NA,NA,628.1,NA,628.1
00Z 02 May 1987,17,29.0,24599,-41.7,NA,NA,NA,NA,NA,636.5,NA,636.5
00Z 02 May 1987,18,26.0,25338,-42.5,NA,NA,NA,NA,NA,654.4,NA,654.4
00Z 02 May 1987,19,14.0,29602,-33.1,NA,NA,NA,NA,NA,812.8,NA,812.8
12Z 02 May 1987,0,1001.0,60,30.4,17.4,46,12.65,90,12,303.5,341.3,305.8
12Z 02 May 1987,1,1000.0,61,30.2,17.2,46,12.50,90,12,303.4,340.7,305.6
12Z 02 May 1987,2,952.0,497,24.6,5.6,29,6.02,113,10,302.0,320.3,303.1
12Z 02 May 1987,3,906.0,929,21.6,8.6,43,7.79,136,8,303.2,326.8,304.6
12Z 02 May 1987,4,850.0,1480,19.2,-3.8,21,3.41,165,5,306.2,317.1,306.9
12Z 02 May 1987,5,737.0,2686,10.2,0.2,50,5.30,246,12,309.2,325.9,310.1
12Z 02 May 1987,6,700.0,3112,7.2,-5.8,39,3.56,275,15,310.4,321.9,311.1
12Z 02 May 1987,7,687.0,3266,6.0,-7.0,39,3.31,274,16,310.8,321.5,311.4
12Z 02 May 1987,8,639.0,3856,2.8,-4.2,60,4.41,270,22,313.6,327.9,314.4
12Z 02 May 1987,9,610.0,4230,0.0,-10.0,47,2.95,267,25,314.6,324.4,315.1
12Z 02 May 1987,10,600.0,4362,-1.1,-15.1,34,1.98,266,26,314.8,321.5,315.2
12Z 02 May 1987,11,575.0,4700,-3.5,-22.5,21,1.10,263,30,315.8,319.7,316.1
12Z 02 May 1987,12,513.0,5592,-9.1,-14.1,67,2.52,257,38,319.5,328.1,320.0
12Z 02 May 1987,13,500.0,5790,-10.1,-15.1,67,2.38,255,40,320.7,328.8,321.1
12Z 02 May 1987,14,471.0,6251,-12.1,-17.1,66,2.14,251,39,323.7,331.2,324.1
12Z 02 May 1987,15,448.0,6634,-13.5,-31.5,20,0.62,248,38,326.6,328.9,326.7
12Z 02 May 1987,16,400.0,7490,-19.3,NA,NA,NA,240,35,329.8,NA,329.8
12Z 02 May 1987,17,395.0,7583,-19.9,NA,NA,NA,NA,NA,330.2,NA,330.2
00Z 03 May 1987,0,1005.0,60,21.0,17.8,82,12.92,90,13,293.7,330.8,296.0
00Z 03 May 1987,1,1000.0,102,21.0,17.4,80,12.66,89,13,294.1,330.5,296.4
00Z 03 May 1987,2,957.0,482,21.6,15.6,69,11.78,83,14,298.5,333.0,300.6
00Z 03 May 1987,3,919.0,832,21.6,-1.4,21,3.77,77,15,301.9,313.7,302.6
00Z 03 May 1987,4,850.0,1499,16.4,-0.6,31,4.33,65,17,303.3,316.8,304.1
