Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 19 Jun 1985,0,1000.0,-40
00Z 19 Jun 1985,1,989.0,60,26.8,23.8,84,19.19,115,6,300.9,357.6,304.3
00Z 19 Jun 1985,2,945.0,463,27.4,9.4,32,7.89,157,10,305.4,329.6,306.9
00Z 19 Jun 1985,3,895.0,943,26.4,19.4,65,16.12,207,14,309.2,358.5,312.2
00Z 19 Jun 1985,4,850.0,1396,23.8,7.8,36,7.87,255,18,311.1,335.7,312.5
00Z 19 Jun 1985,5,801.0,1913,21.2,-3.8,18,3.62,264,18,313.6,325.5,314.3
00Z 19 Jun 1985,6,710.0,2945,14.8,-3.2,29,4.27,283,17,317.6,331.6,318.4
00Z 19 Jun 1985,7,700.0,3065,13.6,-2.4,33,4.60,285,17,317.5,332.6,318.4
00Z 19 Jun 1985,8,500.0,5820,-2.1,-8.1,63,4.18,NA,NA,330.4,344.9,331.2
00Z 19 Jun 1985,9,300.0,9750,-22.3,NA,NA,NA,NA,NA,353.8,NA,353.8
00Z 19 Jun 1985,10,250.0,11070,-32.1,NA,NA,NA,NA,NA,358.2,NA,358.2
00Z 19 Jun 1985,11,200.0,12620,-43.7,NA,NA,NA,NA,NA,363.4,NA,363.4
00Z 19 Jun 1985,12,150.0,14490,-51.7,NA,NA,NA,NA,NA,380.8,NA,380.8
00Z 19 Jun 1985,13,144.0,14766,-72.1,NA,NA,NA,NA,NA,349.8,NA,349.8
00Z 19 Jun 1985,14,100.0,17110,-72.1,NA,NA,NA,NA,NA,388.2,NA,388.2
00Z 19 Jun 1985,15,70.0,19220,-72.1,NA,NA,NA,NA,NA,429.8,NA,429.8
00Z 19 Jun 1985,16,63.0,19840,-72.1,NA,NA,NA,NA,NA,442.9,NA,442.9
00Z 19 Jun 1985,17,50.0,21230,-63.7,NA,NA,NA,NA,NA,492.9,NA,492.9
00Z 19 Jun 1985,18,30.0,24450,-56.3,NA,NA,NA,NA,NA,590.6,NA,590.6
00Z 19 Jun 1985,19,20.0,27070,-48.3,NA,NA,NA,NA,NA,687.6,NA,687.6
00Z 19 Jun 1985,20,14.0,29451,-41.1,NA,NA,NA,NA,NA,785.7,NA,785.7
00Z 19 Jun 1985,21,10.0,31740,-39.7,NA,NA,NA,NA,NA,870.2,NA,870.2
12Z 19 Jun 1985,0,1000.0,-40
12Z 19 Jun 1985,1,989.0,60,31.0,26.0,75,21.98,NA,NA,305.1,371.4,309.1
12Z 19 Jun 1985,2,850.0,1434,29.0,7.0,25,7.44,300,13,316.5,340.4,317.9
12Z 19 Jun 1985,3,700.0,3124,16.0,-1.0,31,5.11,295,23,320.2,337.0,321.2
12Z 19 Jun 1985,4,500.0,5890,0.0,-16.0,29,2.21,320,19,333.0,340.9,333.4
