Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 01 Jul 1985,0,1000.0,-10
00Z 01 Jul 1985,1,993.0,60,25.0,24.9,99,20.46,335,4,298.8,358.7,302.4
00Z 01 Jul 1985,2,963.0,329,24.2,21.8,86,17.41,328,5,300.6,351.9,303.7
00Z 01 Jul 1985,3,939.0,551,25.8,22.9,84,19.14,322,7,304.4,361.8,307.9
00Z 01 Jul 1985,4,876.0,1161,25.0,20.6,77,17.78,307,10,309.6,364.1,312.9
00Z 01 Jul 1985,5,850.0,1425,23.0,19.4,80,16.99,300,11,310.2,362.4,313.4
00Z 01 Jul 1985,6,768.0,2305,17.0,16.0,94,15.13,18,14,312.9,359.8,315.7
00Z 01 Jul 1985,7,700.0,3092,11.8,10.7,93,11.68,90,17,315.5,352.2,317.7
00Z 01 Jul 1985,8,600.0,4374,5.0,4.0,93,8.57,83,21,321.9,349.7,323.5
00Z 01 Jul 1985,9,531.0,5368,0.0,-1.4,90,6.55,78,24,327.3,349.2,328.6
00Z 01 Jul 1985,10,500.0,5850,-2.7,-4.6,87,5.47,75,25,329.7,348.3,330.8
00Z 01 Jul 1985,11,497.0,5898,-2.9,-4.8,87,5.42,NA,NA,330.0,348.5,331.1
00Z 01 Jul 1985,12,400.0,7590,-11.5,-19.5,52,2.05,NA,NA,339.9,347.6,340.4
00Z 01 Jul 1985,13,385.0,7882,-12.9,-21.9,47,1.73,NA,NA,341.9,348.4,342.2
00Z 01 Jul 1985,14,300.0,9740,-24.7,-35.7,35,0.61,NA,NA,350.5,353.0,350.6
00Z 01 Jul 1985,15,250.0,11040,-34.1,-45.1,32,0.27,NA,NA,355.2,356.4,355.3
00Z 01 Jul 1985,16,200.0,12570,-47.1,NA,NA,NA,NA,NA,358.0,NA,358.0
00Z 01 Jul 1985,17,150.0,14410,-62.3,NA,NA,NA,NA,NA,362.6,NA,362.6
00Z 01 Jul 1985,18,110.0,16264,-79.1,NA,NA,NA,NA,NA,364.6,NA,364.6
00Z 01 Jul 1985,19,100.0,16810,-79.1,NA,NA,NA,NA,NA,374.6,NA,374.6
00Z 01 Jul 1985,20,89.0,17486,-71.1,NA,NA,NA,NA,NA,403.3,NA,403.3
12Z 01 Jul 1985,0,1000.0,-13
12Z 01 Jul 1985,1,993.0,60,25.8,25.2,97,20.84,360,4,299.6,360.8,303.3
12Z 01 Jul 1985,2,943.0,512,22.2,18.7,81,14.61,13,5,300.3,343.4,303.0
12Z 01 Jul 1985,3,850.0,1407,18.0,16.5,91,14.09,40,8,305.0,347.3,307.6
12Z 01 Jul 1985,4,808.0,1841,15.6,12.1,80,11.09,47,11,306.9,340.6,308.9
12Z 01 Jul 1985,5,700.0,3049,10.0,3.0,62,6.83,65,18,313.5,335.2,314.8
12Z 01 Jul 1985,6,500.0,5847,-2.3,-13.3,43,2.76,NA,NA,330.2,339.9,330.7
12Z 01 Jul 1985,7,400.0,7590,-11.1,-22.1,40,1.64,NA,NA,340.5,346.6,340.8
12Z 01 Jul 1985,8,300.0,9690,-23.9,-40.9,19,0.36,NA,NA,351.6,353.1,351.7
12Z 01 Jul 1985,9,250.0,11000,-33.9,NA,NA,NA,NA,NA,355.5,NA,355.5
12Z 01 Jul 1985,10,200.0,12510,-48.9,NA,NA,NA,NA,NA,355.2,NA,355.2
12Z 01 Jul 1985,11,150.0,14340,-65.1,NA,NA,NA,NA,NA,357.7,NA,357.7
12Z 01 Jul 1985,12,94.0,17089,-79.3,NA,NA,NA,NA,NA,380.9,NA,380.9
00Z 02 Jul 1985,0,1000.0,0
00Z 02 Jul 1985,1,993.0,60,25.6,25.4,99,21.10,5,6,299.4,361.3,303.1
00Z 02 Jul 1985,2,910.0,891,16.6,15.5,93,12.32,NA,NA,297.7,333.6,299.9
00Z 02 Jul 1985,3,805.0,2029,12.6,11.0,90,10.34,NA,NA,304.0,335.1,305.9
00Z 02 Jul 1985,4,651.0,3957,5.0,1.4,78,6.55,NA,NA,314.4,335.3,315.7
00Z 02 Jul 1985,5,562.0,5260,0.0,-6.0,64,4.37,NA,NA,322.0,336.6,322.9
00Z 02 Jul 1985,6,517.0,5987,-3.7,-8.5,69,3.92,NA,NA,325.3,338.6,326.1
00Z 02 Jul 1985,7,390.0,8042,-88.3,-128.3,0,0.00,NA,NA,241.9,241.9,241.9
00Z 02 Jul 1985,8,117.0,15462,-73.3,-94.0,3,0.00,NA,NA,368.9,368.9,368.9
00Z 02 Jul 1985,9,70.0,18710,-78.3,-79.4,84,0.01,NA,NA,416.6,416.6,416.6
00Z 02 Jul 1985,10,68.0,18875,-78.7,NA,NA,NA,NA,NA,419.2,NA,419.2
00Z 02 Jul 1985,11,53.0,20371,-57.7,NA,NA,NA,NA,NA,498.7,NA,498.7
00Z 02 Jul 1985,12,50.0,20740,-56.5,NA,NA,NA,NA,NA,509.9,NA,509.9
00Z 02 Jul 1985,13,14.0,29040,-44.3,NA,NA,NA,NA,NA,774.9,NA,774.9
00Z 02 Jul 1985,14,8.0,32803,-42.5,NA,NA,NA,NA,NA,916.4,NA,916.4
00Z 03 Jul 1985,0,1000.0,-9
00Z 03 Jul 1985,1,993.0,60,27.0,26.4,97,22.43,360,0,300.8,367.2,304.8
00Z 03 Jul 1985,2,947.0,481,28.4,25.9,86,22.85,34,2,306.3,375.6,310.4
00Z 03 Jul 1985,3,859.0,1342,24.0,20.0,78,17.46,103,7,310.3,364.0,313.6
00Z 03 Jul 1985,4,850.0,1434,23.2,19.3,79,16.88,110,8,310.4,362.3,313.6
00Z 03 Jul 1985,5,777.0,2214,18.0,15.2,84,14.18,78,10,312.9,356.9,315.6
00Z 03 Jul 1985,6,738.0,2656,17.6,15.9,90,15.65,59,12,317.1,366.5,320.1
00Z 03 Jul 1985,7,700.0,3108,14.4,12.9,91,13.54,40,13,318.4,361.4,321.0
00Z 03 Jul 1985,8,656.0,3670,-11.1,-11.5,97,2.43,48,14,295.6,303.1,296.0
00Z 03 Jul 1985,9,600.0,4431,8.4,0.4,57,6.61,58,14,325.8,347.8,327.1
00Z 03 Jul 1985,10,557.0,5087,6.4,-6.6,39,4.21,67,15,330.4,345.0,331.3
00Z 03 Jul 1985,11,509.0,5758,-77.5,-84.5,32,0.00,78,16,237.3,237.3,237.3
00Z 03 Jul 1985,12,500.0,5890,1.4,-11.6,37,3.17,80,16,334.7,345.9,335.3
00Z 03 Jul 1985,13,300.0,9860,-20.3,NA,NA,NA,NA,NA,356.7,NA,356.7
00Z 03 Jul 1985,14,250.0,11180,-30.9,NA,NA,NA,NA,NA,360.0,NA,360.0
00Z 03 Jul 1985,15,200.0,12723,-43.3,NA,NA,NA,NA,NA,364.0,NA,364.0
00Z 03 Jul 1985,16,150.0,13600,-60.9,NA,NA,NA,NA,NA,365.0,NA,365.0
00Z 03 Jul 1985,17,115.0,15861,-75.1,NA,NA,NA,NA,NA,367.4,NA,367.4
00Z 03 Jul 1985,18,100.0,17020,-71.1,NA,NA,NA,NA,NA,390.1,NA,390.1
00Z 03 Jul 1985,19,71.0,19082,-63.9,NA,NA,NA,NA,NA,445.5,NA,445.5
00Z 03 Jul 1985,20,50.0,21323,-45.7,NA,NA,NA,NA,NA,535.3,NA,535.3
00Z 03 Jul 1985,21,30.0,24779,-38.3,NA,NA,NA,NA,NA,639.6,NA,639.6
00Z 03 Jul 1985,22,20.0,27635,-26.7,NA,NA,NA,NA,NA,753.6,NA,753.6
12Z 03 Jul 1985,0,1000.0,-19
12Z 03 Jul 1985,1,992.0,60,33.0,28.0,75,24.76,90,3,306.9,382.4,311.4
12Z 03 Jul 1985,2,916.0,778,31.4,21.4,55,17.87,85,8,312.3,367.7,315.6
12Z 03 Jul 1985,3,857.0,1368,25.6,14.6,51,12.34,81,12,312.2,350.5,314.5
12Z 03 Jul 1985,4,850.0,1440,24.8,14.8,54,12.61,80,13,312.1,351.2,314.5
12Z 03 Jul 1985,5,800.0,1969,20.2,13.2,64,12.06,80,14,312.7,350.1,314.9
12Z 03 Jul 1985,6,765.0,2355,18.0,12.0,68,11.65,80,14,314.3,350.8,316.5
12Z 03 Jul 1985,7,700.0,3112,14.4,2.4,44,6.54,80,15,318.4,339.6,319.7
12Z 03 Jul 1985,8,661.0,3595,12.4,-2.6,35,4.80,81,15,321.4,337.4,322.3
12Z 03 Jul 1985,9,600.0,4401,7.2,-7.8,34,3.56,82,16,324.4,336.5,325.1
12Z 03 Jul 1985,10,513.0,5675,0.0,-16.0,29,2.15,85,17,330.5,338.2,331.0
12Z 03 Jul 1985,11,500.0,5880,-1.1,-17.1,29,2.01,85,17,331.6,338.9,332.0
12Z 03 Jul 1985,12,443.0,6838,-5.9,-28.9,14,0.80,99,16,337.2,340.3,337.4
12Z 03 Jul 1985,13,400.0,7630,-11.9,-26.9,28,1.06,110,15,339.4,343.5,339.6
12Z 03 Jul 1985,14,377.0,8080,-15.1,-29.1,29,0.92,NA,NA,341.0,344.6,341.2
12Z 03 Jul 1985,15,347.0,8702,-17.9,-34.9,21,0.57,NA,NA,345.4,347.7,345.5
12Z 03 Jul 1985,16,300.0,9770,-26.7,NA,NA,NA,NA,NA,347.6,NA,347.6
12Z 03 Jul 1985,17,277.0,9916,-31.3,NA,NA,NA,NA,NA,349.0,NA,349.0
12Z 03 Jul 1985,18,250.0,10100,-38.3,NA,NA,NA,NA,NA,349.0,NA,349.0
00Z 04 Jul 1985,0,1000.0,-4
00Z 04 Jul 1985,1,993.0,60,27.0,25.2,90,20.84,90,4,300.8,362.4,304.5
00Z 04 Jul 1985,2,126.0,15304,-76.7,NA,NA,NA,NA,NA,355.1,NA,355.1
00Z 04 Jul 1985,3,86.0,17519,-76.7,NA,NA,NA,NA,NA,396.0,NA,396.0
00Z 04 Jul 1985,4,70.0,18770,-57.7,NA,NA,NA,NA,NA,460.6,NA,460.6
