Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 01 Aug 1985,0,1000.0,-5
00Z 01 Aug 1985,1,993.0,60,29.6,26.8,85,22.99,90,6,303.4,372.3,307.5
00Z 01 Aug 1985,2,952.0,435,27.0,24.0,84,20.21,94,10,304.4,365.0,308.1
00Z 01 Aug 1985,3,850.0,1425,20.2,18.2,88,15.73,105,21,307.3,355.0,310.2
00Z 01 Aug 1985,4,796.0,1990,16.8,8.8,59,9.01,100,20,309.5,337.3,311.2
00Z 01 Aug 1985,5,700.0,3079,11.8,5.8,67,8.33,90,17,315.5,341.9,317.1
00Z 01 Aug 1985,6,621.0,4077,8.0,1.0,61,6.67,83,21,322.1,344.0,323.4
00Z 01 Aug 1985,7,600.0,4361,6.0,-1.0,61,5.96,81,23,323.0,342.7,324.2
00Z 01 Aug 1985,8,538.0,5246,0.0,-6.0,64,4.57,74,26,326.1,341.5,327.0
00Z 01 Aug 1985,9,500.0,5830,-3.7,-13.7,46,2.67,70,29,328.5,337.8,329.0
00Z 01 Aug 1985,10,401.0,7541,-13.1,-20.1,56,1.94,85,27,337.6,344.8,338.0
00Z 01 Aug 1985,11,400.0,7560,-13.3,-20.3,56,1.92,85,27,337.6,344.7,338.0
00Z 01 Aug 1985,12,353.0,8504,-19.3,-35.3,23,0.54,111,29,341.8,344.0,341.9
00Z 01 Aug 1985,13,300.0,9700,-27.1,NA,NA,NA,145,31,347.1,NA,347.1
00Z 01 Aug 1985,14,250.0,10990,-36.5,NA,NA,NA,190,31,351.7,NA,351.7
00Z 01 Aug 1985,15,200.0,12490,-50.7,NA,NA,NA,235,18,352.3,NA,352.3
00Z 01 Aug 1985,16,179.0,13206,-56.7,NA,NA,NA,171,18,353.9,NA,353.9
00Z 01 Aug 1985,17,150.0,14310,-64.5,NA,NA,NA,70,19,358.8,NA,358.8
00Z 01 Aug 1985,18,130.0,15173,-70.1,NA,NA,NA,68,31,363.7,NA,363.7
00Z 01 Aug 1985,19,115.0,15900,-71.7,NA,NA,NA,67,40,373.7,NA,373.7
00Z 01 Aug 1985,20,101.0,16662,-74.3,NA,NA,NA,65,51,382.8,NA,382.8
00Z 01 Aug 1985,21,100.0,16720,-73.9,NA,NA,NA,65,51,384.7,NA,384.7
00Z 01 Aug 1985,22,89.0,17407,-70.1,NA,NA,NA,NA,NA,405.3,NA,405.3
00Z 01 Aug 1985,23,82.0,17894,-70.1,NA,NA,NA,NA,NA,414.9,NA,414.9
00Z 01 Aug 1985,24,75.0,18429,-67.1,NA,NA,NA,NA,NA,431.9,NA,431.9
00Z 01 Aug 1985,25,70.0,18849,-63.7,NA,NA,NA,NA,NA,447.8,NA,447.8
00Z 01 Aug 1985,26,62.0,19604,-57.7,NA,NA,NA,NA,NA,476.9,NA,476.9
00Z 01 Aug 1985,27,44.0,21791,-52.9,NA,NA,NA,NA,NA,537.6,NA,537.6
00Z 01 Aug 1985,28,37.0,22931,-43.9,NA,NA,NA,NA,NA,588.0,NA,588.0
00Z 01 Aug 1985,29,23.0,26150,-39.7,NA,NA,NA,NA,NA,685.9,NA,685.9
12Z 02 Aug 1985,0,1000.0,6
12Z 02 Aug 1985,1,995.0,60,30.6,25.6,75,21.32,90,14,304.2,368.2,308.0
12Z 02 Aug 1985,2,917.0,782,23.4,21.2,87,17.62,111,25,304.0,356.7,307.2
12Z 02 Aug 1985,3,850.0,1441,20.6,17.4,82,14.94,130,35,307.7,353.1,310.5
