Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 12 Sep 1985,0,1000.0,28
00Z 12 Sep 1985,1,997.0,60,26.6,25.7,95,21.40,90,6,300.0,363.1,303.8
00Z 12 Sep 1985,2,960.0,417,25.0,23.4,91,19.30,97,11,301.6,358.8,305.1
00Z 12 Sep 1985,3,910.0,873,-28.3,20.3,3984,16.80,107,17,251.5,290.5,254.1
00Z 12 Sep 1985,4,850.0,1448,20.4,16.4,78,14.00,120,26,307.5,350.0,310.1
00Z 12 Sep 1985,5,750.0,2522,15.0,9.1,68,9.73,123,25,312.8,343.2,314.7
00Z 12 Sep 1985,6,700.0,3104,12.0,5.0,62,7.87,125,25,315.7,340.8,317.2
00Z 12 Sep 1985,7,625.0,4046,7.0,2.0,70,7.13,133,20,320.4,343.6,321.8
00Z 12 Sep 1985,8,600.0,4381,4.8,-1.2,65,5.88,136,19,321.6,341.0,322.8
00Z 12 Sep 1985,9,521.0,5523,0.0,-7.0,59,4.37,147,13,329.1,344.1,329.9
00Z 12 Sep 1985,10,513.0,5647,-2.5,-8.5,63,3.95,148,12,327.5,341.0,328.3
00Z 12 Sep 1985,11,500.0,5850,-3.9,-9.9,63,3.63,150,11,328.2,340.7,328.9
00Z 12 Sep 1985,12,400.0,7590,-13.5,-22.5,47,1.58,150,11,337.4,343.2,337.7
00Z 12 Sep 1985,13,300.0,9730,-27.3,-40.3,28,0.38,60,17,346.8,348.4,346.9
00Z 12 Sep 1985,14,250.0,11010,-38.3,NA,NA,NA,70,17,349.0,NA,349.0
00Z 12 Sep 1985,15,200.0,12510,-51.1,NA,NA,NA,60,21,351.7,NA,351.7
00Z 12 Sep 1985,16,150.0,14320,-66.5,NA,NA,NA,75,17,355.3,NA,355.3
00Z 12 Sep 1985,17,128.0,15267,-71.5,NA,NA,NA,100,18,362.8,NA,362.8
00Z 12 Sep 1985,18,100.0,16730,-69.5,NA,NA,NA,70,23,393.2,NA,393.2
12Z 12 Sep 1985,0,1000.0,22
12Z 12 Sep 1985,1,997.0,60,27.8,21.8,70,16.80,90,6,301.2,350.9,304.2
12Z 12 Sep 1985,2,850.0,1433,15.0,6.0,55,6.94,130,25,301.9,322.8,303.1
12Z 12 Sep 1985,3,700.0,3052,6.4,-2.6,53,4.54,115,24,309.5,323.9,310.4
12Z 12 Sep 1985,4,500.0,5750,-8.3,-12.5,72,2.94,175,11,322.9,332.9,323.4
12Z 12 Sep 1985,5,300.0,9570,-31.3,NA,NA,NA,40,10,341.1,NA,341.1
12Z 12 Sep 1985,6,250.0,10830,-41.3,NA,NA,NA,35,39,344.5,NA,344.5
12Z 12 Sep 1985,7,200.0,12310,-59.5,NA,NA,NA,35,13,338.4,NA,338.4
12Z 12 Sep 1985,8,150.0,14100,-69.9,NA,NA,NA,NA,NA,349.5,NA,349.5
12Z 13 Sep 1985,0,1000.0,-10
12Z 13 Sep 1985,1,993.0,60,31.0,26.0,75,21.89,90,4,304.8,370.7,308.7
12Z 13 Sep 1985,2,912.0,814,25.4,19.4,69,15.81,NA,NA,306.5,354.3,309.4
12Z 13 Sep 1985,3,850.0,1426,21.2,16.2,73,13.82,NA,NA,308.3,350.4,310.9
12Z 13 Sep 1985,4,819.0,1749,19.4,17.4,88,15.52,NA,NA,309.7,357.2,312.6
12Z 13 Sep 1985,5,735.0,2676,15.0,-1.0,33,4.86,NA,NA,314.6,330.4,315.6
12Z 13 Sep 1985,6,600.0,4367,5.2,-9.8,33,3.04,NA,NA,322.1,332.5,322.7
12Z 13 Sep 1985,7,545.0,5147,0.2,-19.8,21,1.47,NA,NA,325.1,330.4,325.4
12Z 13 Sep 1985,8,538.0,5251,0.0,NA,NA,NA,NA,NA,326.1,NA,326.1
12Z 13 Sep 1985,9,398.0,7620,-10.5,NA,NA,NA,NA,NA,341.7,NA,341.7
12Z 13 Sep 1985,10,264.0,10666,-30.1,NA,NA,NA,NA,NA,355.6,NA,355.6
12Z 13 Sep 1985,11,148.0,14502,-64.5,NA,NA,NA,NA,NA,360.1,NA,360.1
12Z 13 Sep 1985,12,109.0,16323,-76.1,NA,NA,NA,NA,NA,371.2,NA,371.2
12Z 13 Sep 1985,13,92.0,17298,-78.1,NA,NA,NA,NA,NA,385.7,NA,385.7
12Z 13 Sep 1985,14,75.0,18476,-75.3,NA,NA,NA,NA,NA,414.7,NA,414.7
12Z 13 Sep 1985,15,70.0,18880,-72.1,NA,NA,NA,NA,NA,429.8,NA,429.8
12Z 13 Sep 1985,16,63.0,19510,-64.7,NA,NA,NA,NA,NA,459.2,NA,459.2
12Z 13 Sep 1985,17,50.0,20940,-58.1,NA,NA,NA,NA,NA,506.1,NA,506.1
12Z 13 Sep 1985,18,34.0,23418,-49.5,NA,NA,NA,NA,NA,587.7,NA,587.7
12Z 13 Sep 1985,19,30.0,24240,-48.1,NA,NA,NA,NA,NA,612.9,NA,612.9
12Z 13 Sep 1985,20,20.0,26940,-43.5,NA,NA,NA,NA,NA,702.2,NA,702.2
12Z 13 Sep 1985,21,18.0,27650,-42.1,NA,NA,NA,NA,NA,728.1,NA,728.1
12Z 14 Sep 1985,0,1000.0
12Z 14 Sep 1985,1,994.0,60,30.0,26.2,80,22.14,90,6,303.7,370.1,307.7
12Z 14 Sep 1985,2,874.0,1198,21.6,17.8,79,14.90,NA,NA,306.3,351.3,309.1
12Z 14 Sep 1985,3,764.0,2359,16.6,14.5,87,13.78,NA,NA,312.9,355.7,315.5
12Z 14 Sep 1985,4,686.0,3270,10.6,9.5,93,10.98,NA,NA,316.0,350.6,318.1
12Z 14 Sep 1985,5,620.0,4080,-11.3,NA,NA,NA,NA,NA,300.2,NA,300.2
00Z 15 Sep 1985,0,1000.0,17
00Z 15 Sep 1985,1,996.0,60,26.6,24.8,90,20.27,90,10,300.1,359.8,303.7
00Z 15 Sep 1985,2,911.0,839,21.0,2.0,28,4.88,98,19,302.1,317.1,303.0
00Z 15 Sep 1985,3,850.0,1435,18.4,17.9,97,15.43,105,26,305.4,351.8,308.2
00Z 15 Sep 1985,4,839.0,1547,16.6,0.6,34,4.79,104,25,304.6,319.5,305.5
00Z 15 Sep 1985,5,740.0,2617,13.4,1.4,44,5.76,91,18,312.3,330.6,313.4
00Z 15 Sep 1985,6,700.0,3085,10.0,7.2,83,9.18,85,15,313.5,342.3,315.3
00Z 15 Sep 1985,7,600.0,4357,4.0,0.0,75,6.42,112,11,320.7,341.7,321.9
00Z 15 Sep 1985,8,550.0,5061,0.0,-4.4,72,5.05,128,9,324.0,340.9,325.0
00Z 15 Sep 1985,9,500.0,5820,-4.7,-9.1,71,3.86,145,6,327.2,340.5,328.0
00Z 15 Sep 1985,10,400.0,7550,-13.1,-23.1,43,1.50,NA,NA,337.9,343.5,338.2
00Z 15 Sep 1985,11,100.0,16706,-72.5,NA,NA,NA,NA,NA,387.4,NA,387.4
00Z 15 Sep 1985,12,70.0,18820,-60.1,NA,NA,NA,NA,NA,455.5,NA,455.5
00Z 15 Sep 1985,13,58.0,20011,-53.5,NA,NA,NA,NA,NA,495.5,NA,495.5
00Z 15 Sep 1985,14,50.0,20970,-51.1,NA,NA,NA,NA,NA,522.6,NA,522.6
00Z 15 Sep 1985,15,48.0,21236,-50.1,NA,NA,NA,NA,NA,531.1,NA,531.1
12Z 15 Sep 1985,0,1000.0,18
12Z 15 Sep 1985,1,996.0,60,28.6,27.0,91,23.20,90,10,302.1,371.3,306.3
12Z 15 Sep 1985,2,883.0,1116,18.0,16.0,88,13.12,NA,NA,301.7,340.6,304.1
12Z 15 Sep 1985,3,716.0,2892,10.6,8.4,86,9.75,NA,NA,312.2,342.5,314.0
12Z 15 Sep 1985,4,646.0,3743,5.4,1.9,78,6.84,NA,NA,315.6,337.4,316.9
12Z 15 Sep 1985,5,143.0,14274,-75.7,NA,NA,NA,NA,NA,344.2,NA,344.2
12Z 15 Sep 1985,6,98.0,16449,-77.3,NA,NA,NA,NA,NA,380.3,NA,380.3
00Z 17 Sep 1985,0,1000.0,48
00Z 17 Sep 1985,1,999.0,60,26.0,25.1,95,20.58,90,6,299.2,359.6,302.9
00Z 17 Sep 1985,2,960.0,412,25.0,24.0,94,20.04,NA,NA,301.6,361.0,305.2
00Z 17 Sep 1985,3,794.0,2063,16.6,16.0,96,14.62,NA,NA,309.5,354.2,312.2
00Z 17 Sep 1985,4,679.0,3379,7.8,7.7,99,9.81,NA,NA,313.8,344.5,315.7
00Z 17 Sep 1985,5,600.0,4383,-2.3,-3.3,93,5.02,NA,NA,313.4,329.5,314.4
12Z 17 Sep 1985,0,1000.0,44
12Z 17 Sep 1985,1,999.0,60,25.6,24.6,94,19.96,90,10,298.8,357.3,302.4
12Z 17 Sep 1985,2,961.0,399,22.4,18.7,80,14.33,72,8,298.9,340.9,301.5
12Z 17 Sep 1985,3,901.0,957,20.8,16.8,78,13.54,42,6,302.8,343.2,305.3
12Z 17 Sep 1985,4,850.0,1456,17.0,13.4,79,11.49,15,3,303.9,338.4,306.0
12Z 17 Sep 1985,5,786.0,2122,12.4,9.4,82,9.50,327,5,305.9,334.8,307.6
12Z 17 Sep 1985,6,727.0,2777,10.4,-2.6,40,4.37,278,6,310.6,324.6,311.4
12Z 17 Sep 1985,7,700.0,3092,8.6,4.6,76,7.65,255,7,312.0,336.0,313.4
12Z 17 Sep 1985,8,600.0,4352,1.6,-4.4,64,4.62,NA,NA,317.9,333.1,318.8
12Z 17 Sep 1985,9,573.0,4722,0.0,-5.0,69,4.63,NA,NA,320.3,335.6,321.1
12Z 17 Sep 1985,10,566.0,4821,-0.5,-5.5,69,4.51,NA,NA,320.8,335.8,321.7
00Z 18 Sep 1985,0,1000.0,60,25.2,25.0,99,20.44,90,2,298.4,358.1,302.0
00Z 18 Sep 1985,1,851.0,1455,19.0,10.0,56,9.14,286,1,305.9,333.8,307.6
00Z 18 Sep 1985,2,850.0,1465,18.6,9.6,56,8.90,285,1,305.6,332.7,307.3
00Z 18 Sep 1985,3,700.0,3109,10.4,-3.6,37,4.21,195,7,314.0,327.6,314.8
00Z 18 Sep 1985,4,636.0,3901,6.4,-9.6,31,2.92,201,8,318.1,327.9,318.7
00Z 18 Sep 1985,5,600.0,4376,3.2,-10.8,35,2.81,204,8,319.8,329.3,320.3
00Z 18 Sep 1985,6,565.0,4861,0.0,-12.0,40,2.71,208,9,321.6,330.8,322.1
00Z 18 Sep 1985,7,500.0,5830,-5.3,-18.3,35,1.82,215,10,326.5,333.0,326.9
00Z 18 Sep 1985,8,431.0,6982,-11.5,-26.5,28,1.02,208,8,332.8,336.6,333.0
00Z 18 Sep 1985,9,400.0,7550,-15.9,-28.9,32,0.88,205,7,334.2,337.6,334.4
00Z 18 Sep 1985,10,300.0,9680,-28.9,NA,NA,NA,205,3,344.5,NA,344.5
00Z 18 Sep 1985,11,250.0,10960,-39.5,NA,NA,NA,325,5,347.2,NA,347.2
00Z 18 Sep 1985,12,200.0,12450,-53.1,NA,NA,NA,30,2,348.5,NA,348.5
00Z 18 Sep 1985,13,150.0,14240,-67.5,NA,NA,NA,85,11,353.6,NA,353.6
00Z 18 Sep 1985,14,111.0,16021,-75.1,NA,NA,NA,50,65,371.1,NA,371.1
00Z 18 Sep 1985,15,100.0,16630,-73.1,NA,NA,NA,45,17,386.2,NA,386.2
00Z 18 Sep 1985,16,93.0,17055,-72.1,NA,NA,NA,57,18,396.3,NA,396.3
00Z 18 Sep 1985,17,70.0,18760,-63.1,NA,NA,NA,105,23,449.1,NA,449.1
