Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
12Z 01 Jan 1994,0,1000.0,139
12Z 01 Jan 1994,1,943.0,652,20.0,1.0,28,4.38,0,0,298.1,311.4,298.9
12Z 01 Jan 1994,2,933.0,736,18.0,3.0,37,5.11,343,3,297.0,312.3,297.9
12Z 01 Jan 1994,3,925.0,803,17.4,3.4,39,5.31,330,5,297.1,313.0,298.1
12Z 01 Jan 1994,4,850.0,1523,13.2,1.2,44,4.93,40,4,300.0,315.0,300.9
12Z 01 Jan 1994,5,828.0,1743,11.4,2.4,54,5.52,22,6,300.3,317.1,301.3
12Z 01 Jan 1994,6,799.0,2039,10.0,-13.0,18,1.77,359,9,301.9,307.6,302.2
12Z 01 Jan 1994,7,729.0,2797,8.0,-9.0,29,2.67,297,16,307.7,316.4,308.2
12Z 01 Jan 1994,8,700.0,3130,5.8,-9.2,33,2.73,270,19,308.9,317.8,309.4
12Z 01 Jan 1994,9,656.0,3656,2.4,-8.6,44,3.06,272,23,310.8,320.8,311.4
12Z 01 Jan 1994,10,633.0,3943,0.0,-9.0,51,3.07,273,26,311.3,321.3,311.9
12Z 01 Jan 1994,11,600.0,4368,-3.3,-12.3,50,2.49,275,29,312.2,320.5,312.7
12Z 01 Jan 1994,12,560.0,4908,-6.9,-22.9,27,1.09,277,34,314.2,318.0,314.4
12Z 01 Jan 1994,13,531.0,5319,-9.9,NA,NA,NA,278,37,315.4,NA,315.4
12Z 01 Jan 1994,14,500.0,5780,-11.5,NA,NA,NA,280,41,318.9,NA,318.9
12Z 01 Jan 1994,15,463.0,6367,-13.9,NA,NA,NA,280,45,323.1,NA,323.1
12Z 01 Jan 1994,16,400.0,7460,-22.9,NA,NA,NA,280,54,325.1,NA,325.1
12Z 01 Jan 1994,17,355.0,8322,-30.7,NA,NA,NA,NA,NA,325.9,NA,325.9
12Z 01 Jan 1994,18,300.0,9500,-38.7,NA,NA,NA,NA,NA,330.7,NA,330.7
12Z 01 Jan 1994,19,250.0,10730,-47.3,NA,NA,NA,NA,NA,335.6,NA,335.6
12Z 01 Jan 1994,20,238.0,11054,-49.5,NA,NA,NA,NA,NA,337.1,NA,337.1
00Z 02 Jan 1994,0,1000.0,150
00Z 02 Jan 1994,1,943.0,652,12.8,9.0,78,7.69,0,0,290.8,312.9,292.1
00Z 02 Jan 1994,2,925.0,809,13.2,5.2,58,6.03,335,4,292.8,310.4,293.9
00Z 02 Jan 1994,3,887.0,1158,14.2,0.2,38,4.40,347,4,297.4,310.7,298.2
00Z 02 Jan 1994,4,850.0,1512,12.4,-10.6,19,2.02,360,4,299.1,305.5,299.5
00Z 02 Jan 1994,5,841.0,1601,12.0,-13.0,16,1.68,360,5,299.6,305.0,299.9
00Z 02 Jan 1994,6,804.0,1979,14.2,-22.8,6,0.77,359,9,305.8,308.5,306.0
00Z 02 Jan 1994,7,709.0,3020,4.6,-9.4,35,2.66,355,21,306.4,315.0,306.9
00Z 02 Jan 1994,8,700.0,3124,4.0,-10.0,35,2.57,355,22,306.9,315.2,307.4
00Z 02 Jan 1994,9,624.0,4051,0.0,-19.0,22,1.37,NA,NA,312.6,317.3,312.8
00Z 02 Jan 1994,10,612.0,4207,-0.5,-20.5,20,1.23,NA,NA,313.7,318.0,313.9
00Z 02 Jan 1994,11,600.0,4364,-1.7,NA,NA,NA,NA,NA,314.1,NA,314.1
00Z 02 Jan 1994,12,500.0,5790,-10.7,NA,NA,NA,NA,NA,319.9,NA,319.9
00Z 02 Jan 1994,13,493.0,5898,-11.1,NA,NA,NA,NA,NA,320.7,NA,320.7
00Z 02 Jan 1994,14,400.0,7460,-24.9,NA,NA,NA,NA,NA,322.5,NA,322.5
00Z 02 Jan 1994,15,324.0,8868,-37.7,NA,NA,NA,NA,NA,324.9,NA,324.9
00Z 02 Jan 1994,16,300.0,9450,38.8,NA,NA,NA,NA,NA,440.0,NA,440.0
00Z 02 Jan 1994,17,279.0,10012,-39.9,NA,NA,NA,NA,NA,335.9,NA,335.9
00Z 02 Jan 1994,18,250.0,10730,-45.9,NA,NA,NA,NA,NA,337.7,NA,337.7
00Z 02 Jan 1994,19,200.0,12190,-56.7,NA,NA,NA,NA,NA,342.8,NA,342.8
12Z 04 Jan 1994,0,1000.0,123
12Z 04 Jan 1994,1,941.0,652,22.2,5.2,33,5.93,315,4,300.5,318.5,301.6
12Z 04 Jan 1994,2,925.0,804,21.6,6.6,38,6.65,330,4,301.4,321.5,302.6
12Z 04 Jan 1994,3,904.0,1002,21.0,9.0,46,8.03,329,5,302.8,327.0,304.2
12Z 04 Jan 1994,4,850.0,1525,14.0,5.0,55,6.47,325,8,300.8,320.3,302.0
12Z 04 Jan 1994,5,812.0,1909,9.6,1.6,57,5.32,306,10,300.1,316.2,301.1
12Z 04 Jan 1994,6,732.0,2767,5.0,-1.0,65,4.88,263,16,304.1,319.2,305.0
12Z 04 Jan 1994,7,700.0,3133,4.0,-5.0,52,3.78,245,18,306.9,318.9,307.6
12Z 04 Jan 1994,8,692.0,3226,4.0,-6.0,48,3.55,246,19,307.9,319.2,308.6
12Z 04 Jan 1994,9,626.0,4037,2.0,-18.0,21,1.49,253,26,314.6,319.7,314.8
12Z 04 Jan 1994,10,600.0,4377,0.0,-19.0,22,1.43,256,29,316.1,321.0,316.4
12Z 04 Jan 1994,11,530.0,5357,-5.7,-23.7,23,1.07,266,39,320.6,324.5,320.9
12Z 04 Jan 1994,12,500.0,5810,-9.5,-20.5,40,1.51,270,43,321.4,326.7,321.7
00Z 05 Jan 1994,0,1000.0,0
00Z 05 Jan 1994,1,941.0,652,12.4,7.7,73,7.05,0,0,290.6,310.9,291.8
00Z 05 Jan 1994,2,925.0,805,16.8,9.8,63,8.28,160,7,296.5,320.8,298.0
00Z 05 Jan 1994,3,916.0,889,18.2,11.2,64,9.20,176,7,298.8,325.9,300.4
00Z 05 Jan 1994,4,850.0,1524,14.0,8.0,67,7.98,300,6,300.8,324.7,302.2
00Z 05 Jan 1994,5,837.0,1654,13.0,7.0,67,7.56,300,7,301.1,323.8,302.4
00Z 05 Jan 1994,6,738.0,2699,4.2,1.8,84,5.94,300,17,302.5,320.6,303.6
00Z 05 Jan 1994,7,700.0,3128,2.2,-11.8,35,2.22,300,21,304.9,312.1,305.3
00Z 05 Jan 1994,8,650.0,3725,0.0,-17.0,27,1.56,296,25,308.9,314.2,309.2
00Z 05 Jan 1994,9,600.0,4364,-2.5,-22.5,20,1.05,291,30,313.2,316.9,313.4
00Z 05 Jan 1994,10,562.0,4880,-7.5,-10.1,82,3.17,287,34,313.2,323.6,313.8
00Z 05 Jan 1994,11,500.0,5780,-14.5,-25.5,39,0.97,280,41,315.3,318.7,315.5
00Z 05 Jan 1994,12,485.0,6009,-16.9,-29.9,31,0.66,278,42,315.1,317.5,315.2
00Z 05 Jan 1994,13,428.0,6936,-22.5,-37.5,24,0.36,271,46,319.4,320.8,319.5
00Z 05 Jan 1994,14,400.0,7430,-24.5,NA,NA,NA,267,49,323.1,NA,323.1
00Z 05 Jan 1994,15,397.0,7485,-24.9,NA,NA,NA,267,49,323.2,NA,323.2
00Z 05 Jan 1994,16,330.0,8803,-35.7,NA,NA,NA,256,55,325.9,NA,325.9
00Z 05 Jan 1994,17,300.0,9460,-40.7,NA,NA,NA,251,59,327.9,NA,327.9
00Z 05 Jan 1994,18,273.0,10027,-45.1,NA,NA,NA,245,62,330.5,NA,330.5
00Z 05 Jan 1994,19,250.0,10680,66.4,NA,NA,NA,240,65,504.6,NA,504.6
12Z 05 Jan 1994,0,893.0,NA,-16.9,-23.9,55,0.63,NA,NA,264.7,266.5,264.8
12Z 05 Jan 1994,1,838.0,NA,21.2,17.2,78,14.96,NA,NA,309.6,355.4,312.4
12Z 05 Jan 1994,2,753.0,NA,3.8,-2.2,65,4.34,NA,NA,300.3,313.6,301.1
12Z 05 Jan 1994,3,720.0,NA,0.0,-8.0,55,2.92,NA,NA,300.0,309.2,300.6
12Z 05 Jan 1994,4,666.0,NA,-5.5,-14.5,49,1.88,NA,NA,300.6,306.6,300.9
12Z 05 Jan 1994,5,635.0,NA,-5.5,-23.5,23,0.91,NA,NA,304.7,307.8,304.9
12Z 05 Jan 1994,6,554.0,NA,-8.1,NA,NA,NA,NA,NA,313.8,NA,313.8
00Z 06 Jan 1994,0,1000.0,148
00Z 06 Jan 1994,1,942.0,652,13.0,11.2,89,8.94,0,0,291.1,316.6,292.6
00Z 06 Jan 1994,2,925.0,800,13.4,9.8,79,8.28,NA,NA,293.0,316.9,294.5
00Z 06 Jan 1994,3,911.0,929,13.8,11.8,88,9.63,NA,NA,294.7,322.6,296.4
00Z 06 Jan 1994,4,850.0,1511,10.8,4.8,66,6.38,NA,NA,297.4,316.4,298.6
00Z 06 Jan 1994,5,811.0,1900,8.0,3.8,75,6.23,NA,NA,298.5,317.1,299.6
00Z 06 Jan 1994,6,777.0,2251,6.2,-5.8,42,3.21,NA,NA,300.2,310.2,300.8
00Z 06 Jan 1994,7,700.0,3093,-0.5,-11.5,43,2.28,NA,NA,301.9,309.2,302.3
00Z 06 Jan 1994,8,690.0,3208,-1.5,-12.5,43,2.13,NA,NA,302.0,308.9,302.4
00Z 06 Jan 1994,9,658.0,3587,0.0,-20.0,21,1.19,NA,NA,307.9,311.9,308.1
00Z 06 Jan 1994,10,600.0,4320,-5.1,-22.1,25,1.09,NA,NA,310.2,313.9,310.4
00Z 06 Jan 1994,11,561.0,4846,-7.1,-20.1,35,1.39,NA,NA,313.8,318.6,314.1
00Z 06 Jan 1994,12,500.0,5730,-15.3,-30.3,27,0.62,NA,NA,314.3,316.6,314.4
00Z 06 Jan 1994,13,474.0,6129,-18.9,-33.9,25,0.46,NA,NA,314.7,316.4,314.8
00Z 06 Jan 1994,14,433.0,6795,-23.1,NA,NA,NA,NA,NA,317.6,NA,317.6
00Z 06 Jan 1994,15,400.0,7370,-26.3,NA,NA,NA,NA,NA,320.7,NA,320.7
00Z 07 Jan 1994,0,1000.0,156
00Z 07 Jan 1994,1,943.0,652,12.0,8.0,77,7.18,0,0,290.0,310.6,291.2
00Z 07 Jan 1994,2,925.0,816,13.6,4.6,54,5.78,360,4,293.2,310.2,294.2
00Z 07 Jan 1994,3,897.0,1075,16.2,0.2,34,4.35,355,3,298.5,311.7,299.3
00Z 07 Jan 1994,4,850.0,1529,13.6,-2.4,33,3.79,345,1,300.4,312.1,301.1
00Z 07 Jan 1994,5,823.0,1800,12.2,-3.8,33,3.52,341,2,301.7,312.7,302.3
00Z 07 Jan 1994,6,783.0,2214,6.8,-14.2,21,1.64,334,4,300.2,305.5,300.5
00Z 07 Jan 1994,7,717.0,2933,3.6,-16.4,22,1.49,323,7,304.4,309.3,304.6
00Z 07 Jan 1994,8,700.0,3128,2.6,-17.4,21,1.40,320,8,305.3,310.0,305.6
00Z 07 Jan 1994,9,678.0,3386,1.2,-17.8,23,1.40,317,8,306.6,311.2,306.8
00Z 07 Jan 1994,10,655.0,3663,0.0,NA,NA,NA,314,9,308.2,NA,308.2
00Z 07 Jan 1994,11,633.0,3936,-1.3,NA,NA,NA,311,10,309.8,NA,309.8
00Z 07 Jan 1994,12,600.0,4362,-2.9,NA,NA,NA,306,10,312.7,NA,312.7
