Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 01 Nov 1993,0,1000.0,130
00Z 01 Nov 1993,1,942.0,652,19.4,18.8,96,14.72,0,0,297.6,340.4,300.2
00Z 01 Nov 1993,2,925.0,805,18.6,14.6,78,11.42,35,8,298.3,331.8,300.4
00Z 01 Nov 1993,3,880.0,1228,15.4,9.4,67,8.48,73,9,299.3,324.4,300.8
00Z 01 Nov 1993,4,850.0,1519,14.4,9.4,72,8.78,100,10,301.2,327.4,302.8
00Z 01 Nov 1993,5,801.0,2018,13.0,9.4,79,9.32,108,13,304.9,333.1,306.6
00Z 01 Nov 1993,6,700.0,3129,4.8,-2.2,60,4.67,125,19,307.8,322.5,308.6
00Z 01 Nov 1993,7,663.0,3571,3.2,-6.8,48,3.48,NA,NA,310.8,322.1,311.4
00Z 01 Nov 1993,8,604.0,4322,0.2,-17.8,24,1.57,NA,NA,315.7,321.1,316.0
00Z 01 Nov 1993,9,600.0,4376,0.2,NA,NA,NA,NA,NA,316.3,NA,316.3
00Z 01 Nov 1993,10,595.0,4443,0.0,NA,NA,NA,NA,NA,316.8,NA,316.8
00Z 01 Nov 1993,11,547.0,5113,-1.9,NA,NA,NA,NA,NA,322.3,NA,322.3
00Z 01 Nov 1993,12,500.0,5820,-7.3,NA,NA,NA,NA,NA,324.1,NA,324.1
00Z 01 Nov 1993,13,438.0,6838,-14.5,NA,NA,NA,NA,NA,327.4,NA,327.4
00Z 01 Nov 1993,14,400.0,7520,-18.7,NA,NA,NA,NA,NA,330.6,NA,330.6
00Z 01 Nov 1993,15,335.0,8815,-27.9,NA,NA,NA,NA,NA,335.2,NA,335.2
00Z 01 Nov 1993,16,300.0,9600,-31.5,NA,NA,NA,NA,NA,340.9,NA,340.9
12Z 01 Nov 1993,0,1000.0,109
12Z 01 Nov 1993,1,940.0,652,23.0,19.5,81,15.43,0,0,301.4,347.1,304.2
12Z 01 Nov 1993,2,925.0,789,22.0,19.0,83,15.19,105,6,301.8,346.8,304.5
12Z 01 Nov 1993,3,901.0,1015,20.2,18.6,91,15.21,99,6,302.2,347.3,305.0
12Z 01 Nov 1993,4,850.0,1510,15.8,13.2,85,11.34,85,5,302.7,336.5,304.8
12Z 01 Nov 1993,5,733.0,2747,8.0,4.2,77,7.10,81,7,307.2,329.1,308.6
12Z 01 Nov 1993,6,700.0,3124,5.2,-2.8,56,4.47,80,7,308.2,322.3,309.0
12Z 01 Nov 1993,7,666.0,3529,2.6,-7.4,48,3.31,NA,NA,309.7,320.4,310.3
12Z 01 Nov 1993,8,605.0,4302,0.0,-19.0,22,1.42,NA,NA,315.3,320.2,315.6
12Z 01 Nov 1993,9,600.0,4368,-0.7,-19.7,22,1.34,NA,NA,315.3,319.9,315.5
00Z 02 Nov 1993,0,1000.0,122
00Z 02 Nov 1993,1,941.0,652,20.0,17.9,88,13.91,0,0,298.3,338.9,300.8
00Z 02 Nov 1993,2,925.0,806,20.2,20.1,99,16.29,NA,NA,300.0,347.8,302.9
00Z 02 Nov 1993,3,912.0,936,20.2,20.2,100,16.64,NA,NA,301.2,350.3,304.2
00Z 02 Nov 1993,4,862.0,1450,15.8,15.8,100,13.27,NA,NA,301.5,340.8,303.9
00Z 02 Nov 1993,5,850.0,1577,15.4,15.0,97,12.77,NA,NA,302.3,340.2,304.6
00Z 02 Nov 1993,6,808.0,1989,14.8,13.4,91,12.10,NA,NA,306.0,342.6,308.3
00Z 02 Nov 1993,7,700.0,3134,5.0,2.0,81,6.36,NA,NA,308.0,327.7,309.2
00Z 02 Nov 1993,8,671.0,3477,-2.5,-13.5,43,2.02,NA,NA,303.3,309.9,303.7
00Z 02 Nov 1993,9,625.0,4043,-2.5,-20.5,24,1.20,NA,NA,309.6,313.7,309.8
00Z 02 Nov 1993,10,616.0,4159,0.0,-17.0,27,1.65,NA,NA,313.7,319.3,314.0
00Z 02 Nov 1993,11,600.0,4370,-2.5,-18.5,28,1.49,NA,NA,313.2,318.3,313.5
00Z 02 Nov 1993,12,576.0,4696,-2.7,-16.7,33,1.81,NA,NA,316.6,322.8,317.0
00Z 02 Nov 1993,13,500.0,5800,-13.9,-20.9,55,1.45,NA,NA,316.0,321.1,316.3
00Z 02 Nov 1993,14,492.0,5923,-9.9,-26.9,24,0.86,NA,NA,322.4,325.6,322.6
00Z 02 Nov 1993,15,450.0,6599,-17.3,NA,NA,NA,NA,NA,321.4,NA,321.4
00Z 02 Nov 1993,16,400.0,7470,-22.3,NA,NA,NA,NA,NA,325.9,NA,325.9
00Z 02 Nov 1993,17,372.0,8000,-26.3,NA,NA,NA,NA,NA,327.4,NA,327.4
00Z 02 Nov 1993,18,336.0,8732,-30.5,NA,NA,NA,NA,NA,331.4,NA,331.4
00Z 02 Nov 1993,19,300.0,9530,-36.5,NA,NA,NA,NA,NA,333.8,NA,333.8
00Z 02 Nov 1993,20,269.0,10282,-39.3,NA,NA,NA,NA,NA,340.3,NA,340.3
00Z 02 Nov 1993,21,250.0,10780,-42.5,NA,NA,NA,NA,NA,342.7,NA,342.7
00Z 02 Nov 1993,22,237.0,11128,-44.7,NA,NA,NA,NA,NA,344.7,NA,344.7
00Z 02 Nov 1993,23,200.0,12210,-53.1,NA,NA,NA,NA,NA,348.5,NA,348.5
00Z 02 Nov 1993,24,182.0,12842,-58.5,NA,NA,NA,NA,NA,349.2,NA,349.2
00Z 02 Nov 1993,25,150.0,14100,-66.1,NA,NA,NA,NA,NA,356.0,NA,356.0
00Z 02 Nov 1993,26,132.0,14866,-71.3,NA,NA,NA,NA,NA,360.0,NA,360.0
00Z 02 Nov 1993,27,100.0,16480,-78.1,NA,NA,NA,NA,NA,376.6,NA,376.6
00Z 02 Nov 1993,28,95.0,16749,-78.3,NA,NA,NA,NA,NA,381.8,NA,381.8
00Z 02 Nov 1993,29,94.1,16815,20.0,NA,NA,NA,NA,NA,575.9,NA,575.9
00Z 02 Nov 1993,30,86.0,17448,-71.3,NA,NA,NA,NA,NA,406.9,NA,406.9
00Z 02 Nov 1993,31,70.0,18570,-70.3,NA,NA,NA,NA,NA,433.7,NA,433.7
00Z 02 Nov 1993,32,55.0,20011,-68.7,NA,NA,NA,NA,NA,468.3,NA,468.3
00Z 02 Nov 1993,33,41.0,21815,-58.9,NA,NA,NA,NA,NA,533.7,NA,533.7
00Z 02 Nov 1993,34,25.0,24956,-54.5,NA,NA,NA,NA,NA,627.3,NA,627.3
00Z 02 Nov 1993,35,20.0,26400,-50.5,NA,NA,NA,NA,NA,680.8,NA,680.8
00Z 04 Nov 1993,0,1000.0,137
00Z 04 Nov 1993,1,940.0,652,15.8,15.0,95,11.53,0,0,294.1,327.3,296.1
00Z 04 Nov 1993,2,925.0,796,16.4,13.8,85,10.83,340,4,296.1,327.5,298.0
00Z 04 Nov 1993,3,904.0,1001,17.2,13.2,77,10.65,4,4,298.8,330.2,300.8
00Z 04 Nov 1993,4,850.0,1550,14.8,7.8,63,7.87,70,4,301.6,325.3,303.1
00Z 04 Nov 1993,5,842.0,1630,14.2,10.2,77,9.36,67,4,301.8,329.8,303.5
00Z 04 Nov 1993,6,801.0,2030,-10.5,-15.1,69,1.48,53,7,279.8,284.3,280.1
00Z 04 Nov 1993,7,783.0,2211,10.4,3.4,62,6.28,47,8,304.1,323.3,305.2
00Z 04 Nov 1993,8,727.0,2822,7.0,4.0,81,7.06,26,12,306.9,328.6,308.2
00Z 04 Nov 1993,9,700.0,3131,5.6,-15.4,20,1.66,15,14,308.6,314.2,309.0
00Z 04 Nov 1993,10,675.0,3426,4.6,1.6,81,6.41,11,15,310.8,330.9,312.0
00Z 04 Nov 1993,11,621.0,4097,2.4,-21.6,15,1.10,1,16,315.7,319.6,315.9
00Z 04 Nov 1993,12,600.0,4371,-0.3,NA,NA,NA,357,17,315.7,NA,315.7
00Z 04 Nov 1993,13,598.0,4397,0.0,NA,NA,NA,356,17,316.4,NA,316.4
00Z 04 Nov 1993,14,565.0,4845,-3.1,NA,NA,NA,350,18,317.9,NA,317.9
00Z 04 Nov 1993,15,500.0,5790,-10.5,NA,NA,NA,335,21,320.2,NA,320.2
00Z 04 Nov 1993,16,431.0,6918,-18.1,NA,NA,NA,NA,NA,324.4,NA,324.4
00Z 04 Nov 1993,17,400.0,7470,-23.9,NA,NA,NA,NA,NA,323.8,NA,323.8
