Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 01 Dec 1993,0,1000.0,137
00Z 01 Dec 1993,1,941.0,652,14.0,10.7,81,8.65,0,0,292.2,317.1,293.7
00Z 01 Dec 1993,2,925.0,801,15.8,9.8,68,8.28,20,7,295.5,319.7,296.9
00Z 01 Dec 1993,3,905.0,988,17.4,10.4,63,8.82,12,7,299.0,325.1,300.5
00Z 01 Dec 1993,4,850.0,1520,13.0,6.0,62,6.94,350,8,299.8,320.6,301.0
00Z 01 Dec 1993,5,847.0,1550,12.8,5.8,62,6.87,349,8,299.8,320.4,301.1
00Z 01 Dec 1993,6,808.0,1943,8.4,3.4,71,6.08,337,10,299.2,317.5,300.3
00Z 01 Dec 1993,7,779.0,2249,14.4,-11.6,15,2.03,328,12,308.8,315.5,309.2
00Z 01 Dec 1993,8,700.0,3143,10.0,NA,NA,NA,300,16,313.5,NA,313.5
00Z 01 Dec 1993,9,647.0,3791,6.6,NA,NA,NA,298,19,316.8,NA,316.8
00Z 01 Dec 1993,10,600.0,4406,3.8,NA,NA,NA,295,22,320.5,NA,320.5
00Z 01 Dec 1993,11,569.0,4834,2.0,NA,NA,NA,294,24,323.2,NA,323.2
00Z 01 Dec 1993,12,552.0,5078,0.0,NA,NA,NA,293,25,323.7,NA,323.7
00Z 01 Dec 1993,13,509.0,5719,-5.5,NA,NA,NA,291,28,324.6,NA,324.6
00Z 01 Dec 1993,14,500.0,5860,-2.9,NA,NA,NA,290,29,329.4,NA,329.4
00Z 01 Dec 1993,15,483.0,6133,-6.7,NA,NA,NA,289,30,328.0,NA,328.0
00Z 01 Dec 1993,16,371.0,8131,-23.9,NA,NA,NA,281,40,330.9,NA,330.9
00Z 01 Dec 1993,17,327.0,9039,-32.1,NA,NA,NA,278,45,331.8,NA,331.8
00Z 01 Dec 1993,18,300.0,9640,-39.5,NA,NA,NA,275,48,329.6,NA,329.6
00Z 01 Dec 1993,19,273.0,7416,-41.1,NA,NA,NA,271,66,336.3,NA,336.3
