Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
12Z 04 Feb 1994,0,1000.0,115
12Z 04 Feb 1994,1,940.0,652,21.0,6.0,38,6.27,270,8,299.4,318.3,300.5
12Z 04 Feb 1994,2,925.0,781,18.8,5.8,43,6.29,270,12,298.5,317.4,299.7
12Z 04 Feb 1994,3,913.0,895,17.4,6.4,48,6.64,278,12,298.2,318.0,299.4
12Z 04 Feb 1994,4,850.0,1510,13.2,4.2,54,6.12,325,10,300.0,318.4,301.1
12Z 04 Feb 1994,5,789.0,2133,8.8,2.8,66,5.97,308,14,301.7,319.8,302.8
12Z 04 Feb 1994,6,773.0,2302,7.2,0.2,61,5.05,303,15,301.8,317.2,302.7
12Z 04 Feb 1994,7,747.0,2585,8.8,-15.2,17,1.58,295,17,306.4,311.7,306.8
12Z 04 Feb 1994,8,702.0,3097,6.2,-12.8,24,2.04,281,21,309.1,315.8,309.4
12Z 04 Feb 1994,9,700.0,3120,6.0,-12.0,26,2.19,280,21,309.1,316.3,309.5
12Z 04 Feb 1994,10,675.0,3417,3.6,-13.4,28,2.03,279,25,309.6,316.4,310.0
12Z 04 Feb 1994,11,651.0,3712,4.4,-17.6,18,1.48,278,29,313.8,318.9,314.1
12Z 04 Feb 1994,12,600.0,4372,0.0,-20.0,21,1.31,275,37,316.1,320.6,316.3
12Z 04 Feb 1994,13,500.0,5810,-9.5,-24.5,28,1.06,270,56,321.4,325.2,321.6
12Z 04 Feb 1994,14,481.0,6108,-11.1,-26.1,28,0.95,273,57,323.0,326.5,323.2
12Z 04 Feb 1994,15,435.0,6869,-17.7,-32.7,26,0.57,279,59,324.0,326.2,324.1
12Z 04 Feb 1994,16,400.0,7490,-22.9,NA,NA,NA,285,61,325.1,NA,325.1
12Z 04 Feb 1994,17,300.0,9520,-40.1,NA,NA,NA,240,58,328.7,NA,328.7
12Z 04 Feb 1994,18,292.0,9703,-41.9,NA,NA,NA,245,67,328.7,NA,328.7
12Z 04 Feb 1994,19,271.0,10210,-39.3,NA,NA,NA,260,90,339.6,NA,339.6
12Z 04 Feb 1994,20,250.0,10760,-40.1,NA,NA,NA,275,116,346.3,NA,346.3
12Z 04 Feb 1994,21,249.0,10787,-40.3,NA,NA,NA,NA,NA,346.4,NA,346.4
00Z 05 Feb 1994,0,1000.0,127
00Z 05 Feb 1994,1,940.0,652,11.2,9.7,90,8.10,0,0,289.4,312.5,290.8
00Z 05 Feb 1994,2,925.0,780,13.0,9.2,78,7.95,180,8,292.6,315.6,294.0
00Z 05 Feb 1994,3,897.0,1041,16.0,8.0,59,7.56,225,11,298.3,320.7,299.6
00Z 05 Feb 1994,4,850.0,1497,12.8,3.8,54,5.95,305,15,299.5,317.5,300.6
00Z 05 Feb 1994,5,848.0,1517,12.4,3.4,54,5.79,305,15,299.3,316.8,300.4
00Z 05 Feb 1994,6,817.0,1830,11.8,-13.2,16,1.70,305,16,301.9,307.4,302.2
00Z 05 Feb 1994,7,738.0,2679,9.4,-14.6,17,1.68,305,20,308.2,313.8,308.5
00Z 05 Feb 1994,8,711.0,2984,1.2,-9.8,44,2.57,305,21,302.4,310.6,302.9
00Z 05 Feb 1994,9,700.0,3111,6.0,-12.0,26,2.19,305,22,309.1,316.3,309.5
00Z 05 Feb 1994,10,635.0,3902,0.0,-11.0,43,2.61,291,30,311.0,319.6,311.5
00Z 05 Feb 1994,11,600.0,4354,-3.7,-14.7,42,2.05,282,35,311.8,318.6,312.2
00Z 05 Feb 1994,12,599.0,4368,-4.1,-15.1,42,1.99,282,35,311.5,318.1,311.9
00Z 05 Feb 1994,13,558.0,4927,-4.9,-21.9,25,1.19,271,42,316.9,321.1,317.1
00Z 05 Feb 1994,14,500.0,5780,-12.5,-25.5,33,0.97,255,51,317.7,321.2,317.9
00Z 05 Feb 1994,15,483.0,6042,-14.7,-26.7,35,0.90,255,51,318.2,321.4,318.4
00Z 05 Feb 1994,16,400.0,7430,-26.1,-37.1,35,0.40,255,52,321.0,322.5,321.1
00Z 05 Feb 1994,17,379.0,7818,-29.3,-41.3,30,0.27,257,54,321.7,322.8,321.8
00Z 05 Feb 1994,18,313.0,9152,-40.7,NA,NA,NA,264,61,323.9,NA,323.9
00Z 05 Feb 1994,19,300.0,9440,-41.3,NA,NA,NA,265,62,327.0,NA,327.0
00Z 05 Feb 1994,20,280.0,9908,-42.1,NA,NA,NA,261,71,332.4,NA,332.4
00Z 05 Feb 1994,21,250.0,10670,-45.9,NA,NA,NA,255,85,337.7,NA,337.7
00Z 05 Feb 1994,22,217.0,11609,-49.3,NA,NA,NA,261,135,346.4,NA,346.4
00Z 05 Feb 1994,23,200.0,12140,-53.9,NA,NA,NA,265,164,347.2,NA,347.2
00Z 05 Feb 1994,24,150.0,13930,-67.1,NA,NA,NA,NA,NA,354.3,NA,354.3
00Z 05 Feb 1994,25,131.0,14736,-74.1,NA,NA,NA,NA,NA,355.8,NA,355.8
00Z 05 Feb 1994,26,125.0,15012,-70.9,NA,NA,NA,NA,NA,366.4,NA,366.4
00Z 05 Feb 1994,27,115.0,15504,-73.5,NA,NA,NA,NA,NA,370.4,NA,370.4
00Z 05 Feb 1994,28,100.0,16310,-80.1,NA,NA,NA,NA,NA,372.7,NA,372.7
00Z 05 Feb 1994,29,70.0,18320,-79.9,NA,NA,NA,NA,NA,413.1,NA,413.1
00Z 05 Feb 1994,30,66.0,18653,-80.1,NA,NA,NA,NA,NA,419.7,NA,419.7
00Z 05 Feb 1994,31,55.0,19724,-64.7,NA,NA,NA,NA,NA,477.4,NA,477.4
12Z 05 Feb 1994,0,1000.0,99
12Z 05 Feb 1994,1,939.0,652,22.2,3.2,29,5.15,0,0,300.7,316.4,301.6
12Z 05 Feb 1994,2,925.0,772,21.6,8.6,43,7.63,305,3,301.4,324.3,302.8
12Z 05 Feb 1994,3,903.0,982,20.2,16.6,80,13.33,285,3,302.0,341.6,304.4
12Z 05 Feb 1994,4,850.0,1503,15.4,5.4,51,6.66,235,3,302.3,322.5,303.5
12Z 05 Feb 1994,5,837.0,1623,-33.9,-38.1,66,0.17,240,4,251.7,252.2,251.8
12Z 05 Feb 1994,6,836.0,1633,14.0,2.0,44,5.32,240,4,302.2,318.5,303.2
12Z 05 Feb 1994,7,798.0,2025,9.8,0.8,53,5.11,255,8,301.8,317.4,302.7
12Z 05 Feb 1994,8,753.0,2509,7.2,-12.8,23,1.91,272,12,304.0,310.2,304.4
12Z 05 Feb 1994,9,712.0,2972,6.0,-9.0,33,2.73,290,16,307.6,316.4,308.1
12Z 05 Feb 1994,10,700.0,3112,4.4,-9.6,35,2.65,295,17,307.3,315.9,307.8
12Z 05 Feb 1994,11,665.0,3527,0.0,-11.0,43,2.50,287,22,306.9,315.0,307.4
12Z 05 Feb 1994,12,657.0,3624,-1.1,-12.1,43,2.31,286,23,306.7,314.3,307.2
12Z 05 Feb 1994,13,600.0,4343,-5.5,-20.5,30,1.25,272,33,309.7,314.0,309.9
12Z 05 Feb 1994,14,554.0,4966,-9.3,-25.3,26,0.89,260,41,312.4,315.5,312.5
12Z 05 Feb 1994,15,500.0,5750,-16.1,-30.1,29,0.63,245,51,313.4,315.6,313.5
12Z 05 Feb 1994,16,465.0,6294,-20.1,-34.1,28,0.46,243,53,314.9,316.6,315.0
12Z 05 Feb 1994,17,400.0,7390,-31.1,-37.1,56,0.40,240,58,314.5,316.0,314.6
12Z 05 Feb 1994,18,332.0,8689,-40.1,-51.1,30,0.11,250,81,319.4,319.8,319.4
12Z 05 Feb 1994,19,304.0,9290,-41.7,NA,NA,NA,254,91,325.2,NA,325.2
12Z 05 Feb 1994,20,300.0,9380,-42.3,NA,NA,NA,255,93,325.6,NA,325.6
12Z 05 Feb 1994,21,250.0,10590,-49.5,NA,NA,NA,NA,NA,332.3,NA,332.3
12Z 05 Feb 1994,22,239.0,10883,-51.3,NA,NA,NA,NA,NA,333.9,NA,333.9
12Z 05 Feb 1994,23,200.0,12020,-58.1,NA,NA,NA,NA,NA,340.6,NA,340.6
12Z 05 Feb 1994,24,192.0,12276,-59.1,NA,NA,NA,NA,NA,343.0,NA,343.0
12Z 05 Feb 1994,25,171.0,12989,-66.3,NA,NA,NA,NA,NA,342.6,NA,342.6
12Z 05 Feb 1994,26,150.0,13770,-72.5,NA,NA,NA,NA,NA,345.0,NA,345.0
12Z 05 Feb 1994,27,137.0,14297,-76.5,NA,NA,NA,NA,NA,347.0,NA,347.0
00Z 06 Feb 1994,0,1000.0,131
00Z 06 Feb 1994,1,941.0,652,15.0,10.0,72,8.25,0,0,293.2,317.1,294.7
00Z 06 Feb 1994,2,925.0,789,16.2,14.2,88,11.12,360,3,295.9,328.1,297.9
00Z 06 Feb 1994,3,905.0,975,17.6,7.6,52,7.28,1,3,299.2,320.9,300.5
00Z 06 Feb 1994,4,850.0,1506,14.2,4.2,51,6.12,5,3,301.0,319.5,302.1
00Z 06 Feb 1994,5,831.0,1697,13.2,0.2,41,4.69,2,4,301.9,316.4,302.8
00Z 06 Feb 1994,6,768.0,2357,11.2,-6.8,28,3.00,352,7,306.6,316.3,307.2
00Z 06 Feb 1994,7,733.0,2744,7.6,-10.4,27,2.37,346,8,306.8,314.5,307.2
00Z 06 Feb 1994,8,714.0,2960,7.0,-16.0,18,1.55,343,9,308.4,313.6,308.7
00Z 06 Feb 1994,9,700.0,3122,5.0,-15.0,22,1.71,340,10,308.0,313.7,308.3
00Z 06 Feb 1994,10,658.0,3621,0.0,-14.0,34,1.98,324,16,307.9,314.4,308.2
00Z 06 Feb 1994,11,600.0,4352,-5.1,-14.1,49,2.15,301,26,310.2,317.3,310.6
00Z 06 Feb 1994,12,540.0,5168,-12.1,-25.1,33,0.93,274,36,311.3,314.5,311.5
00Z 06 Feb 1994,13,508.0,5631,-15.9,-20.8,66,1.44,259,42,312.2,317.1,312.4
00Z 06 Feb 1994,14,500.0,5750,-16.5,-20.7,70,1.48,255,44,312.9,317.9,313.1
00Z 06 Feb 1994,15,461.0,6359,-19.7,-23.1,74,1.30,255,45,316.2,320.7,316.5
00Z 06 Feb 1994,16,400.0,7400,-27.5,-30.3,77,0.77,255,47,319.2,322.0,319.3
00Z 06 Feb 1994,17,356.0,8231,-33.1,-36.1,74,0.49,257,75,322.4,324.3,322.5
00Z 06 Feb 1994,18,321.0,8958,-35.5,-39.3,68,0.40,259,100,328.8,330.4,328.9
00Z 06 Feb 1994,19,300.0,9430,-35.3,-41.3,54,0.34,260,116,335.5,336.9,335.6
00Z 06 Feb 1994,20,296.0,9524,-35.3,-41.3,54,0.35,256,121,336.8,338.2,336.9
00Z 06 Feb 1994,21,279.0,9932,-37.9,-45.7,44,0.23,240,142,338.8,339.7,338.8
00Z 06 Feb 1994,22,268.0,10209,-39.7,-48.7,38,0.17,249,128,340.1,340.8,340.1
00Z 06 Feb 1994,23,250.0,10680,-44.5,NA,NA,NA,265,105,339.8,NA,339.8
00Z 06 Feb 1994,24,219.0,11548,-53.7,NA,NA,NA,262,113,338.7,NA,338.7
00Z 06 Feb 1994,25,200.0,12130,-54.7,NA,NA,NA,260,118,346.0,NA,346.0
00Z 06 Feb 1994,26,173.0,13048,-56.1,NA,NA,NA,NA,NA,358.3,NA,358.3
00Z 06 Feb 1994,27,150.0,13930,-64.9,NA,NA,NA,NA,NA,358.1,NA,358.1
00Z 06 Feb 1994,28,100.0,16380,-77.5,NA,NA,NA,NA,NA,377.7,NA,377.7
00Z 06 Feb 1994,29,85.0,17299,-80.3,NA,NA,NA,NA,NA,390.0,NA,390.0
00Z 06 Feb 1994,30,70.0,18390,-80.3,NA,NA,NA,NA,NA,412.3,NA,412.3
00Z 06 Feb 1994,31,58.0,19476,-71.3,NA,NA,NA,NA,NA,455.3,NA,455.3
00Z 06 Feb 1994,32,22.0,25425,-55.7,NA,NA,NA,NA,NA,647.1,NA,647.1
00Z 09 Feb 1994,0,1000.0,91
00Z 09 Feb 1994,1,936.0,652,15.0,11.3,79,9.06,0,0,293.6,319.8,295.2
00Z 09 Feb 1994,2,925.0,778,13.4,12.2,92,9.74,105,5,293.0,321.0,294.7
00Z 09 Feb 1994,3,915.0,866,13.4,11.5,88,9.39,113,5,293.9,321.1,295.6
00Z 09 Feb 1994,4,872.0,1257,12.4,11.4,94,9.80,150,6,296.9,325.6,298.7
00Z 09 Feb 1994,5,850.0,1463,11.4,5.4,67,6.66,170,6,298.1,317.9,299.3
00Z 09 Feb 1994,6,838.0,1582,10.6,5.8,72,6.95,176,6,298.4,319.1,299.7
00Z 09 Feb 1994,7,717.0,2866,3.8,2.0,88,6.20,244,10,304.6,323.6,305.7
00Z 09 Feb 1994,8,700.0,3060,2.2,0.5,89,5.71,255,11,304.9,322.5,305.9
00Z 09 Feb 1994,9,660.0,3532,0.0,-3.1,80,4.63,252,14,307.6,322.2,308.4
00Z 09 Feb 1994,10,600.0,4287,-4.3,-5.6,91,4.22,248,18,311.1,324.6,311.9
00Z 09 Feb 1994,11,528.0,5283,-9.1,-20.1,41,1.48,242,24,316.9,322.0,317.2
00Z 09 Feb 1994,12,500.0,5700,-13.1,-21.1,51,1.43,240,27,317.0,322.0,317.3
00Z 09 Feb 1994,13,429.0,6855,-21.7,-36.7,24,0.39,247,34,320.2,321.7,320.3
00Z 09 Feb 1994,14,408.0,7217,-34.5,-37.7,73,0.37,249,36,308.3,309.6,308.4
00Z 09 Feb 1994,15,400.0,7360,-23.5,-46.5,10,0.15,250,37,324.4,325.0,324.4
00Z 09 Feb 1994,16,371.0,7909,-28.7,-32.5,70,0.68,252,48,324.5,327.0,324.6
00Z 09 Feb 1994,17,341.0,8513,-32.3,-44.3,29,0.22,253,60,327.5,328.4,327.6
00Z 09 Feb 1994,18,250.0,10670,-43.1,-49.6,49,0.17,260,104,341.9,342.6,341.9
00Z 09 Feb 1994,19,223.0,11426,-49.3,-51.5,77,0.15,263,120,343.7,344.3,343.7
00Z 09 Feb 1994,20,200.0,12130,-53.5,-53.4,101,0.13,265,136,347.9,348.5,347.9
00Z 09 Feb 1994,21,172.0,12231,-59.3,-56.0,151,0.11,NA,NA,353.6,354.1,353.6
00Z 09 Feb 1994,22,150.0,12330,-15.3,-58.3,1,0.10,NA,NA,443.4,443.9,443.4
00Z 09 Feb 1994,23,115.0,15043,-82.5,NA,NA,NA,NA,NA,353.7,NA,353.7
00Z 09 Feb 1994,24,100.0,16260,-81.5,NA,NA,NA,NA,NA,370.0,NA,370.0
00Z 09 Feb 1994,25,90.0,16843,-86.5,NA,NA,NA,NA,NA,371.4,NA,371.4
00Z 09 Feb 1994,26,70.0,18230,-82.9,NA,NA,NA,NA,NA,406.7,NA,406.7
00Z 09 Feb 1994,27,54.0,19722,-70.7,NA,NA,NA,NA,NA,466.1,NA,466.1
12Z 11 Feb 1994,0,1000.0,74
12Z 11 Feb 1994,1,936.0,652,22.0,7.0,38,6.75,0,0,300.8,321.1,302.0
12Z 11 Feb 1994,2,925.0,720,21.0,8.0,43,7.32,320,4,300.8,322.8,302.1
12Z 11 Feb 1994,3,850.0,1477,31.6,28.0,81,29.07,315,8,319.2,413.4,324.7
12Z 11 Feb 1994,4,700.0,3068,-0.5,-13.5,37,1.94,270,25,301.9,308.1,302.2
12Z 11 Feb 1994,5,500.0,5710,21.2,NA,NA,NA,NA,NA,358.8,NA,358.8
00Z 12 Feb 1994,0,1000.0,99
00Z 12 Feb 1994,1,937.0,652,14.0,9.2,73,7.85,0,0,292.5,315.2,293.9
00Z 12 Feb 1994,2,925.0,740,16.6,12.5,77,9.94,160,4,296.3,325.2,298.1
00Z 12 Feb 1994,3,880.0,1166,13.4,1.4,44,4.84,181,5,297.2,311.8,298.1
00Z 12 Feb 1994,4,825.0,1710,9.4,2.4,62,5.54,209,7,298.5,315.2,299.5
00Z 12 Feb 1994,5,725.0,2778,2.6,0.0,83,5.31,265,10,302.3,318.5,303.3
00Z 12 Feb 1994,6,700.0,3063,0.6,-2.1,82,4.71,280,11,303.1,317.7,304.0
00Z 12 Feb 1994,7,698.0,3086,0.0,-2.9,81,4.45,280,11,302.7,316.4,303.5
00Z 12 Feb 1994,8,606.0,4204,-5.7,-23.7,23,0.94,280,13,308.6,311.8,308.8
00Z 12 Feb 1994,9,590.0,4414,-4.9,NA,NA,NA,280,13,311.9,NA,311.9
00Z 12 Feb 1994,10,500.0,5690,-13.9,NA,NA,NA,280,15,316.0,NA,316.0
00Z 12 Feb 1994,11,449.0,6505,-18.5,NA,NA,NA,282,16,320.1,NA,320.1
00Z 12 Feb 1994,12,400.0,7360,-25.5,NA,NA,NA,285,18,321.8,NA,321.8
00Z 12 Feb 1994,13,383.0,7672,-28.7,NA,NA,NA,283,18,321.6,NA,321.6
00Z 12 Feb 1994,14,300.0,9380,-38.1,NA,NA,NA,275,21,331.6,NA,331.6
00Z 12 Feb 1994,15,250.0,10670,-45.1,NA,NA,NA,NA,NA,338.9,NA,338.9
00Z 12 Feb 1994,16,246.0,10778,-45.3,NA,NA,NA,NA,NA,340.1,NA,340.1
00Z 14 Feb 1994,0,1000.0,131
00Z 14 Feb 1994,1,941.0,652,15.0,10.0,72,8.25,0,0,293.2,317.1,294.7
00Z 14 Feb 1994,2,925.0,785,14.2,10.2,77,8.51,115,8,293.8,318.5,295.3
00Z 14 Feb 1994,3,900.0,1019,14.0,12.6,91,10.28,138,8,295.9,325.8,297.8
00Z 14 Feb 1994,4,850.0,1506,12.8,10.4,85,9.40,185,8,299.5,327.4,301.2
00Z 14 Feb 1994,5,815.0,1858,11.4,9.1,86,8.98,204,10,301.7,328.5,303.3
00Z 14 Feb 1994,6,760.0,2437,6.6,5.0,90,7.25,237,12,302.6,324.5,303.9
00Z 14 Feb 1994,7,700.0,3109,4.8,-15.2,22,1.68,275,15,307.8,313.4,308.1
00Z 14 Feb 1994,8,697.0,3144,4.4,-17.6,18,1.38,275,16,307.7,312.4,308.0
00Z 14 Feb 1994,9,642.0,3807,0.0,NA,NA,NA,274,28,310.0,NA,310.0
