Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
12Z 01 Mar 1994,0,1000.0,90
12Z 01 Mar 1994,1,939.0,652,24.0,-2.0,18,3.53,315,6,302.5,313.6,303.2
12Z 01 Mar 1994,2,925.0,768,22.8,0.8,23,4.40,320,13,302.6,316.3,303.4
12Z 01 Mar 1994,3,850.0,1511,16.6,1.6,36,5.08,260,14,303.5,319.2,304.4
12Z 01 Mar 1994,4,769.0,2353,9.4,-1.6,46,4.45,263,19,304.6,318.4,305.4
12Z 01 Mar 1994,5,700.0,3125,4.0,-15.0,24,1.71,265,23,306.9,312.6,307.2
12Z 01 Mar 1994,6,674.0,3433,2.8,-18.2,20,1.36,270,25,308.9,313.5,309.1
12Z 01 Mar 1994,7,620.0,4106,0.0,NA,NA,NA,279,30,313.1,NA,313.1
12Z 01 Mar 1994,8,600.0,4368,-1.7,NA,NA,NA,283,32,314.1,NA,314.1
12Z 01 Mar 1994,9,500.0,5790,-13.3,NA,NA,NA,305,43,316.8,NA,316.8
12Z 01 Mar 1994,10,400.0,7450,-27.5,NA,NA,NA,320,56,319.2,NA,319.2
12Z 01 Mar 1994,11,304.0,9361,-43.5,NA,NA,NA,282,67,322.7,NA,322.7
12Z 01 Mar 1994,12,300.0,9450,-43.5,NA,NA,NA,280,68,323.9,NA,323.9
12Z 01 Mar 1994,13,273.0,10090,-44.3,NA,NA,NA,280,72,331.6,NA,331.6
12Z 01 Mar 1994,14,270.0,10164,-44.9,NA,NA,NA,280,73,331.8,NA,331.8
12Z 01 Mar 1994,15,250.0,10680,-49.3,NA,NA,NA,290,72,332.6,NA,332.6
00Z 02 Mar 1994,0,1000.0,136
00Z 02 Mar 1994,1,942.0,652,13.0,5.0,58,5.84,0,0,291.1,308.1,292.1
00Z 02 Mar 1994,2,925.0,789,13.8,2.8,47,5.09,5,4,293.4,308.5,294.3
00Z 02 Mar 1994,3,907.0,957,15.2,0.2,36,4.30,348,6,296.5,309.5,297.3
00Z 02 Mar 1994,4,850.0,1511,15.0,-6.0,23,2.89,290,12,301.9,311.0,302.4
00Z 02 Mar 1994,5,841.0,1601,15.0,14.3,96,12.33,290,13,302.8,339.5,305.0
00Z 02 Mar 1994,6,799.0,2031,9.2,-3.8,40,3.63,292,17,301.1,312.3,301.7
00Z 02 Mar 1994,7,769.0,2348,9.2,-13.8,18,1.72,293,21,304.4,310.0,304.7
00Z 02 Mar 1994,8,723.0,2858,9.2,NA,NA,NA,294,26,309.8,NA,309.8
