Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 01 Apr 1994,0,1000.0,66
00Z 01 Apr 1994,1,936.0,652,25.4,9.4,36,7.97,225,8,304.2,328.5,305.7
00Z 01 Apr 1994,2,925.0,1276,25.8,11.8,42,9.48,280,10,305.7,334.5,307.4
00Z 01 Apr 1994,3,905.0,1334,27.0,15.0,48,11.99,275,10,308.8,345.5,311.1
00Z 01 Apr 1994,4,850.0,1499,22.8,12.8,53,11.04,260,10,310.0,344.0,312.1
00Z 01 Apr 1994,5,837.0,1633,22.2,12.2,53,10.78,262,11,310.8,344.1,312.8
00Z 01 Apr 1994,6,773.0,2319,17.6,5.6,45,7.43,270,16,312.9,336.4,314.4
00Z 01 Apr 1994,7,700.0,3154,9.2,2.2,62,6.45,280,23,312.6,333.1,313.9
00Z 01 Apr 1994,8,612.0,4254,0.0,-4.3,73,4.57,274,31,314.3,329.1,315.2
00Z 01 Apr 1994,9,600.0,4414,-1.3,-5.3,74,4.32,273,32,314.6,328.6,315.4
00Z 01 Apr 1994,10,501.0,5825,-13.5,-17.5,72,1.94,265,43,316.3,323.0,316.7
00Z 01 Apr 1994,11,500.0,5840,-13.3,-17.7,69,1.91,265,43,316.8,323.3,317.1
00Z 01 Apr 1994,12,477.0,6198,-12.5,-19.5,56,1.72,263,46,322.0,328.1,322.4
00Z 01 Apr 1994,13,400.0,7510,-22.7,-33.7,36,0.56,255,59,325.4,327.5,325.5
00Z 01 Apr 1994,14,335.0,8794,-31.5,-43.5,30,0.24,249,87,330.3,331.3,330.3
00Z 01 Apr 1994,15,300.0,9570,-36.7,NA,NA,NA,245,105,333.5,NA,333.5
00Z 01 Apr 1994,16,250.0,10820,-45.3,NA,NA,NA,245,78,338.6,NA,338.6
00Z 01 Apr 1994,17,200.0,12280,-55.9,NA,NA,NA,250,101,344.1,NA,344.1
00Z 01 Apr 1994,18,195.0,12440,-56.7,NA,NA,NA,250,99,345.3,NA,345.3
00Z 01 Apr 1994,19,161.0,13636,-62.1,NA,NA,NA,246,87,355.6,NA,355.6
00Z 01 Apr 1994,20,150.0,14070,-63.5,NA,NA,NA,245,82,360.5,NA,360.5
00Z 01 Apr 1994,21,108.0,16054,-70.5,NA,NA,NA,NA,NA,382.8,NA,382.8
00Z 01 Apr 1994,22,100.0,16510,-71.3,NA,NA,NA,NA,NA,389.7,NA,389.7
00Z 01 Apr 1994,23,87.0,17369,-72.7,NA,NA,NA,NA,NA,402.7,NA,402.7
00Z 01 Apr 1994,24,70.0,18760,-56.7,NA,NA,NA,NA,NA,462.7,NA,462.7
00Z 01 Apr 1994,25,62.0,19531,-55.3,NA,NA,NA,NA,NA,482.2,NA,482.2
00Z 02 Apr 1994,0,1000.0,67
00Z 02 Apr 1994,1,936.0,652,22.0,14.0,60,10.84,225,6,300.8,332.9,302.7
00Z 02 Apr 1994,2,925.0,740,22.0,13.0,57,10.27,225,12,301.8,332.4,303.7
00Z 02 Apr 1994,3,886.0,1116,22.4,7.4,38,7.34,243,9,305.9,328.5,307.3
00Z 02 Apr 1994,4,850.0,1476,20.8,5.8,38,6.85,260,7,307.9,329.2,309.2
00Z 02 Apr 1994,5,823.0,1754,19.4,5.4,40,6.88,261,9,309.3,330.8,310.6
00Z 02 Apr 1994,6,756.0,2476,13.0,7.0,67,8.38,263,15,310.0,335.9,311.5
00Z 02 Apr 1994,7,700.0,3117,8.0,2.0,66,6.36,265,20,311.3,331.3,312.5
00Z 02 Apr 1994,8,625.0,4041,0.0,-5.0,69,4.24,267,25,312.4,326.1,313.2
00Z 02 Apr 1994,9,600.0,4367,-2.9,-7.5,71,3.65,267,26,312.7,324.6,313.4
00Z 02 Apr 1994,10,589.0,4514,-4.5,-8.9,71,3.33,268,27,312.5,323.4,313.1
00Z 02 Apr 1994,11,543.0,5152,-7.3,-23.3,27,1.08,269,31,316.5,320.4,316.7
00Z 02 Apr 1994,12,500.0,5790,-12.1,-28.1,25,0.76,270,34,318.2,321.0,318.4
00Z 02 Apr 1994,13,462.0,6391,-16.3,-32.3,24,0.55,259,38,320.3,322.3,320.4
00Z 02 Apr 1994,14,400.0,7460,-24.5,NA,NA,NA,240,46,323.1,NA,323.1
00Z 02 Apr 1994,15,300.0,9480,-41.9,NA,NA,NA,245,52,326.2,NA,326.2
00Z 02 Apr 1994,16,273.0,10110,-46.7,NA,NA,NA,240,55,328.1,NA,328.1
00Z 02 Apr 1994,17,250.0,10690,-48.5,NA,NA,NA,235,58,333.8,NA,333.8
00Z 02 Apr 1994,18,200.0,12140,-53.5,NA,NA,NA,NA,NA,347.9,NA,347.9
00Z 02 Apr 1994,19,151.0,13919,-58.9,NA,NA,NA,NA,NA,367.7,NA,367.7
00Z 02 Apr 1994,20,150.0,13960,-59.9,NA,NA,NA,NA,NA,366.7,NA,366.7
00Z 02 Apr 1994,21,119.0,15384,-68.5,NA,NA,NA,NA,NA,376.0,NA,376.0
00Z 02 Apr 1994,22,100.0,16430,-69.5,NA,NA,NA,NA,NA,393.2,NA,393.2
00Z 02 Apr 1994,23,96.0,16673,-67.3,NA,NA,NA,NA,NA,402.1,NA,402.1
00Z 02 Apr 1994,24,78.0,17891,-74.5,NA,NA,NA,NA,NA,411.8,NA,411.8
00Z 02 Apr 1994,25,70.0,18520,-71.3,NA,NA,NA,NA,NA,431.5,NA,431.5
00Z 02 Apr 1994,26,50.0,20570,-58.3,NA,NA,NA,NA,NA,505.7,NA,505.7
00Z 02 Apr 1994,27,49.0,20697,-56.7,NA,NA,NA,NA,NA,512.4,NA,512.4
00Z 02 Apr 1994,28,42.0,21666,-59.5,NA,NA,NA,NA,NA,528.5,NA,528.5
00Z 02 Apr 1994,29,35.0,22817,-55.1,NA,NA,NA,NA,NA,568.2,NA,568.2
00Z 02 Apr 1994,30,30.0,23800,-54.7,NA,NA,NA,NA,NA,594.9,NA,594.9
00Z 02 Apr 1994,31,24.0,25235,-53.9,NA,NA,NA,NA,NA,636.4,NA,636.4
00Z 02 Apr 1994,32,20.0,26420,-49.7,NA,NA,NA,NA,NA,683.3,NA,683.3
00Z 02 Apr 1994,33,13.0,29293,-40.9,NA,NA,NA,NA,NA,803.2,NA,803.2
12Z 02 Apr 1994,0,1000.0,46
12Z 02 Apr 1994,1,934.0,652,25.0,21.6,81,17.74,0,0,304.0,357.1,307.2
12Z 02 Apr 1994,2,925.0,726,25.2,9.2,36,7.95,220,6,305.1,329.3,306.5
12Z 02 Apr 1994,3,907.0,899,25.4,10.4,39,8.80,220,7,307.0,334.0,308.6
12Z 02 Apr 1994,4,850.0,1466,22.8,6.8,36,7.34,220,12,310.0,332.9,311.4
