Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 01 May 1994,0,1000.0,66
00Z 01 May 1994,1,935.0,652,21.0,10.0,49,8.31,0,0,299.9,324.6,301.4
00Z 01 May 1994,2,925.0,738,21.4,10.4,49,8.63,195,8,301.2,327.0,302.8
00Z 01 May 1994,3,886.0,1117,23.6,7.6,36,7.44,208,9,307.2,330.1,308.6
00Z 01 May 1994,4,850.0,1483,22.0,6.0,35,6.94,220,10,309.2,330.8,310.5
00Z 01 May 1994,5,816.0,1837,20.4,3.4,33,6.02,250,11,311.1,330.1,312.2
00Z 01 May 1994,6,752.0,2538,15.4,6.4,55,8.08,311,12,313.0,338.4,314.6
00Z 01 May 1994,7,700.0,3143,11.0,-4.0,35,4.08,5,13,314.6,327.9,315.4
00Z 01 May 1994,8,696.0,3191,10.6,-4.4,35,3.98,5,13,314.7,327.7,315.5
00Z 01 May 1994,9,611.0,4261,3.8,-3.2,60,4.97,3,8,318.8,335.1,319.8
00Z 01 May 1994,10,600.0,4408,2.4,-5.6,56,4.22,3,7,318.9,332.8,319.7
00Z 01 May 1994,11,577.0,4723,0.0,-10.0,47,3.12,2,6,319.6,330.1,320.2
00Z 01 May 1994,12,529.0,5410,-5.5,-18.5,35,1.69,1,2,321.1,327.0,321.4
00Z 01 May 1994,13,500.0,5850,-8.1,-20.1,37,1.56,0,0,323.1,328.6,323.4
00Z 01 May 1994,14,451.0,6650,-12.5,-21.5,47,1.53,314,9,327.2,332.8,327.5
00Z 01 May 1994,15,400.0,7560,-19.5,-28.5,45,0.92,260,19,329.6,333.0,329.7
00Z 01 May 1994,16,350.0,8530,-28.5,-36.5,46,0.48,251,42,330.2,332.1,330.3
00Z 01 May 1994,17,300.0,9630,-27.9,NA,NA,NA,240,69,345.9,NA,345.9
00Z 01 May 1994,18,250.0,10920,-37.3,NA,NA,NA,215,54,350.5,NA,350.5
00Z 01 May 1994,19,203.0,12320,-49.8,NA,NA,NA,230,74,352.2,NA,352.2
00Z 01 May 1994,20,200.0,12420,-50.7,NA,NA,NA,225,68,352.3,NA,352.3
00Z 01 May 1994,21,150.0,14230,-66.9,NA,NA,NA,235,11,354.6,NA,354.6
00Z 01 May 1994,22,100.0,16600,-77.1,NA,NA,NA,230,27,378.5,NA,378.5
00Z 01 May 1994,23,70.0,18620,-76.5,NA,NA,NA,NA,NA,420.4,NA,420.4
00Z 01 May 1994,24,30.0,23830,20.6,NA,NA,NA,NA,NA,800.0,NA,800.0
12Z 01 May 1994,0,1000.0,25
12Z 01 May 1994,1,933.0,652,33.2,11.2,26,9.03,45,6,312.5,340.8,314.2
12Z 01 May 1994,2,925.0,719,32.4,7.4,21,7.03,110,5,312.4,334.6,313.8
12Z 01 May 1994,3,904.0,836,30.4,2.4,17,5.06,105,4,312.4,328.6,313.4
12Z 01 May 1994,4,850.0,1148,26.0,4.0,24,6.03,90,3,313.4,332.6,314.5
12Z 01 May 1994,5,777.0,2163,19.0,-3.0,22,3.96,85,6,314.0,326.9,314.7
12Z 01 May 1994,6,700.0,3314,12.0,-6.0,28,3.51,80,10,315.7,327.3,316.4
12Z 01 May 1994,7,612.0,4353,3.4,-9.6,38,3.03,NA,NA,318.2,328.4,318.8
