Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 02 Jun 1994,0,1000.0,-27
00Z 02 Jun 1994,1,927.0,652,29.8,15.8,43,12.32,225,6,309.6,347.4,311.9
00Z 02 Jun 1994,2,925.0,677,29.6,15.6,43,12.19,225,11,309.6,347.0,311.8
00Z 02 Jun 1994,3,850.0,1419,29.0,13.0,37,11.19,255,14,316.5,351.9,318.6
00Z 02 Jun 1994,4,700.0,3164,18.0,6.0,45,8.45,270,16,322.4,349.9,324.0
00Z 02 Jun 1994,5,500.0,5870,-4.9,-14.9,45,2.42,305,27,327.0,335.5,327.5
00Z 02 Jun 1994,6,400.0,7610,-10.3,NA,NA,NA,240,10,341.5,NA,341.5
00Z 02 Jun 1994,7,300.0,9750,-29.3,NA,NA,NA,275,20,344.0,NA,344.0
00Z 02 Jun 1994,8,250.0,11030,-39.3,NA,NA,NA,265,5,347.5,NA,347.5
00Z 02 Jun 1994,9,200.0,12510,-52.9,NA,NA,NA,275,4,348.8,NA,348.8
00Z 02 Jun 1994,10,150.0,14340,-70.9,NA,NA,NA,190,8,347.8,NA,347.8
12Z 02 Jun 1994,0,925.0,652,36.0,16.0,31,12.51,NA,NA,316.1,355.6,318.5
12Z 02 Jun 1994,1,885.0,1055,34.4,20.4,44,17.37,NA,NA,318.5,373.7,321.8
12Z 02 Jun 1994,2,841.0,1515,31.4,6.4,21,7.22,NA,NA,320.0,343.5,321.4
12Z 02 Jun 1994,3,767.0,2329,23.6,2.6,25,6.05,NA,NA,320.1,339.9,321.3
12Z 02 Jun 1994,4,700.0,3123,21.2,6.2,38,8.57,NA,NA,325.9,354.2,327.6
12Z 02 Jun 1994,5,600.0,4417,4.0,-5.0,52,4.42,NA,NA,320.7,335.4,321.6
12Z 02 Jun 1994,6,582.0,4664,1.0,-5.0,64,4.56,NA,NA,320.0,335.1,320.9
12Z 02 Jun 1994,7,565.0,4902,0.0,-8.0,55,3.72,NA,NA,321.6,334.1,322.3
12Z 02 Jun 1994,8,529.0,5428,-1.7,-9.7,54,3.48,NA,NA,325.6,337.5,326.3
12Z 02 Jun 1994,9,499.0,5891,-3.5,-22.5,21,1.27,NA,NA,328.9,333.5,329.1
12Z 02 Jun 1994,10,409.0,7443,-9.9,NA,NA,NA,NA,NA,339.9,NA,339.9
12Z 02 Jun 1994,11,271.0,10490,-30.5,NA,NA,NA,NA,NA,352.4,NA,352.4
12Z 02 Jun 1994,12,231.0,11601,-40.5,NA,NA,NA,NA,NA,353.6,NA,353.6
00Z 03 Jun 1994,0,1000.0,-46
00Z 03 Jun 1994,1,926.0,652,30.2,21.2,59,17.45,225,6,310.1,363.7,313.3
00Z 03 Jun 1994,2,925.0,645,21.2,12.2,56,9.74,250,8,301.0,330.0,302.7
00Z 03 Jun 1994,3,900.0,889,30.0,10.0,29,8.63,256,7,312.4,339.5,314.0
00Z 03 Jun 1994,4,850.0,1404,28.8,7.8,27,7.87,270,6,316.3,341.4,317.8
00Z 03 Jun 1994,5,835.0,1562,28.2,7.2,27,7.68,274,6,317.3,341.9,318.8
