Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 01 Jul 1993,0,1000.0,-16
00Z 01 Jul 1993,1,927.0,652,23.8,21.6,88,17.87,225,4,303.4,356.8,306.7
00Z 01 Jul 1993,2,925.0,669,23.8,21.6,88,17.91,230,6,303.6,357.1,306.9
00Z 01 Jul 1993,3,898.0,930,24.0,20.9,83,17.67,248,10,306.4,359.8,309.7
00Z 01 Jul 1993,4,863.0,1280,25.8,16.8,58,14.15,271,14,311.8,355.6,314.4
00Z 01 Jul 1993,5,852.0,1393,21.0,14.0,64,11.93,279,16,307.9,344.3,310.1
00Z 01 Jul 1993,6,850.0,1413,21.0,14.0,64,11.96,280,16,308.1,344.6,310.3
00Z 01 Jul 1993,7,809.0,1841,20.2,13.2,64,11.92,291,17,311.7,348.6,313.9
00Z 01 Jul 1993,8,700.0,3075,13.0,8.0,72,9.71,325,18,316.9,347.7,318.7
00Z 01 Jul 1993,9,655.0,3632,10.2,6.4,77,9.29,325,15,319.8,349.6,321.6
00Z 01 Jul 1993,10,623.0,4046,6.4,1.4,70,6.85,325,12,320.0,342.3,321.3
00Z 01 Jul 1993,11,600.0,4354,4.8,-1.2,65,5.88,325,11,321.6,341.0,322.8
00Z 01 Jul 1993,12,567.0,4814,2.2,-3.8,65,5.12,325,8,323.8,340.9,324.8
00Z 01 Jul 1993,13,537.0,5251,0.0,-13.0,37,2.63,325,5,326.2,335.4,326.8
00Z 01 Jul 1993,14,524.0,5447,-1.1,-19.1,24,1.62,325,4,327.2,333.0,327.5
00Z 01 Jul 1993,15,500.0,5820,-2.3,-9.3,59,3.80,325,2,330.2,343.4,330.9
00Z 01 Jul 1993,16,497.0,5868,-2.5,-9.5,59,3.76,321,2,330.5,343.6,331.2
00Z 01 Jul 1993,17,438.0,6857,-10.7,-19.7,48,1.84,230,4,332.3,338.9,332.6
