Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
12Z 01 Aug 1993,0,1000.0,-46
12Z 01 Aug 1993,1,925.0,652,28.0,23.0,74,19.56,45,12,307.9,367.5,311.5
12Z 01 Aug 1993,2,850.0,1396,24.2,19.2,74,16.77,45,20,311.5,363.2,314.6
12Z 01 Aug 1993,3,834.0,1563,23.8,18.8,74,16.67,46,21,312.8,364.5,315.9
12Z 01 Aug 1993,4,797.0,1959,20.2,15.6,75,14.19,48,22,313.0,357.1,315.7
12Z 01 Aug 1993,5,700.0,3077,16.8,12.4,75,13.10,55,27,321.1,363.1,323.6
12Z 01 Aug 1993,6,664.0,3528,15.4,11.6,78,13.10,82,23,324.4,366.9,326.9
12Z 01 Aug 1993,7,620.0,4106,11.0,5.0,66,8.90,118,19,325.7,355.1,327.5
12Z 01 Aug 1993,8,600.0,4380,10.0,4.0,66,8.57,135,16,327.6,356.1,329.3
12Z 01 Aug 1993,9,526.0,5467,5.4,-1.6,61,6.51,204,7,334.7,357.1,336.0
12Z 01 Aug 1993,10,500.0,5880,2.4,-4.6,60,5.47,230,4,335.9,355.0,337.0
12Z 01 Aug 1993,11,483.0,6159,0.0,-7.0,59,4.71,220,4,336.3,352.8,337.2
12Z 01 Aug 1993,12,400.0,7640,-11.3,-18.3,56,2.27,165,4,340.2,348.6,340.7
12Z 01 Aug 1993,13,392.0,7795,-12.9,-20.9,51,1.86,159,4,340.1,347.0,340.5
12Z 01 Aug 1993,14,378.0,8072,-13.1,-23.1,43,1.59,147,5,343.4,349.4,343.7
12Z 01 Aug 1993,15,353.0,8587,-19.9,-29.9,41,0.91,126,7,341.0,344.6,341.2
12Z 01 Aug 1993,16,336.0,8953,-20.9,-31.9,37,0.79,110,8,344.5,347.6,344.6
12Z 01 Aug 1993,17,303.0,9708,-26.7,-39.7,28,0.40,78,11,346.6,348.3,346.7
12Z 01 Aug 1993,18,300.0,9780,-26.9,-41.9,23,0.32,75,11,347.4,348.7,347.4
12Z 01 Aug 1993,19,250.0,11070,-34.5,NA,NA,NA,5,16,354.6,NA,354.6
12Z 01 Aug 1993,20,247.0,11154,-35.1,NA,NA,NA,NA,NA,355.0,NA,355.0
12Z 01 Aug 1993,21,236.0,11468,-41.3,NA,NA,NA,NA,NA,350.2,NA,350.2
