Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 02 Sep 1993,0,1000.0,51
00Z 02 Sep 1993,1,934.0,652,22.8,22.7,99,19.01,0,0,301.8,358.1,305.2
00Z 02 Sep 1993,2,925.0,675,22.8,19.1,80,15.29,245,3,302.6,348.1,305.4
00Z 02 Sep 1993,3,896.0,969,22.2,19.8,86,16.51,232,4,304.8,354.3,307.8
00Z 02 Sep 1993,4,850.0,1454,20.2,18.0,87,15.53,210,6,307.3,354.4,310.1
00Z 02 Sep 1993,5,835.0,1607,19.8,17.4,86,15.21,213,6,308.4,354.8,311.2
00Z 02 Sep 1993,6,727.0,2781,13.8,11.2,84,11.62,234,7,314.3,350.7,316.5
00Z 02 Sep 1993,7,700.0,3097,11.6,10.8,95,11.76,240,7,315.3,352.2,317.5
00Z 02 Sep 1993,8,632.0,3940,4.6,3.2,91,7.68,242,9,316.7,341.2,318.1
00Z 02 Sep 1993,9,600.0,4363,4.8,2.6,86,7.75,242,11,321.6,346.9,323.1
00Z 02 Sep 1993,10,589.0,4514,4.6,2.2,84,7.68,243,11,323.1,348.2,324.6
00Z 02 Sep 1993,11,549.0,5084,1.6,1.3,98,7.72,244,13,326.1,351.7,327.6
00Z 02 Sep 1993,12,528.0,5397,0.0,-2.6,83,6.02,244,14,327.8,348.1,329.0
00Z 02 Sep 1993,13,500.0,5830,-2.7,-5.2,83,5.23,245,15,329.7,347.5,330.7
00Z 02 Sep 1993,14,479.0,6170,-5.1,-7.7,82,4.50,NA,NA,330.8,346.3,331.7
00Z 02 Sep 1993,15,447.0,6712,-8.7,-11.4,81,3.60,NA,NA,332.9,345.5,333.6
00Z 02 Sep 1993,16,400.0,7570,-13.1,-13.2,99,3.48,NA,NA,337.9,350.3,338.6
12Z 02 Sep 1993,0,1000.0,27
12Z 02 Sep 1993,1,932.0,652,26.2,23.1,83,19.53,225,6,305.4,364.3,309.0
12Z 02 Sep 1993,2,925.0,690,25.8,23.5,87,20.18,225,10,305.7,366.6,309.4
12Z 02 Sep 1993,3,898.0,958,23.8,19.0,75,15.66,229,9,306.2,353.5,309.1
12Z 02 Sep 1993,4,850.0,1450,20.8,14.8,69,12.61,235,8,307.9,346.3,310.2
12Z 02 Sep 1993,5,830.0,1655,19.2,15.0,77,13.09,237,8,308.3,348.2,310.8
12Z 02 Sep 1993,6,700.0,3098,12.0,9.0,82,10.40,250,11,315.7,348.5,317.7
12Z 02 Sep 1993,7,644.0,3792,8.2,5.4,83,8.81,252,14,319.0,347.3,320.7
12Z 02 Sep 1993,8,600.0,4375,6.0,3.0,81,7.98,255,17,323.0,349.1,324.6
12Z 02 Sep 1993,9,510.0,5692,0.0,-2.7,82,6.19,259,23,331.1,352.2,332.3
12Z 02 Sep 1993,10,500.0,5850,-1.1,-3.3,85,6.04,260,24,331.6,352.2,332.8
12Z 02 Sep 1993,11,400.0,7600,-10.1,-14.9,68,3.03,265,18,341.8,352.8,342.4
12Z 02 Sep 1993,12,353.0,8560,-15.5,-20.5,66,2.13,NA,NA,346.9,355.0,347.4
12Z 02 Sep 1993,13,300.0,9770,-25.9,-33.9,47,0.73,NA,NA,348.8,351.7,348.9
12Z 02 Sep 1993,14,288.0,10063,-28.7,-36.7,46,0.58,NA,NA,348.9,351.2,349.0
12Z 02 Sep 1993,15,261.0,10760,-33.5,-40.5,49,0.43,NA,NA,351.8,353.6,351.9
12Z 02 Sep 1993,16,250.0,11060,-35.5,-45.5,35,0.26,NA,NA,353.1,354.3,353.2
12Z 02 Sep 1993,17,236.0,11460,-37.9,-48.9,31,0.19,NA,NA,355.4,356.2,355.4
12Z 02 Sep 1993,18,200.0,12580,-48.1,NA,NA,NA,NA,NA,356.4,NA,356.4
12Z 02 Sep 1993,19,150.0,14410,-64.7,NA,NA,NA,NA,NA,358.4,NA,358.4
00Z 08 Sep 1993,0,1000.0,17
00Z 08 Sep 1993,1,930.0,652,23.0,22.7,98,19.09,90,8,302.4,359.1,305.8
00Z 08 Sep 1993,2,925.0,1069,22.4,20.0,86,16.19,115,12,302.2,350.2,305.1
00Z 08 Sep 1993,3,919.0,1097,22.0,19.8,87,16.09,116,12,302.4,350.1,305.3
00Z 08 Sep 1993,4,850.0,1434,18.2,15.6,85,13.29,125,9,305.2,345.2,307.6
00Z 08 Sep 1993,5,789.0,2070,14.4,11.9,85,11.21,135,8,307.7,341.9,309.8
00Z 08 Sep 1993,6,740.0,2609,11.0,8.0,82,9.18,143,7,309.7,338.0,311.4
