,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,11,Jan,1985,1,1000.0,124.0,10.4,6.0,74.0,5.9,15.0,6.0,283.6,300.1,284.6
3,00Z,11,Jan,1985,3,850.0,1489.0,9.6,-8.4,27.0,2.4,300.0,17.0,296.2,303.7,296.6
6,00Z,11,Jan,1985,6,700.0,3079.0,3.0,-14.0,27.0,1.86,270.0,54.0,305.8,311.9,306.1
9,00Z,11,Jan,1985,9,600.0,4314.0,-4.1,-23.1,21.0,1.0,268.0,53.0,311.3,314.8,311.5
11,00Z,11,Jan,1985,11,500.0,5730.0,-12.7,,,,265.0,51.0,317.5,,317.5
14,00Z,11,Jan,1985,14,400.0,7400.0,-21.1,,,,265.0,60.0,327.5,,327.5
17,00Z,12,Jan,1985,1,1000.0,117.0,10.2,8.2,87.0,6.86,80.0,0.0,283.4,302.5,284.5
19,00Z,12,Jan,1985,3,850.0,1488.0,12.2,-2.8,35.0,3.68,285.0,309.0,298.9,310.2,299.6
22,00Z,12,Jan,1985,6,700.0,2895.0,6.4,-14.6,21.0,1.77,260.0,27.0,309.5,315.5,309.9
25,00Z,12,Jan,1985,9,600.0,4241.0,0.2,,,,260.0,38.0,316.3,,316.3
28,00Z,12,Jan,1985,12,500.0,5790.0,-7.9,,,,260.0,51.0,323.3,,323.3
37,12Z,12,Jan,1985,5,600.0,4367.0,-1.9,,,,,,313.9,,313.9
48,18Z,12,Jan,1985,9,600.0,4367.0,-1.9,,,,,,313.9,,313.9
51,00Z,13,Jan,1985,1,1000.0,147.0,11.0,7.9,81.0,6.72,75.0,5.0,284.1,303.0,285.3
53,00Z,13,Jan,1985,3,850.0,1521.0,12.0,-4.0,32.0,3.36,285.0,12.0,298.7,309.1,299.3
55,00Z,13,Jan,1985,5,700.0,3128.0,5.2,-3.8,52.0,4.14,285.0,37.0,308.2,321.4,309.0
57,00Z,13,Jan,1985,7,600.0,4376.0,-1.1,-9.1,55.0,3.22,271.0,47.0,314.8,325.4,315.4
58,00Z,13,Jan,1985,8,500.0,5810.0,-10.7,-18.7,52.0,1.76,255.0,58.0,319.9,326.0,320.3
60,00Z,13,Jan,1985,10,400.0,7490.0,-21.5,-35.5,27.0,0.47,250.0,72.0,327.0,328.8,327.1
63,12Z,13,Jan,1985,1,1000.0,139.0,21.6,10.6,50.0,8.08,235.0,6.0,294.8,318.3,296.2
65,12Z,13,Jan,1985,3,850.0,1524.0,12.4,-5.6,28.0,2.98,300.0,26.0,299.1,308.4,299.7
67,12Z,13,Jan,1985,5,700.0,3122.0,3.6,,,,270.0,32.0,306.4,,306.4
70,12Z,13,Jan,1985,8,600.0,4358.0,-2.3,,,,261.0,48.0,313.4,,313.4
72,12Z,13,Jan,1985,10,500.0,5780.0,-11.7,,,,250.0,68.0,318.7,,318.7
75,12Z,13,Jan,1985,13,400.0,7450.0,-22.9,,,,240.0,75.0,325.1,,325.1
78,00Z,14,Jan,1985,1,1000.0,142.0,12.0,9.0,82.0,7.25,35.0,5.0,285.1,305.5,286.4
81,00Z,14,Jan,1985,4,850.0,1518.0,12.0,2.0,50.0,5.23,280.0,9.0,298.7,314.5,299.6
83,00Z,14,Jan,1985,6,700.0,3117.0,3.0,-17.0,21.0,1.45,250.0,17.0,305.8,310.6,306.0
89,00Z,14,Jan,1985,12,500.0,5780.0,-12.5,,,,255.0,35.0,317.7,,317.7
90,00Z,14,Jan,1985,13,400.0,7450.0,-23.9,,,,260.0,55.0,323.8,,323.8
93,12Z,15,Jan,1985,1,1000.0,127.0,21.0,10.0,49.0,7.76,5.0,6.0,294.1,316.8,295.5
95,12Z,15,Jan,1985,3,850.0,1512.0,12.4,7.4,72.0,7.65,295.0,17.0,299.1,321.9,300.5
97,12Z,15,Jan,1985,5,700.0,3117.0,3.4,-8.6,41.0,2.87,280.0,51.0,306.2,315.4,306.8
100,12Z,15,Jan,1985,8,600.0,4344.0,-9.3,-21.3,37.0,1.17,,,305.3,309.2,305.5
103,00Z,16,Jan,1985,1,1000.0,133.0,11.6,9.2,85.0,7.35,,,284.8,305.3,286.0
105,00Z,16,Jan,1985,3,850.0,1501.0,7.6,3.0,73.0,5.62,280.0,17.0,294.1,310.7,295.1
109,00Z,16,Jan,1985,7,700.0,3074.0,-1.1,-14.9,34.0,1.73,260.0,26.0,301.2,306.8,301.6
112,00Z,16,Jan,1985,10,600.0,4296.0,-7.1,-14.1,57.0,2.15,253.0,41.0,307.9,314.9,308.3
113,00Z,16,Jan,1985,11,500.0,5700.0,-15.7,-20.5,67.0,1.51,245.0,58.0,313.8,319.0,314.1
117,12Z,16,Jan,1985,1,1000.0,122.0,20.2,17.9,87.0,13.07,205.0,160.0,293.4,330.7,295.6
122,12Z,16,Jan,1985,6,600.0,4366.0,-1.5,-16.5,31.0,1.76,,,314.3,320.4,314.7
125,00Z,17,Jan,1985,1,1000.0,143.0,11.0,7.8,81.0,6.68,356.0,1.0,284.1,302.9,285.3
126,00Z,17,Jan,1985,2,850.0,1515.0,9.6,-6.4,32.0,2.8,310.0,11.0,296.2,304.8,296.7
127,00Z,17,Jan,1985,3,700.0,3110.0,4.2,-15.8,22.0,1.6,310.0,19.0,307.1,312.4,307.4
128,00Z,17,Jan,1985,4,500.0,5780.0,-9.9,,,,285.0,46.0,320.9,,320.9
129,00Z,17,Jan,1985,5,400.0,7470.0,-19.1,,,,280.0,83.0,330.1,,330.1
132,12Z,17,Jan,1985,1,1000.0,134.0,20.0,9.0,49.0,7.25,325.0,9.0,293.1,314.2,294.4
134,12Z,17,Jan,1985,3,850.0,1502.0,10.0,-8.0,27.0,2.47,310.0,6.0,296.6,304.3,297.1
137,12Z,17,Jan,1985,6,700.0,3096.0,2.4,,,,285.0,13.0,305.1,,305.1
140,12Z,17,Jan,1985,9,600.0,4329.0,-4.1,,,,278.0,21.0,311.3,,311.3
142,12Z,17,Jan,1985,11,500.0,5750.0,-12.1,,,,270.0,31.0,318.2,,318.2
143,12Z,17,Jan,1985,12,400.0,7410.0,-24.1,,,,260.0,60.0,323.6,,323.6
146,00Z,19,Jan,1985,1,1000.0,131.0,11.2,9.0,86.0,7.25,45.0,7.0,284.4,304.6,285.6
147,00Z,19,Jan,1985,2,850.0,1531.0,16.4,5.4,48.0,6.66,300.0,5.0,303.3,323.6,304.5
148,00Z,19,Jan,1985,3,700.0,3168.0,10.8,-2.2,40.0,4.67,260.0,22.0,314.4,329.5,315.3
150,00Z,19,Jan,1985,5,500.0,5890.0,-7.5,,,,250.0,24.0,323.8,,323.8
151,00Z,19,Jan,1985,6,400.0,7570.0,-17.9,,,,240.0,41.0,331.6,,331.6
154,12Z,19,Jan,1985,1,1000.0,123.0,22.4,12.4,53.0,9.12,315.0,11.0,295.6,322.1,297.2
155,12Z,19,Jan,1985,2,850.0,1519.0,14.8,-0.2,36.0,4.46,185.0,8.0,301.6,315.4,302.4
156,12Z,19,Jan,1985,3,700.0,3138.0,6.4,,,,240.0,17.0,309.5,,309.5
158,12Z,19,Jan,1985,5,600.0,4377.0,-2.9,,,,238.0,26.0,312.7,,312.7
160,12Z,19,Jan,1985,7,500.0,5790.0,-12.7,,,,235.0,37.0,317.5,,317.5
161,12Z,19,Jan,1985,8,400.0,7460.0,-23.5,,,,245.0,46.0,324.4,,324.4
164,00Z,20,Jan,1985,1,1000.0,128.0,10.0,7.5,84.0,6.54,45.0,8.0,283.1,301.4,284.3
166,00Z,20,Jan,1985,3,850.0,1489.0,11.4,-8.6,24.0,2.36,185.0,7.0,298.1,305.5,298.5
169,00Z,20,Jan,1985,6,700.0,3090.0,4.8,,,,210.0,29.0,307.8,,307.8
171,00Z,20,Jan,1985,8,600.0,4329.0,-2.7,,,,212.0,39.0,312.9,,312.9
172,00Z,20,Jan,1985,9,500.0,5750.0,-11.7,,,,215.0,51.0,318.7,,318.7
175,00Z,20,Jan,1985,12,400.0,7420.0,-23.1,,,,220.0,49.0,324.9,,324.9
176,00Z,20,Jan,1985,13,300.0,9490.0,-33.3,,,,220.0,81.0,338.3,,338.3
180,12Z,20,Jan,1985,1,1000.0,123.0,20.2,10.2,53.0,7.87,300.0,10.0,293.4,316.2,294.7
183,12Z,20,Jan,1985,4,850.0,1492.0,9.6,-4.4,37.0,3.26,165.0,10.0,296.2,306.2,296.8
185,12Z,20,Jan,1985,6,700.0,3081.0,1.4,-12.6,34.0,2.08,240.0,22.0,304.0,310.8,304.4
188,12Z,20,Jan,1985,9,600.0,4304.0,-7.7,-21.7,32.0,1.13,245.0,26.0,307.2,311.0,307.4
190,12Z,20,Jan,1985,11,500.0,5700.0,-16.7,,,,250.0,30.0,312.6,,312.6
194,00Z,21,Jan,1985,1,1000.0,126.0,12.4,8.4,77.0,6.96,215.0,12.0,285.6,305.2,286.8
198,00Z,21,Jan,1985,5,850.0,1524.0,14.0,,,,295.0,6.0,300.8,,300.8
200,00Z,21,Jan,1985,7,700.0,3111.0,4.4,,,,140.0,19.0,307.3,,307.3
201,00Z,21,Jan,1985,8,500.0,5740.0,-11.5,,,,210.0,22.0,318.9,,318.9
202,00Z,21,Jan,1985,9,400.0,7260.0,-23.5,,,,250.0,87.0,324.4,,324.4
206,12Z,30,Jan,1985,1,1000.0,103.0,25.4,17.4,61.0,12.66,,,298.6,335.6,300.8
207,12Z,30,Jan,1985,2,850.0,1502.0,16.0,11.4,74.0,10.05,230.0,14.0,302.9,333.0,304.7
210,12Z,30,Jan,1985,5,700.0,3116.0,5.6,-4.4,49.0,3.96,275.0,30.0,308.6,321.3,309.4
212,12Z,30,Jan,1985,7,500.0,5810.0,-8.5,-23.5,29.0,1.16,275.0,54.0,322.6,326.8,322.8
214,00Z,31,Jan,1985,1,1000.0,105.0,15.0,13.4,90.0,9.75,290.0,7.0,288.1,315.6,289.8
215,00Z,31,Jan,1985,2,850.0,1485.0,12.4,8.6,78.0,8.31,230.0,13.0,299.1,323.8,300.6
216,00Z,31,Jan,1985,3,700.0,3085.0,2.4,-10.6,38.0,2.45,235.0,26.0,305.1,313.0,305.6
217,00Z,31,Jan,1985,4,500.0,5730.0,-14.5,-25.5,39.0,0.97,245.0,50.0,315.3,318.7,315.5
218,00Z,31,Jan,1985,5,400.0,7380.0,-24.7,-37.7,29.0,0.37,250.0,60.0,322.8,324.2,322.9
219,00Z,31,Jan,1985,6,300.0,9430.0,-35.7,,,,250.0,74.0,334.9,,334.9
221,12Z,31,Jan,1985,1,1000.0,88.0,24.2,19.4,75.0,14.39,235.0,12.0,297.4,339.2,299.9
223,12Z,31,Jan,1985,3,850.0,1485.0,17.0,16.4,96.0,14.0,220.0,7.0,303.9,345.8,306.5
226,12Z,31,Jan,1985,6,700.0,3115.0,6.8,3.4,79.0,7.03,260.0,23.0,310.0,331.9,311.3
229,12Z,31,Jan,1985,9,600.0,4357.0,-2.5,-3.3,94.0,5.02,267.0,37.0,313.2,329.3,314.1
230,12Z,31,Jan,1985,10,500.0,5780.0,-9.9,-12.9,79.0,2.85,275.0,53.0,320.9,330.6,321.5
233,00Z,2,Jan,1986,1,1000.0,116.0,9.8,8.6,92.0,7.06,330.0,4.0,282.9,302.6,284.1
235,00Z,2,Jan,1986,3,850.0,1465.0,9.4,-0.6,50.0,4.33,285.0,5.0,296.0,309.0,296.8
237,00Z,2,Jan,1986,5,700.0,3071.0,6.8,,,,280.0,12.0,310.0,,310.0
238,00Z,2,Jan,1986,6,600.0,4327.0,2.4,,,,294.0,14.0,318.9,,318.9
241,00Z,2,Jan,1986,9,500.0,5780.0,-5.9,,,,310.0,17.0,325.8,,325.8
243,00Z,2,Jan,1986,11,400.0,7490.0,-17.9,,,,300.0,37.0,331.6,,331.6
244,00Z,2,Jan,1986,12,300.0,9580.0,-33.9,,,,275.0,49.0,337.5,,337.5
246,00Z,2,Jan,1986,14,250.0,10830.0,-43.9,,,,270.0,51.0,340.7,,340.7
247,00Z,2,Jan,1986,15,200.0,12300.0,-55.3,,,,260.0,78.0,345.0,,345.0
256,12Z,2,Jan,1986,1,1000.0,113.0,19.6,15.8,79.0,11.41,5.0,7.0,292.8,325.4,294.8
259,12Z,2,Jan,1986,4,850.0,1499.0,14.0,13.5,97.0,11.57,355.0,5.0,300.8,335.0,302.9
262,12Z,2,Jan,1986,7,700.0,3116.0,9.0,,,,335.0,17.0,312.4,,312.4
264,12Z,2,Jan,1986,9,600.0,4374.0,2.6,,,,326.0,20.0,319.1,,319.1
267,12Z,2,Jan,1986,12,500.0,5820.0,-6.9,,,,315.0,23.0,324.6,,324.6
268,12Z,2,Jan,1986,13,400.0,7530.0,-18.1,,,,305.0,33.0,331.4,,331.4
269,12Z,2,Jan,1986,14,300.0,9620.0,-32.9,,,,295.0,33.0,338.9,,338.9
271,12Z,2,Jan,1986,16,250.0,10880.0,-42.1,,,,295.0,54.0,343.3,,343.3
273,12Z,2,Jan,1986,18,200.0,12350.0,-53.9,,,,275.0,38.0,347.2,,347.2
280,00Z,3,Jan,1986,1,1000.0,122.0,10.4,9.0,91.0,7.25,10.0,3.0,283.6,303.8,284.8
282,00Z,3,Jan,1986,3,850.0,1481.0,12.8,,,,305.0,3.0,299.5,,299.5
284,00Z,3,Jan,1986,5,700.0,3105.0,10.0,,,,295.0,8.0,313.5,,313.5
285,00Z,3,Jan,1986,6,500.0,5820.0,-5.7,,,,275.0,13.0,326.0,,326.0
286,00Z,3,Jan,1986,7,400.0,7530.0,-16.5,,,,305.0,,333.5,,333.5
287,00Z,3,Jan,1986,8,300.0,9652.0,-25.5,,,,250.0,82.0,349.3,,349.3
289,12Z,4,Jan,1986,1,1000.0,114.0,18.4,13.4,73.0,9.75,350.0,0.0,291.6,319.4,293.3
291,12Z,4,Jan,1986,3,850.0,1489.0,13.2,,,,220.0,6.0,300.0,,300.0
293,12Z,4,Jan,1986,5,700.0,3102.0,7.6,,,,280.0,23.0,310.9,,310.9
295,12Z,4,Jan,1986,7,600.0,4353.0,1.0,,,,271.0,37.0,317.2,,317.2
298,12Z,4,Jan,1986,10,500.0,5790.0,-7.9,,,,260.0,54.0,323.3,,323.3
300,12Z,4,Jan,1986,12,400.0,7500.0,-17.3,,,,240.0,62.0,332.4,,332.4
302,12Z,4,Jan,1986,14,300.0,9590.0,-32.5,,,,255.0,73.0,339.4,,339.4
305,12Z,4,Jan,1986,17,250.0,10850.0,-41.7,,,,255.0,78.0,343.9,,343.9
308,00Z,5,Jan,1986,1,1000.0,108.0,11.6,9.8,89.0,7.66,355.0,0.0,284.8,306.2,286.1
311,00Z,5,Jan,1986,4,850.0,1460.0,11.8,-11.2,19.0,1.92,275.0,3.0,298.5,304.6,298.8
312,00Z,5,Jan,1986,5,700.0,3078.0,8.4,-10.6,25.0,2.45,270.0,15.0,311.8,319.9,312.2
313,00Z,5,Jan,1986,6,500.0,5780.0,-7.9,,,,240.0,29.0,323.3,,323.3
314,00Z,5,Jan,1986,7,400.0,7480.0,-18.5,,,,240.0,34.0,330.9,,330.9
315,00Z,5,Jan,1986,8,300.0,9560.0,-33.9,,,,235.0,35.0,337.5,,337.5
316,00Z,5,Jan,1986,9,250.0,10810.0,-42.9,,,,280.0,59.0,342.1,,342.1
317,00Z,5,Jan,1986,10,200.0,12290.0,-53.7,,,,275.0,47.0,347.6,,347.6
320,00Z,7,Jan,1986,1,1000.0,127.0,12.4,11.2,92.0,8.42,90.0,4.0,285.6,309.1,287.0
322,00Z,7,Jan,1986,3,850.0,1503.0,10.0,7.8,86.0,7.87,175.0,9.0,296.6,319.7,298.0
326,00Z,7,Jan,1986,7,700.0,3111.0,8.2,,,,175.0,2.0,311.5,,311.5
328,00Z,7,Jan,1986,9,600.0,4369.0,2.0,,,,202.0,4.0,318.4,,318.4
331,00Z,7,Jan,1986,12,500.0,5810.0,-8.5,,,,235.0,6.0,322.6,,322.6
333,00Z,7,Jan,1986,14,400.0,7510.0,-18.1,,,,225.0,18.0,331.4,,331.4
335,00Z,7,Jan,1986,16,300.0,9600.0,-31.9,,,,240.0,39.0,340.3,,340.3
338,12Z,7,Jan,1986,1,1000.0,115.0,2.2,-6.8,51.0,2.31,349.0,1.0,275.4,281.9,275.7
342,12Z,7,Jan,1986,5,850.0,1511.0,12.2,7.2,71.0,7.55,190.0,8.0,298.9,321.4,300.3
345,12Z,7,Jan,1986,8,700.0,3123.0,8.8,,,,265.0,31.0,312.2,,312.2
347,12Z,7,Jan,1986,10,600.0,4381.0,1.6,,,,283.0,25.0,317.9,,317.9
350,12Z,7,Jan,1986,13,500.0,5820.0,-8.3,,,,305.0,17.0,322.9,,322.9
351,12Z,7,Jan,1986,14,400.0,7520.0,-18.5,,,,281.0,40.0,330.9,,330.9
353,12Z,7,Jan,1986,16,300.0,9620.0,-32.7,,,,250.0,70.0,339.2,,339.2
354,12Z,7,Jan,1986,17,250.0,10880.0,-42.9,,,,280.0,47.0,342.1,,342.1
355,12Z,7,Jan,1986,18,200.0,12350.0,-53.5,,,,270.0,32.0,347.9,,347.9
358,12Z,27,Jan,1986,1,1000.0,136.0,16.8,12.2,74.0,9.0,345.0,6.0,289.9,315.6,291.5
359,12Z,27,Jan,1986,2,850.0,1509.0,15.0,-10.0,17.0,2.11,225.0,3.0,301.9,308.6,302.2
360,12Z,27,Jan,1986,3,700.0,3128.0,7.4,,,,275.0,22.0,310.6,,310.6
361,12Z,27,Jan,1986,4,500.0,5800.0,-11.1,,,,330.0,29.0,319.4,,319.4
362,12Z,27,Jan,1986,5,400.0,7480.0,-22.1,,,,280.0,45.0,326.2,,326.2
363,12Z,27,Jan,1986,6,300.0,9550.0,-35.9,,,,230.0,60.0,334.7,,334.7
364,12Z,27,Jan,1986,7,250.0,10790.0,-45.9,,,,240.0,52.0,337.7,,337.7
365,12Z,27,Jan,1986,8,200.0,12250.0,-55.1,,,,240.0,54.0,345.4,,345.4
369,12Z,28,Jan,1986,1,1000.0,130.0,23.2,10.2,44.0,7.87,5.0,5.0,296.4,319.5,297.8
372,12Z,28,Jan,1986,4,850.0,1522.0,12.4,1.4,47.0,5.01,295.0,8.0,299.1,314.3,300.0
373,12Z,28,Jan,1986,5,700.0,3127.0,5.8,,,,290.0,17.0,308.9,,308.9
375,12Z,28,Jan,1986,7,600.0,4378.0,0.4,,,,269.0,19.0,316.5,,316.5
377,12Z,28,Jan,1986,9,500.0,5810.0,-10.1,,,,245.0,22.0,320.7,,320.7
378,12Z,28,Jan,1986,10,400.0,7490.0,-21.7,,,,290.0,38.0,326.7,,326.7
380,12Z,28,Jan,1986,12,300.0,9550.0,-37.5,,,,250.0,43.0,332.4,,332.4
382,12Z,28,Jan,1986,14,250.0,10790.0,-46.9,,,,250.0,54.0,336.2,,336.2
