,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,12Z,4,Oct,1985,1,1000.0,59.0,30.4,26.1,78.0,21.87,345.0,6.0,303.6,369.1,307.5
3,12Z,4,Oct,1985,3,850.0,1506.0,25.2,15.2,54.0,12.94,125.0,13.0,312.5,352.7,315.0
5,12Z,4,Oct,1985,5,700.0,3179.0,15.2,-3.8,27.0,4.14,60.0,13.0,319.3,333.0,320.1
6,12Z,4,Oct,1985,6,600.0,4460.0,5.8,-11.2,28.0,2.72,69.0,14.0,322.8,332.1,323.3
9,12Z,4,Oct,1985,9,500.0,5920.0,-5.1,-23.1,23.0,1.2,80.0,15.0,326.8,331.1,327.0
11,12Z,4,Oct,1985,11,400.0,7640.0,-14.3,,,,55.0,13.0,336.3,,336.3
13,12Z,4,Oct,1985,13,300.0,9740.0,-32.7,,,,25.0,27.0,339.2,,339.2
14,12Z,4,Oct,1985,14,250.0,11000.0,-42.3,,,,355.0,20.0,343.0,,343.0
15,12Z,4,Oct,1985,15,200.0,12480.0,-53.1,,,,335.0,18.0,348.5,,348.5
21,00Z,5,Oct,1985,1,1000.0,89.0,23.8,22.8,94.0,17.83,40.0,5.0,296.9,348.7,300.1
24,00Z,5,Oct,1985,4,850.0,1497.0,18.6,11.6,64.0,10.19,95.0,6.0,305.6,336.5,307.5
26,00Z,5,Oct,1985,6,700.0,3135.0,9.8,,,,115.0,19.0,313.3,,313.3
28,00Z,5,Oct,1985,8,600.0,4394.0,1.8,,,,110.0,25.0,318.2,,318.2
30,00Z,5,Oct,1985,10,500.0,5840.0,-6.5,,,,105.0,32.0,325.1,,325.1
32,00Z,5,Oct,1985,12,400.0,7550.0,-15.9,,,,85.0,35.0,334.2,,334.2
35,00Z,6,Oct,1985,1,1000.0,94.0,23.2,22.2,94.0,17.17,270.0,3.0,296.4,346.0,299.4
38,00Z,6,Oct,1985,4,850.0,1503.0,17.4,4.4,42.0,6.2,100.0,11.0,304.4,323.4,305.5
40,00Z,6,Oct,1985,6,700.0,3140.0,8.2,-7.8,31.0,3.05,125.0,23.0,311.5,321.5,312.1
42,00Z,6,Oct,1985,8,600.0,4390.0,0.2,,,,120.0,20.0,316.3,,316.3
45,00Z,6,Oct,1985,11,500.0,5840.0,-4.7,,,,115.0,17.0,327.2,,327.2
47,00Z,6,Oct,1985,13,400.0,7560.0,-15.5,,,,110.0,18.0,334.8,,334.8
50,12Z,7,Oct,1985,1,1000.0,58.0,28.8,23.8,74.0,18.98,15.0,8.0,301.9,358.3,305.4
52,12Z,7,Oct,1985,3,850.0,1476.0,19.2,7.2,46.0,7.55,90.0,2.0,306.2,329.4,307.6
56,12Z,7,Oct,1985,7,700.0,3118.0,9.0,-8.4,28.0,2.91,,,312.4,322.0,313.0
57,12Z,7,Oct,1985,8,600.0,4383.0,4.2,2.5,89.0,7.7,,,320.9,345.9,322.4
62,12Z,9,Oct,1985,1,1000.0,70.0,28.2,26.2,89.0,22.0,85.0,3.0,301.4,366.6,305.3
64,12Z,9,Oct,1985,3,850.0,1484.0,20.2,11.2,56.0,9.92,105.0,2.0,307.3,337.6,309.1
67,12Z,9,Oct,1985,6,700.0,3125.0,10.4,2.4,58.0,6.54,70.0,5.0,314.0,334.8,315.2
69,12Z,9,Oct,1985,8,600.0,4392.0,4.8,-6.2,45.0,4.03,26.0,9.0,321.6,335.1,322.4
71,12Z,9,Oct,1985,10,500.0,5850.0,-3.7,-18.7,30.0,1.76,335.0,13.0,328.5,334.8,328.8
73,12Z,9,Oct,1985,12,400.0,7590.0,-13.1,,,,285.0,3.0,337.9,,337.9
75,12Z,9,Oct,1985,14,300.0,9730.0,-28.3,,,,280.0,6.0,345.4,,345.4
76,12Z,9,Oct,1985,15,250.0,11000.0,-39.1,,,,265.0,15.0,347.8,,347.8
77,12Z,9,Oct,1985,16,200.0,12500.0,-51.9,,,,250.0,11.0,350.4,,350.4
88,12Z,16,Oct,1985,1,1000.0,28.0,25.8,24.2,91.0,19.45,135.0,6.0,298.9,355.9,302.4
91,12Z,16,Oct,1985,4,850.0,1445.0,19.0,16.4,85.0,14.0,170.0,17.0,306.0,348.3,308.6
93,12Z,16,Oct,1985,6,700.0,3084.0,12.0,5.0,62.0,7.87,210.0,22.0,315.7,340.8,317.2
96,12Z,16,Oct,1985,9,600.0,4361.0,5.4,1.2,74.0,7.01,,,322.3,345.3,323.7
100,12Z,18,Oct,1985,1,1000.0,34.0,21.2,18.4,84.0,13.5,359.0,0.0,294.4,333.1,296.7
102,12Z,18,Oct,1985,3,850.0,1469.0,21.4,19.6,89.0,17.21,305.0,8.0,308.6,361.0,311.7
104,12Z,18,Oct,1985,5,700.0,3121.0,11.4,2.4,54.0,6.54,215.0,13.0,315.1,336.0,316.3
106,12Z,18,Oct,1985,7,500.0,5860.0,-4.3,,,,140.0,28.0,327.7,,327.7
107,12Z,18,Oct,1985,8,400.0,7590.0,-12.9,,,,100.0,47.0,338.1,,338.1
110,00Z,19,Oct,1985,1,1000.0,69.0,23.6,22.4,93.0,17.39,355.0,0.0,296.8,347.1,299.8
113,00Z,19,Oct,1985,4,850.0,1471.0,18.2,7.2,49.0,7.55,225.0,9.0,305.2,328.3,306.6
116,00Z,19,Oct,1985,7,700.0,3101.0,7.4,-2.6,49.0,4.54,195.0,8.0,310.6,325.1,311.5
118,00Z,19,Oct,1985,9,600.0,4360.0,3.8,-15.2,24.0,1.97,179.0,12.0,320.5,327.3,320.9
121,00Z,19,Oct,1985,12,500.0,5820.0,-2.7,,,,160.0,17.0,329.7,,329.7
123,00Z,19,Oct,1985,14,400.0,7560.0,-12.1,,,,170.0,19.0,339.2,,339.2
126,00Z,19,Oct,1985,17,300.0,9700.0,-26.3,,,,,,348.2,,348.2
127,00Z,19,Oct,1985,18,250.0,10991.0,-36.2,,,,,,352.1,,352.1
130,00Z,19,Oct,1985,21,200.0,12494.0,-50.3,,,,,,352.9,,352.9
135,12Z,19,Oct,1985,1,1000.0,70.0,27.2,22.2,74.0,17.17,310.0,4.0,300.4,350.9,303.4
137,12Z,19,Oct,1985,3,850.0,1481.0,17.6,10.6,64.0,9.53,200.0,8.0,304.6,333.4,306.3
140,12Z,19,Oct,1985,6,700.0,3112.0,7.2,,,,210.0,4.0,310.4,,310.4
142,12Z,19,Oct,1985,8,500.0,5810.0,-4.7,,,,150.0,9.0,327.2,,327.2
143,12Z,19,Oct,1985,9,400.0,7540.0,-13.9,,,,125.0,13.0,336.8,,336.8
144,12Z,19,Oct,1985,10,300.0,9670.0,-29.5,,,,105.0,15.0,343.7,,343.7
145,12Z,19,Oct,1985,11,250.0,10940.0,-40.7,,,,85.0,15.0,345.4,,345.4
146,12Z,19,Oct,1985,12,200.0,12420.0,-53.3,,,,70.0,15.0,348.2,,348.2
148,12Z,20,Oct,1985,1,1000.0,93.0,23.2,21.4,90.0,16.33,350.0,6.0,296.4,343.6,299.2
150,12Z,20,Oct,1985,3,850.0,1493.0,14.4,12.8,90.0,11.04,5.0,6.0,301.2,334.0,303.2
153,12Z,20,Oct,1985,6,700.0,3109.0,6.6,-6.4,39.0,3.4,55.0,7.0,309.8,320.7,310.4
155,12Z,20,Oct,1985,8,600.0,4362.0,1.2,,,,62.0,8.0,317.5,,317.5
157,12Z,20,Oct,1985,10,500.0,5810.0,-5.5,,,,70.0,10.0,326.3,,326.3
159,12Z,20,Oct,1985,12,400.0,7530.0,-15.7,,,,80.0,10.0,334.5,,334.5
160,12Z,20,Oct,1985,13,300.0,9630.0,-33.3,,,,95.0,13.0,338.3,,338.3
162,12Z,20,Oct,1985,15,250.0,10880.0,-43.7,,,,125.0,13.0,341.0,,341.0
