,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,3,Nov,1985,1,1000.0,135.0,18.4,16.8,90.0,12.18,,,291.6,326.1,293.7
3,00Z,3,Nov,1985,3,850.0,1522.0,13.0,3.0,51.0,5.62,250.0,1.0,299.8,316.7,300.8
6,00Z,3,Nov,1985,6,700.0,3124.0,2.6,,,,350.0,13.0,305.3,,305.3
9,00Z,3,Nov,1985,9,600.0,4363.0,-3.3,,,,318.0,19.0,312.2,,312.2
10,00Z,3,Nov,1985,10,500.0,5790.0,-11.3,,,,280.0,27.0,319.2,,319.2
13,00Z,3,Nov,1985,13,400.0,7460.0,-33.5,,,,280.0,19.0,311.4,,311.4
16,00Z,1,Nov,1986,1,1000.0,102.0,22.1,20.7,92.0,15.66,79.0,5.0,295.2,340.3,298.0
19,00Z,1,Nov,1986,4,600.0,4423.0,2.0,-17.0,23.0,1.69,48.0,14.0,318.4,324.2,318.7
32,12Z,1,Nov,1986,1,1000.0,76.0,29.4,23.4,70.0,18.51,205.0,4.0,302.6,357.6,305.9
34,12Z,1,Nov,1986,3,850.0,1508.0,21.8,20.4,92.0,18.11,225.0,7.0,309.0,364.3,312.3
36,12Z,1,Nov,1986,5,700.0,3166.0,11.2,1.2,50.0,6.0,275.0,28.0,314.9,334.1,316.0
38,12Z,1,Nov,1986,7,600.0,4435.0,3.6,-8.3,41.0,3.41,282.0,34.0,320.2,331.7,320.9
41,12Z,1,Nov,1986,10,500.0,5890.0,-5.1,-17.1,38.0,2.01,290.0,41.0,326.8,333.9,327.2
44,12Z,1,Nov,1986,13,400.0,7610.0,-16.1,-26.1,42.0,1.14,290.0,49.0,334.0,338.3,334.2
46,12Z,1,Nov,1986,15,300.0,9690.0,-30.1,,,,290.0,45.0,342.8,,342.8
48,12Z,1,Nov,1986,17,250.0,10960.0,-40.5,,,,295.0,34.0,345.7,,345.7
50,12Z,1,Nov,1986,19,200.0,12440.0,-53.1,,,,285.0,31.0,348.5,,348.5
55,00Z,5,Nov,1986,1,1000.0,3.0,23.0,21.8,93.0,16.75,155.0,4.0,296.1,344.6,299.1
56,00Z,5,Nov,1986,2,850.0,1518.0,17.6,14.2,80.0,12.12,214.0,10.0,304.6,341.0,306.8
57,00Z,5,Nov,1986,3,700.0,3139.0,9.0,8.0,93.0,9.71,285.0,17.0,312.4,342.7,314.2
61,12Z,5,Nov,1986,1,1000.0,92.0,23.2,22.2,94.0,17.17,50.0,5.0,296.4,346.0,299.4
63,12Z,5,Nov,1986,3,850.0,1510.0,17.0,15.4,90.0,13.11,275.0,13.0,303.9,343.2,306.3
65,12Z,5,Nov,1986,5,700.0,3144.0,7.8,6.8,93.0,8.93,280.0,27.0,311.1,338.9,312.8
66,12Z,5,Nov,1986,6,600.0,4395.0,2.0,0.4,89.0,6.61,285.0,30.0,318.4,339.8,319.7
68,12Z,5,Nov,1986,8,500.0,5860.0,-5.3,-9.1,75.0,3.86,290.0,33.0,326.5,339.7,327.3
70,12Z,5,Nov,1986,10,400.0,7570.0,-18.1,-21.3,76.0,1.76,288.0,32.0,331.4,337.7,331.7
72,12Z,5,Nov,1986,12,300.0,9700.0,-27.5,-35.5,46.0,0.62,285.0,30.0,346.5,349.0,346.6
74,12Z,5,Nov,1986,14,250.0,10990.0,-36.5,,,,290.0,31.0,351.7,,351.7
76,12Z,5,Nov,1986,16,200.0,12490.0,-49.1,,,,285.0,36.0,354.9,,354.9
82,00Z,6,Nov,1986,1,1000.0,101.0,21.8,20.4,92.0,15.33,60.0,7.0,294.9,339.0,297.7
