,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,16,Dec,1985,1,1000.0,135.0,15.4,13.0,86.0,9.49,160.0,3.0,288.6,315.3,290.2
2,00Z,16,Dec,1985,2,850.0,1525.0,15.0,4.0,48.0,6.03,340.0,12.0,301.9,320.2,302.9
3,00Z,16,Dec,1985,3,700.0,3157.0,9.6,-7.4,29.0,3.15,300.0,17.0,313.1,323.4,313.7
4,00Z,16,Dec,1985,4,500.0,5890.0,-4.5,-23.5,21.0,1.16,290.0,15.0,327.5,331.7,327.7
5,00Z,16,Dec,1985,5,400.0,7610.0,-15.9,,,,5.0,13.0,334.2,,334.2
6,00Z,16,Dec,1985,6,250.0,10970.0,-44.3,,,,305.0,21.0,340.1,,340.1
7,00Z,16,Dec,1985,7,200.0,12430.0,-56.3,,,,305.0,22.0,343.4,,343.4
11,12Z,17,Dec,1985,1,1000.0,101.0,21.6,18.2,81.0,13.33,354.0,1.0,294.8,333.1,297.1
13,12Z,17,Dec,1985,3,850.0,1494.0,13.0,7.0,67.0,7.44,260.0,11.0,299.8,322.0,301.1
16,12Z,17,Dec,1985,6,700.0,3102.0,5.4,-9.6,33.0,2.65,295.0,13.0,308.4,317.1,308.9
19,12Z,17,Dec,1985,9,600.0,4351.0,-0.5,-18.5,24.0,1.49,284.0,18.0,315.5,320.6,315.8
21,12Z,17,Dec,1985,11,500.0,5790.0,-7.7,,,,270.0,23.0,323.6,,323.6
23,12Z,17,Dec,1985,13,400.0,7490.0,-19.1,,,,255.0,35.0,330.1,,330.1
26,12Z,17,Dec,1985,16,300.0,9560.0,-33.5,,,,255.0,51.0,338.0,,338.0
27,12Z,17,Dec,1985,17,250.0,10810.0,-44.1,,,,225.0,52.0,340.4,,340.4
30,00Z,19,Dec,1985,1,1000.0,105.0,19.0,16.6,86.0,12.02,71.0,,292.1,326.4,294.3
33,00Z,19,Dec,1985,4,850.0,1501.0,12.2,10.2,88.0,9.27,4.0,,298.9,326.3,300.6
34,00Z,19,Dec,1985,5,700.0,3104.0,3.2,-6.8,48.0,3.3,285.0,25.0,306.0,316.5,306.6
35,00Z,19,Dec,1985,6,500.0,5760.0,-11.9,,,,285.0,57.0,318.5,,318.5
37,12Z,23,Dec,1985,1,1000.0,139.0,23.0,13.0,53.0,9.49,10.0,9.0,296.1,323.9,297.8
39,12Z,23,Dec,1985,3,850.0,1537.0,14.2,9.2,72.0,8.66,325.0,7.0,301.0,326.9,302.6
41,12Z,23,Dec,1985,5,700.0,3140.0,4.0,-13.0,28.0,2.02,235.0,10.0,306.9,313.5,307.3
44,12Z,23,Dec,1985,8,600.0,4372.0,-3.5,,,,260.0,10.0,312.0,,312.0
46,12Z,23,Dec,1985,10,500.0,5790.0,-12.1,,,,290.0,9.0,318.2,,318.2
47,12Z,23,Dec,1985,11,400.0,7470.0,-24.1,,,,279.0,24.0,323.6,,323.6
49,12Z,23,Dec,1985,13,300.0,9510.0,-39.1,,,,265.0,43.0,330.1,,330.1
50,12Z,23,Dec,1985,14,250.0,10740.0,-47.3,,,,270.0,58.0,335.6,,335.6
52,12Z,23,Dec,1985,16,200.0,12190.0,-54.3,,,,305.0,35.0,346.6,,346.6
59,12Z,27,Dec,1985,1,1000.0,119.0,22.1,14.9,64.0,10.75,,,295.2,326.4,297.2
65,12Z,27,Dec,1985,7,600.0,4340.0,-3.3,-21.3,23.0,1.17,,,312.2,316.3,312.5
74,12Z,31,Dec,1985,1,1000.0,111.0,18.2,12.2,68.0,9.0,50.0,6.0,291.4,317.1,292.9
77,12Z,31,Dec,1985,4,850.0,1488.0,9.2,-8.8,27.0,2.32,285.0,6.0,295.8,303.0,296.2
80,12Z,31,Dec,1985,7,700.0,3032.0,7.0,,,,275.0,17.0,310.2,,310.2
82,12Z,31,Dec,1985,9,600.0,4321.0,5.2,,,,291.0,29.0,322.1,,322.1
85,12Z,31,Dec,1985,12,500.0,5820.0,-2.1,,,,310.0,43.0,330.4,,330.4
86,12Z,31,Dec,1985,13,400.0,7550.0,-14.1,,,,305.0,52.0,336.6,,336.6
89,12Z,31,Dec,1985,16,300.0,9670.0,-30.3,,,,295.0,85.0,342.6,,342.6
91,12Z,31,Dec,1985,18,250.0,10940.0,-40.5,,,,295.0,70.0,345.7,,345.7
92,12Z,31,Dec,1985,19,200.0,12421.0,-52.7,,,,295.0,62.0,349.1,,349.1
98,12Z,2,Dec,1986,1,1000.0,123.0,22.4,16.4,69.0,11.87,360.0,0.0,295.6,329.9,297.7
101,12Z,2,Dec,1986,4,850.0,1518.0,16.6,,,,355.0,6.0,303.5,,303.5
103,12Z,2,Dec,1986,6,700.0,3140.0,11.8,,,,280.0,22.0,315.5,,315.5
105,12Z,2,Dec,1986,8,600.0,4406.0,2.4,,,,280.0,23.0,318.9,,318.9
107,12Z,2,Dec,1986,10,500.0,5850.0,-8.1,,,,280.0,25.0,323.1,,323.1
109,12Z,2,Dec,1986,12,400.0,7530.0,-19.9,,,,260.0,40.0,329.0,,329.0
110,12Z,2,Dec,1986,13,300.0,9620.0,-32.7,,,,245.0,69.0,339.2,,339.2
112,12Z,2,Dec,1986,15,250.0,10880.0,-40.5,,,,245.0,69.0,345.7,,345.7
113,12Z,2,Dec,1986,16,200.0,12370.0,-49.7,,,,255.0,54.0,353.9,,353.9
115,00Z,3,Dec,1986,0,1000.0,16.0,13.4,12.6,95.0,9.24,115.0,2.0,286.6,312.4,288.1
117,00Z,3,Dec,1986,2,850.0,1534.0,18.4,14.8,80.0,12.61,5.0,2.0,305.4,343.4,307.7
120,00Z,3,Dec,1986,5,700.0,3191.0,13.2,0.2,41.0,5.58,245.0,7.0,317.1,335.2,318.1
121,00Z,3,Dec,1986,6,600.0,4470.0,5.8,-7.2,39.0,3.73,,,322.8,335.4,323.5
126,12Z,3,Dec,1986,1,1000.0,124.0,22.8,18.2,75.0,13.33,5.0,17.0,295.9,334.5,298.3
128,12Z,3,Dec,1986,3,850.0,1529.0,17.4,8.4,55.0,8.2,330.0,7.0,304.4,329.2,305.9
130,12Z,3,Dec,1986,5,700.0,3171.0,10.0,8.7,92.0,10.19,290.0,12.0,313.5,345.4,315.4
131,12Z,3,Dec,1986,6,600.0,4436.0,1.8,-4.2,64.0,4.69,272.0,18.0,318.2,333.6,319.1
133,12Z,3,Dec,1986,8,500.0,5880.0,-7.9,-23.9,26.0,1.12,250.0,25.0,323.3,327.4,323.6
134,12Z,3,Dec,1986,9,400.0,7570.0,-20.1,,,,260.0,36.0,328.8,,328.8
135,12Z,3,Dec,1986,10,300.0,9640.0,-33.5,,,,265.0,49.0,338.0,,338.0
136,12Z,3,Dec,1986,11,250.0,10900.0,-41.7,,,,265.0,44.0,343.9,,343.9
137,12Z,3,Dec,1986,12,200.0,12370.0,-52.7,,,,265.0,41.0,349.1,,349.1
141,12Z,4,Dec,1986,1,1000.0,112.0,22.6,20.0,85.0,14.95,6.0,0.0,295.8,338.9,298.4
143,12Z,4,Dec,1986,3,850.0,1535.0,20.4,-4.6,18.0,3.21,95.0,2.0,307.5,317.8,308.1
145,12Z,4,Dec,1986,5,700.0,3187.0,11.6,,,,210.0,6.0,315.3,,315.3
147,12Z,4,Dec,1986,7,600.0,4460.0,4.6,,,,244.0,12.0,321.4,,321.4
149,12Z,4,Dec,1986,9,500.0,5920.0,-4.9,,,,285.0,19.0,327.0,,327.0
151,12Z,4,Dec,1986,11,400.0,7630.0,-16.9,,,,295.0,27.0,332.9,,332.9
153,12Z,4,Dec,1986,13,300.0,9720.0,-33.9,,,,,,337.5,,337.5
154,12Z,4,Dec,1986,14,250.0,10971.0,-43.6,,,,,,341.1,,341.1
156,12Z,4,Dec,1986,16,200.0,12447.0,-51.3,,,,,,351.4,,351.4
166,00Z,5,Dec,1986,1,1000.0,115.0,15.0,12.4,84.0,9.12,80.0,6.0,288.1,313.9,289.7
168,00Z,5,Dec,1986,3,850.0,1488.0,13.4,-3.6,31.0,3.46,210.0,6.0,300.2,310.9,300.8
170,00Z,5,Dec,1986,5,700.0,3100.0,7.2,,,,235.0,2.0,310.4,,310.4
172,00Z,5,Dec,1986,7,600.0,4351.0,0.6,,,,256.0,15.0,316.8,,316.8
174,00Z,5,Dec,1986,9,500.0,5790.0,-8.1,,,,280.0,31.0,323.1,,323.1
175,00Z,5,Dec,1986,10,400.0,7490.0,-20.1,,,,305.0,,328.8,,328.8
178,12Z,5,Dec,1986,1,1000.0,111.0,21.2,17.6,80.0,12.82,360.0,8.0,294.4,331.2,296.6
180,12Z,5,Dec,1986,3,850.0,1499.0,15.2,0.2,36.0,4.59,285.0,6.0,302.1,316.2,302.9
182,12Z,5,Dec,1986,5,700.0,3116.0,7.4,-14.6,19.0,1.77,225.0,8.0,310.6,316.6,311.0
184,12Z,5,Dec,1986,7,600.0,4366.0,0.0,,,,264.0,14.0,316.1,,316.1
187,12Z,5,Dec,1986,10,500.0,5800.0,-8.9,,,,310.0,21.0,322.1,,322.1
188,12Z,5,Dec,1986,11,400.0,7490.0,-20.5,,,,300.0,29.0,328.3,,328.3
189,12Z,5,Dec,1986,12,300.0,9550.0,-36.5,,,,270.0,43.0,333.8,,333.8
191,12Z,5,Dec,1986,14,250.0,10790.0,-43.3,,,,275.0,39.0,341.6,,341.6
193,12Z,5,Dec,1986,16,200.0,12250.0,-53.5,,,,275.0,51.0,347.9,,347.9
199,00Z,9,Dec,1986,1,1000.0,134.0,13.8,12.0,89.0,8.88,95.0,9.0,286.9,311.9,288.5
201,00Z,9,Dec,1986,3,850.0,1513.0,15.0,2.0,41.0,5.23,170.0,11.0,301.9,317.9,302.8
203,00Z,9,Dec,1986,5,700.0,3130.0,8.4,-7.6,31.0,3.1,340.0,17.0,311.8,321.9,312.3
205,00Z,9,Dec,1986,7,600.0,4386.0,0.4,-12.6,37.0,2.43,,,316.5,324.7,317.0
209,12Z,9,Dec,1986,1,1000.0,125.0,22.6,14.6,61.0,10.55,155.0,5.0,295.8,326.4,297.6
211,12Z,9,Dec,1986,3,850.0,1522.0,14.0,9.6,75.0,8.9,195.0,4.0,300.8,327.3,302.4
214,12Z,9,Dec,1986,6,700.0,3130.0,5.0,,,,350.0,4.0,308.0,,308.0
216,12Z,9,Dec,1986,8,600.0,4374.0,-1.9,,,,300.0,12.0,313.9,,313.9
218,12Z,9,Dec,1986,10,500.0,5800.0,-11.3,,,,240.0,22.0,319.2,,319.2
219,12Z,9,Dec,1986,11,400.0,7470.0,-22.9,,,,225.0,23.0,325.1,,325.1
221,12Z,9,Dec,1986,13,300.0,9530.0,-37.7,,,,270.0,28.0,332.1,,332.1
224,00Z,10,Dec,1986,1,1000.0,134.0,17.8,16.0,89.0,11.56,11.0,1.0,290.9,323.8,293.0
227,00Z,10,Dec,1986,4,850.0,1532.0,15.2,12.8,86.0,11.04,145.0,13.0,302.1,334.9,304.1
229,00Z,10,Dec,1986,6,700.0,3157.0,8.8,,,,250.0,11.0,312.2,,312.2
231,00Z,10,Dec,1986,8,600.0,4415.0,1.6,,,,255.0,16.0,317.9,,317.9
233,00Z,10,Dec,1986,10,500.0,5860.0,-7.3,,,,260.0,22.0,324.1,,324.1
235,00Z,10,Dec,1986,12,400.0,7560.0,-19.5,,,,250.0,36.0,329.6,,329.6
239,00Z,10,Dec,1986,16,300.0,9650.0,-33.7,,,,255.0,54.0,337.8,,337.8
242,00Z,10,Dec,1986,19,250.0,10910.0,-40.9,,,,260.0,77.0,345.1,,345.1
243,00Z,10,Dec,1986,20,200.0,12400.0,-49.1,,,,270.0,101.0,354.9,,354.9
247,12Z,10,Dec,1986,0,1000.0,16.0,21.8,17.3,76.0,12.58,110.0,103.0,294.9,331.2,297.2
248,12Z,10,Dec,1986,1,850.0,1523.0,15.0,3.0,44.0,5.62,185.0,14.0,301.9,319.0,302.9
249,12Z,10,Dec,1986,2,700.0,3140.0,5.8,,,,220.0,19.0,308.9,,308.9
250,12Z,10,Dec,1986,3,500.0,5800.0,-11.7,,,,260.0,38.0,318.7,,318.7
251,12Z,10,Dec,1986,4,400.0,7480.0,-22.7,,,,275.0,51.0,325.4,,325.4
252,12Z,10,Dec,1986,5,300.0,9530.0,-35.3,,,,270.0,52.0,335.5,,335.5
253,12Z,10,Dec,1986,6,250.0,10780.0,-42.3,,,,265.0,56.0,343.0,,343.0
254,12Z,10,Dec,1986,7,200.0,12260.0,-50.7,,,,265.0,60.0,352.3,,352.3
259,12Z,11,Dec,1986,1,1000.0,107.0,22.2,16.2,69.0,11.71,,,295.4,329.2,297.4
260,12Z,11,Dec,1986,2,850.0,1505.0,13.8,7.8,67.0,7.87,235.0,7.0,300.6,324.1,302.0
263,12Z,11,Dec,1986,5,700.0,3108.0,3.4,,,,255.0,20.0,306.2,,306.2
266,12Z,11,Dec,1986,8,600.0,4341.0,-2.9,,,,273.0,31.0,312.7,,312.7
268,12Z,11,Dec,1986,10,500.0,5770.0,-4.3,,,,295.0,45.0,327.7,,327.7
270,12Z,11,Dec,1986,12,400.0,7460.0,-21.3,,,,275.0,72.0,327.2,,327.2
272,12Z,11,Dec,1986,14,300.0,9530.0,-33.3,,,,335.0,66.0,338.3,,338.3
273,12Z,11,Dec,1986,15,250.0,10790.0,-40.5,,,,330.0,54.0,345.7,,345.7
274,12Z,11,Dec,1986,16,200.0,12290.0,-49.1,,,,290.0,39.0,354.9,,354.9
276,00Z,12,Dec,1986,1,1000.0,114.0,14.8,12.0,83.0,8.88,95.0,4.0,287.9,313.0,289.5
278,00Z,12,Dec,1986,3,850.0,1478.0,10.4,6.4,76.0,7.14,250.0,6.0,297.0,318.1,298.3
281,00Z,12,Dec,1986,6,700.0,3171.0,3.6,,,,310.0,15.0,306.4,,306.4
283,00Z,12,Dec,1986,8,600.0,4409.0,-2.3,,,,308.0,19.0,313.4,,313.4
284,00Z,12,Dec,1986,9,500.0,5840.0,-8.7,,,,305.0,23.0,322.4,,322.4
286,00Z,12,Dec,1986,11,400.0,7540.0,-17.9,,,,300.0,34.0,331.6,,331.6
