,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,1,Feb,1985,1,1000.0,103.0,19.0,18.0,94.0,13.16,55.0,7.0,292.1,329.6,294.5
3,00Z,1,Feb,1985,3,850.0,1501.0,17.4,13.8,79.0,11.8,250.0,18.0,304.4,339.8,306.5
5,00Z,1,Feb,1985,5,700.0,3138.0,8.8,4.8,76.0,7.76,250.0,23.0,312.2,336.6,313.7
7,00Z,1,Feb,1985,7,600.0,4392.0,-0.9,-2.7,88.0,5.26,252.0,29.0,315.0,332.0,316.0
9,00Z,1,Feb,1985,9,500.0,5820.0,-11.1,-19.1,52.0,1.7,255.0,36.0,319.4,325.4,319.8
10,00Z,1,Feb,1985,10,400.0,7510.0,-21.1,-25.1,70.0,1.25,245.0,55.0,327.5,332.0,327.7
12,00Z,1,Feb,1985,12,300.0,9590.0,-31.5,-44.5,27.0,0.24,245.0,66.0,340.9,341.9,340.9
14,12Z,1,Feb,1985,1,1000.0,96.0,23.4,17.4,69.0,12.66,225.0,1.0,296.6,333.3,298.8
16,12Z,1,Feb,1985,3,850.0,1510.0,20.8,14.8,69.0,12.61,260.0,4.0,307.9,346.3,310.2
19,12Z,1,Feb,1985,6,700.0,3159.0,10.4,-3.6,37.0,4.21,255.0,15.0,314.0,327.6,314.8
22,00Z,2,Feb,1985,1,1000.0,108.0,16.7,15.5,92.0,11.16,,,289.9,321.4,291.8
28,00Z,2,Feb,1985,7,600.0,4301.0,-7.7,-19.7,38.0,1.34,,,307.2,311.7,307.4
30,12Z,2,Feb,1985,1,1000.0,98.0,21.4,14.4,64.0,10.41,340.0,10.0,294.6,324.6,296.4
33,12Z,2,Feb,1985,4,850.0,1486.0,11.8,7.0,72.0,7.44,220.0,13.0,298.5,320.6,299.8
34,12Z,2,Feb,1985,5,700.0,3087.0,4.0,-2.0,65.0,4.74,265.0,27.0,306.9,321.8,307.8
37,12Z,2,Feb,1985,8,600.0,4318.0,-5.9,-20.9,30.0,1.21,267.0,44.0,309.2,313.4,309.5
39,12Z,2,Feb,1985,10,500.0,5720.0,-15.7,,,,270.0,64.0,313.8,,313.8
40,12Z,2,Feb,1985,11,400.0,7370.0,-26.9,,,,255.0,58.0,319.9,,319.9
