,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,12Z,21,Mar,1985,1,1000.0,78.0,31.0,19.0,49.0,14.03,180.0,8.0,304.1,346.2,306.7
3,12Z,21,Mar,1985,3,850.0,1508.0,21.8,9.8,46.0,9.02,220.0,11.0,309.0,336.8,310.6
5,12Z,21,Mar,1985,5,700.0,3149.0,10.0,-14.0,17.0,1.86,270.0,19.0,313.5,319.8,313.9
7,12Z,21,Mar,1985,7,600.0,4411.0,2.6,,,,270.0,24.0,319.1,,319.1
10,12Z,21,Mar,1985,10,500.0,5860.0,-6.9,,,,270.0,29.0,324.6,,324.6
13,00Z,22,Mar,1985,1,1000.0,95.0,24.0,22.9,94.0,17.94,170.0,12.0,297.1,349.2,300.3
15,00Z,22,Mar,1985,3,850.0,1500.0,19.4,15.2,77.0,12.94,230.0,13.0,306.4,345.6,308.8
17,00Z,22,Mar,1985,5,700.0,3145.0,13.0,8.0,72.0,9.71,240.0,33.0,316.9,347.7,318.7
20,12Z,22,Mar,1985,1,1000.0,60.0,30.9,18.2,47.0,13.33,,,304.1,344.0,306.5
24,12Z,22,Mar,1985,5,600.0,4406.0,0.2,-16.8,27.0,1.72,,,316.3,322.2,316.6
30,00Z,23,Mar,1985,1,1000.0,77.0,22.2,21.4,95.0,16.33,354.0,1.0,295.4,342.4,298.2
32,00Z,23,Mar,1985,3,850.0,1465.0,15.4,3.4,45.0,5.78,205.0,15.0,302.3,319.9,303.3
35,00Z,23,Mar,1985,6,700.0,3075.0,3.6,-8.4,41.0,2.91,210.0,21.0,306.4,315.8,307.0
38,00Z,23,Mar,1985,9,600.0,4304.0,-4.5,-16.5,39.0,1.76,226.0,42.0,310.9,316.8,311.2
40,00Z,23,Mar,1985,11,500.0,5720.0,-11.7,-22.7,40.0,1.24,245.0,67.0,318.7,323.1,318.9
45,12Z,23,Mar,1985,2,1000.0,26.0,28.8,20.8,62.0,15.73,180.0,10.0,301.9,348.6,304.8
47,12Z,23,Mar,1985,4,850.0,1446.0,20.0,16.2,79.0,13.82,195.0,31.0,307.1,349.0,309.6
50,12Z,23,Mar,1985,7,700.0,3073.0,5.0,-10.0,33.0,2.57,235.0,43.0,308.0,316.3,308.5
52,12Z,23,Mar,1985,9,600.0,4305.0,-4.3,-19.3,30.0,1.39,249.0,46.0,311.1,315.8,311.4
54,12Z,23,Mar,1985,11,500.0,5720.0,-10.7,-18.7,52.0,1.76,265.0,50.0,319.9,326.0,320.3
57,00Z,24,Mar,1985,1,1000.0,59.0,22.1,21.3,95.0,16.19,,,295.2,341.9,298.1
62,00Z,24,Mar,1985,6,600.0,4368.0,-1.5,-12.5,43.0,2.45,,,314.3,322.5,314.8
67,00Z,25,Mar,1985,2,1000.0,64.0,22.6,21.6,94.0,16.54,180.0,8.0,295.8,343.5,298.7
69,00Z,25,Mar,1985,4,850.0,1442.0,19.6,17.0,85.0,14.56,215.0,19.0,306.7,350.7,309.3
71,00Z,25,Mar,1985,6,700.0,3124.0,7.6,-2.4,49.0,4.6,280.0,37.0,310.9,325.6,311.7
75,00Z,25,Mar,1985,10,600.0,4378.0,-3.1,-12.1,50.0,2.53,273.0,46.0,312.5,320.9,313.0
77,00Z,25,Mar,1985,12,500.0,5810.0,-8.1,-25.1,24.0,1.0,265.0,56.0,323.1,326.7,323.3
79,00Z,25,Mar,1985,14,400.0,7500.0,-19.3,-31.3,34.0,0.7,275.0,49.0,329.8,332.5,330.0
81,00Z,25,Mar,1985,16,300.0,9480.0,-34.9,-45.9,32.0,0.21,270.0,56.0,336.1,336.9,336.1
83,12Z,25,Mar,1985,1,1000.0,59.0,24.1,18.3,70.0,13.42,,,297.2,336.3,299.6
89,00Z,26,Mar,1985,1,1000.0,93.0,18.4,17.0,92.0,12.34,352.0,1.0,291.6,326.6,293.7
