,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,1,Apr,1985,1,1000.0,107.0,24.8,22.6,88.0,17.61,155.0,8.0,297.9,349.3,301.1
4,00Z,1,Apr,1985,4,850.0,1524.0,19.8,6.8,43.0,7.34,245.0,21.0,306.9,329.5,308.2
7,00Z,1,Apr,1985,7,700.0,3154.0,7.2,-1.8,53.0,4.81,240.0,26.0,310.4,325.7,311.3
9,00Z,1,Apr,1985,9,600.0,4404.0,-0.3,-6.3,64.0,4.0,245.0,33.0,315.7,328.8,316.5
11,00Z,1,Apr,1985,11,500.0,5850.0,-8.5,-15.5,57.0,2.3,250.0,41.0,322.6,330.6,323.1
14,12Z,1,Apr,1985,1,1000.0,89.0,31.0,23.0,62.0,18.05,355.0,1.0,304.1,358.2,307.4
16,12Z,1,Apr,1985,3,850.0,1520.0,19.0,8.0,49.0,7.98,245.0,12.0,306.0,330.4,307.5
18,12Z,1,Apr,1985,5,700.0,3150.0,6.0,-1.0,61.0,5.11,265.0,20.0,309.1,325.2,310.1
19,12Z,1,Apr,1985,6,500.0,5840.0,-8.1,-16.1,53.0,2.19,250.0,45.0,323.1,330.7,323.5
21,00Z,2,Apr,1985,1,1000.0,95.0,25.0,24.4,96.0,19.69,180.0,4.0,298.1,355.6,301.6
22,00Z,2,Apr,1985,2,850.0,1520.0,17.6,13.2,75.0,11.34,250.0,15.0,304.6,338.7,306.6
24,00Z,2,Apr,1985,4,700.0,3152.0,7.0,1.0,66.0,5.91,275.0,29.0,310.2,328.8,311.3
27,00Z,2,Apr,1985,7,500.0,5830.0,-9.1,-20.1,41.0,1.56,235.0,49.0,321.9,327.4,322.2
28,00Z,2,Apr,1985,8,400.0,7530.0,-18.5,-26.5,49.0,1.1,240.0,67.0,330.9,335.0,331.1
29,00Z,2,Apr,1985,9,300.0,9630.0,-32.7,-40.7,45.0,0.37,240.0,68.0,339.2,340.7,339.2
32,12Z,3,Apr,1985,1,1000.0,45.0,30.6,23.6,66.0,18.74,357.0,0.0,303.8,359.8,307.1
35,12Z,3,Apr,1985,4,850.0,1477.0,21.2,18.4,84.0,15.93,205.0,21.0,308.3,356.9,311.3
38,12Z,3,Apr,1985,7,700.0,3119.0,7.2,-5.8,39.0,3.56,230.0,24.0,310.4,321.9,311.1
40,12Z,3,Apr,1985,9,600.0,4367.0,-1.5,-17.5,28.0,1.62,244.0,32.0,314.3,319.9,314.6
42,12Z,3,Apr,1985,11,500.0,5790.0,-12.3,,,,260.0,41.0,318.0,,318.0
45,00Z,4,Apr,1985,1,1000.0,57.0,24.4,23.6,95.0,18.74,357.0,1.0,297.6,352.1,300.9
48,00Z,4,Apr,1985,4,850.0,1475.0,18.2,5.2,42.0,6.56,260.0,17.0,305.2,325.4,306.4
50,00Z,4,Apr,1985,6,700.0,3106.0,6.2,-14.8,21.0,1.74,275.0,29.0,309.3,315.1,309.6
53,00Z,4,Apr,1985,9,600.0,4348.0,-1.3,-19.3,24.0,1.39,259.0,29.0,314.6,319.4,314.8
55,00Z,4,Apr,1985,11,500.0,5770.0,-10.7,,,,240.0,28.0,319.9,,319.9
56,00Z,4,Apr,1985,12,400.0,7457.0,-19.7,,,,230.0,37.0,329.3,,329.3
57,00Z,4,Apr,1985,13,300.0,9550.0,-31.9,,,,230.0,62.0,340.3,,340.3
60,12Z,4,Apr,1985,1,1000.0,62.0,32.8,17.8,41.0,12.99,250.0,11.0,305.9,345.2,308.3
62,12Z,4,Apr,1985,3,850.0,1496.0,20.0,11.0,56.0,9.79,270.0,12.0,307.1,337.0,308.9
63,12Z,4,Apr,1985,4,700.0,3134.0,8.0,-1.0,53.0,5.11,255.0,19.0,311.3,327.6,312.3
64,12Z,4,Apr,1985,5,500.0,5830.0,-9.9,-14.3,70.0,2.54,240.0,32.0,320.9,329.6,321.4
65,12Z,4,Apr,1985,6,400.0,7510.0,-20.1,-26.1,59.0,1.14,225.0,38.0,328.8,333.0,329.0
