,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,1,May,1985,1,1000.0,21.0,19.6,18.6,94.0,13.67,90.0,6.0,292.8,331.7,295.1
3,00Z,1,May,1985,3,850.0,1421.0,15.6,10.6,72.0,9.53,330.0,8.0,302.5,331.0,304.2
5,00Z,1,May,1985,5,700.0,3057.0,8.0,1.0,61.0,5.91,300.0,11.0,311.3,330.0,312.4
7,00Z,1,May,1985,7,600.0,4314.0,1.6,-9.4,44.0,3.14,300.0,23.0,317.9,328.4,318.5
10,00Z,1,May,1985,10,500.0,5760.0,-6.5,,,,300.0,37.0,325.1,,325.1
12,12Z,1,May,1985,0,1000.0,-7.0,,,,,,,,,
15,12Z,1,May,1985,3,850.0,1425.0,20.6,14.6,68.0,12.44,210.0,9.0,307.7,345.6,310.0
17,12Z,1,May,1985,5,700.0,3061.0,7.8,5.5,85.0,8.16,300.0,9.0,311.1,336.5,312.6
19,12Z,1,May,1985,7,600.0,4316.0,0.8,-15.2,29.0,1.97,295.0,20.0,317.0,323.7,317.4
22,12Z,1,May,1985,10,500.0,5760.0,-6.5,,,,290.0,32.0,325.1,,325.1
25,00Z,2,May,1985,1,1000.0,27.0,23.6,21.8,90.0,16.75,135.0,4.0,296.8,345.3,299.7
28,00Z,2,May,1985,4,850.0,1446.0,19.6,13.6,68.0,11.65,210.0,17.0,306.7,342.0,308.8
29,00Z,2,May,1985,5,700.0,3102.0,10.6,-0.4,46.0,5.34,300.0,20.0,314.2,331.3,315.2
32,12Z,3,May,1985,1,1000.0,24.0,29.4,19.4,55.0,14.39,359.0,0.0,302.6,345.4,305.2
35,12Z,3,May,1985,4,850.0,1450.0,19.4,11.4,60.0,10.05,275.0,22.0,306.4,337.1,308.3
37,12Z,3,May,1985,6,700.0,3095.0,9.6,-7.4,29.0,3.15,260.0,70.0,313.1,323.4,313.7
40,12Z,3,May,1985,9,600.0,4351.0,1.6,-12.4,35.0,2.47,,,317.9,326.3,318.4
44,00Z,4,May,1985,1,1000.0,30.0,25.2,24.2,94.0,19.45,359.0,0.0,298.4,355.2,301.8
48,00Z,4,May,1985,5,850.0,1476.0,25.2,11.2,41.0,9.92,230.0,26.0,312.5,343.5,314.4
49,00Z,4,May,1985,6,700.0,3147.0,11.4,-1.6,40.0,4.89,270.0,32.0,315.1,330.9,316.0
50,00Z,4,May,1985,7,600.0,4412.0,1.4,-5.6,60.0,4.22,,,317.7,331.6,318.5
