,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,1,Jun,1985,1,1000.0,29.0,25.6,23.6,89.0,18.74,,,298.8,353.6,302.1
4,00Z,1,Jun,1985,4,850.0,1445.0,20.2,16.9,81.0,14.46,200.0,,307.3,351.1,310.0
6,12Z,1,Jun,1985,0,1000.0,-5.0,,,,,,,,,
9,12Z,1,Jun,1985,3,850.0,1421.0,18.4,16.8,90.0,14.37,220.0,12.0,305.4,348.6,308.0
12,12Z,1,Jun,1985,6,700.0,3059.0,8.8,8.0,95.0,9.71,210.0,15.0,312.2,342.4,314.0
14,12Z,1,Jun,1985,8,500.0,5770.0,-5.3,-15.3,45.0,2.34,200.0,22.0,326.5,334.7,327.0
15,12Z,1,Jun,1985,9,400.0,7500.0,-14.5,,,,240.0,29.0,336.1,,336.1
16,12Z,1,Jun,1985,10,300.0,9630.0,-26.3,,,,255.0,39.0,348.2,,348.2
17,12Z,1,Jun,1985,11,250.0,10940.0,-33.9,,,,,,355.5,,355.5
19,00Z,1,Jun,1986,1,1000.0,64.0,26.2,25.0,93.0,20.44,250.0,9.0,299.4,359.4,303.0
20,00Z,1,Jun,1986,2,850.0,1488.0,20.0,17.4,85.0,14.94,255.0,8.0,307.1,352.3,309.8
21,00Z,1,Jun,1986,3,700.0,3136.0,10.2,-1.8,43.0,4.81,255.0,9.0,313.8,329.3,314.7
22,00Z,1,Jun,1986,4,500.0,5860.0,-2.7,-15.7,36.0,2.26,255.0,17.0,329.7,337.7,330.1
23,00Z,1,Jun,1986,5,400.0,7600.0,-11.9,,,,250.0,17.0,339.4,,339.4
24,00Z,1,Jun,1986,6,300.0,9750.0,-25.9,,,,250.0,23.0,348.8,,348.8
25,00Z,1,Jun,1986,7,250.0,11040.0,-34.9,,,,200.0,8.0,354.0,,354.0
26,00Z,1,Jun,1986,8,200.0,12560.0,-46.3,,,,210.0,10.0,359.3,,359.3
29,12Z,1,Jun,1986,1,1000.0,44.0,33.4,23.4,56.0,18.51,357.0,0.0,306.6,362.6,309.9
31,12Z,1,Jun,1986,3,850.0,1493.0,22.6,19.0,80.0,16.56,190.0,6.0,309.8,360.5,312.9
33,12Z,1,Jun,1986,5,700.0,3150.0,11.8,-0.2,44.0,5.42,230.0,18.0,315.5,333.0,316.6
35,12Z,1,Jun,1986,7,600.0,4423.0,5.0,-9.0,36.0,3.24,221.0,18.0,321.9,332.9,322.5
38,12Z,1,Jun,1986,10,500.0,5890.0,-2.1,,,,210.0,19.0,330.4,,330.4
39,12Z,1,Jun,1986,11,400.0,7630.0,-12.1,,,,260.0,28.0,339.2,,339.2
41,12Z,1,Jun,1986,13,300.0,9780.0,-25.5,,,,285.0,12.0,349.3,,349.3
42,12Z,1,Jun,1986,14,250.0,11080.0,-33.9,,,,265.0,16.0,355.5,,355.5
43,12Z,1,Jun,1986,15,200.0,12610.0,-43.7,,,,240.0,21.0,363.4,,363.4
51,00Z,2,Jun,1986,1,1000.0,49.0,27.6,24.6,84.0,19.94,180.0,10.0,300.8,359.6,304.3
53,00Z,2,Jun,1986,3,850.0,1478.0,19.8,16.8,83.0,14.37,255.0,13.0,306.9,350.4,309.5
55,00Z,2,Jun,1986,5,700.0,3130.0,10.4,6.0,74.0,8.45,265.0,10.0,314.0,340.6,315.6
56,00Z,2,Jun,1986,6,600.0,4395.0,2.0,-3.0,69.0,5.14,263.0,16.0,318.4,335.2,319.4
58,00Z,2,Jun,1986,8,500.0,5850.0,-3.9,-14.9,42.0,2.42,260.0,22.0,328.2,336.8,328.7
61,00Z,2,Jun,1986,11,400.0,7564.0,-18.1,,,,245.0,11.0,331.4,,331.4
62,00Z,2,Jun,1986,12,300.0,9710.0,-30.1,,,,240.0,29.0,342.8,,342.8
63,00Z,2,Jun,1986,13,250.0,10980.0,-39.5,,,,215.0,25.0,347.2,,347.2
65,00Z,2,Jun,1986,15,200.0,12470.0,-49.9,,,,205.0,25.0,353.6,,353.6
68,12Z,2,Jun,1986,1,1000.0,26.0,29.8,25.0,75.0,20.44,359.0,0.0,302.9,363.9,306.6
70,12Z,2,Jun,1986,3,850.0,1463.0,21.0,16.0,73.0,13.64,185.0,17.0,308.1,349.7,310.6
73,12Z,2,Jun,1986,6,700.0,3111.0,8.6,2.6,66.0,6.64,280.0,6.0,312.0,332.9,313.2
74,12Z,2,Jun,1986,7,600.0,4369.0,2.0,-7.0,51.0,3.79,264.0,10.0,318.4,331.0,319.1
77,12Z,2,Jun,1986,10,500.0,5820.0,-5.1,-17.1,38.0,2.01,245.0,15.0,326.8,333.9,327.2
80,12Z,2,Jun,1986,13,400.0,7540.0,-14.5,,,,230.0,24.0,336.1,,336.1
82,12Z,2,Jun,1986,15,300.0,9670.0,-27.3,,,,210.0,19.0,346.8,,346.8
83,12Z,2,Jun,1986,16,250.0,10960.0,-36.1,,,,265.0,35.0,352.2,,352.2
84,12Z,2,Jun,1986,17,200.0,12580.0,-46.7,,,,275.0,44.0,358.7,,358.7
86,00Z,4,Jun,1986,0,1000.0,13.0,,,,,,,,,
88,00Z,4,Jun,1986,2,850.0,1437.0,19.8,10.8,56.0,9.66,220.0,11.0,306.9,336.3,308.7
90,00Z,4,Jun,1986,4,700.0,3082.0,9.6,-3.4,40.0,4.27,255.0,20.0,313.1,326.9,313.9
93,12Z,4,Jun,1986,0,1000.0,-6.0,,,,,,,,,
96,12Z,4,Jun,1986,3,850.0,1445.0,25.8,9.8,36.0,9.02,300.0,4.0,313.2,341.5,314.9
98,12Z,4,Jun,1986,5,700.0,3114.0,14.2,-11.8,15.0,2.22,15.0,27.0,318.2,325.8,318.6
100,12Z,4,Jun,1986,7,600.0,4395.0,6.8,,,,352.0,20.0,323.9,,323.9
103,12Z,4,Jun,1986,10,500.0,5870.0,-0.7,,,,325.0,12.0,332.1,,332.1
104,12Z,4,Jun,1986,11,400.0,7620.0,-10.1,,,,270.0,13.0,341.8,,341.8
106,12Z,4,Jun,1986,13,300.0,9690.0,-25.3,,,,270.0,9.0,349.6,,349.6
107,12Z,4,Jun,1986,14,250.0,10980.0,-36.3,,,,285.0,17.0,352.0,,352.0
109,12Z,6,Jun,1986,0,1000.0,-13.0,,,,,,,,,
114,12Z,6,Jun,1986,5,600.0,4359.0,3.8,-6.2,48.0,4.03,233.0,7.0,320.5,333.9,321.2
119,12Z,8,Jun,1986,0,1000.0,,,,,,,,,,
123,12Z,8,Jun,1986,4,600.0,4257.0,6.2,-13.8,22.0,2.21,,,323.2,330.9,323.7
134,12Z,9,Jun,1986,0,1000.0,2.0,,,,,,,,,
137,12Z,9,Jun,1986,3,850.0,1445.0,22.2,17.2,73.0,14.75,195.0,10.0,309.4,354.5,312.1
139,12Z,9,Jun,1986,5,700.0,3099.0,10.6,4.6,66.0,7.65,280.0,8.0,314.2,338.4,315.6
141,12Z,9,Jun,1986,7,600.0,4368.0,4.8,-14.2,24.0,2.13,298.0,10.0,321.6,329.0,322.0
142,12Z,9,Jun,1986,8,500.0,5830.0,-3.1,-18.1,30.0,1.85,320.0,13.0,329.2,335.8,329.6
143,12Z,9,Jun,1986,9,400.0,7570.0,-12.1,,,,350.0,12.0,339.2,,339.2
144,12Z,9,Jun,1986,10,300.0,9700.0,-27.9,,,,215.0,13.0,345.9,,345.9
145,12Z,9,Jun,1986,11,250.0,10990.0,-36.9,,,,210.0,10.0,351.1,,351.1
146,12Z,10,Jun,1986,0,1000.0,-3.0,,,,,,,,,
149,12Z,10,Jun,1986,3,850.0,1429.0,20.6,17.4,82.0,14.94,230.0,15.0,307.7,353.1,310.5
152,12Z,10,Jun,1986,6,700.0,3099.0,11.2,-3.8,35.0,4.14,285.0,17.0,314.9,328.4,315.6
155,12Z,10,Jun,1986,9,600.0,4363.0,2.6,,,,,,319.1,,319.1
158,00Z,12,Jun,1986,0,1000.0,6.0,,,,,,,,,
161,00Z,12,Jun,1986,3,850.0,1427.0,18.4,13.4,73.0,11.49,210.0,11.0,305.4,340.1,307.5
163,00Z,12,Jun,1986,5,700.0,3065.0,8.4,-5.6,37.0,3.62,240.0,8.0,311.8,323.5,312.4
165,00Z,12,Jun,1986,7,600.0,4347.0,1.0,-14.0,32.0,2.17,203.0,9.0,317.2,324.6,317.6
168,00Z,12,Jun,1986,10,500.0,5820.0,-7.5,-21.5,32.0,1.38,160.0,10.0,323.8,328.8,324.1
170,00Z,12,Jun,1986,12,400.0,7600.0,-18.1,,,,130.0,13.0,331.4,,331.4
172,00Z,12,Jun,1986,14,300.0,9700.0,-30.3,,,,110.0,13.0,342.6,,342.6
173,00Z,12,Jun,1986,15,250.0,10980.0,-39.3,,,,100.0,17.0,347.5,,347.5
175,00Z,12,Jun,1986,17,200.0,12460.0,-51.5,,,,70.0,24.0,351.1,,351.1
178,00Z,15,Jun,1986,0,1000.0,16.0,25.8,24.4,92.0,19.69,180.0,10.0,298.9,356.6,302.5
180,00Z,15,Jun,1986,2,850.0,1435.0,18.0,16.6,92.0,14.18,210.0,17.0,305.0,347.6,307.6
181,00Z,15,Jun,1986,3,700.0,3076.0,9.2,8.2,93.0,9.84,235.0,14.0,312.6,343.3,314.5
183,00Z,15,Jun,1986,5,600.0,4338.0,2.6,1.2,90.0,7.01,191.0,14.0,319.1,341.8,320.4
186,00Z,15,Jun,1986,8,500.0,5790.0,-5.5,-6.7,91.0,4.66,140.0,13.0,326.3,342.0,327.2
188,00Z,15,Jun,1986,10,400.0,7510.0,25.2,23.8,92.0,49.59,125.0,18.0,387.6,609.4,398.8
190,00Z,15,Jun,1986,12,300.0,9587.0,-27.6,-34.2,53.0,0.71,,,346.4,349.2,346.5
193,12Z,15,Jun,1986,0,1000.0,-7.0,,,,,,,,,
196,12Z,15,Jun,1986,3,850.0,1427.0,21.8,19.2,85.0,16.77,195.0,11.0,309.0,360.2,312.1
