,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,12Z,8,Jul,1985,0,1000.0,,,,,,,,,,
4,12Z,8,Jul,1985,4,600.0,4355.0,5.6,3.0,83.0,7.98,,,322.6,348.6,324.1
11,00Z,9,Jul,1985,0,1000.0,-12.0,,,,,,,,,
14,00Z,9,Jul,1985,3,850.0,1406.0,20.0,18.2,89.0,15.73,290.0,11.0,307.1,354.7,310.0
16,00Z,9,Jul,1985,5,700.0,3060.0,12.0,9.4,84.0,10.69,280.0,12.0,315.7,349.4,317.8
20,00Z,9,Jul,1985,9,600.0,4338.0,5.0,3.8,92.0,8.45,,,321.9,349.3,323.5
23,00Z,11,Jul,1985,1,1000.0,38.0,24.0,23.2,95.0,18.28,180.0,8.0,297.1,350.2,300.4
26,00Z,11,Jul,1985,4,850.0,1461.0,19.4,19.4,100.0,16.99,305.0,11.0,306.4,357.8,309.6
28,00Z,11,Jul,1985,6,700.0,3105.0,-9.1,-10.1,92.0,2.55,165.0,9.0,292.4,300.1,292.8
32,00Z,15,Jul,1985,1,1000.0,37.0,25.4,23.4,89.0,18.51,140.0,8.0,298.6,352.6,301.9
34,00Z,15,Jul,1985,3,850.0,1452.0,-19.5,-22.1,80.0,0.77,185.0,19.0,265.7,267.9,265.8
36,00Z,15,Jul,1985,5,700.0,3101.0,10.4,6.8,78.0,8.93,160.0,21.0,314.0,342.1,315.7
38,00Z,15,Jul,1985,7,600.0,4373.0,4.0,0.2,76.0,6.51,137.0,15.0,320.7,342.0,322.0
40,00Z,15,Jul,1985,9,500.0,5840.0,-3.5,-6.9,77.0,4.59,110.0,7.0,328.7,344.4,329.6
42,00Z,15,Jul,1985,11,400.0,7570.0,-13.3,-16.3,78.0,2.69,65.0,7.0,337.6,347.4,338.2
44,00Z,15,Jul,1985,13,300.0,9720.0,-25.3,-32.3,52.0,0.85,85.0,8.0,349.6,353.0,349.8
48,12Z,15,Jul,1985,1,1000.0,35.0,28.2,22.2,70.0,17.17,180.0,12.0,301.4,352.1,304.4
50,12Z,15,Jul,1985,3,850.0,1453.0,19.4,17.8,90.0,15.33,170.0,19.0,306.4,352.8,309.3
53,12Z,15,Jul,1985,6,700.0,3095.0,13.0,12.4,96.0,13.1,270.0,19.0,316.9,358.2,319.3
55,12Z,15,Jul,1985,8,600.0,4382.0,7.8,5.8,87.0,9.73,215.0,13.0,325.1,357.0,327.0
57,12Z,15,Jul,1985,10,500.0,5860.0,0.8,-1.7,83.0,6.81,150.0,6.0,333.9,357.3,335.3
61,12Z,15,Jul,1985,14,300.0,9800.0,-21.9,-25.1,75.0,1.67,185.0,7.0,354.4,361.0,354.8
63,12Z,15,Jul,1985,16,250.0,11130.0,-31.3,-35.5,66.0,0.75,115.0,26.0,359.4,362.5,359.6
66,12Z,15,Jul,1985,19,200.0,12680.0,-42.1,,,,120.0,50.0,365.9,,365.9
80,12Z,16,Jul,1985,1,1000.0,47.0,28.6,23.6,74.0,18.74,180.0,8.0,301.8,357.3,305.1
82,12Z,16,Jul,1985,3,850.0,1492.0,23.2,18.2,73.0,15.73,160.0,12.0,310.4,358.8,313.4
84,12Z,16,Jul,1985,5,700.0,3166.0,15.4,9.4,67.0,10.69,205.0,12.0,319.5,353.7,321.6
86,12Z,16,Jul,1985,7,600.0,4460.0,7.8,3.0,72.0,7.98,191.0,12.0,325.1,351.4,326.7
88,12Z,16,Jul,1985,9,500.0,5940.0,-1.5,-4.7,79.0,5.43,175.0,13.0,331.1,349.7,332.2
91,00Z,18,Jul,1985,1,1000.0,49.0,24.4,23.2,93.0,18.28,180.0,6.0,297.6,350.7,300.8
93,00Z,18,Jul,1985,3,850.0,1470.0,21.2,20.0,93.0,17.65,185.0,11.0,308.3,362.1,311.6
96,00Z,18,Jul,1985,6,700.0,3132.0,15.4,11.0,75.0,11.92,210.0,13.0,319.5,357.6,321.8
98,00Z,18,Jul,1985,8,600.0,4419.0,8.4,4.0,74.0,8.57,201.0,13.0,325.8,354.1,327.5
101,00Z,18,Jul,1985,11,500.0,5900.0,-0.5,-6.5,64.0,4.73,190.0,12.0,332.4,348.7,333.3
104,00Z,18,Jul,1985,14,400.0,7660.0,-10.1,-23.1,34.0,1.5,155.0,9.0,341.8,347.5,342.1
107,00Z,18,Jul,1985,17,300.0,9740.0,-23.5,,,,105.0,28.0,352.1,,352.1
108,00Z,18,Jul,1985,18,250.0,11140.0,-35.3,,,,115.0,21.0,353.4,,353.4
109,00Z,18,Jul,1985,19,200.0,12650.0,-46.7,,,,10.0,22.0,358.7,,358.7
113,12Z,18,Jul,1985,1,1000.0,27.0,28.8,24.6,78.0,19.94,180.0,8.0,301.9,361.2,305.5
115,12Z,18,Jul,1985,3,850.0,1448.0,20.8,10.8,53.0,9.66,210.0,10.0,307.9,337.5,309.7
118,12Z,18,Jul,1985,6,600.0,4366.0,3.4,-4.6,56.0,4.55,,,320.0,335.1,320.9
123,00Z,19,Jul,1985,1,1000.0,34.0,25.2,24.2,94.0,19.45,180.0,8.0,298.4,355.2,301.8
125,00Z,19,Jul,1985,3,850.0,1449.0,20.6,16.8,79.0,14.37,195.0,21.0,307.7,351.4,310.4
127,00Z,19,Jul,1985,5,700.0,3103.0,13.0,7.0,67.0,9.06,220.0,5.0,316.9,345.7,318.6
129,00Z,19,Jul,1985,7,600.0,4381.0,5.8,-1.2,61.0,5.88,172.0,5.0,322.8,342.2,323.9
132,00Z,19,Jul,1985,10,500.0,5850.0,-1.1,-8.1,59.0,4.18,115.0,5.0,331.6,346.1,332.5
134,00Z,19,Jul,1985,12,400.0,7610.0,-10.9,-15.9,67.0,2.78,115.0,8.0,340.7,350.9,341.3
137,00Z,19,Jul,1985,15,300.0,9770.0,-23.9,,,,125.0,21.0,351.6,,351.6
138,00Z,19,Jul,1985,16,250.0,11070.0,-33.5,,,,115.0,18.0,356.1,,356.1
140,12Z,20,Jul,1985,0,1000.0,16.0,29.6,23.6,70.0,18.74,180.0,8.0,302.8,358.6,306.1
142,12Z,20,Jul,1985,2,850.0,1443.0,23.0,18.0,73.0,15.53,200.0,17.0,310.2,357.9,313.1
143,12Z,20,Jul,1985,3,700.0,3112.0,13.0,10.0,82.0,11.14,180.0,10.0,316.9,352.1,319.0
146,12Z,20,Jul,1985,6,500.0,5860.0,-2.3,-12.3,46.0,2.99,135.0,15.0,330.2,340.7,330.8
148,00Z,21,Jul,1985,1,1000.0,51.0,24.8,23.4,92.0,18.51,180.0,10.0,297.9,351.9,301.2
150,00Z,21,Jul,1985,3,850.0,1456.0,17.0,9.0,59.0,8.54,210.0,23.0,303.9,329.8,305.5
153,00Z,21,Jul,1985,6,600.0,4358.0,3.2,-0.3,78.0,6.28,,,319.8,340.2,321.0
159,12Z,21,Jul,1985,1,1000.0,47.0,28.4,22.4,70.0,17.39,175.0,26.0,301.6,353.0,304.7
162,12Z,21,Jul,1985,4,850.0,1479.0,22.2,14.2,60.0,12.12,200.0,24.0,309.4,346.6,311.6
164,12Z,21,Jul,1985,6,700.0,3137.0,14.0,3.0,47.0,6.83,185.0,10.0,318.0,340.0,319.3
166,12Z,21,Jul,1985,8,600.0,4374.0,7.8,-2.2,49.0,5.46,144.0,9.0,325.1,343.4,326.2
169,12Z,21,Jul,1985,11,500.0,5800.0,-0.3,-10.3,47.0,3.51,95.0,7.0,332.6,344.9,333.3
171,12Z,21,Jul,1985,13,300.0,9830.0,-22.7,-36.7,27.0,0.55,100.0,23.0,353.3,355.6,353.4
172,12Z,21,Jul,1985,14,250.0,11050.0,-32.7,-44.7,29.0,0.29,85.0,29.0,357.3,358.6,357.4
174,12Z,21,Jul,1985,16,200.0,12580.0,-46.5,,,,60.0,26.0,359.0,,359.0
179,00Z,22,Jul,1985,1,1000.0,67.0,23.0,22.4,96.0,17.39,190.0,6.0,296.1,346.4,299.2
182,00Z,22,Jul,1985,4,850.0,1471.0,17.4,16.0,91.0,13.64,220.0,25.0,304.4,345.2,306.9
184,00Z,22,Jul,1985,6,700.0,3112.0,9.0,9.4,103.0,10.67,245.0,13.0,312.4,345.6,314.4
188,12Z,22,Jul,1985,1,1000.0,48.0,26.8,24.4,87.0,19.69,180.0,8.0,299.9,357.9,303.5
190,12Z,22,Jul,1985,3,850.0,1466.0,20.6,18.4,87.0,15.93,185.0,31.0,307.7,356.1,310.6
193,12Z,22,Jul,1985,6,700.0,3119.0,13.4,10.2,81.0,11.29,200.0,41.0,317.3,353.1,319.4
194,12Z,22,Jul,1985,7,600.0,4410.0,6.2,3.2,81.0,8.09,131.0,34.0,323.2,349.7,324.8
198,12Z,22,Jul,1985,11,500.0,5880.0,-0.7,-3.1,84.0,6.13,50.0,25.0,332.1,353.1,333.4
199,12Z,22,Jul,1985,12,400.0,7630.0,-10.3,-14.3,72.0,3.18,20.0,20.0,341.5,353.1,342.2
200,12Z,22,Jul,1985,13,300.0,9790.0,-23.5,-33.5,39.0,0.76,20.0,27.0,352.1,355.2,352.3
201,12Z,22,Jul,1985,14,250.0,11110.0,-32.9,,,,80.0,19.0,357.0,,357.0
202,12Z,22,Jul,1985,15,200.0,12630.0,-46.5,,,,105.0,23.0,359.0,,359.0
205,00Z,23,Jul,1985,1,1000.0,63.0,24.8,23.2,91.0,18.28,165.0,13.0,297.9,351.2,301.2
207,00Z,23,Jul,1985,3,850.0,1483.0,21.2,19.4,89.0,16.99,215.0,19.0,308.3,360.1,311.5
210,00Z,23,Jul,1985,6,700.0,3137.0,12.4,7.4,72.0,9.31,235.0,15.0,316.2,345.7,318.0
212,00Z,23,Jul,1985,8,600.0,4414.0,5.8,-2.2,56.0,5.46,208.0,14.0,322.8,340.9,323.9
215,00Z,23,Jul,1985,11,500.0,5880.0,-2.3,-9.3,59.0,3.8,175.0,13.0,330.2,343.4,330.9
217,00Z,23,Jul,1985,13,400.0,7630.0,-12.1,-20.1,51.0,1.95,140.0,17.0,339.2,346.4,339.6
220,12Z,23,Jul,1985,1,1000.0,45.0,27.2,23.8,82.0,18.98,180.0,10.0,300.4,356.3,303.8
222,12Z,23,Jul,1985,3,850.0,1476.0,21.4,12.4,56.0,10.75,215.0,13.0,308.6,341.5,310.5
224,12Z,23,Jul,1985,5,700.0,3135.0,13.0,0.0,41.0,5.5,260.0,13.0,316.9,334.7,317.9
226,12Z,23,Jul,1985,7,600.0,4423.0,7.8,-5.2,39.0,4.35,260.0,15.0,325.1,339.8,325.9
229,12Z,23,Jul,1985,10,500.0,5910.0,-0.1,-9.1,51.0,3.86,260.0,17.0,332.9,346.4,333.6
230,12Z,23,Jul,1985,11,300.0,9830.0,-22.3,-35.3,30.0,0.64,245.0,26.0,353.8,356.5,354.0
233,00Z,24,Jul,1985,1,1000.0,48.0,24.4,23.6,95.0,18.74,180.0,6.0,297.6,352.1,300.9
235,00Z,24,Jul,1985,3,850.0,1466.0,18.8,17.4,92.0,14.94,180.0,25.0,305.8,350.8,308.6
238,00Z,24,Jul,1985,6,700.0,3116.0,9.6,5.8,77.0,8.33,205.0,24.0,313.1,339.2,314.7
239,00Z,24,Jul,1985,7,600.0,4366.0,4.6,1.8,82.0,7.32,226.0,19.0,321.4,345.2,322.8
242,00Z,24,Jul,1985,10,500.0,5810.0,-2.1,-6.1,74.0,4.88,250.0,13.0,330.4,347.1,331.4
244,00Z,24,Jul,1985,12,400.0,7560.0,-11.7,-15.7,72.0,2.83,270.0,18.0,339.7,350.0,340.3
245,00Z,24,Jul,1985,13,300.0,9700.0,-26.1,-31.1,63.0,0.96,275.0,13.0,348.5,352.3,348.7
248,12Z,24,Jul,1985,1,1000.0,34.0,26.4,24.4,89.0,19.69,180.0,10.0,299.6,357.4,303.1
250,12Z,24,Jul,1985,3,850.0,1444.0,18.4,15.0,81.0,12.77,225.0,11.0,305.4,343.9,307.8
252,12Z,24,Jul,1985,5,700.0,3087.0,9.4,5.4,76.0,8.1,220.0,9.0,312.9,338.3,314.4
253,12Z,24,Jul,1985,6,600.0,4356.0,4.8,4.8,100.0,9.07,243.0,6.0,321.6,351.0,323.4
255,12Z,24,Jul,1985,8,500.0,5820.0,-3.3,-7.3,74.0,4.45,270.0,3.0,328.9,344.2,329.8
258,12Z,24,Jul,1985,11,400.0,7560.0,-27.5,-29.5,83.0,0.83,250.0,8.0,319.2,322.2,319.3
259,12Z,24,Jul,1985,12,300.0,9700.0,-25.7,-37.7,32.0,0.5,255.0,23.0,349.0,351.1,349.1
261,12Z,24,Jul,1985,14,250.0,11000.0,-36.3,,,,260.0,24.0,352.0,,352.0
264,00Z,25,Jul,1985,1,1000.0,50.0,24.6,23.0,91.0,18.05,180.0,12.0,297.8,350.3,301.0
267,00Z,25,Jul,1985,4,850.0,1469.0,18.4,17.4,94.0,14.94,175.0,8.0,305.4,350.3,308.1
268,00Z,25,Jul,1985,5,700.0,3107.0,8.6,6.0,84.0,8.45,200.0,7.0,312.0,338.4,313.6
269,00Z,25,Jul,1985,6,600.0,4371.0,2.2,0.0,85.0,6.42,209.0,6.0,318.6,339.4,319.9
272,00Z,25,Jul,1985,9,500.0,5830.0,-3.9,-5.5,89.0,5.11,220.0,4.0,328.2,345.6,329.2
274,00Z,25,Jul,1985,11,400.0,7570.0,-13.1,-14.7,88.0,3.08,210.0,9.0,337.9,348.9,338.5
277,00Z,27,Jul,1985,1,1000.0,44.0,26.0,25.4,97.0,20.95,180.0,10.0,299.1,360.6,302.9
279,00Z,27,Jul,1985,3,850.0,1475.0,21.2,,,,220.0,27.0,308.3,,308.3
282,00Z,27,Jul,1985,6,700.0,3139.0,12.2,,,,230.0,30.0,316.0,,316.0
283,00Z,27,Jul,1985,7,600.0,4425.0,6.4,,,,244.0,25.0,323.5,,323.5
285,00Z,27,Jul,1985,9,500.0,5910.0,-0.7,,,,260.0,19.0,332.1,,332.1
288,00Z,27,Jul,1985,12,300.0,9840.0,-23.3,,,,330.0,5.0,352.4,,352.4
289,00Z,27,Jul,1985,13,250.0,11150.0,-31.5,,,,240.0,19.0,359.1,,359.1
291,00Z,27,Jul,1985,15,200.0,12691.0,-43.5,,,,220.0,24.0,363.7,,363.7
300,12Z,28,Jul,1985,1,1000.0,25.0,29.4,25.2,78.0,20.69,180.0,6.0,302.6,364.2,306.3
303,12Z,28,Jul,1985,4,850.0,1460.0,21.2,15.2,69.0,12.94,205.0,8.0,308.3,347.8,310.7
305,12Z,28,Jul,1985,6,700.0,3109.0,10.4,-4.6,35.0,3.9,275.0,15.0,314.0,326.7,314.7
306,12Z,28,Jul,1985,7,600.0,4380.0,4.2,-14.8,24.0,2.03,270.0,12.0,320.9,328.0,321.3
309,12Z,28,Jul,1985,10,500.0,5850.0,-1.7,-20.7,22.0,1.48,265.0,8.0,330.9,336.3,331.2
311,12Z,28,Jul,1985,12,300.0,9770.0,-23.1,,,,205.0,18.0,352.7,,352.7
312,12Z,28,Jul,1985,13,250.0,11080.0,-32.3,,,,180.0,25.0,357.9,,357.9
313,00Z,29,Jul,1985,0,1000.0,28.0,25.6,24.6,94.0,19.94,175.0,12.0,298.8,357.1,302.3
315,00Z,29,Jul,1985,2,850.0,1441.0,18.8,16.6,87.0,14.18,235.0,9.0,305.8,348.6,308.4
317,00Z,29,Jul,1985,4,700.0,3095.0,10.2,7.4,83.0,9.31,265.0,10.0,313.8,343.0,315.5
320,12Z,29,Jul,1985,0,1000.0,-9.0,,,,,,,,,
324,12Z,29,Jul,1985,4,850.0,1036.0,20.4,17.2,82.0,14.75,340.0,5.0,307.5,352.2,310.2
326,12Z,29,Jul,1985,6,700.0,3090.0,11.8,5.8,67.0,8.33,175.0,4.0,315.5,341.9,317.1
329,12Z,29,Jul,1985,9,600.0,4364.0,4.2,-2.8,60.0,5.22,143.0,4.0,320.9,338.1,321.9
331,12Z,29,Jul,1985,11,500.0,5830.0,-2.5,-3.9,90.0,5.77,105.0,5.0,329.9,349.5,331.1
333,12Z,29,Jul,1985,13,400.0,7560.0,-12.9,-21.9,47.0,1.67,75.0,5.0,338.1,344.3,338.5
334,12Z,29,Jul,1985,14,300.0,9710.0,-28.1,,,,55.0,6.0,345.7,,345.7
335,12Z,29,Jul,1985,15,250.0,11000.0,-37.9,,,,55.0,6.0,349.6,,349.6
336,12Z,29,Jul,1985,16,200.0,12690.0,-52.1,,,,55.0,5.0,350.1,,350.1
338,00Z,31,Jul,1985,0,1000.0,-5.0,,,,,,,,,
341,00Z,31,Jul,1985,3,850.0,1423.0,20.4,18.0,86.0,15.53,100.0,7.0,307.5,354.6,310.4
343,00Z,31,Jul,1985,5,700.0,3081.0,10.8,9.2,90.0,10.54,90.0,10.0,314.4,347.5,316.4
344,00Z,31,Jul,1985,6,600.0,4352.0,3.6,2.4,92.0,7.64,90.0,11.0,320.2,345.0,321.7
346,00Z,31,Jul,1985,8,500.0,5810.0,-4.9,-6.1,91.0,4.88,90.0,12.0,327.0,343.5,328.0
348,00Z,31,Jul,1985,10,400.0,7550.0,-14.3,-16.7,82.0,2.6,65.0,11.0,336.3,345.7,336.9
350,00Z,31,Jul,1985,12,300.0,9680.0,-28.1,-36.1,46.0,0.59,90.0,10.0,345.7,348.0,345.8
351,00Z,31,Jul,1985,13,250.0,10960.0,-38.1,-48.1,34.0,0.2,100.0,13.0,349.3,350.1,349.3
353,00Z,31,Jul,1985,15,200.0,12555.0,-20.1,-24.7,67.0,2.6,,,400.8,412.4,401.4
358,12Z,31,Jul,1985,0,1000.0,-25.0,,,,,,,,,
361,12Z,31,Jul,1985,3,850.0,1431.0,27.4,23.2,78.0,21.61,100.0,2.0,314.8,382.7,318.9
363,12Z,31,Jul,1985,5,700.0,3114.0,18.0,13.6,75.0,14.19,95.0,5.0,322.4,368.1,325.1
365,12Z,31,Jul,1985,7,600.0,4417.0,8.8,5.0,77.0,9.2,104.0,7.0,326.3,356.6,328.1
367,12Z,31,Jul,1985,9,500.0,5910.0,1.8,-1.7,78.0,6.81,115.0,10.0,335.2,358.6,336.5
372,12Z,31,Jul,1985,14,300.0,9860.0,-21.3,,,,140.0,8.0,355.2,,355.2
374,12Z,31,Jul,1985,16,250.0,11190.0,-29.9,,,,125.0,8.0,361.5,,361.5
375,12Z,31,Jul,1985,17,200.0,12742.0,-41.7,,,,80.0,11.0,366.6,,366.6
378,00Z,1,Jul,1986,1,1000.0,26.0,26.2,23.6,86.0,18.74,180.0,12.0,299.4,354.3,302.7
379,00Z,1,Jul,1986,2,850.0,1455.0,20.2,19.0,93.0,16.56,205.0,23.0,307.3,357.5,310.3
380,00Z,1,Jul,1986,3,700.0,3112.0,12.0,10.8,92.0,11.76,250.0,11.0,315.7,352.7,318.0
382,00Z,1,Jul,1986,5,600.0,4390.0,5.6,3.6,87.0,8.33,277.0,14.0,322.6,349.7,324.2
383,00Z,1,Jul,1986,6,500.0,5860.0,-2.3,-4.3,86.0,5.6,310.0,17.0,330.2,349.2,331.3
384,00Z,1,Jul,1986,7,400.0,7600.0,-11.1,-14.5,76.0,3.13,155.0,21.0,340.5,351.8,341.1
385,00Z,1,Jul,1986,8,250.0,11050.0,-34.1,-44.1,36.0,0.31,90.0,21.0,355.2,356.6,355.3
386,00Z,1,Jul,1986,9,200.0,12580.0,-46.5,,,,35.0,22.0,359.0,,359.0
391,12Z,1,Jul,1986,1,1000.0,29.0,29.0,25.2,80.0,20.69,,,302.1,363.7,305.9
393,12Z,1,Jul,1986,3,850.0,1457.0,21.6,17.6,78.0,15.13,215.0,19.0,308.8,354.9,311.6
395,12Z,1,Jul,1986,5,700.0,3121.0,11.8,9.2,84.0,10.54,215.0,5.0,315.5,348.7,317.5
396,12Z,1,Jul,1986,6,600.0,4400.0,4.8,1.6,80.0,7.21,201.0,6.0,321.6,345.2,323.0
398,12Z,1,Jul,1986,8,500.0,5870.0,-2.1,-7.1,69.0,4.52,185.0,7.0,330.4,346.0,331.3
399,12Z,1,Jul,1986,9,400.0,7610.0,-11.1,-17.1,61.0,2.52,120.0,15.0,340.5,349.7,341.0
402,12Z,1,Jul,1986,12,300.0,9750.0,-26.5,,,,90.0,15.0,347.9,,347.9
