,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,12Z,2,Aug,1985,1,1000.0,36.0,29.0,25.0,79.0,20.44,180.0,12.0,302.1,362.9,305.8
3,12Z,2,Aug,1985,3,850.0,1469.0,20.6,20.4,99.0,18.11,100.0,18.0,307.7,362.7,311.0
4,12Z,2,Aug,1985,4,700.0,3134.0,11.6,10.0,90.0,11.14,160.0,22.0,315.3,350.3,317.4
6,12Z,2,Aug,1985,6,600.0,4415.0,6.8,3.8,81.0,8.45,194.0,26.0,323.9,351.6,325.6
8,12Z,2,Aug,1985,8,500.0,5890.0,-2.3,-6.1,75.0,4.88,235.0,31.0,330.2,346.9,331.1
11,12Z,2,Aug,1985,11,400.0,7640.0,-12.3,-19.3,56.0,2.09,240.0,37.0,338.9,346.6,339.3
14,12Z,3,Aug,1985,1,1000.0,25.0,28.6,25.2,82.0,20.69,1.0,0.0,301.8,363.2,305.5
16,12Z,3,Aug,1985,3,850.0,1456.0,21.4,17.6,79.0,15.13,165.0,11.0,308.6,354.7,311.4
17,12Z,3,Aug,1985,4,700.0,3119.0,12.4,8.2,76.0,9.84,225.0,7.0,316.2,347.3,318.1
20,12Z,3,Aug,1985,7,600.0,4396.0,5.2,-1.8,61.0,5.62,275.0,6.0,322.1,340.7,323.2
22,12Z,3,Aug,1985,9,500.0,5860.0,-3.1,-8.1,68.0,4.18,335.0,4.0,329.2,343.6,330.0
24,12Z,3,Aug,1985,11,400.0,7610.0,-11.1,-20.1,47.0,1.95,150.0,5.0,340.5,347.7,340.9
27,00Z,4,Aug,1985,1,1000.0,43.0,25.4,24.4,94.0,19.69,357.0,0.0,298.6,356.1,302.1
29,00Z,4,Aug,1985,3,850.0,1456.0,19.2,17.2,88.0,14.75,205.0,9.0,306.2,350.8,308.9
31,00Z,4,Aug,1985,5,700.0,3098.0,10.4,8.2,86.0,9.84,160.0,9.0,314.0,344.8,315.8
32,00Z,4,Aug,1985,6,500.0,5830.0,-2.9,-6.1,79.0,4.88,80.0,8.0,329.4,346.1,330.4
33,00Z,4,Aug,1985,7,400.0,7570.0,-11.7,-17.7,61.0,2.39,55.0,8.0,339.7,348.5,340.2
34,00Z,4,Aug,1985,8,300.0,9730.0,-24.3,-37.3,29.0,0.52,55.0,15.0,351.0,353.2,351.1
35,00Z,4,Aug,1985,9,250.0,11040.0,-33.7,,,,50.0,21.0,355.8,,355.8
36,00Z,4,Aug,1985,10,200.0,12570.0,-45.9,,,,35.0,28.0,359.9,,359.9
38,12Z,4,Aug,1985,0,1000.0,6.0,,,,,,,,,
41,12Z,4,Aug,1985,3,850.0,1472.0,23.4,21.4,89.0,19.29,155.0,9.0,310.6,370.0,314.2
42,12Z,4,Aug,1985,4,700.0,3132.0,10.2,6.6,78.0,8.81,126.0,9.0,313.8,341.4,315.4
43,12Z,4,Aug,1985,5,500.0,5850.0,-4.9,-14.9,45.0,2.42,75.0,10.0,327.0,335.5,327.5
44,00Z,6,Aug,1985,0,1000.0,-10.0,,,,,,,,,
47,00Z,6,Aug,1985,3,850.0,1424.0,19.8,17.8,88.0,15.33,140.0,7.0,306.9,353.3,309.7
49,00Z,6,Aug,1985,5,700.0,3076.0,11.8,9.6,86.0,10.84,145.0,24.0,315.5,349.6,317.6
51,00Z,6,Aug,1985,7,600.0,4349.0,5.2,2.6,83.0,7.75,140.0,27.0,322.1,347.4,323.6
53,00Z,6,Aug,1985,9,500.0,5820.0,-1.1,-4.7,77.0,5.43,135.0,31.0,331.6,350.2,332.7
56,00Z,6,Aug,1985,12,400.0,7580.0,-11.1,-19.1,52.0,2.12,145.0,10.0,340.5,348.4,340.9
59,00Z,6,Aug,1985,15,300.0,9740.0,-26.5,-37.1,36.0,0.53,125.0,12.0,347.9,350.1,348.0
61,00Z,6,Aug,1985,17,250.0,11030.0,-34.5,-37.1,77.0,0.64,115.0,11.0,354.6,357.3,354.8
63,00Z,6,Aug,1985,19,200.0,12530.0,-52.1,,,,110.0,8.0,350.1,,350.1
66,12Z,6,Aug,1985,0,1000.0,0.0,,,,,,,,,
69,12Z,6,Aug,1985,3,850.0,1433.0,20.0,18.4,91.0,15.93,145.0,17.0,307.1,355.3,310.0
71,12Z,6,Aug,1985,5,700.0,3089.0,11.8,8.8,82.0,10.26,175.0,26.0,315.5,347.9,317.5
72,12Z,6,Aug,1985,6,600.0,4367.0,5.4,1.6,76.0,7.21,180.0,,322.3,345.9,323.7
74,12Z,6,Aug,1985,8,500.0,5840.0,-1.5,-7.5,64.0,4.38,185.0,,331.1,346.3,332.0
80,00Z,7,Aug,1985,0,1000.0,8.0,,,,,,,,,
84,00Z,7,Aug,1985,4,850.0,1442.0,20.6,19.4,93.0,16.99,170.0,23.0,307.7,359.3,310.8
85,00Z,7,Aug,1985,5,700.0,3101.0,14.4,11.4,82.0,12.24,195.0,21.0,318.4,357.3,320.7
87,00Z,7,Aug,1985,7,600.0,4407.0,7.8,4.0,77.0,8.57,172.0,19.0,325.1,353.3,326.8
88,00Z,7,Aug,1985,8,500.0,5900.0,-2.3,-7.3,69.0,4.45,145.0,17.0,330.2,345.5,331.1
92,00Z,7,Aug,1985,12,400.0,7680.0,-5.7,-6.9,91.0,5.74,140.0,15.0,347.5,368.3,348.7
94,00Z,7,Aug,1985,14,300.0,9900.0,-14.3,-17.3,78.0,3.3,180.0,17.0,365.1,378.2,365.9
96,12Z,7,Aug,1985,0,1000.0,1.0,,,,,,,,,
98,12Z,7,Aug,1985,2,850.0,1422.0,19.4,15.2,77.0,12.94,200.0,17.0,306.4,345.6,308.8
100,12Z,7,Aug,1985,4,700.0,3080.0,12.2,6.2,67.0,8.57,190.0,21.0,316.0,343.2,317.6
101,12Z,7,Aug,1985,5,600.0,4360.0,6.2,0.2,65.0,6.51,137.0,19.0,323.2,344.7,324.5
103,12Z,7,Aug,1985,7,500.0,5840.0,0.2,-9.8,47.0,3.65,75.0,17.0,333.2,346.1,333.9
107,12Z,7,Aug,1985,11,300.0,9810.0,-20.5,-34.5,27.0,0.69,105.0,23.0,356.4,359.2,356.5
109,12Z,7,Aug,1985,13,250.0,11130.0,-30.3,,,,105.0,15.0,360.9,,360.9
111,12Z,7,Aug,1985,15,200.0,12690.0,-42.5,,,,85.0,17.0,365.3,,365.3
115,00Z,8,Aug,1985,0,1000.0,8.0,,,,,,,,,
118,00Z,8,Aug,1985,3,850.0,1426.0,18.4,17.2,93.0,14.75,175.0,19.0,305.4,349.8,308.1
