,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,12Z,1,Sep,1985,0,1000.0,16.0,28.8,24.5,78.0,19.82,180.0,12.0,301.9,360.8,305.5
1,12Z,1,Sep,1985,1,850.0,1450.0,21.2,16.2,73.0,13.82,175.0,26.0,308.3,350.4,310.9
2,12Z,1,Sep,1985,2,700.0,3120.0,12.2,6.2,67.0,8.57,160.0,36.0,316.0,343.2,317.6
3,12Z,1,Sep,1985,3,500.0,5870.0,0.2,,,,140.0,30.0,333.2,,333.2
4,12Z,1,Sep,1985,4,400.0,7630.0,-10.3,,,,190.0,22.0,341.5,,341.5
5,12Z,1,Sep,1985,5,300.0,9780.0,-25.7,,,,55.0,38.0,349.0,,349.0
6,00Z,5,Sep,1985,0,1000.0,16.0,26.0,24.0,89.0,19.21,180.0,12.0,299.1,355.5,302.6
8,00Z,5,Sep,1985,2,850.0,1445.0,21.2,19.0,87.0,16.56,170.0,18.0,308.3,358.8,311.4
9,00Z,5,Sep,1985,3,700.0,3109.0,13.8,11.0,83.0,11.92,185.0,18.0,317.7,355.5,320.0
11,00Z,5,Sep,1985,5,600.0,4397.0,8.2,2.2,66.0,7.53,196.0,18.0,325.6,350.5,327.0
12,00Z,5,Sep,1985,6,500.0,5880.0,0.6,-9.4,47.0,3.77,210.0,17.0,333.7,347.0,334.5
13,00Z,5,Sep,1985,7,300.0,9830.0,-21.1,,,,135.0,19.0,355.5,,355.5
14,00Z,5,Sep,1985,8,250.0,11150.0,-31.9,,,,115.0,18.0,358.5,,358.5
15,00Z,5,Sep,1985,9,200.0,12680.0,-45.9,,,,90.0,27.0,359.9,,359.9
16,12Z,5,Sep,1985,0,1000.0,-2.0,,,,,,,,,
19,12Z,5,Sep,1985,3,850.0,1431.0,22.0,18.2,79.0,15.73,195.0,11.0,309.2,357.2,312.1
21,12Z,5,Sep,1985,5,700.0,3107.0,14.0,10.2,78.0,11.29,220.0,13.0,318.0,353.8,320.1
23,12Z,5,Sep,1985,7,600.0,4397.0,5.4,0.4,70.0,6.61,202.0,15.0,322.3,344.0,323.6
25,12Z,5,Sep,1985,9,500.0,5870.0,-3.3,-14.3,42.0,2.54,180.0,18.0,328.9,337.9,329.5
26,12Z,5,Sep,1985,10,400.0,7588.0,-17.5,-29.5,34.0,0.83,175.0,21.0,332.2,335.3,332.3
27,12Z,5,Sep,1985,11,300.0,9710.0,-30.7,,,,125.0,41.0,342.0,,342.0
28,00Z,6,Sep,1985,0,1000.0,7.0,,,,,,,,,
30,00Z,6,Sep,1985,2,850.0,1420.0,18.0,17.2,95.0,14.75,245.0,7.0,305.0,349.2,307.7
31,00Z,6,Sep,1985,3,700.0,3070.0,9.8,5.6,75.0,8.21,210.0,10.0,313.3,339.1,314.9
32,00Z,6,Sep,1985,4,500.0,5780.0,-7.5,-12.3,68.0,2.99,195.0,22.0,323.8,334.1,324.4
33,00Z,6,Sep,1985,5,400.0,7493.0,-14.9,-19.9,66.0,1.98,185.0,21.0,335.5,342.8,335.9
34,00Z,6,Sep,1985,6,300.0,9620.0,-28.5,-33.3,63.0,0.77,130.0,15.0,345.1,348.2,345.3
