,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,8,Jan,1985,1,1000.0,127.0,15.6,13.4,87.0,9.75,210.0,13.0,288.8,316.3,290.4
2,00Z,8,Jan,1985,2,850.0,1491.0,8.0,4.6,79.0,6.29,210.0,15.0,294.5,313.0,295.6
3,00Z,8,Jan,1985,3,700.0,3070.0,1.2,,,,330.0,20.0,303.8,,303.8
4,00Z,8,Jan,1985,4,500.0,5700.0,-13.1,,,,275.0,56.0,317.0,,317.0
5,00Z,8,Jan,1985,5,400.0,7360.0,-25.9,,,,270.0,57.0,321.2,,321.2
6,00Z,8,Jan,1985,6,300.0,9380.0,-41.3,,,,,,327.0,,327.0
8,00Z,9,Jan,1985,1,1000.0,138.0,20.0,18.5,91.0,13.59,290.0,8.0,293.1,331.9,295.5
9,00Z,9,Jan,1985,2,850.0,1512.0,13.0,,,,245.0,16.0,299.8,,299.8
10,00Z,9,Jan,1985,3,700.0,3115.0,7.0,,,,245.0,25.0,310.2,,310.2
11,00Z,9,Jan,1985,4,500.0,5790.0,-10.5,,,,260.0,30.0,320.2,,320.2
12,00Z,9,Jan,1985,5,400.0,7460.0,-23.5,,,,285.0,57.0,324.4,,324.4
13,00Z,9,Jan,1985,6,300.0,9510.0,-33.3,,,,260.0,63.0,338.3,,338.3
14,00Z,9,Jan,1985,7,250.0,10760.0,-41.9,,,,255.0,71.0,343.6,,343.6
15,00Z,9,Jan,1985,8,200.0,12230.0,-53.5,,,,300.0,48.0,347.9,,347.9
17,00Z,12,Jan,1985,1,1000.0,128.0,14.0,11.6,85.0,8.65,255.0,16.0,287.1,311.5,288.6
19,00Z,12,Jan,1985,3,850.0,1491.0,11.0,-18.0,11.0,1.1,260.0,16.0,297.7,301.3,297.9
20,00Z,12,Jan,1985,4,700.0,3093.0,7.4,,,,262.0,16.0,310.6,,310.6
21,00Z,12,Jan,1985,5,500.0,5760.0,-11.1,,,,265.0,16.0,319.4,,319.4
23,00Z,14,Jan,1985,1,1000.0,144.0,17.6,11.6,68.0,8.65,280.0,14.0,290.8,315.5,292.3
24,00Z,14,Jan,1985,2,850.0,1512.0,9.0,4.7,74.0,6.34,305.0,15.0,295.6,314.3,296.7
25,00Z,14,Jan,1985,3,700.0,3087.0,-0.3,-15.3,31.0,1.67,300.0,26.0,302.1,307.6,302.4
26,00Z,14,Jan,1985,4,500.0,5730.0,-13.1,,,,270.0,47.0,317.0,,317.0
27,00Z,14,Jan,1985,5,400.0,7400.0,-25.3,,,,275.0,48.0,322.0,,322.0
28,00Z,14,Jan,1985,6,300.0,9420.0,-42.7,,,,,,325.1,,325.1
30,00Z,15,Jan,1985,1,1000.0,124.0,16.4,10.4,68.0,7.97,285.0,6.0,289.6,312.3,290.9
31,00Z,15,Jan,1985,2,850.0,1489.0,8.2,2.2,66.0,5.3,280.0,10.0,294.7,310.5,295.7
32,00Z,15,Jan,1985,3,700.0,3064.0,2.0,-9.0,44.0,2.78,285.0,20.0,304.7,313.6,305.2
33,00Z,15,Jan,1985,4,500.0,5700.0,-14.3,,,,285.0,45.0,315.5,,315.5
34,00Z,15,Jan,1985,5,400.0,7340.0,-21.3,,,,278.0,63.0,327.2,,327.2
37,00Z,16,Jan,1985,1,1000.0,126.0,16.0,11.6,75.0,8.65,260.0,6.0,289.1,313.7,290.7
39,00Z,16,Jan,1985,3,850.0,1488.0,8.4,5.7,83.0,6.8,260.0,6.0,294.9,314.9,296.1
40,00Z,16,Jan,1985,4,700.0,3063.0,-3.3,-13.3,46.0,1.97,280.0,14.0,298.8,305.1,299.2
41,00Z,16,Jan,1985,5,500.0,5650.0,-16.5,-18.6,84.0,1.77,280.0,58.0,312.9,318.9,313.2
43,00Z,23,Jan,1985,1,1000.0,134.0,-27.1,-27.7,95.0,0.4,270.0,106.0,246.1,247.1,246.1
45,00Z,23,Jan,1985,3,850.0,1494.0,11.2,5.2,67.0,6.56,265.0,3.0,297.9,317.4,299.1
46,00Z,23,Jan,1985,4,700.0,3075.0,0.0,,,,280.0,13.0,302.4,,302.4
47,00Z,23,Jan,1985,5,500.0,5600.0,-16.1,,,,295.0,8.0,313.4,,313.4
48,00Z,23,Jan,1985,6,400.0,7250.0,-26.1,,,,280.0,17.0,321.0,,321.0
50,00Z,1,Jan,1986,1,1000.0,124.0,14.8,12.2,84.0,9.0,305.0,3.0,287.9,313.3,289.5
52,00Z,1,Jan,1986,3,850.0,1509.0,9.8,5.5,75.0,6.7,55.0,150.0,296.4,316.2,297.6
53,00Z,1,Jan,1986,4,700.0,3140.0,11.8,,,,295.0,28.0,315.5,,315.5
54,00Z,1,Jan,1986,5,500.0,5940.0,-2.9,,,,285.0,30.0,329.4,,329.4
55,00Z,1,Jan,1986,6,400.0,7690.0,-16.7,,,,280.0,31.0,333.2,,333.2
56,00Z,1,Jan,1986,7,300.0,9830.0,-32.9,,,,280.0,61.0,338.9,,338.9
57,00Z,1,Jan,1986,8,250.0,11086.0,-42.9,,,,280.0,72.0,342.1,,342.1
59,00Z,1,Jan,1986,10,200.0,12610.0,-53.5,,,,,,347.9,,347.9
61,00Z,4,Jan,1986,1,1000.0,127.0,11.0,9.7,92.0,7.61,300.0,306.0,284.1,305.4,285.4
64,00Z,4,Jan,1986,4,850.0,1502.0,11.4,,,,100.0,18.0,298.1,,298.1
65,00Z,4,Jan,1986,5,700.0,3154.0,17.4,,,,260.0,12.0,321.7,,321.7
67,00Z,4,Jan,1986,7,500.0,5930.0,-3.9,,,,245.0,20.0,328.2,,328.2
68,00Z,4,Jan,1986,8,400.0,7680.0,-19.7,,,,250.0,25.0,329.3,,329.3
69,00Z,4,Jan,1986,9,300.0,9821.0,-34.1,,,,255.0,60.0,337.2,,337.2
70,00Z,4,Jan,1986,10,250.0,11070.0,-44.5,,,,250.0,30.0,339.8,,339.8
71,00Z,4,Jan,1986,11,200.0,12570.0,-52.9,,,,205.0,88.0,348.8,,348.8
76,00Z,5,Jan,1986,1,1000.0,143.0,13.0,10.2,83.0,7.87,295.0,9.0,286.1,308.3,287.5
78,00Z,5,Jan,1986,3,850.0,1524.0,9.4,,,,305.0,6.0,296.0,,296.0
79,00Z,5,Jan,1986,4,700.0,3161.0,7.6,,,,285.0,14.0,310.9,,310.9
80,00Z,5,Jan,1986,5,500.0,5840.0,-8.1,,,,250.0,51.0,323.1,,323.1
82,00Z,5,Jan,1986,7,400.0,7630.0,-16.7,,,,240.0,88.0,333.2,,333.2
84,00Z,6,Jan,1986,1,1000.0,122.0,13.0,12.8,99.0,9.37,325.0,4.0,286.1,312.3,287.8
86,00Z,6,Jan,1986,3,850.0,1504.0,10.2,4.2,66.0,6.12,70.0,13.0,296.8,315.0,297.9
87,00Z,6,Jan,1986,4,700.0,3130.0,9.2,,,,285.0,27.0,312.6,,312.6
88,00Z,6,Jan,1986,5,500.0,5860.0,-9.9,,,,285.0,35.0,320.9,,320.9
89,00Z,6,Jan,1986,6,400.0,7560.0,-18.9,,,,280.0,50.0,330.3,,330.3
90,00Z,6,Jan,1986,7,300.0,9700.0,-28.9,,,,,,344.5,,344.5
92,00Z,11,Jan,1986,1,1000.0,129.0,17.4,12.5,73.0,9.18,40.0,2.0,290.6,316.7,292.2
94,00Z,11,Jan,1986,3,850.0,1509.0,8.0,4.0,76.0,6.03,310.0,5.0,294.5,312.3,295.6
95,00Z,11,Jan,1986,4,700.0,3125.0,3.6,,,,290.0,15.0,306.4,,306.4
96,00Z,11,Jan,1986,5,500.0,5820.0,-11.5,,,,235.0,18.0,318.9,,318.9
98,00Z,20,Jan,1986,1,1000.0,137.0,16.6,13.6,82.0,9.88,225.0,4.0,289.8,317.7,291.5
100,00Z,20,Jan,1986,3,850.0,1517.0,9.0,-8.0,29.0,2.47,90.0,68.0,295.6,303.2,296.0
105,00Z,23,Jan,1986,1,1000.0,128.0,17.4,11.4,68.0,8.53,245.0,4.0,290.6,314.9,292.0
107,00Z,23,Jan,1986,3,850.0,1519.0,10.0,,,,245.0,8.0,296.6,,296.6
108,00Z,23,Jan,1986,4,700.0,3222.0,6.6,,,,325.0,24.0,309.8,,309.8
109,00Z,23,Jan,1986,5,500.0,5910.0,-7.7,,,,270.0,28.0,323.6,,323.6
110,00Z,23,Jan,1986,6,400.0,7640.0,-18.5,,,,265.0,35.0,330.9,,330.9
111,00Z,23,Jan,1986,7,300.0,9740.0,-38.5,,,,275.0,39.0,331.0,,331.0
112,00Z,23,Jan,1986,8,250.0,10980.0,-48.7,,,,,,333.5,,333.5
114,00Z,24,Jan,1986,1,1000.0,127.0,15.0,12.2,83.0,9.0,285.0,22.0,288.1,313.6,289.7
116,00Z,24,Jan,1986,3,850.0,1481.0,-20.7,,,,300.0,29.0,264.4,,264.4
117,00Z,24,Jan,1986,4,700.0,3104.0,0.0,,,,285.0,63.0,302.4,,302.4
121,00Z,27,Jan,1986,1,1000.0,145.0,14.1,,,,,,287.2,,287.2
129,00Z,29,Jan,1986,1,1000.0,135.0,18.0,14.5,80.0,10.48,360.0,5.0,291.1,321.0,293.0
134,00Z,29,Jan,1986,6,850.0,1575.0,10.2,9.5,95.0,8.84,260.0,17.0,296.8,322.7,298.4
135,00Z,29,Jan,1986,7,700.0,3170.0,5.0,1.5,78.0,6.13,285.0,39.0,308.0,327.1,309.1
138,00Z,29,Jan,1986,10,500.0,5890.0,-9.5,,,,265.0,85.0,321.4,,321.4
142,00Z,30,Jan,1986,1,1000.0,116.0,17.0,15.0,88.0,10.83,325.0,6.0,290.1,320.8,292.0
144,00Z,30,Jan,1986,3,850.0,1533.0,14.2,11.2,82.0,9.92,290.0,33.0,301.0,330.5,302.8
148,00Z,31,Jan,1986,1,1000.0,81.0,23.4,20.5,84.0,15.43,205.0,6.0,296.6,341.2,299.3
