,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,3,Oct,1985,1,700.0,3150.0,9.6,3.6,66.0,7.13,295.0,9.0,313.1,335.6,314.4
2,00Z,3,Oct,1985,2,500.0,5830.0,-9.1,,,,45.0,9.0,321.9,,321.9
3,00Z,3,Oct,1985,3,400.0,7510.0,-18.3,,,,315.0,13.0,331.1,,331.1
4,00Z,3,Oct,1985,4,300.0,9700.0,-32.9,,,,295.0,47.0,338.9,,338.9
5,00Z,3,Oct,1985,5,250.0,10960.0,-42.5,,,,295.0,47.0,342.7,,342.7
7,00Z,5,Oct,1985,1,1000.0,-83.0,-22.6,-26.0,74.0,0.46,105.0,3.0,250.6,251.8,250.6
11,00Z,5,Oct,1985,5,850.0,1499.0,-22.9,-33.9,36.0,0.26,95.0,6.0,262.1,262.9,262.2
13,00Z,5,Oct,1985,7,700.0,3158.0,-11.5,-28.5,23.0,0.52,120.0,11.0,289.7,291.5,289.8
15,00Z,6,Oct,1985,1,1000.0,10.0,27.0,26.0,94.0,21.73,195.0,5.0,300.1,364.3,304.0
17,00Z,6,Oct,1985,3,850.0,1516.0,19.0,7.0,46.0,7.44,140.0,10.0,306.0,328.9,307.4
18,00Z,6,Oct,1985,4,700.0,3155.0,9.4,,,,100.0,16.0,312.9,,312.9
19,00Z,6,Oct,1985,5,500.0,5850.0,-5.5,,,,175.0,25.0,326.3,,326.3
21,00Z,7,Oct,1985,1,1000.0,79.0,26.8,24.4,87.0,19.69,245.0,4.0,299.9,357.9,303.5
23,00Z,7,Oct,1985,3,850.0,1487.0,19.6,14.6,73.0,12.44,200.0,6.0,306.7,344.4,308.9
24,00Z,7,Oct,1985,4,700.0,3117.0,7.2,3.6,78.0,7.13,185.0,10.0,310.4,332.7,311.8
25,00Z,7,Oct,1985,5,500.0,5810.0,-7.5,-12.3,68.0,2.99,295.0,15.0,323.8,334.1,324.4
26,00Z,7,Oct,1985,6,400.0,7520.0,-15.7,-24.7,46.0,1.3,285.0,17.0,334.5,339.3,334.8
27,00Z,7,Oct,1985,7,300.0,9630.0,-32.3,,,,320.0,19.0,339.7,,339.7
28,00Z,7,Oct,1985,8,250.0,10890.0,-43.5,,,,245.0,25.0,341.3,,341.3
30,00Z,7,Oct,1985,10,200.0,12360.0,-56.3,,,,320.0,92.0,343.4,,343.4
34,00Z,9,Oct,1985,1,1000.0,89.0,25.8,22.9,84.0,17.94,85.0,2.0,298.9,351.5,302.1
36,00Z,9,Oct,1985,3,850.0,1499.0,17.8,14.0,78.0,11.96,315.0,3.0,304.8,340.8,307.0
37,00Z,9,Oct,1985,4,700.0,3127.0,9.4,3.4,66.0,7.03,345.0,7.0,312.9,335.1,314.2
38,00Z,9,Oct,1985,5,500.0,5840.0,-5.3,-13.3,53.0,2.76,280.0,17.0,326.5,336.1,327.1
39,00Z,9,Oct,1985,6,400.0,7560.0,-15.7,-24.7,46.0,1.3,240.0,27.0,334.5,339.3,334.8
40,00Z,9,Oct,1985,7,300.0,9656.0,-32.7,,,,285.0,17.0,339.2,,339.2
41,00Z,9,Oct,1985,8,250.0,10930.0,-41.5,,,,260.0,31.0,344.2,,344.2
42,00Z,9,Oct,1985,9,200.0,12410.0,-53.7,,,,285.0,29.0,347.6,,347.6
44,00Z,10,Oct,1985,1,1000.0,76.0,25.4,24.9,97.0,20.31,60.0,2.0,298.6,358.0,302.2
46,00Z,10,Oct,1985,3,850.0,1492.0,19.2,13.2,68.0,11.34,100.0,4.0,306.2,340.6,308.3
47,00Z,10,Oct,1985,4,700.0,3126.0,9.4,5.3,76.0,8.04,170.0,10.0,312.9,338.1,314.4
48,00Z,10,Oct,1985,5,500.0,5850.0,-3.5,-12.5,50.0,2.94,260.0,15.0,328.7,339.0,329.3
49,00Z,10,Oct,1985,6,400.0,7580.0,-15.1,,,,255.0,17.0,335.3,,335.3
50,00Z,10,Oct,1985,7,300.0,9690.0,-29.9,,,,265.0,24.0,343.1,,343.1
51,00Z,10,Oct,1985,8,250.0,10970.0,-38.9,,,,265.0,27.0,348.1,,348.1
52,00Z,10,Oct,1985,9,200.0,12450.0,-53.5,,,,260.0,17.0,347.9,,347.9
55,00Z,11,Oct,1985,1,1000.0,77.0,27.4,25.9,92.0,21.6,92.0,2.0,300.6,364.4,304.4
56,00Z,11,Oct,1985,2,850.0,1489.0,20.0,15.0,73.0,12.77,135.0,5.0,307.1,345.8,309.4
57,00Z,11,Oct,1985,3,700.0,3039.0,9.0,5.8,80.0,8.33,180.0,60.0,312.4,338.5,314.0
58,00Z,11,Oct,1985,4,500.0,5750.0,-5.5,-9.9,71.0,3.63,265.0,20.0,326.3,338.7,327.0
59,00Z,11,Oct,1985,5,400.0,7470.0,-14.5,,,,220.0,73.0,336.1,,336.1
60,00Z,11,Oct,1985,6,300.0,9590.0,-30.3,,,,260.0,19.0,342.6,,342.6
62,00Z,12,Oct,1985,1,1000.0,70.0,26.0,25.5,97.0,21.08,140.0,4.0,299.1,361.0,302.9
64,00Z,12,Oct,1985,3,850.0,1478.0,19.4,18.1,92.0,15.63,145.0,17.0,306.4,353.6,309.3
65,00Z,12,Oct,1985,4,700.0,3114.0,10.0,6.5,79.0,8.75,180.0,11.0,313.5,341.0,315.2
66,00Z,12,Oct,1985,5,500.0,5830.0,-5.3,-8.3,79.0,4.11,270.0,17.0,326.5,340.5,327.3
67,00Z,12,Oct,1985,6,400.0,7550.0,-14.9,-21.9,55.0,1.67,280.0,22.0,335.5,341.7,335.9
68,00Z,12,Oct,1985,7,300.0,9660.0,-30.3,,,,185.0,14.0,342.6,,342.6
69,00Z,12,Oct,1985,8,250.0,10930.0,-41.5,,,,140.0,20.0,344.2,,344.2
70,00Z,12,Oct,1985,9,200.0,12400.0,-54.3,,,,140.0,31.0,346.6,,346.6
73,00Z,13,Oct,1985,1,1000.0,79.0,21.0,16.8,77.0,12.18,30.0,5.0,294.1,329.1,296.3
77,00Z,13,Oct,1985,5,850.0,1495.0,18.6,16.5,88.0,14.09,360.0,3.0,305.6,348.1,308.2
79,00Z,13,Oct,1985,7,700.0,3129.0,13.0,5.0,58.0,7.87,270.0,5.0,316.9,342.0,318.4
80,00Z,13,Oct,1985,8,500.0,5860.0,-5.7,,,,180.0,2.0,326.0,,326.0
