,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,5,Nov,1985,1,1000.0,113.0,21.6,18.0,80.0,13.16,90.0,10.0,294.8,332.6,297.1
3,00Z,5,Nov,1985,3,850.0,1509.0,-12.5,-20.5,51.0,0.89,280.0,4.0,273.0,275.7,273.2
4,00Z,5,Nov,1985,4,700.0,3104.0,-3.5,-12.5,50.0,2.1,360.0,7.0,298.6,305.2,299.0
5,00Z,5,Nov,1985,5,500.0,5770.0,-9.5,,,,280.0,44.0,321.4,,321.4
6,00Z,5,Nov,1985,6,400.0,7460.0,-19.7,,,,280.0,82.0,329.3,,329.3
7,00Z,5,Nov,1985,7,300.0,9530.0,-33.3,,,,275.0,101.0,338.3,,338.3
9,00Z,5,Nov,1985,9,250.0,10790.0,-42.1,,,,255.0,81.0,343.3,,343.3
10,00Z,5,Nov,1985,10,200.0,12260.0,-53.3,,,,,,348.2,,348.2
12,00Z,8,Nov,1985,1,1000.0,109.0,21.0,21.0,100.0,15.93,320.0,11.0,294.1,339.8,296.9
14,00Z,8,Nov,1985,3,850.0,1494.0,10.6,4.6,66.0,6.29,250.0,13.0,297.2,316.0,298.4
15,00Z,8,Nov,1985,4,700.0,3089.0,4.4,,,,225.0,19.0,307.3,,307.3
16,00Z,8,Nov,1985,5,500.0,5750.0,-12.5,,,,285.0,30.0,317.7,,317.7
17,00Z,8,Nov,1985,6,400.0,7420.0,-23.5,,,,275.0,55.0,324.4,,324.4
18,00Z,8,Nov,1985,7,300.0,9480.0,-31.9,,,,280.0,86.0,340.3,,340.3
19,00Z,8,Nov,1985,8,250.0,10750.0,-39.9,,,,280.0,98.0,346.6,,346.6
20,00Z,8,Nov,1985,9,200.0,12230.0,-53.5,,,,,,347.9,,347.9
22,00Z,10,Nov,1985,1,1000.0,-87.0,-20.0,-22.8,78.0,0.62,135.0,6.0,253.2,254.9,253.2
23,00Z,10,Nov,1985,2,850.0,1474.0,12.4,-4.6,30.0,3.21,265.0,8.0,299.1,309.1,299.7
24,00Z,10,Nov,1985,3,700.0,3107.0,2.0,,,,325.0,16.0,304.7,,304.7
25,00Z,10,Nov,1985,4,500.0,5770.0,-9.1,,,,270.0,40.0,321.9,,321.9
26,00Z,10,Nov,1985,5,400.0,7470.0,-17.9,,,,280.0,104.0,331.6,,331.6
28,00Z,11,Nov,1985,1,1000.0,90.0,20.4,17.1,81.0,12.42,190.0,4.0,293.6,329.1,295.7
30,00Z,11,Nov,1985,3,850.0,1483.0,15.2,2.2,41.0,5.3,320.0,10.0,302.1,318.3,303.0
31,00Z,11,Nov,1985,4,700.0,3093.0,4.4,,,,280.0,25.0,307.3,,307.3
32,00Z,11,Nov,1985,5,500.0,5820.0,-9.3,,,,270.0,46.0,321.6,,321.6
33,00Z,11,Nov,1985,6,400.0,7520.0,-17.9,,,,250.0,86.0,331.6,,331.6
34,00Z,11,Nov,1985,7,300.0,9610.0,-31.7,,,,,,340.6,,340.6
36,00Z,12,Nov,1985,1,1000.0,120.0,21.6,17.4,77.0,12.66,65.0,9.0,294.8,331.2,297.0
38,00Z,12,Nov,1985,3,850.0,1516.0,14.4,10.6,78.0,9.53,320.0,12.0,301.2,329.6,302.9
39,00Z,12,Nov,1985,4,700.0,3125.0,4.4,,,,315.0,10.0,307.3,,307.3
