,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,4,Dec,1985,1,1000.0,121.0,19.4,19.4,100.0,14.39,310.0,5.0,292.6,333.5,295.1
3,00Z,4,Dec,1985,3,850.0,1501.0,10.2,8.9,92.0,8.49,335.0,6.0,296.8,321.7,298.3
4,00Z,4,Dec,1985,4,700.0,3091.0,4.0,,,,325.0,6.0,306.9,,306.9
5,00Z,4,Dec,1985,5,500.0,5770.0,-9.3,,,,315.0,45.0,321.6,,321.6
6,00Z,4,Dec,1985,6,400.0,7470.0,-18.3,,,,35.0,55.0,331.1,,331.1
7,00Z,4,Dec,1985,7,300.0,9560.0,-34.9,,,,305.0,80.0,336.1,,336.1
8,00Z,4,Dec,1985,8,250.0,10810.0,-46.1,,,,305.0,70.0,337.4,,337.4
9,00Z,4,Dec,1985,9,200.0,12260.0,-56.9,,,,,,342.5,,342.5
11,00Z,7,Dec,1985,1,1000.0,112.0,21.4,18.3,83.0,13.41,40.0,17.0,294.6,333.1,296.9
13,00Z,7,Dec,1985,3,850.0,1320.0,13.4,-8.6,21.0,2.36,40.0,12.0,300.2,307.6,300.6
14,00Z,7,Dec,1985,4,500.0,5950.0,-3.5,,,,315.0,25.0,328.7,,328.7
15,00Z,7,Dec,1985,5,400.0,7710.0,-16.5,,,,330.0,27.0,333.5,,333.5
16,00Z,7,Dec,1985,6,300.0,9850.0,-34.5,,,,295.0,43.0,336.6,,336.6
17,00Z,7,Dec,1985,7,250.0,11120.0,-42.9,,,,,,342.1,,342.1
20,00Z,15,Dec,1985,2,850.0,1525.0,12.6,11.4,92.0,10.05,270.0,14.0,299.3,329.0,301.1
21,00Z,15,Dec,1985,3,700.0,3070.0,10.4,,,,290.0,4.0,314.0,,314.0
22,00Z,15,Dec,1985,4,500.0,5840.0,-7.7,,,,,,323.6,,323.6
23,00Z,15,Dec,1985,5,400.0,7590.0,-13.3,,,,,,337.6,,337.6
25,00Z,16,Dec,1985,1,1000.0,117.0,18.0,16.2,89.0,11.71,285.0,4.0,291.1,324.4,293.2
27,00Z,16,Dec,1985,3,850.0,1496.0,13.6,9.3,75.0,8.72,330.0,3.0,300.4,326.4,302.0
28,00Z,16,Dec,1985,4,700.0,3133.0,10.0,,,,330.0,3.0,313.5,,313.5
29,00Z,16,Dec,1985,5,500.0,5900.0,-5.5,,,,280.0,18.0,326.3,,326.3
30,00Z,16,Dec,1985,6,400.0,7650.0,-16.9,,,,275.0,19.0,332.9,,332.9
31,00Z,16,Dec,1985,7,300.0,9760.0,-33.5,,,,260.0,22.0,338.0,,338.0
32,00Z,16,Dec,1985,8,250.0,11013.0,-43.5,,,,260.0,29.0,341.3,,341.3
33,00Z,16,Dec,1985,9,200.0,12590.0,-52.5,,,,235.0,23.0,349.5,,349.5
36,00Z,19,Dec,1985,1,1000.0,-96.0,-17.4,-20.7,75.0,0.74,345.0,6.0,255.8,257.8,255.9
38,00Z,19,Dec,1985,3,850.0,1508.0,15.4,1.4,39.0,5.01,280.0,10.0,302.3,317.6,303.2
39,00Z,19,Dec,1985,4,700.0,3150.0,3.4,,,,290.0,14.0,306.2,,306.2
41,00Z,19,Dec,1985,6,500.0,5830.0,-11.7,,,,285.0,16.0,318.7,,318.7
44,00Z,22,Dec,1985,1,1000.0,154.0,18.4,15.4,83.0,11.12,,,291.6,323.2,293.5
48,00Z,22,Dec,1985,5,850.0,1546.0,15.0,,,,100.0,6.0,301.9,,301.9
50,00Z,22,Dec,1985,7,700.0,3198.0,7.6,,,,105.0,13.0,310.9,,310.9
51,00Z,22,Dec,1985,8,500.0,5992.0,-6.1,,,,70.0,26.0,325.5,,325.5
55,00Z,22,Dec,1985,12,400.0,7690.0,-21.1,,,,300.0,70.0,327.5,,327.5
56,00Z,22,Dec,1985,13,300.0,9810.0,-32.1,,,,310.0,60.0,340.0,,340.0
57,00Z,22,Dec,1985,14,250.0,11090.0,-42.9,,,,335.0,60.0,342.1,,342.1
58,00Z,22,Dec,1985,15,200.0,12590.0,-51.7,,,,,,350.7,,350.7
60,00Z,25,Dec,1985,1,1000.0,145.0,10.2,0.2,50.0,3.9,50.0,8.0,283.4,294.5,284.0
62,00Z,25,Dec,1985,3,850.0,1547.0,11.4,6.4,71.0,7.14,275.0,19.0,298.1,319.3,299.4
63,00Z,25,Dec,1985,4,700.0,3122.0,3.6,,,,240.0,10.0,306.4,,306.4
64,00Z,25,Dec,1985,5,500.0,5870.0,-9.1,,,,285.0,19.0,321.9,,321.9
65,00Z,25,Dec,1985,6,400.0,7580.0,-22.5,,,,270.0,21.0,325.7,,325.7
66,00Z,25,Dec,1985,7,300.0,9670.0,-37.1,,,,280.0,48.0,333.0,,333.0
67,00Z,25,Dec,1985,8,250.0,10940.0,-43.1,,,,,,341.9,,341.9
69,00Z,27,Dec,1985,1,1000.0,131.0,19.0,15.6,81.0,11.26,145.0,3.0,292.1,324.3,294.1
