,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,14,Feb,1986,1,1000.0,113.0,21.4,15.4,69.0,11.12,70.0,4.0,294.6,326.6,296.5
3,00Z,14,Feb,1986,3,850.0,1613.0,12.0,9.4,84.0,8.78,165.0,16.0,298.7,324.6,300.3
4,00Z,14,Feb,1986,4,700.0,3137.0,4.2,1.9,85.0,6.31,235.0,21.0,307.1,326.6,308.3
6,00Z,14,Feb,1986,6,500.0,5840.0,-13.0,,,,285.0,27.0,317.1,,317.1
8,00Z,1,Feb,1987,1,1000.0,151.0,20.6,14.6,68.0,10.55,20.0,15.0,293.8,324.1,295.6
9,00Z,1,Feb,1987,2,850.0,1558.0,11.4,5.4,67.0,6.66,340.0,7.0,298.1,317.9,299.3
10,00Z,1,Feb,1987,3,700.0,3189.0,2.4,,,,305.0,11.0,305.1,,305.1
11,00Z,1,Feb,1987,4,500.0,5908.0,-10.1,,,,265.0,47.0,320.7,,320.7
12,00Z,1,Feb,1987,5,400.0,7590.0,-22.1,,,,255.0,69.0,326.2,,326.2
13,00Z,1,Feb,1987,6,300.0,9700.0,-33.1,,,,310.0,80.0,338.6,,338.6
14,00Z,1,Feb,1987,7,250.0,10990.0,-40.7,,,,,,345.4,,345.4
16,00Z,5,Feb,1987,1,1000.0,137.0,10.0,9.2,95.0,7.35,360.0,8.0,283.1,303.6,284.4
18,00Z,5,Feb,1987,3,850.0,1515.0,8.4,,,,290.0,10.0,294.9,,294.9
20,00Z,5,Feb,1987,5,700.0,3166.0,-1.7,,,,260.0,16.0,300.6,,300.6
21,00Z,5,Feb,1987,6,500.0,5750.0,-20.5,,,,300.0,19.0,308.0,,308.0
22,00Z,5,Feb,1987,7,400.0,7420.0,-25.9,,,,,,321.2,,321.2
24,00Z,17,Feb,1987,1,1000.0,117.0,21.4,17.4,78.0,12.66,255.0,2.0,294.6,331.0,296.8
26,00Z,17,Feb,1987,3,850.0,1563.0,13.2,7.2,67.0,7.55,240.0,12.0,300.0,322.5,301.3
27,00Z,17,Feb,1987,4,700.0,3160.0,2.6,,,,245.0,8.0,305.3,,305.3
29,00Z,17,Feb,1987,6,500.0,5830.0,-14.5,,,,280.0,31.0,315.3,,315.3
30,00Z,17,Feb,1987,7,400.0,7520.0,-24.7,,,,245.0,54.0,322.8,,322.8
32,00Z,19,Feb,1987,1,1000.0,127.0,20.0,17.5,86.0,12.74,329.0,16.0,293.1,329.6,295.4
34,00Z,19,Feb,1987,3,850.0,1574.0,14.0,11.0,82.0,9.79,235.0,12.0,300.8,329.9,302.6
35,00Z,19,Feb,1987,4,700.0,3167.0,2.6,,,,260.0,18.0,305.3,,305.3
36,00Z,19,Feb,1987,5,500.0,5820.0,-12.5,,,,,,317.7,,317.7
38,00Z,22,Feb,1987,1,1000.0,131.0,22.4,16.4,69.0,11.87,285.0,6.0,295.6,329.9,297.7
40,00Z,22,Feb,1987,3,850.0,1549.0,14.4,8.4,67.0,8.2,290.0,20.0,301.2,325.8,302.7
41,00Z,22,Feb,1987,4,700.0,3193.0,3.2,,,,290.0,15.0,306.0,,306.0
42,00Z,22,Feb,1987,5,500.0,5900.0,-15.1,,,,270.0,31.0,314.6,,314.6
43,00Z,22,Feb,1987,6,400.0,7580.0,-25.3,,,,280.0,45.0,322.0,,322.0
44,00Z,22,Feb,1987,7,300.0,9670.0,-35.3,,,,220.0,,335.5,,335.5
47,00Z,23,Feb,1987,2,850.0,1541.0,13.0,11.0,88.0,9.79,315.0,11.0,299.8,328.7,301.5
48,00Z,23,Feb,1987,3,700.0,3174.0,2.4,,,,300.0,18.0,305.1,,305.1
49,00Z,23,Feb,1987,4,500.0,5890.0,-12.5,,,,300.0,30.0,317.7,,317.7
50,00Z,23,Feb,1987,5,400.0,7580.0,-24.3,,,,270.0,37.0,323.3,,323.3
52,00Z,23,Feb,1987,7,300.0,9690.0,-32.7,,,,,,339.2,,339.2
54,00Z,25,Feb,1987,1,1000.0,121.0,20.8,11.8,56.0,8.76,235.0,4.0,293.9,319.4,295.5
56,00Z,25,Feb,1987,3,850.0,1536.0,15.4,7.4,59.0,7.65,285.0,13.0,302.3,325.4,303.7
57,00Z,25,Feb,1987,4,700.0,3178.0,4.0,,,,280.0,17.0,306.9,,306.9
60,00Z,11,Feb,1990,1,1000.0,137.0,21.6,20.9,96.0,15.83,325.0,6.0,294.8,340.2,297.5
61,00Z,11,Feb,1990,2,850.0,1519.0,17.2,12.4,73.0,10.75,285.0,10.0,304.1,336.5,306.1
62,00Z,11,Feb,1990,3,700.0,3064.0,2.4,2.4,100.0,6.54,255.0,19.0,305.1,325.2,306.3
63,00Z,11,Feb,1990,4,500.0,5650.0,-14.7,-15.2,96.0,2.36,250.0,43.0,315.1,323.0,315.5
64,00Z,11,Feb,1990,5,400.0,7310.0,-21.3,-25.1,71.0,1.25,,,327.2,331.8,327.5
66,00Z,22,Feb,1990,1,1000.0,79.0,15.6,15.0,96.0,10.83,345.0,6.0,288.8,319.2,290.6
71,00Z,22,Feb,1990,6,850.0,1434.0,7.6,6.0,90.0,6.94,270.0,14.0,294.1,314.4,295.3
73,00Z,22,Feb,1990,8,700.0,2994.0,-3.9,-7.3,77.0,3.17,235.0,26.0,298.1,307.9,298.7
74,00Z,22,Feb,1990,9,500.0,5580.0,-17.5,,,,270.0,32.0,311.6,,311.6
76,00Z,22,Feb,1990,11,400.0,7220.0,-28.5,,,,280.0,41.0,317.9,,317.9
78,00Z,22,Feb,1990,13,300.0,9210.0,-52.5,,,,265.0,27.0,311.2,,311.2
80,00Z,4,Feb,1997,1,1000.0,80.0,16.0,14.8,93.0,10.69,40.0,2.0,289.1,319.3,291.0
81,00Z,4,Feb,1997,2,850.0,1454.0,10.4,7.7,83.0,7.81,215.0,5.0,297.0,320.1,298.4
82,00Z,4,Feb,1997,3,700.0,3041.0,-1.1,-2.2,92.0,4.67,275.0,30.0,301.2,315.6,302.1
83,00Z,4,Feb,1997,4,500.0,5670.0,-10.9,-31.9,16.0,0.53,270.0,52.0,319.7,321.7,319.8
84,00Z,4,Feb,1997,5,400.0,7380.0,-13.9,-34.9,15.0,0.5,280.0,90.0,336.8,338.8,336.9
85,00Z,4,Feb,1997,6,300.0,9490.0,-29.9,-47.9,16.0,0.17,270.0,110.0,343.1,343.8,343.2
86,00Z,4,Feb,1997,7,250.0,10700.0,-39.5,-56.5,15.0,0.07,270.0,117.0,347.2,347.5,347.2
88,00Z,4,Feb,1997,9,200.0,12170.0,-52.1,-66.1,17.0,0.03,275.0,107.0,350.1,350.2,350.1
92,00Z,6,Feb,1997,1,1000.0,93.0,17.4,16.1,92.0,11.64,300.0,3.0,290.6,323.5,292.6
94,00Z,6,Feb,1997,3,850.0,1466.0,3.6,-11.4,32.0,1.89,265.0,15.0,289.9,295.7,290.2
95,00Z,6,Feb,1997,4,700.0,3035.0,-4.3,-6.0,88.0,3.51,260.0,36.0,297.7,308.4,298.3
96,00Z,6,Feb,1997,5,500.0,5650.0,-7.1,-46.1,3.0,0.12,290.0,73.0,324.3,324.8,324.3
97,00Z,6,Feb,1997,6,400.0,7390.0,-11.5,-49.5,3.0,0.1,290.0,110.0,339.9,340.4,340.0
