,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,7,Mar,1986,1,1000.0,110.0,-1.7,-5.8,74.0,2.49,85.0,11.0,271.4,278.4,271.9
3,00Z,7,Mar,1986,3,850.0,1523.0,15.4,4.4,48.0,6.2,265.0,17.0,302.3,321.1,303.4
4,00Z,7,Mar,1986,4,700.0,3181.0,-70.1,,,,30.0,,224.8,,224.8
8,00Z,14,Mar,1986,1,1000.0,-51.0,-25.0,-35.0,39.0,0.2,290.0,5.0,248.2,248.7,248.2
11,00Z,14,Mar,1986,4,850.0,1525.0,21.0,11.0,53.0,9.79,265.0,10.0,308.1,338.1,309.9
12,00Z,14,Mar,1986,5,700.0,3168.0,11.2,,,,267.0,25.0,314.9,,314.9
13,00Z,14,Mar,1986,6,500.0,5960.0,-0.5,,,,270.0,52.0,332.4,,332.4
15,00Z,28,Mar,1986,1,1000.0,73.0,23.4,15.4,61.0,11.12,220.0,10.0,296.6,328.9,298.5
20,00Z,28,Mar,1986,6,850.0,1508.0,20.0,,,,205.0,6.0,307.1,,307.1
22,00Z,28,Mar,1986,8,700.0,3178.0,10.4,,,,125.0,24.0,314.0,,314.0
24,00Z,28,Mar,1986,10,500.0,5960.0,-5.3,,,,210.0,48.0,326.5,,326.5
25,00Z,28,Mar,1986,11,400.0,7700.0,-21.0,,,,200.0,48.0,327.6,,327.6
26,00Z,28,Mar,1986,12,300.0,9810.0,-33.5,,,,185.0,67.0,338.0,,338.0
28,00Z,28,Mar,1986,14,250.0,11090.0,-43.9,,,,195.0,10.0,340.7,,340.7
30,00Z,29,Mar,1986,1,1000.0,49.0,28.0,21.0,66.0,15.93,270.0,7.0,301.1,348.2,304.0
32,00Z,29,Mar,1986,3,850.0,1493.0,20.0,14.0,68.0,11.96,290.0,16.0,307.1,343.4,309.3
33,00Z,29,Mar,1986,4,700.0,3177.0,10.2,,,,305.0,46.0,313.8,,313.8
35,00Z,29,Mar,1986,6,500.0,5931.0,-6.1,,,,285.0,52.0,325.5,,325.5
