,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,3,Apr,1986,1,1000.0,-75.0,-40.1,-42.3,79.0,0.09,265.0,6.0,233.1,233.3,233.1
5,00Z,3,Apr,1986,5,850.0,1512.0,21.2,9.2,46.0,8.66,300.0,13.0,308.3,335.0,309.9
6,00Z,3,Apr,1986,6,700.0,3197.0,8.0,1.0,61.0,5.91,200.0,40.0,311.3,330.0,312.4
7,00Z,3,Apr,1986,7,500.0,5920.0,-10.5,-29.5,19.0,0.67,265.0,32.0,320.2,322.6,320.3
8,00Z,3,Apr,1986,8,400.0,7590.0,-22.1,,,,270.0,50.0,326.2,,326.2
9,00Z,3,Apr,1986,9,300.0,9680.0,-37.3,,,,250.0,88.0,332.7,,332.7
11,00Z,3,Apr,1986,11,250.0,10983.0,-44.9,,,,245.0,96.0,339.2,,339.2
12,00Z,3,Apr,1986,12,200.0,12440.0,-56.1,,,,250.0,93.0,343.8,,343.8
15,00Z,5,Apr,1986,1,1000.0,-87.0,-22.8,-27.8,64.0,0.39,360.0,24.0,250.3,251.5,250.4
16,00Z,5,Apr,1986,2,850.0,1519.0,18.4,5.4,42.0,6.66,345.0,12.0,305.4,325.9,306.6
17,00Z,5,Apr,1986,3,700.0,3171.0,3.0,0.2,82.0,5.58,255.0,14.0,305.8,323.1,306.8
18,00Z,5,Apr,1986,4,500.0,5880.0,-10.5,-11.2,95.0,3.27,255.0,39.0,320.2,331.2,320.8
19,00Z,5,Apr,1986,5,400.0,7610.0,-16.3,-18.5,83.0,2.24,260.0,34.0,333.7,341.8,334.2
20,00Z,5,Apr,1986,6,300.0,9790.0,-31.7,-35.1,72.0,0.65,265.0,149.0,340.6,343.1,340.7
22,00Z,5,Apr,1986,8,250.0,10330.0,-25.1,-25.9,93.0,1.86,,,368.6,376.3,369.0
24,00Z,7,Apr,1986,1,1000.0,81.0,24.8,-7.2,11.0,2.24,105.0,4.0,297.9,305.0,298.4
26,00Z,7,Apr,1986,3,850.0,1551.0,16.0,6.0,51.0,6.94,245.0,12.0,302.9,324.0,304.2
27,00Z,7,Apr,1986,4,700.0,3158.0,3.4,1.0,84.0,5.91,275.0,23.0,306.2,324.5,307.3
29,00Z,7,Apr,1986,6,500.0,5900.0,-5.7,,,,,,326.0,,326.0
31,00Z,10,Apr,1986,1,1000.0,-71.0,-19.6,-20.5,93.0,0.75,95.0,11.0,253.6,255.6,253.7
33,00Z,10,Apr,1986,3,850.0,1527.0,19.4,,,,275.0,14.0,306.4,,306.4
34,00Z,10,Apr,1986,4,700.0,3156.0,7.8,,,,300.0,26.0,311.1,,311.1
35,00Z,10,Apr,1986,5,500.0,5910.0,4.4,,,,305.0,14.0,338.3,,338.3
36,00Z,10,Apr,1986,6,400.0,7697.0,-20.7,,,,325.0,46.0,328.0,,328.0
37,00Z,10,Apr,1986,7,300.0,9750.0,-38.1,,,,295.0,45.0,331.6,,331.6
38,00Z,10,Apr,1986,8,250.0,11000.0,-48.9,,,,,,333.2,,333.2
40,00Z,11,Apr,1986,1,1000.0,74.0,23.0,22.2,95.0,17.17,195.0,10.0,296.1,345.8,299.2
42,00Z,11,Apr,1986,3,850.0,1508.0,20.0,18.0,88.0,15.53,280.0,20.0,307.1,354.1,309.9
43,00Z,11,Apr,1986,4,700.0,3206.0,9.0,2.0,62.0,6.36,325.0,21.0,312.4,332.5,313.6
45,00Z,11,Apr,1986,6,500.0,5890.0,-11.1,,,,290.0,40.0,319.4,,319.4
46,00Z,11,Apr,1986,7,400.0,7646.0,-21.3,,,,285.0,40.0,327.2,,327.2
48,00Z,11,Apr,1986,9,300.0,9700.0,-37.3,,,,280.0,41.0,332.7,,332.7
49,00Z,11,Apr,1986,10,250.0,10960.0,-46.5,,,,285.0,46.0,336.8,,336.8
50,00Z,11,Apr,1986,11,200.0,12440.0,-57.5,,,,,,341.6,,341.6
