,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,00Z,4,May,1985,0,1000.0,,,,,,,,,,
2,00Z,4,May,1985,2,850.0,1406.0,-10.9,-21.9,40.0,0.78,120.0,23.0,274.7,277.1,274.9
3,00Z,4,May,1985,3,700.0,3036.0,8.6,-3.4,43.0,4.27,200.0,26.0,312.0,325.7,312.8
4,00Z,4,May,1985,4,500.0,5710.0,-8.5,,,,275.0,25.0,322.6,,322.6
5,00Z,4,May,1985,5,400.0,7390.0,-22.3,,,,275.0,29.0,325.9,,325.9
6,00Z,4,May,1985,6,300.0,9450.0,-37.1,,,,265.0,35.0,333.0,,333.0
7,00Z,4,May,1985,7,250.0,10680.0,-45.5,,,,275.0,44.0,338.3,,338.3
8,00Z,4,May,1985,8,200.0,12140.0,-54.7,,,,275.0,38.0,346.0,,346.0
10,00Z,6,May,1985,1,1000.0,33.0,22.4,20.4,88.0,15.33,155.0,13.0,295.6,339.8,298.3
11,00Z,6,May,1985,2,850.0,1446.0,16.0,14.8,93.0,12.61,220.0,15.0,302.9,340.5,305.2
12,00Z,6,May,1985,3,700.0,3067.0,8.0,-7.0,34.0,3.25,270.0,23.0,311.3,321.9,311.9
13,00Z,6,May,1985,4,500.0,5740.0,-10.1,,,,305.0,27.0,320.7,,320.7
14,00Z,6,May,1985,5,400.0,7430.0,-20.1,,,,310.0,31.0,328.8,,328.8
16,00Z,6,May,1985,7,300.0,9480.0,-37.5,,,,255.0,28.0,332.4,,332.4
17,00Z,6,May,1985,8,250.0,10700.0,-47.3,,,,,,335.6,,335.6
19,00Z,7,May,1985,1,1000.0,78.0,20.4,19.0,92.0,14.03,75.0,4.0,293.6,333.7,296.0
20,00Z,7,May,1985,2,850.0,1476.0,19.2,10.2,56.0,9.27,230.0,8.0,306.2,334.5,307.9
