,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,00Z,3,Jun,1986,0,1000.0,,,,,,,,,,
3,00Z,3,Jun,1986,3,850.0,1491.0,19.4,8.4,49.0,8.2,260.0,4.0,306.4,331.6,308.0
4,00Z,3,Jun,1986,4,700.0,3118.0,7.0,-3.0,49.0,4.4,210.0,28.0,310.2,324.2,311.0
5,00Z,3,Jun,1986,5,500.0,5880.0,-4.5,,,,280.0,41.0,327.5,,327.5
7,00Z,12,Jun,1986,0,1000.0,,,,,,,,,,
12,00Z,12,Jun,1986,5,850.0,1456.0,22.2,22.2,100.0,20.29,175.0,10.0,309.4,371.6,313.1
13,00Z,12,Jun,1986,6,700.0,3148.0,16.4,14.1,86.0,14.67,255.0,24.0,320.6,367.6,323.4
15,00Z,13,Jun,1986,0,1000.0,,,,,,,,,,
21,00Z,13,Jun,1986,6,850.0,1446.0,19.0,17.4,90.0,14.94,135.0,13.0,306.0,351.1,308.8
23,00Z,13,Jun,1986,8,700.0,3113.0,11.6,1.6,50.0,6.18,165.0,12.0,315.3,335.1,316.5
24,00Z,13,Jun,1986,9,500.0,5830.0,-5.1,-9.5,71.0,3.74,,,326.8,339.6,327.5
25,00Z,14,Jun,1986,0,1000.0,,,,,,,,,,
31,00Z,14,Jun,1986,6,850.0,1461.0,19.4,16.5,83.0,14.09,,,306.4,349.0,309.0
32,00Z,17,Jun,1986,0,1000.0,,,,,,,,,,
35,00Z,17,Jun,1986,3,850.0,1456.0,18.4,17.3,93.0,14.84,220.0,20.0,305.4,350.0,308.1
36,00Z,17,Jun,1986,4,700.0,3121.0,10.0,9.2,95.0,10.54,215.0,12.0,313.5,346.5,315.5
38,00Z,17,Jun,1986,6,500.0,5890.0,-4.1,-4.7,96.0,5.43,65.0,5.0,328.0,346.3,329.1
39,00Z,17,Jun,1986,7,400.0,7660.0,-12.5,-17.5,66.0,2.43,115.0,9.0,338.6,347.6,339.1
40,00Z,17,Jun,1986,8,300.0,9840.0,-20.5,,,,170.0,11.0,356.4,,356.4
41,00Z,17,Jun,1986,9,250.0,11150.0,-37.5,,,,185.0,11.0,350.2,,350.2
42,00Z,17,Jun,1986,10,200.0,12680.0,-50.1,,,,150.0,,353.3,,353.3
45,00Z,18,Jun,1986,0,1000.0,,,,,,,,,,
51,00Z,18,Jun,1986,6,850.0,1408.0,20.0,18.6,92.0,16.14,195.0,12.0,307.1,355.9,310.1
52,00Z,19,Jun,1986,0,1000.0,,,,,,,,,,
55,00Z,19,Jun,1986,3,850.0,1419.0,18.8,16.6,87.0,14.18,155.0,11.0,305.8,348.6,308.4
