,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,2,Jul,1986,1,1000.0,-2.0,-25.0,-25.0,100.0,0.51,145.0,8.0,248.2,249.5,248.2
3,00Z,2,Jul,1986,3,850.0,1464.0,19.4,16.0,81.0,13.64,230.0,6.0,306.4,347.7,309.0
4,00Z,2,Jul,1986,4,700.0,3121.0,9.4,7.3,87.0,9.25,210.0,4.0,312.9,341.8,314.6
6,00Z,2,Jul,1986,6,500.0,5890.0,-3.9,-8.5,70.0,4.05,195.0,10.0,328.2,342.1,329.0
7,00Z,2,Jul,1986,7,400.0,7670.0,-12.5,-19.5,56.0,2.05,170.0,8.0,338.6,346.2,339.1
8,00Z,2,Jul,1986,8,300.0,9840.0,-38.9,-42.7,67.0,0.3,130.0,13.0,330.4,331.6,330.5
9,00Z,2,Jul,1986,9,250.0,11140.0,-37.3,-43.3,54.0,0.33,115.0,317.0,350.5,351.9,350.5
10,00Z,2,Jul,1986,10,200.0,12680.0,-47.3,,,,115.0,27.0,357.7,,357.7
14,00Z,7,Jul,1986,0,1000.0,,,,,,,,,,
17,00Z,7,Jul,1986,3,850.0,1407.0,18.0,17.2,95.0,14.75,75.0,12.0,305.0,349.2,307.7
18,00Z,7,Jul,1986,4,700.0,3084.0,11.4,10.4,94.0,11.44,65.0,32.0,315.1,351.0,317.2
19,00Z,7,Jul,1986,5,500.0,5860.0,-3.7,-5.7,86.0,5.03,,,328.5,345.6,329.5
21,00Z,8,Jul,1986,1,1000.0,-30.0,-26.0,-26.6,95.0,0.44,90.0,5.0,247.2,248.4,247.2
25,00Z,8,Jul,1986,5,850.0,1472.0,18.8,16.8,88.0,14.37,185.0,15.0,305.8,349.1,308.5
27,00Z,8,Jul,1986,7,700.0,3144.0,11.4,8.3,81.0,9.91,165.0,14.0,315.1,346.3,317.0
28,00Z,8,Jul,1986,8,500.0,5920.0,-3.1,-6.2,79.0,4.84,155.0,12.0,329.2,345.7,330.2
30,00Z,8,Jul,1986,10,400.0,7700.0,-12.5,-19.5,56.0,2.05,140.0,14.0,338.6,346.2,339.1
31,00Z,8,Jul,1986,11,300.0,9880.0,-26.9,,,,140.0,13.0,347.4,,347.4
33,00Z,9,Jul,1986,1,1000.0,-28.0,-25.2,-25.2,100.0,0.5,150.0,10.0,247.9,249.3,248.0
35,00Z,9,Jul,1986,3,850.0,1465.0,20.0,18.7,92.0,16.24,190.0,12.0,307.1,356.3,310.1
36,00Z,9,Jul,1986,4,700.0,3142.0,11.8,7.4,74.0,9.31,190.0,12.0,315.5,345.0,317.3
37,00Z,9,Jul,1986,5,500.0,5940.0,-1.5,-4.8,78.0,5.39,15.0,,331.1,349.6,332.2
38,00Z,13,Jul,1986,0,1000.0,,,,,,,,,,
41,00Z,13,Jul,1986,3,850.0,1452.0,18.6,15.5,82.0,13.2,140.0,16.0,305.6,345.4,308.0
42,00Z,13,Jul,1986,4,700.0,3129.0,12.8,9.9,83.0,11.06,105.0,16.0,316.6,351.6,318.7
43,00Z,13,Jul,1986,5,500.0,5930.0,-2.9,-4.1,91.0,5.68,110.0,22.0,329.4,348.7,330.6
44,00Z,13,Jul,1986,6,400.0,7762.0,-12.1,-21.1,47.0,1.79,120.0,21.0,339.2,345.8,339.5
45,00Z,13,Jul,1986,7,300.0,9900.0,-26.5,-33.5,52.0,0.76,123.0,53.0,347.9,351.0,348.1
46,00Z,13,Jul,1986,8,250.0,11220.0,-35.1,,,,125.0,73.0,353.7,,353.7
47,00Z,13,Jul,1986,9,200.0,12733.0,-48.5,,,,90.0,,355.8,,355.8
48,00Z,14,Jul,1986,0,1000.0,,,,,,,,,,
50,00Z,14,Jul,1986,2,850.0,1436.0,18.4,18.2,99.0,15.73,170.0,22.0,305.4,352.7,308.3
51,00Z,14,Jul,1986,3,700.0,3111.0,-12.5,-15.1,81.0,1.7,150.0,27.0,288.6,293.8,288.9
52,00Z,14,Jul,1986,4,500.0,5910.0,-81.7,-91.7,17.0,0.0,130.0,20.0,233.4,233.4,233.4
53,00Z,14,Jul,1986,5,400.0,7680.0,-13.1,,,,105.0,15.0,337.9,,337.9
54,00Z,14,Jul,1986,6,300.0,9870.0,-26.5,,,,90.0,55.0,347.9,,347.9
55,00Z,15,Jul,1986,0,1000.0,,,,,,,,,,
58,00Z,15,Jul,1986,3,850.0,1438.0,19.4,18.6,95.0,16.14,135.0,8.0,306.4,355.2,309.4
59,00Z,15,Jul,1986,4,700.0,3115.0,12.0,10.9,93.0,11.84,160.0,19.0,315.7,353.0,318.0
61,00Z,15,Jul,1986,6,500.0,5920.0,1.0,,,,145.0,14.0,334.2,,334.2
62,00Z,15,Jul,1986,7,400.0,7700.0,-12.1,,,,100.0,21.0,339.2,,339.2
63,00Z,15,Jul,1986,8,300.0,9890.0,-26.3,,,,60.0,33.0,348.2,,348.2
64,00Z,15,Jul,1986,9,250.0,11210.0,-36.3,,,,,,352.0,,352.0
65,00Z,15,Jul,1986,10,200.0,12723.0,-47.1,,,,,,358.0,,358.0
66,00Z,18,Jul,1986,0,1000.0,,,,,,,,,,
69,00Z,18,Jul,1986,3,850.0,1430.0,18.6,16.5,88.0,14.09,125.0,13.0,305.6,348.1,308.2
70,00Z,18,Jul,1986,4,700.0,3097.0,12.0,8.8,81.0,10.26,160.0,14.0,315.7,348.1,317.7
72,00Z,18,Jul,1986,6,500.0,5900.0,-1.7,-11.7,46.0,3.14,170.0,8.0,330.9,341.9,331.5
