,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,00Z,5,Aug,1985,0,1000.0,,,,,,,,,,
3,00Z,5,Aug,1985,3,850.0,1405.0,19.4,15.4,78.0,13.11,110.0,15.0,306.4,346.1,308.9
4,00Z,5,Aug,1985,4,700.0,3049.0,11.0,8.5,85.0,10.05,55.0,12.0,314.6,346.2,316.5
5,00Z,5,Aug,1985,5,500.0,5780.0,4.0,-5.0,52.0,5.31,95.0,20.0,337.9,356.5,338.9
6,00Z,5,Aug,1985,6,400.0,7490.0,-55.0,,,,,,283.4,,283.4
7,00Z,7,Aug,1985,0,1000.0,,,,,,,,,,
10,00Z,7,Aug,1985,3,850.0,1408.0,18.0,14.5,80.0,12.36,140.0,30.0,305.0,342.2,307.2
11,00Z,7,Aug,1985,4,700.0,3053.0,12.4,10.6,89.0,11.6,135.0,19.0,316.2,352.8,318.4
12,00Z,7,Aug,1985,5,500.0,5790.0,-2.1,-5.6,77.0,5.07,135.0,22.0,330.4,347.8,331.4
13,00Z,7,Aug,1985,6,400.0,7530.0,-11.1,,,,135.0,22.0,340.5,,340.5
14,00Z,7,Aug,1985,7,300.0,9670.0,-26.7,,,,115.0,12.0,347.6,,347.6
15,00Z,7,Aug,1985,8,250.0,10960.0,-35.9,,,,95.0,43.0,352.6,,352.6
16,00Z,7,Aug,1985,9,200.0,12470.0,-48.3,,,,100.0,39.0,356.1,,356.1
17,00Z,8,Aug,1985,0,1000.0,,,,,,,,,,
20,00Z,8,Aug,1985,3,850.0,1407.0,18.4,17.2,93.0,14.75,155.0,18.0,305.4,349.8,308.1
21,00Z,8,Aug,1985,4,700.0,3052.0,11.4,9.5,88.0,10.76,140.0,16.0,315.1,348.9,317.1
22,00Z,8,Aug,1985,5,500.0,5790.0,-3.9,-8.6,70.0,4.02,180.0,13.0,328.2,342.0,329.0
23,00Z,8,Aug,1985,6,400.0,7520.0,-12.9,-19.9,56.0,1.98,115.0,13.0,338.1,345.4,338.5
24,00Z,8,Aug,1985,7,300.0,9650.0,-27.5,-29.6,82.0,1.1,75.0,32.0,346.5,350.8,346.7
25,00Z,8,Aug,1985,8,250.0,10940.0,-36.7,,,,85.0,33.0,351.4,,351.4
26,00Z,8,Aug,1985,9,200.0,12450.0,-48.7,,,,105.0,53.0,355.5,,355.5
