,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,15,Sep,1985,1,1000.0,-31.0,-24.5,-24.5,100.0,0.53,130.0,8.0,248.7,250.1,248.7
3,00Z,15,Sep,1985,3,850.0,1424.0,-15.7,-17.4,87.0,1.15,140.0,18.0,269.7,273.0,269.9
4,00Z,15,Sep,1985,4,700.0,3046.0,9.0,6.0,81.0,8.45,140.0,15.0,312.4,338.9,314.0
5,00Z,15,Sep,1985,5,500.0,5760.0,-4.9,-6.6,88.0,4.69,160.0,12.0,327.0,342.9,327.9
6,00Z,15,Sep,1985,6,400.0,7480.0,-12.1,-17.1,66.0,2.52,175.0,22.0,339.2,348.4,339.7
7,00Z,15,Sep,1985,7,300.0,9620.0,-27.1,,,,185.0,35.0,347.1,,347.1
8,00Z,15,Sep,1985,8,250.0,10910.0,-39.1,,,,350.0,22.0,347.8,,347.8
9,00Z,15,Sep,1985,9,200.0,12300.0,-51.3,,,,250.0,10.0,351.4,,351.4
13,00Z,18,Sep,1985,1,1000.0,-55.0,-47.0,-48.5,85.0,0.05,135.0,3.0,226.2,226.3,226.2
18,00Z,18,Sep,1985,6,850.0,1473.0,20.0,13.0,64.0,11.19,170.0,4.0,307.1,341.1,309.1
19,00Z,18,Sep,1985,7,700.0,3132.0,-14.5,-27.5,32.0,0.57,215.0,10.0,286.4,288.3,286.5
20,00Z,18,Sep,1985,8,500.0,5890.0,-3.5,-11.5,54.0,3.19,280.0,12.0,328.7,339.8,329.3
21,00Z,18,Sep,1985,9,400.0,7630.0,-12.5,,,,280.0,7.0,338.6,,338.6
22,00Z,18,Sep,1985,10,300.0,9770.0,-27.9,,,,280.0,10.0,345.9,,345.9
23,00Z,18,Sep,1985,11,250.0,11050.0,-39.3,,,,217.0,11.0,347.5,,347.5
24,00Z,18,Sep,1985,12,200.0,12550.0,-51.3,,,,140.0,12.0,351.4,,351.4
28,00Z,22,Sep,1985,1,1000.0,-86.0,-22.6,-25.0,81.0,0.51,200.0,12.0,250.6,252.0,250.6
29,00Z,22,Sep,1985,2,850.0,1477.0,16.6,11.8,73.0,10.33,210.0,10.0,303.5,334.5,305.4
31,00Z,22,Sep,1985,4,700.0,3099.0,27.6,24.2,82.0,28.13,235.0,9.0,333.0,429.2,338.6
34,00Z,26,Sep,1985,1,1000.0,-58.0,-24.0,-24.6,95.0,0.52,260.0,10.0,249.2,250.6,249.2
38,00Z,26,Sep,1985,5,850.0,1380.0,-20.5,-23.2,79.0,0.7,310.0,13.0,264.7,266.7,264.8
39,00Z,26,Sep,1985,6,700.0,2975.0,9.6,4.6,71.0,7.65,265.0,12.0,313.1,337.2,314.5
40,00Z,26,Sep,1985,7,500.0,5690.0,-5.1,-6.1,93.0,4.88,260.0,22.0,326.8,343.2,327.7
41,00Z,26,Sep,1985,8,400.0,7420.0,-33.3,,,,,,311.6,,311.6
44,00Z,28,Sep,1985,2,700.0,3095.0,9.0,,,,17.0,1.0,312.4,,312.4
45,00Z,28,Sep,1985,3,500.0,5810.0,-3.7,,,,33.0,2.0,328.5,,328.5
46,00Z,28,Sep,1985,4,250.0,10540.0,-41.3,,,,65.0,3.0,344.5,,344.5
47,00Z,28,Sep,1985,5,200.0,12420.0,-53.5,,,,305.0,8.0,347.9,,347.9
51,00Z,30,Sep,1985,1,1000.0,72.0,25.6,24.5,94.0,19.82,240.0,7.0,298.8,356.8,302.3
53,00Z,30,Sep,1985,3,850.0,1487.0,18.0,16.6,92.0,14.18,135.0,6.0,305.0,347.6,307.6
54,00Z,30,Sep,1985,4,700.0,3121.0,11.0,3.0,58.0,6.83,290.0,7.0,314.6,336.4,315.9
55,00Z,30,Sep,1985,5,500.0,5830.0,-3.9,15.6,387.0,22.92,250.0,22.0,328.2,404.1,332.7
57,00Z,30,Sep,1985,7,400.0,7550.0,-14.7,,,,260.0,27.0,335.8,,335.8
58,00Z,30,Sep,1985,8,300.0,9670.0,-30.1,,,,260.0,16.0,342.8,,342.8
59,00Z,30,Sep,1985,9,250.0,10950.0,-38.5,,,,255.0,18.0,348.7,,348.7
60,00Z,30,Sep,1985,10,200.0,12440.0,-51.5,,,,265.0,27.0,351.1,,351.1
64,00Z,1,Sep,1986,1,1000.0,-37.0,-23.6,-23.6,100.0,0.57,180.0,5.0,249.6,251.1,249.6
66,00Z,1,Sep,1986,3,850.0,1508.0,18.4,15.9,85.0,13.55,230.0,6.0,305.4,346.2,307.9
67,00Z,1,Sep,1986,4,700.0,3141.0,10.0,1.0,54.0,5.91,205.0,6.0,313.5,332.4,314.6
68,00Z,1,Sep,1986,5,500.0,5910.0,-4.1,-6.7,82.0,4.66,205.0,4.0,328.0,343.8,328.9
69,00Z,1,Sep,1986,6,400.0,7670.0,-14.9,,,,180.0,7.0,335.5,,335.5
70,00Z,1,Sep,1986,7,300.0,9820.0,-29.5,,,,100.0,15.0,343.7,,343.7
71,00Z,1,Sep,1986,8,250.0,11220.0,-36.5,,,,100.0,19.0,351.7,,351.7
72,00Z,1,Sep,1986,9,200.0,12838.0,-51.1,,,,95.0,20.0,351.7,,351.7
76,00Z,2,Sep,1986,1,1000.0,-38.0,-25.2,-28.1,77.0,0.38,225.0,4.0,247.9,249.0,248.0
78,00Z,2,Sep,1986,3,850.0,1485.0,20.8,13.8,64.0,11.8,295.0,12.0,307.9,343.9,310.1
79,00Z,2,Sep,1986,4,700.0,3162.0,12.8,4.8,58.0,7.76,275.0,16.0,316.6,341.4,318.1
81,00Z,2,Sep,1986,6,500.0,5950.0,-2.5,-7.2,70.0,4.48,260.0,7.0,329.9,345.3,330.8
82,00Z,2,Sep,1986,7,400.0,7687.0,-12.5,-15.0,82.0,3.0,65.0,2.0,338.6,349.5,339.3
83,00Z,4,Sep,1986,0,1000.0,20.0,27.0,26.0,94.0,21.73,130.0,5.0,300.1,364.3,304.0
87,00Z,4,Sep,1986,4,850.0,1456.0,19.6,17.2,86.0,14.75,290.0,28.0,306.7,351.2,309.4
89,00Z,4,Sep,1986,6,700.0,3118.0,10.0,7.5,84.0,9.38,330.0,30.0,313.5,342.9,315.3
90,00Z,4,Sep,1986,7,500.0,5880.0,-3.7,-4.5,94.0,5.51,330.0,7.0,328.5,347.1,329.6
93,00Z,4,Sep,1986,10,400.0,7650.0,-12.5,-14.6,84.0,3.1,,,338.6,349.9,339.3
94,00Z,5,Sep,1986,0,1000.0,,,,,,,,,,
97,00Z,5,Sep,1986,3,850.0,1444.0,19.4,18.0,92.0,15.53,305.0,4.0,306.4,353.4,309.3
98,00Z,5,Sep,1986,4,700.0,3127.0,9.8,6.6,80.0,8.81,95.0,6.0,313.3,340.9,315.0
100,00Z,5,Sep,1986,6,500.0,5900.0,3.0,-1.6,72.0,6.86,155.0,7.0,336.6,360.4,338.0
101,00Z,5,Sep,1986,7,400.0,7660.0,-17.5,-19.6,84.0,2.03,320.0,8.0,332.2,339.5,332.6
102,00Z,5,Sep,1986,8,300.0,9820.0,-28.1,,,,175.0,27.0,345.7,,345.7
103,00Z,5,Sep,1986,9,250.0,11130.0,-37.5,,,,,,350.2,,350.2
104,00Z,6,Sep,1986,0,1000.0,20.0,27.2,25.9,93.0,21.6,,,300.4,364.1,304.2
