,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,4,Jan,1986,1,1000.0,162.0,14.4,12.1,86.0,8.94,360.0,6.0,287.6,312.7,289.1
3,00Z,4,Jan,1986,3,850.0,1530.0,16.0,3.0,42.0,5.62,340.0,14.0,302.9,320.1,303.9
4,00Z,4,Jan,1986,4,700.0,3166.0,10.4,-4.6,35.0,3.9,250.0,27.0,314.0,326.7,314.7
5,00Z,4,Jan,1986,5,500.0,5980.0,-1.7,-14.7,36.0,2.46,245.0,37.0,330.9,339.6,331.4
6,00Z,4,Jan,1986,6,400.0,7630.0,-15.1,-27.1,35.0,1.04,245.0,63.0,335.3,339.2,335.5
7,00Z,4,Jan,1986,7,300.0,9740.0,-29.7,-35.7,56.0,0.61,230.0,69.0,343.4,345.9,343.5
8,00Z,4,Jan,1986,8,250.0,11010.0,-40.1,,,,240.0,110.0,346.3,,346.3
9,00Z,4,Jan,1986,9,200.0,12490.0,-51.3,,,,240.0,108.0,351.4,,351.4
11,00Z,5,Jan,1986,1,1000.0,173.0,15.4,15.4,100.0,11.12,320.0,10.0,288.6,319.8,290.5
15,00Z,5,Jan,1986,5,850.0,1540.0,16.0,1.0,36.0,4.86,280.0,12.0,302.9,317.9,303.8
17,00Z,5,Jan,1986,7,700.0,3165.0,11.0,-4.0,35.0,4.08,210.0,19.0,314.6,327.9,315.4
18,00Z,5,Jan,1986,8,500.0,5900.0,-6.3,-14.3,53.0,2.54,240.0,67.0,325.3,334.1,325.8
20,00Z,5,Jan,1986,10,400.0,7610.0,-17.3,-23.3,60.0,1.47,230.0,152.0,332.4,337.8,332.7
22,00Z,5,Jan,1986,12,300.0,9700.0,-33.9,-39.9,55.0,0.4,250.0,114.0,337.5,339.1,337.6
23,00Z,5,Jan,1986,13,250.0,10960.0,-43.3,-44.4,89.0,0.3,235.0,158.0,341.6,342.8,341.6
25,00Z,5,Jan,1986,15,200.0,12430.0,-53.1,,,,240.0,168.0,348.5,,348.5
27,00Z,8,Jan,1986,1,1000.0,141.0,15.0,14.5,97.0,10.48,80.0,6.0,288.1,317.6,290.0
28,00Z,8,Jan,1986,2,850.0,1531.0,9.4,4.9,73.0,6.43,280.0,12.0,296.0,315.0,297.1
29,00Z,8,Jan,1986,3,700.0,3142.0,10.2,-6.8,30.0,3.3,120.0,17.0,313.8,324.6,314.4
30,00Z,8,Jan,1986,4,500.0,5830.0,-9.1,-24.1,29.0,1.1,235.0,35.0,321.9,325.8,322.1
31,00Z,8,Jan,1986,5,400.0,7520.0,-21.5,-26.5,64.0,1.1,235.0,27.0,327.0,331.0,327.2
32,00Z,8,Jan,1986,6,300.0,9590.0,-32.7,-42.7,36.0,0.3,250.0,10.0,339.2,340.4,339.2
33,00Z,8,Jan,1986,7,250.0,10850.0,-42.7,,,,230.0,122.0,342.4,,342.4
35,00Z,8,Jan,1986,9,200.0,12310.0,-55.1,,,,230.0,132.0,345.4,,345.4
