,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,27,Oct,1985,1,1000.0,124.0,22.2,20.4,90.0,15.33,45.0,6.0,295.4,339.5,298.1
5,00Z,27,Oct,1985,5,850.0,1529.0,15.0,14.8,99.0,12.61,15.0,3.0,301.9,339.2,304.1
7,00Z,27,Oct,1985,7,700.0,3119.0,4.0,2.8,92.0,6.73,230.0,10.0,306.9,327.7,308.1
8,00Z,27,Oct,1985,8,500.0,5760.0,-11.1,,,,300.0,14.0,319.4,,319.4
9,00Z,27,Oct,1985,9,400.0,7430.0,-23.7,,,,290.0,293.0,324.1,,324.1
15,00Z,28,Oct,1985,5,850.0,1520.0,13.6,11.2,85.0,9.92,225.0,6.0,300.4,329.8,302.2
17,00Z,28,Oct,1985,7,700.0,3140.0,10.4,8.1,86.0,9.77,285.0,39.0,314.0,344.6,315.8
18,00Z,28,Oct,1985,8,500.0,5820.0,-5.9,,,,285.0,40.0,325.8,,325.8
20,00Z,23,Oct,1986,1,1000.0,12.0,22.8,20.6,87.0,15.53,20.0,2.0,295.9,340.8,298.7
22,00Z,23,Oct,1986,3,850.0,1528.0,16.2,9.2,63.0,8.66,250.0,4.0,303.1,329.2,304.7
23,00Z,23,Oct,1986,4,700.0,3146.0,8.4,1.4,61.0,6.09,250.0,9.0,311.8,331.0,312.9
24,00Z,23,Oct,1986,5,500.0,5830.0,-4.7,-13.7,49.0,2.67,195.0,9.0,327.2,336.6,327.8
25,00Z,23,Oct,1986,6,400.0,7550.0,-13.5,,,,250.0,22.0,337.4,,337.4
27,00Z,24,Oct,1986,1,1000.0,111.0,22.8,21.1,90.0,16.03,330.0,2.0,295.9,342.2,298.8
29,00Z,24,Oct,1986,3,850.0,1519.0,19.4,13.4,68.0,11.49,60.0,7.0,306.4,341.3,308.6
30,00Z,24,Oct,1986,4,700.0,3156.0,11.4,0.4,47.0,5.66,205.0,10.0,315.1,333.3,316.1
31,00Z,24,Oct,1986,5,500.0,5850.0,-6.3,-16.3,45.0,2.15,50.0,5.0,325.3,332.9,325.7
32,00Z,24,Oct,1986,6,400.0,7540.0,-14.7,-23.7,46.0,1.42,235.0,19.0,335.8,341.1,336.1
33,00Z,24,Oct,1986,7,300.0,9640.0,-31.3,-34.6,73.0,0.68,,,341.1,343.8,341.3
35,00Z,26,Oct,1986,1,1000.0,143.0,22.6,20.0,85.0,14.95,45.0,7.0,295.8,338.9,298.4
36,00Z,26,Oct,1986,2,850.0,1541.0,18.0,10.0,60.0,9.15,300.0,8.0,305.0,332.7,306.7
37,00Z,26,Oct,1986,3,700.0,3157.0,8.0,1.0,61.0,5.91,240.0,8.0,311.3,330.0,312.4
38,00Z,26,Oct,1986,4,500.0,5810.0,-5.5,-16.5,42.0,2.12,265.0,18.0,326.3,333.7,326.7
39,00Z,26,Oct,1986,5,400.0,7520.0,-16.9,,,,265.0,22.0,332.9,,332.9
