,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,4,Nov,1985,1,1000.0,138.0,19.4,17.3,88.0,12.58,50.0,17.0,292.6,328.4,294.8
6,00Z,4,Nov,1985,6,850.0,1527.0,19.8,15.0,74.0,12.77,250.0,10.0,306.9,345.6,309.2
8,00Z,4,Nov,1985,8,700.0,3113.0,2.0,-0.5,84.0,5.3,255.0,27.0,304.7,321.0,305.6
9,00Z,4,Nov,1985,9,500.0,5750.0,-10.1,,,,285.0,27.0,320.7,,320.7
11,00Z,4,Nov,1985,11,400.0,7440.0,-21.5,,,,275.0,45.0,327.0,,327.0
13,00Z,4,Nov,1985,13,300.0,9500.0,-35.7,,,,290.0,70.0,334.9,,334.9
14,00Z,4,Nov,1985,14,250.0,10750.0,-41.9,,,,280.0,72.0,343.6,,343.6
15,00Z,4,Nov,1985,15,200.0,12220.0,-53.1,,,,275.0,99.0,348.5,,348.5
20,00Z,5,Nov,1985,2,1000.0,128.0,20.0,16.7,81.0,12.1,25.0,10.0,293.1,327.8,295.3
23,00Z,5,Nov,1985,5,850.0,1538.0,15.4,9.4,67.0,8.78,280.0,11.0,302.3,328.6,303.9
24,00Z,5,Nov,1985,6,700.0,3127.0,2.6,-1.3,75.0,5.0,240.0,19.0,305.3,320.9,306.3
25,00Z,5,Nov,1985,7,500.0,5750.0,-10.3,,,,285.0,37.0,320.4,,320.4
26,00Z,5,Nov,1985,8,400.0,7440.0,-10.1,,,,290.0,47.0,341.8,,341.8
27,00Z,5,Nov,1985,9,300.0,9520.0,-33.5,,,,275.0,79.0,338.0,,338.0
28,00Z,5,Nov,1985,10,250.0,10780.0,-43.1,,,,270.0,35.0,341.9,,341.9
30,00Z,5,Nov,1985,12,200.0,12250.0,-53.5,,,,260.0,90.0,347.9,,347.9
34,00Z,8,Nov,1985,1,1000.0,133.0,17.8,16.2,90.0,11.71,360.0,10.0,290.9,324.2,293.0
