,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,1,Dec,1985,1,1000.0,152.0,17.2,15.2,88.0,10.97,360.0,11.0,290.4,321.4,292.3
3,00Z,1,Dec,1985,3,850.0,1533.0,15.0,9.0,67.0,8.54,265.0,10.0,301.9,327.5,303.4
4,00Z,1,Dec,1985,4,700.0,3144.0,7.4,1.4,66.0,6.09,280.0,17.0,310.6,329.8,311.8
5,00Z,1,Dec,1985,5,500.0,5730.0,-8.7,,,,280.0,10.0,322.4,,322.4
7,00Z,2,Dec,1985,1,1000.0,153.0,17.4,15.5,89.0,11.19,15.0,4.0,290.6,322.3,292.5
9,00Z,2,Dec,1985,3,850.0,1537.0,15.4,6.4,55.0,7.14,275.0,9.0,302.3,323.9,303.6
10,00Z,2,Dec,1985,4,700.0,3170.0,12.2,3.2,54.0,6.93,265.0,19.0,316.0,338.1,317.3
11,00Z,2,Dec,1985,5,500.0,5860.0,-9.7,,,,275.0,45.0,321.1,,321.1
12,00Z,2,Dec,1985,6,400.0,7550.0,-19.1,,,,250.0,55.0,330.1,,330.1
14,00Z,2,Dec,1985,8,300.0,9650.0,-31.3,,,,315.0,63.0,341.1,,341.1
15,00Z,2,Dec,1985,9,250.0,10910.0,-42.7,,,,245.0,53.0,342.4,,342.4
16,00Z,2,Dec,1985,10,200.0,12370.0,-57.3,,,,260.0,49.0,341.9,,341.9
18,00Z,6,Dec,1985,1,1000.0,135.0,15.6,14.6,94.0,10.55,15.0,6.0,288.8,318.4,290.6
23,00Z,6,Dec,1985,6,850.0,1500.0,10.0,7.7,86.0,7.81,295.0,6.0,296.6,319.6,298.0
25,00Z,6,Dec,1985,8,700.0,3019.0,9.8,1.8,57.0,6.27,245.0,19.0,313.3,333.2,314.5
26,00Z,6,Dec,1985,9,500.0,5710.0,-2.9,,,,290.0,52.0,329.4,,329.4
28,00Z,6,Dec,1985,11,400.0,7440.0,-15.1,,,,310.0,56.0,335.3,,335.3
31,00Z,6,Dec,1985,14,300.0,9530.0,-33.3,,,,315.0,65.0,338.3,,338.3
32,00Z,6,Dec,1985,15,250.0,10780.0,-42.1,,,,300.0,64.0,343.3,,343.3
33,00Z,6,Dec,1985,16,200.0,12260.0,-50.1,,,,285.0,39.0,353.3,,353.3
36,00Z,11,Dec,1985,1,1000.0,112.0,16.0,13.2,83.0,9.62,25.0,13.0,289.1,316.4,290.8
38,00Z,11,Dec,1985,3,850.0,1495.0,14.0,-28.0,4.0,0.45,205.0,10.0,300.8,302.4,300.9
39,00Z,11,Dec,1985,4,700.0,3112.0,9.2,2.2,62.0,6.45,280.0,23.0,312.6,333.1,313.9
40,00Z,11,Dec,1985,5,500.0,5790.0,3.2,-10.6,36.0,3.43,275.0,34.0,336.9,349.1,337.6
41,00Z,11,Dec,1985,6,400.0,7519.0,-14.3,-19.1,67.0,2.12,265.0,48.0,336.3,344.1,336.8
42,00Z,11,Dec,1985,7,300.0,9530.0,-30.3,-35.2,62.0,0.64,255.0,49.0,342.6,345.1,342.7
43,00Z,11,Dec,1985,8,250.0,10800.0,-39.9,,,,260.0,55.0,346.6,,346.6
44,00Z,11,Dec,1985,9,200.0,12290.0,-50.5,,,,250.0,63.0,352.6,,352.6
48,00Z,12,Dec,1985,2,1000.0,133.0,17.0,17.0,100.0,12.34,325.0,6.0,290.1,325.0,292.3
52,00Z,12,Dec,1985,6,850.0,1509.0,15.0,12.4,84.0,10.75,260.0,6.0,301.9,333.9,303.8
54,00Z,12,Dec,1985,8,700.0,3120.0,8.2,-0.8,53.0,5.18,260.0,10.0,311.5,328.0,312.5
55,00Z,12,Dec,1985,9,500.0,5810.0,-4.9,,,,245.0,25.0,327.0,,327.0
56,00Z,12,Dec,1985,10,400.0,7520.0,-17.5,,,,265.0,2.0,332.2,,332.2
58,00Z,15,Dec,1985,1,1000.0,137.0,-0.1,-3.8,76.0,2.9,170.0,,273.1,281.1,273.5
63,00Z,15,Dec,1985,6,850.0,1510.0,13.6,7.6,67.0,7.76,320.0,30.0,300.4,323.6,301.8
65,00Z,15,Dec,1985,8,700.0,3123.0,7.6,-0.4,57.0,5.34,,,310.9,327.8,311.9
67,00Z,16,Dec,1985,1,1000.0,142.0,17.6,1.6,34.0,4.31,15.0,8.0,290.8,303.5,291.5
68,00Z,16,Dec,1985,2,850.0,1504.0,14.4,12.1,86.0,10.54,310.0,13.0,301.2,332.5,303.1
69,00Z,16,Dec,1985,3,700.0,3132.0,7.2,0.2,61.0,5.58,310.0,25.0,310.4,328.0,311.5
70,00Z,16,Dec,1985,4,500.0,5790.0,-6.1,-23.1,25.0,1.2,265.0,27.0,325.5,329.9,325.8
71,00Z,16,Dec,1985,5,400.0,7500.0,-18.3,-20.0,86.0,1.97,255.0,117.0,331.1,338.2,331.5
72,00Z,16,Dec,1985,6,300.0,9580.0,-34.5,,,,265.0,30.0,336.6,,336.6
73,00Z,16,Dec,1985,7,250.0,10980.0,-42.7,,,,265.0,29.0,342.4,,342.4
74,00Z,16,Dec,1985,8,200.0,12300.0,-52.5,,,,245.0,39.0,349.5,,349.5
77,00Z,19,Dec,1985,1,1000.0,139.0,20.4,17.4,83.0,12.66,220.0,4.0,293.6,329.8,295.8
78,00Z,19,Dec,1985,2,850.0,1523.0,13.4,8.6,73.0,8.31,330.0,12.0,300.2,324.9,301.7
79,00Z,19,Dec,1985,3,700.0,3107.0,2.6,-6.4,52.0,3.4,290.0,21.0,305.3,316.1,306.0
80,00Z,19,Dec,1985,4,500.0,5740.0,-11.9,,,,275.0,53.0,318.5,,318.5
81,00Z,19,Dec,1985,5,400.0,7420.0,-20.5,,,,265.0,42.0,328.3,,328.3
82,00Z,19,Dec,1985,6,300.0,9640.0,-37.3,,,,240.0,75.0,332.7,,332.7
83,00Z,19,Dec,1985,7,250.0,10710.0,-43.7,,,,245.0,84.0,341.0,,341.0
84,00Z,19,Dec,1985,8,200.0,12170.0,-55.9,,,,245.0,78.0,344.1,,344.1
88,00Z,20,Dec,1985,1,1000.0,140.0,18.8,18.7,99.0,13.76,55.0,4.0,291.9,331.0,294.4
90,00Z,20,Dec,1985,3,850.0,1516.0,11.6,6.6,71.0,7.24,290.0,9.0,298.3,319.8,299.6
91,00Z,20,Dec,1985,4,700.0,3100.0,3.4,-4.6,56.0,3.9,305.0,13.0,306.2,318.5,306.9
92,00Z,20,Dec,1985,5,500.0,5770.0,-9.5,,,,295.0,38.0,321.4,,321.4
93,00Z,20,Dec,1985,6,400.0,7460.0,-21.9,,,,225.0,47.0,326.4,,326.4
94,00Z,20,Dec,1985,7,300.0,9510.0,-37.9,,,,290.0,57.0,331.8,,331.8
95,00Z,20,Dec,1985,8,250.0,10740.0,-46.3,,,,255.0,43.0,337.1,,337.1
96,00Z,20,Dec,1985,9,200.0,12100.0,-57.7,,,,255.0,51.0,341.2,,341.2
98,00Z,21,Dec,1985,0,1000.0,163.0,16.8,16.5,98.0,11.94,45.0,9.0,289.9,323.6,292.0
100,00Z,21,Dec,1985,2,850.0,1544.0,12.6,9.4,81.0,8.78,135.0,9.0,299.3,325.4,300.9
101,00Z,21,Dec,1985,3,700.0,3141.0,5.4,-0.6,65.0,5.26,195.0,6.0,308.4,324.9,309.4
102,00Z,21,Dec,1985,4,500.0,5810.0,-10.3,,,,280.0,20.0,320.4,,320.4
103,00Z,21,Dec,1985,5,400.0,7490.0,-21.3,,,,325.0,36.0,327.2,,327.2
104,00Z,21,Dec,1985,6,300.0,9550.0,-36.1,,,,305.0,22.0,334.4,,334.4
105,00Z,21,Dec,1985,7,250.0,10780.0,-47.3,,,,280.0,34.0,335.6,,335.6
106,00Z,21,Dec,1985,8,200.0,12323.0,-27.0,,,,150.0,,389.9,,389.9
109,00Z,22,Dec,1985,1,1000.0,166.0,-16.1,-17.2,91.0,1.0,60.0,8.0,257.1,259.8,257.2
111,00Z,22,Dec,1985,3,850.0,1556.0,14.0,8.0,67.0,7.98,210.0,212.0,300.8,324.7,302.2
112,00Z,22,Dec,1985,4,700.0,3168.0,8.0,,,,300.0,307.0,311.3,,311.3
113,00Z,22,Dec,1985,5,500.0,5860.0,0.6,,,,275.0,7.0,333.7,,333.7
115,00Z,25,Dec,1985,1,1000.0,164.0,19.6,17.7,89.0,12.91,315.0,,292.8,329.6,295.0
117,00Z,25,Dec,1985,3,850.0,927.0,8.6,8.6,100.0,8.31,100.0,4.0,295.1,319.4,296.6
118,00Z,25,Dec,1985,4,700.0,3081.0,-1.1,-8.1,59.0,2.98,225.0,,301.2,310.6,301.8
119,00Z,25,Dec,1985,5,500.0,5693.0,-15.3,,,,275.0,,314.3,,314.3
120,00Z,25,Dec,1985,6,400.0,7340.0,-28.3,,,,280.0,49.0,318.1,,318.1
121,00Z,25,Dec,1985,7,300.0,9370.0,-40.3,,,,255.0,72.0,328.4,,328.4
124,00Z,26,Dec,1985,2,1000.0,163.0,16.8,14.3,85.0,10.34,25.0,6.0,289.9,319.2,291.8
128,00Z,26,Dec,1985,6,850.0,1538.0,11.4,8.7,83.0,8.37,335.0,3.0,298.1,322.8,299.6
131,00Z,31,Dec,1985,1,1000.0,128.0,17.4,14.1,81.0,10.21,325.0,15.0,290.6,319.6,292.3
133,00Z,31,Dec,1985,3,850.0,1506.0,13.4,1.4,44.0,5.01,355.0,15.0,300.2,315.4,301.1
