,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,1,Feb,1986,1,1000.0,113.0,21.4,17.0,76.0,12.34,65.0,2.0,294.6,330.1,296.7
3,00Z,1,Feb,1986,3,850.0,1506.0,16.0,0.0,34.0,4.52,225.0,13.0,302.9,316.9,303.7
4,00Z,1,Feb,1986,4,700.0,3122.0,2.4,-3.6,65.0,4.21,265.0,21.0,305.1,318.3,305.9
5,00Z,1,Feb,1986,5,500.0,5790.0,-9.1,,,,255.0,52.0,321.9,,321.9
6,00Z,1,Feb,1986,6,400.0,7480.0,-19.9,,,,255.0,55.0,329.0,,329.0
7,00Z,1,Feb,1986,7,300.0,9650.0,-31.5,,,,250.0,25.0,340.9,,340.9
8,00Z,1,Feb,1986,8,250.0,10820.0,-43.3,,,,250.0,41.0,341.6,,341.6
9,00Z,1,Feb,1986,9,200.0,12280.0,-55.1,,,,250.0,106.0,345.4,,345.4
11,00Z,2,Feb,1986,1,1000.0,115.0,17.4,15.7,90.0,11.34,355.0,2.0,290.6,322.7,292.5
13,00Z,2,Feb,1986,3,850.0,1591.0,12.0,7.5,74.0,7.71,300.0,13.0,298.7,321.6,300.1
14,00Z,2,Feb,1986,4,700.0,3179.0,0.4,-2.7,80.0,4.5,275.0,30.0,302.9,316.8,303.7
16,00Z,2,Feb,1986,6,500.0,5800.0,-11.1,-25.1,31.0,1.0,275.0,78.0,319.4,323.0,319.6
17,00Z,2,Feb,1986,7,400.0,7490.0,-18.7,-20.3,87.0,1.92,270.0,186.0,330.6,337.5,331.0
18,00Z,2,Feb,1986,8,300.0,9570.0,-32.1,-44.1,29.0,0.26,260.0,218.0,340.0,341.1,340.1
19,00Z,2,Feb,1986,9,250.0,10030.0,-25.0,-58.0,3.0,0.06,250.0,83.0,368.8,369.1,368.8
