,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,1,Mar,1986,1,1000.0,126.0,16.6,14.2,86.0,10.28,30.0,4.0,289.8,318.8,291.5
5,00Z,1,Mar,1986,5,850.0,1512.0,12.6,9.2,80.0,8.66,325.0,15.0,299.3,325.0,300.9
6,00Z,1,Mar,1986,6,700.0,3106.0,5.0,-1.0,65.0,5.11,310.0,23.0,308.0,324.0,308.9
7,00Z,1,Mar,1986,7,500.0,5720.0,-11.3,,,,285.0,47.0,319.2,,319.2
8,00Z,1,Mar,1986,8,400.0,7400.0,-19.1,,,,285.0,95.0,330.1,,330.1
9,00Z,1,Mar,1986,9,300.0,9490.0,-29.5,,,,290.0,73.0,343.7,,343.7
10,00Z,1,Mar,1986,10,250.0,10770.0,-36.7,,,,275.0,98.0,351.4,,351.4
11,00Z,1,Mar,1986,11,200.0,12280.0,-47.1,,,,275.0,86.0,358.0,,358.0
15,00Z,2,Mar,1986,1,1000.0,139.0,19.4,18.0,92.0,13.16,60.0,5.0,292.6,330.1,294.9
17,00Z,2,Mar,1986,3,850.0,1523.0,15.0,8.0,63.0,7.98,265.0,6.0,301.9,325.8,303.3
18,00Z,2,Mar,1986,4,500.0,5700.0,-18.5,,,,285.0,60.0,310.4,,310.4
20,00Z,2,Mar,1986,6,400.0,7340.0,-24.5,,,,300.0,72.0,323.1,,323.1
23,00Z,5,Mar,1986,2,1000.0,140.0,18.6,14.5,77.0,10.48,90.0,25.0,291.8,321.7,293.6
28,00Z,5,Mar,1986,7,850.0,1522.0,-33.3,,,,130.0,58.0,251.2,,251.2
31,00Z,6,Mar,1986,1,1000.0,139.0,19.4,18.9,97.0,13.94,350.0,8.0,292.6,332.2,295.0
33,00Z,6,Mar,1986,3,850.0,1530.0,-14.5,-27.5,32.0,0.47,185.0,11.0,270.9,272.4,271.0
34,00Z,6,Mar,1986,4,700.0,3133.0,3.0,-9.0,41.0,2.78,60.0,18.0,305.8,314.7,306.3
35,00Z,6,Mar,1986,5,500.0,5790.0,-12.3,-24.3,36.0,1.08,130.0,57.0,318.0,321.8,318.2
36,00Z,6,Mar,1986,6,400.0,7470.0,-20.5,-34.5,27.0,0.52,130.0,97.0,328.3,330.2,328.4
37,00Z,6,Mar,1986,7,300.0,9540.0,-33.7,-46.7,26.0,0.19,145.0,125.0,337.8,338.6,337.8
38,00Z,6,Mar,1986,8,250.0,10790.0,-42.9,,,,130.0,80.0,342.1,,342.1
39,00Z,6,Mar,1986,9,200.0,12260.0,-52.9,,,,135.0,128.0,348.8,,348.8
43,00Z,7,Mar,1986,1,1000.0,182.0,18.0,16.5,91.0,11.94,115.0,4.0,291.1,325.0,293.2
45,00Z,7,Mar,1986,3,850.0,1503.0,12.4,6.4,67.0,7.14,350.0,12.0,299.1,320.4,300.4
46,00Z,7,Mar,1986,4,700.0,2882.0,1.4,-4.6,64.0,3.9,310.0,13.0,304.0,316.2,304.7
47,00Z,7,Mar,1986,5,500.0,5710.0,-10.9,-31.9,16.0,0.53,325.0,27.0,319.7,321.7,319.8
49,00Z,8,Mar,1986,1,1000.0,138.0,18.4,16.0,86.0,11.56,360.0,8.0,291.6,324.4,293.6
51,00Z,8,Mar,1986,3,850.0,1541.0,14.0,8.0,67.0,7.98,355.0,13.0,300.8,324.7,302.2
52,00Z,8,Mar,1986,4,700.0,3118.0,-0.7,-7.7,59.0,3.07,350.0,16.0,301.7,311.3,302.2
53,00Z,8,Mar,1986,5,500.0,5770.0,-10.5,,,,340.0,36.0,320.2,,320.2
54,00Z,8,Mar,1986,6,400.0,7440.0,-22.3,,,,325.0,70.0,325.9,,325.9
55,00Z,8,Mar,1986,7,300.0,9500.0,-33.5,,,,315.0,94.0,338.0,,338.0
56,00Z,8,Mar,1986,8,250.0,10760.0,-40.9,,,,325.0,96.0,345.1,,345.1
58,00Z,8,Mar,1986,10,200.0,12250.0,-50.7,,,,150.0,,352.3,,352.3
60,00Z,9,Mar,1986,1,1000.0,140.0,20.6,19.3,92.0,14.3,30.0,3.0,293.8,334.7,296.3
62,00Z,9,Mar,1986,3,850.0,1520.0,13.0,7.0,67.0,7.44,315.0,6.0,299.8,322.0,301.1
63,00Z,9,Mar,1986,4,700.0,3091.0,-0.5,-4.5,74.0,3.93,10.0,19.0,301.9,314.1,302.6
64,00Z,9,Mar,1986,5,500.0,5710.0,-13.1,,,,310.0,43.0,317.0,,317.0
65,00Z,9,Mar,1986,6,400.0,7380.0,-23.3,,,,310.0,57.0,324.6,,324.6
66,00Z,9,Mar,1986,7,300.0,9430.0,-35.7,,,,310.0,81.0,334.9,,334.9
67,00Z,9,Mar,1986,8,250.0,10680.0,-44.3,,,,305.0,114.0,340.1,,340.1
72,00Z,10,Mar,1986,1,1000.0,129.0,19.0,18.7,98.0,13.76,40.0,14.0,292.1,331.3,294.6
73,00Z,10,Mar,1986,2,850.0,1512.0,13.0,9.7,80.0,8.96,355.0,14.0,299.8,326.3,301.4
75,00Z,10,Mar,1986,4,700.0,3087.0,0.0,-2.5,83.0,4.57,350.0,22.0,302.4,316.6,303.3
76,00Z,10,Mar,1986,5,500.0,5720.0,-10.7,,,,320.0,35.0,319.9,,319.9
77,00Z,10,Mar,1986,6,400.0,7390.0,-23.3,,,,320.0,47.0,324.6,,324.6
78,00Z,10,Mar,1986,7,300.0,9460.0,-33.1,,,,305.0,80.0,338.6,,338.6
79,00Z,10,Mar,1986,8,250.0,10710.0,-43.9,,,,305.0,84.0,340.7,,340.7
80,00Z,10,Mar,1986,9,200.0,12180.0,-53.7,,,,305.0,80.0,347.6,,347.6
84,00Z,12,Mar,1986,1,1000.0,117.0,23.4,21.2,87.0,16.13,315.0,15.0,296.6,343.2,299.4
86,00Z,12,Mar,1986,3,850.0,1528.0,19.6,-8.4,14.0,2.4,315.0,12.0,306.7,314.5,307.1
87,00Z,12,Mar,1986,4,700.0,3166.0,6.4,-0.6,61.0,5.26,15.0,24.0,309.5,326.1,310.5
88,00Z,12,Mar,1986,5,500.0,5850.0,-8.5,,,,340.0,49.0,322.6,,322.6
89,00Z,12,Mar,1986,6,400.0,7550.0,-18.1,,,,320.0,39.0,331.4,,331.4
90,00Z,12,Mar,1986,7,300.0,9640.0,-31.3,,,,305.0,110.0,341.1,,341.1
92,00Z,12,Mar,1986,9,250.0,10910.0,-42.1,,,,310.0,98.0,343.3,,343.3
93,00Z,12,Mar,1986,10,200.0,12390.0,-52.3,,,,320.0,108.0,349.8,,349.8
100,00Z,13,Mar,1986,1,1000.0,100.0,25.0,25.0,100.0,20.44,225.0,10.0,298.1,357.8,301.8
101,00Z,13,Mar,1986,2,850.0,1520.0,21.6,13.6,60.0,11.65,290.0,25.0,308.8,344.4,310.9
102,00Z,13,Mar,1986,3,700.0,3155.0,7.2,0.2,61.0,5.58,5.0,15.0,310.4,328.0,311.5
103,00Z,13,Mar,1986,4,500.0,5830.0,-10.3,-19.3,48.0,1.67,275.0,59.0,320.4,326.2,320.7
106,00Z,15,Mar,1986,1,1000.0,116.0,22.0,22.0,100.0,16.96,190.0,13.0,295.1,343.9,298.1
107,00Z,15,Mar,1986,2,850.0,1523.0,17.8,10.8,64.0,9.66,275.0,,304.8,334.0,306.6
108,00Z,15,Mar,1986,3,700.0,3126.0,5.2,-1.8,61.0,4.81,325.0,29.0,308.2,323.4,309.1
109,00Z,15,Mar,1986,4,500.0,5770.0,-8.7,,,,290.0,70.0,322.4,,322.4
110,00Z,15,Mar,1986,5,400.0,7460.0,-20.7,,,,280.0,43.0,328.0,,328.0
112,00Z,15,Mar,1986,7,300.0,9550.0,-31.5,,,,,,340.9,,340.9
114,00Z,17,Mar,1986,1,1000.0,131.0,22.6,22.0,96.0,16.96,305.0,7.0,295.8,344.7,298.8
116,00Z,17,Mar,1986,3,850.0,1518.0,13.4,8.4,72.0,8.2,305.0,12.0,300.2,324.6,301.6
117,00Z,17,Mar,1986,4,700.0,3111.0,4.4,-5.6,48.0,3.62,290.0,34.0,307.3,318.8,308.0
119,00Z,17,Mar,1986,6,500.0,5790.0,-10.1,,,,300.0,67.0,320.7,,320.7
120,00Z,17,Mar,1986,7,400.0,7480.0,-17.1,,,,280.0,88.0,332.7,,332.7
122,00Z,17,Mar,1986,9,300.0,9580.0,-30.3,,,,270.0,108.0,342.6,,342.6
123,00Z,17,Mar,1986,10,250.0,10850.0,-38.1,,,,265.0,108.0,349.3,,349.3
124,00Z,17,Mar,1986,11,200.0,12350.0,-49.5,,,,260.0,70.0,354.2,,354.2
128,00Z,22,Mar,1986,1,1000.0,114.0,21.0,21.0,100.0,15.93,30.0,6.0,294.1,339.8,296.9
132,00Z,22,Mar,1986,5,850.0,1519.0,18.4,12.4,68.0,10.75,335.0,13.0,305.4,337.9,307.4
134,00Z,22,Mar,1986,7,700.0,3131.0,7.0,0.0,61.0,5.5,285.0,18.0,310.2,327.6,311.2
135,00Z,22,Mar,1986,8,500.0,5820.0,-4.9,,,,290.0,42.0,327.0,,327.0
137,00Z,22,Mar,1986,10,400.0,7550.0,-13.1,,,,280.0,60.0,337.9,,337.9
139,00Z,22,Mar,1986,12,300.0,9670.0,-28.3,,,,280.0,58.0,345.4,,345.4
141,00Z,23,Mar,1986,1,1000.0,93.0,21.2,18.3,84.0,13.41,35.0,3.0,294.4,332.9,296.7
142,00Z,23,Mar,1986,2,850.0,1490.0,17.8,10.8,64.0,9.66,355.0,12.0,304.8,334.0,306.6
143,00Z,23,Mar,1986,3,700.0,3102.0,5.2,0.2,70.0,5.58,300.0,21.0,308.2,325.7,309.2
144,00Z,23,Mar,1986,4,500.0,5760.0,-3.3,,,,306.0,33.0,328.9,,328.9
147,00Z,25,Mar,1986,1,1000.0,119.0,23.2,23.2,100.0,18.28,20.0,6.0,296.4,349.2,299.6
148,00Z,25,Mar,1986,2,850.0,1536.0,20.0,13.0,64.0,11.19,325.0,2.0,307.1,341.1,309.1
149,00Z,25,Mar,1986,3,700.0,3154.0,7.4,2.4,71.0,6.54,300.0,24.0,310.6,331.2,311.9
150,00Z,25,Mar,1986,4,500.0,5800.0,-10.5,,,,265.0,41.0,320.2,,320.2
151,00Z,25,Mar,1986,5,400.0,7490.0,-18.0,,,,240.0,37.0,331.5,,331.5
152,00Z,25,Mar,1986,6,300.0,9590.0,-30.1,,,,255.0,68.0,342.8,,342.8
153,00Z,25,Mar,1986,7,250.0,10860.0,-40.1,,,,240.0,48.0,346.3,,346.3
154,00Z,25,Mar,1986,8,200.0,12340.0,-51.9,,,,240.0,45.0,350.4,,350.4
159,00Z,26,Mar,1986,1,1000.0,129.0,23.2,19.9,82.0,14.86,20.0,12.0,296.4,339.3,299.0
