,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,2,Apr,1986,1,1000.0,130.0,25.0,23.6,92.0,18.74,140.0,7.0,298.1,352.8,301.5
2,00Z,2,Apr,1986,2,850.0,1544.0,21.4,10.4,49.0,9.4,280.0,25.0,308.6,337.5,310.3
3,00Z,2,Apr,1986,3,700.0,3175.0,9.4,-0.6,50.0,5.26,270.0,29.0,312.9,329.7,313.9
4,00Z,2,Apr,1986,4,500.0,5850.0,-8.1,,,,275.0,64.0,323.1,,323.1
5,00Z,2,Apr,1986,5,400.0,7550.0,-16.5,,,,280.0,96.0,333.5,,333.5
6,00Z,2,Apr,1986,6,300.0,9650.0,-31.9,,,,265.0,143.0,340.3,,340.3
8,00Z,2,Apr,1986,8,250.0,10910.0,-41.9,,,,265.0,150.0,343.6,,343.6
9,00Z,2,Apr,1986,9,200.0,12390.0,-50.9,,,,250.0,86.0,352.0,,352.0
14,00Z,3,Apr,1986,2,1000.0,116.0,25.6,19.6,69.0,14.57,130.0,14.0,298.8,341.4,301.4
18,00Z,3,Apr,1986,6,850.0,1534.0,21.8,2.8,29.0,5.54,230.0,18.0,309.0,326.4,310.0
20,00Z,3,Apr,1986,8,700.0,3157.0,8.6,-7.4,31.0,3.15,245.0,23.0,312.0,322.3,312.6
21,00Z,3,Apr,1986,9,500.0,5790.0,-7.9,-21.9,32.0,1.33,265.0,85.0,323.3,328.1,323.6
22,00Z,3,Apr,1986,10,400.0,7480.0,-19.5,-20.6,91.0,1.87,260.0,178.0,329.6,336.3,329.9
23,00Z,3,Apr,1986,11,300.0,9560.0,-35.1,,,,240.0,233.0,335.8,,335.8
25,00Z,3,Apr,1986,13,250.0,10820.0,-42.1,,,,235.0,297.0,343.3,,343.3
26,00Z,3,Apr,1986,14,200.0,12300.0,-51.1,,,,200.0,230.0,351.7,,351.7
28,00Z,5,Apr,1986,1,1000.0,114.0,25.0,21.5,81.0,16.44,35.0,11.0,298.1,346.1,301.1
30,00Z,5,Apr,1986,3,850.0,1536.0,22.6,9.6,44.0,8.9,250.0,20.0,309.8,337.4,311.5
31,00Z,5,Apr,1986,4,700.0,3169.0,9.8,-2.2,43.0,4.67,250.0,18.0,313.3,328.4,314.2
33,00Z,5,Apr,1986,6,500.0,5830.0,-7.9,,,,265.0,49.0,323.3,,323.3
34,00Z,5,Apr,1986,7,400.0,7520.0,-21.9,,,,265.0,55.0,326.4,,326.4
35,00Z,5,Apr,1986,8,300.0,9560.0,-39.1,,,,260.0,77.0,330.1,,330.1
36,00Z,5,Apr,1986,9,250.0,10800.0,-44.3,,,,260.0,78.0,340.1,,340.1
37,00Z,5,Apr,1986,10,200.0,12270.0,-50.7,,,,240.0,104.0,352.3,,352.3
41,00Z,6,Apr,1986,1,1000.0,123.0,23.2,18.2,73.0,13.33,340.0,3.0,296.4,335.0,298.7
42,00Z,6,Apr,1986,2,850.0,1512.0,15.4,9.4,67.0,8.78,260.0,13.0,302.3,328.6,303.9
43,00Z,6,Apr,1986,3,700.0,3111.0,5.4,-2.6,56.0,4.54,245.0,30.0,308.4,322.8,309.3
44,00Z,6,Apr,1986,4,500.0,5720.0,-11.9,,,,270.0,51.0,318.5,,318.5
45,00Z,6,Apr,1986,5,400.0,7390.0,-24.5,,,,275.0,61.0,323.1,,323.1
46,00Z,6,Apr,1986,6,300.0,9430.0,-39.1,,,,285.0,64.0,330.1,,330.1
48,00Z,6,Apr,1986,8,250.0,10650.0,-50.5,,,,280.0,75.0,330.9,,330.9
49,00Z,6,Apr,1986,9,200.0,12080.0,-53.3,,,,275.0,50.0,348.2,,348.2
52,00Z,7,Apr,1986,1,1000.0,127.0,25.4,23.1,87.0,18.17,60.0,6.0,298.6,351.6,301.8
54,00Z,7,Apr,1986,3,850.0,1534.0,18.4,11.4,64.0,10.05,240.0,8.0,305.4,335.9,307.2
55,00Z,7,Apr,1986,4,700.0,3147.0,6.2,0.2,65.0,5.58,285.0,26.0,309.3,326.9,310.4
56,00Z,7,Apr,1986,5,600.0,4406.0,0.0,-10.0,47.0,3.0,283.0,31.0,316.1,326.1,316.6
57,00Z,7,Apr,1986,6,500.0,5820.0,-20.7,,,,280.0,38.0,307.7,,307.7
58,00Z,7,Apr,1986,7,400.0,7520.0,-19.1,,,,280.0,43.0,330.1,,330.1
59,00Z,7,Apr,1986,8,300.0,9590.0,-35.9,,,,285.0,59.0,334.7,,334.7
60,00Z,7,Apr,1986,9,250.0,10830.0,-44.7,,,,285.0,75.0,339.5,,339.5
61,00Z,7,Apr,1986,10,200.0,12290.0,-53.5,,,,280.0,77.0,347.9,,347.9
65,00Z,8,Apr,1986,1,1000.0,118.0,24.6,21.9,85.0,16.85,135.0,8.0,297.8,346.8,300.8
66,00Z,8,Apr,1986,2,850.0,1509.0,15.6,10.7,73.0,9.59,245.0,11.0,302.5,331.2,304.2
67,00Z,8,Apr,1986,3,700.0,3110.0,5.0,-5.0,48.0,3.78,290.0,23.0,308.0,320.1,308.7
68,00Z,8,Apr,1986,4,500.0,5780.0,-11.1,,,,290.0,28.0,319.4,,319.4
69,00Z,8,Apr,1986,5,300.0,9530.0,-32.3,,,,290.0,57.0,339.7,,339.7
70,00Z,8,Apr,1986,6,250.0,10790.0,-44.1,,,,300.0,73.0,340.4,,340.4
71,00Z,8,Apr,1986,7,200.0,12250.0,-54.9,,,,295.0,73.0,345.7,,345.7
75,00Z,11,Apr,1986,1,1000.0,122.0,26.0,23.5,86.0,18.63,170.0,16.0,299.1,353.7,302.5
77,00Z,11,Apr,1986,3,850.0,1519.0,19.2,12.2,64.0,10.61,215.0,12.0,306.2,338.4,308.2
78,00Z,11,Apr,1986,4,700.0,3154.0,10.2,3.2,62.0,6.93,305.0,37.0,313.8,335.7,315.1
80,00Z,11,Apr,1986,6,500.0,5800.0,-6.9,,,,310.0,24.0,324.6,,324.6
81,00Z,11,Apr,1986,7,400.0,7500.0,-18.5,,,,285.0,41.0,330.9,,330.9
82,00Z,11,Apr,1986,8,300.0,9612.0,-26.0,,,,170.0,16.0,348.6,,348.6
84,00Z,12,Apr,1986,1,1000.0,115.0,24.4,19.9,76.0,14.86,150.0,10.0,297.6,340.8,300.2
87,00Z,12,Apr,1986,4,850.0,1509.0,19.8,11.8,60.0,10.33,320.0,11.0,306.9,338.3,308.8
88,00Z,12,Apr,1986,5,700.0,3125.0,6.0,0.0,65.0,5.5,300.0,26.0,309.1,326.4,310.1
89,00Z,12,Apr,1986,6,500.0,5750.0,-11.1,-44.1,5.0,0.15,295.0,33.0,319.4,320.1,319.5
90,00Z,12,Apr,1986,7,400.0,7440.0,-20.1,,,,285.0,29.0,328.8,,328.8
91,00Z,12,Apr,1986,8,300.0,9510.0,-33.3,,,,260.0,47.0,338.3,,338.3
93,00Z,14,Apr,1986,1,1000.0,128.0,24.8,24.8,100.0,20.19,145.0,12.0,297.9,356.8,301.5
95,00Z,14,Apr,1986,3,850.0,1531.0,19.0,13.0,68.0,11.19,295.0,35.0,306.0,339.9,308.1
97,00Z,14,Apr,1986,5,500.0,5810.0,-6.5,-28.5,16.0,0.73,300.0,40.0,325.1,327.8,325.2
98,00Z,14,Apr,1986,6,400.0,7510.0,-17.5,,,,310.0,47.0,332.2,,332.2
100,00Z,14,Apr,1986,8,300.0,9600.0,-32.5,,,,305.0,44.0,339.4,,339.4
101,00Z,14,Apr,1986,9,250.0,10860.0,-41.3,,,,305.0,59.0,344.5,,344.5
102,00Z,14,Apr,1986,10,200.0,12340.0,-51.1,,,,305.0,17.0,351.7,,351.7
106,00Z,15,Apr,1986,1,1000.0,123.0,26.0,24.0,89.0,19.21,110.0,12.0,299.1,355.5,302.6
109,00Z,15,Apr,1986,4,850.0,1536.0,19.6,13.6,68.0,11.65,265.0,27.0,306.7,342.0,308.8
112,00Z,18,Apr,1986,1,1000.0,116.0,27.0,26.5,97.0,22.41,155.0,25.0,300.1,366.3,304.1
115,00Z,18,Apr,1986,4,850.0,1531.0,22.6,11.6,50.0,10.19,169.0,38.0,309.8,341.2,311.7
119,00Z,19,Apr,1986,2,1000.0,113.0,20.0,20.0,100.0,14.95,60.0,20.0,293.1,335.8,295.8
124,00Z,19,Apr,1986,7,850.0,1504.0,14.6,13.5,93.0,11.57,265.0,46.0,301.4,335.8,303.5
126,00Z,19,Apr,1986,9,700.0,3113.0,7.0,2.0,70.0,6.36,275.0,65.0,310.2,330.1,311.4
128,00Z,19,Apr,1986,11,500.0,5720.0,-11.5,-14.5,78.0,2.5,290.0,55.0,318.9,327.4,319.4
130,00Z,19,Apr,1986,13,400.0,7400.0,-20.5,,,,280.0,121.0,328.3,,328.3
131,00Z,19,Apr,1986,14,300.0,9470.0,-33.9,,,,285.0,201.0,337.5,,337.5
132,00Z,19,Apr,1986,15,250.0,10830.0,-42.9,,,,,,342.1,,342.1
133,00Z,19,Apr,1986,16,200.0,12300.0,-53.7,,,,,,347.6,,347.6
137,00Z,21,Apr,1986,1,1000.0,98.0,21.6,18.4,82.0,13.5,75.0,14.0,294.8,333.6,297.1
139,00Z,21,Apr,1986,3,850.0,1498.0,17.0,12.6,75.0,10.9,260.0,11.0,303.9,336.7,305.9
140,00Z,21,Apr,1986,4,700.0,3113.0,7.2,1.2,66.0,6.0,325.0,34.0,310.4,329.3,311.6
142,00Z,21,Apr,1986,6,500.0,5720.0,-11.9,-18.9,56.0,1.73,300.0,31.0,318.5,324.4,318.8
143,00Z,21,Apr,1986,7,400.0,7370.0,-20.1,-21.0,93.0,1.8,265.0,43.0,328.8,335.2,329.1
144,00Z,21,Apr,1986,8,300.0,9410.0,-33.9,-36.5,77.0,0.56,265.0,67.0,337.5,339.7,337.6
145,00Z,21,Apr,1986,9,250.0,10720.0,-43.1,,,,245.0,77.0,341.9,,341.9
146,00Z,21,Apr,1986,10,200.0,12170.0,-57.7,,,,270.0,61.0,341.2,,341.2
149,00Z,22,Apr,1986,1,1000.0,118.0,25.6,22.5,83.0,17.5,45.0,18.0,298.8,349.9,301.9
151,00Z,22,Apr,1986,3,850.0,1540.0,21.0,13.0,60.0,11.19,275.0,10.0,308.1,342.3,310.2
152,00Z,22,Apr,1986,4,700.0,3093.0,8.0,1.0,61.0,5.91,300.0,27.0,311.3,330.0,312.4
154,00Z,22,Apr,1986,6,500.0,5780.0,-9.3,-19.3,44.0,1.67,270.0,19.0,321.6,327.5,322.0
155,00Z,22,Apr,1986,7,400.0,7430.0,-21.3,-27.3,58.0,1.02,260.0,43.0,327.2,331.0,327.4
156,00Z,22,Apr,1986,8,300.0,9500.0,-32.1,,,,250.0,55.0,340.0,,340.0
157,00Z,22,Apr,1986,9,250.0,10760.0,-41.7,,,,255.0,86.0,343.9,,343.9
158,00Z,22,Apr,1986,10,200.0,12240.0,-50.3,,,,245.0,121.0,352.9,,352.9
163,00Z,25,Apr,1986,1,1000.0,96.0,24.4,24.4,100.0,19.69,265.0,19.0,297.6,354.9,301.0
164,00Z,25,Apr,1986,2,850.0,1496.0,16.4,12.4,77.0,10.75,235.0,51.0,303.3,335.5,305.3
165,00Z,25,Apr,1986,3,700.0,3102.0,6.8,3.6,80.0,7.13,275.0,16.0,310.0,332.2,311.3
166,00Z,25,Apr,1986,4,500.0,5750.0,-7.1,-14.1,57.0,2.58,315.0,20.0,324.3,333.3,324.8
167,00Z,25,Apr,1986,5,400.0,7410.0,-17.7,-25.7,50.0,1.19,280.0,28.0,331.9,336.3,332.1
168,00Z,25,Apr,1986,6,300.0,9480.0,-31.5,-35.4,68.0,0.63,285.0,36.0,340.9,343.4,341.0
169,00Z,25,Apr,1986,7,250.0,10740.0,-41.5,,,,310.0,49.0,344.2,,344.2
170,00Z,25,Apr,1986,8,200.0,12210.0,-54.5,,,,295.0,49.0,346.3,,346.3
174,00Z,26,Apr,1986,1,1000.0,94.0,24.4,21.0,81.0,15.93,120.0,17.0,297.6,343.9,300.4
176,00Z,26,Apr,1986,3,850.0,1509.0,21.0,8.0,43.0,7.98,245.0,14.0,308.1,332.8,309.6
177,00Z,26,Apr,1986,4,700.0,3141.0,10.0,0.0,50.0,5.5,330.0,12.0,313.5,331.1,314.6
179,00Z,26,Apr,1986,6,500.0,5790.0,-8.7,-10.2,89.0,3.54,310.0,15.0,322.4,334.3,323.1
