,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,00Z,3,Jun,1987,0,1000.0,,,,,,,,,,
3,00Z,3,Jun,1987,3,850.0,1423.0,20.0,18.0,88.0,15.53,160.0,16.0,307.1,354.1,309.9
4,00Z,3,Jun,1987,4,700.0,3059.0,10.0,7.7,86.0,9.51,160.0,23.0,313.5,343.3,315.3
6,00Z,5,Jun,1987,0,1000.0,,,,,,,,,,
9,00Z,5,Jun,1987,3,850.0,1365.0,15.6,15.6,100.0,13.29,240.0,37.0,302.5,342.0,304.9
10,00Z,5,Jun,1987,4,700.0,2973.0,-13.5,-14.5,92.0,1.78,65.0,102.0,287.5,292.9,287.8
12,00Z,6,Jun,1987,0,1000.0,,,,,,,,,,
15,00Z,6,Jun,1987,3,850.0,1627.0,20.4,17.5,83.0,15.04,240.0,17.0,307.5,353.1,310.3
16,00Z,6,Jun,1987,4,700.0,3152.0,12.8,8.2,74.0,9.84,310.0,12.0,316.6,347.8,318.5
17,00Z,6,Jun,1987,5,500.0,5870.0,-0.9,-10.9,47.0,3.35,260.0,6.0,331.9,343.6,332.6
18,00Z,6,Jun,1987,6,400.0,7580.0,-11.3,-25.3,30.0,1.23,335.0,9.0,340.2,344.9,340.5
19,00Z,6,Jun,1987,7,300.0,9730.0,-24.3,,,,330.0,8.0,351.0,,351.0
20,00Z,6,Jun,1987,8,250.0,11030.0,-32.9,,,,205.0,3.0,357.0,,357.0
21,00Z,6,Jun,1987,9,200.0,12560.0,-44.5,,,,195.0,9.0,362.1,,362.1
24,00Z,7,Jun,1987,0,1000.0,34.0,25.0,22.2,84.0,17.17,180.0,7.0,298.1,348.2,301.2
29,00Z,7,Jun,1987,5,850.0,1417.0,20.2,16.3,78.0,13.91,155.0,17.0,307.3,349.5,309.9
31,00Z,7,Jun,1987,7,700.0,3062.0,12.4,6.4,67.0,8.69,300.0,15.0,316.2,343.8,317.8
32,00Z,7,Jun,1987,8,500.0,5760.0,-25.5,-26.3,93.0,0.9,360.0,7.0,301.9,304.9,302.1
