,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,2,Jul,1986,1,1000.0,75.0,27.0,25.0,89.0,20.44,170.0,6.0,300.1,360.4,303.8
2,00Z,2,Jul,1986,2,850.0,1489.0,20.2,15.4,74.0,13.11,225.0,10.0,307.3,347.1,309.7
3,00Z,2,Jul,1986,3,700.0,3136.0,10.4,-3.6,37.0,4.21,40.0,12.0,314.0,327.6,314.8
4,00Z,2,Jul,1986,4,500.0,5870.0,-3.1,-15.1,39.0,2.38,265.0,27.0,329.2,337.6,329.7
5,00Z,2,Jul,1986,5,400.0,7600.0,-13.7,-27.7,30.0,0.99,70.0,51.0,337.1,340.9,337.3
7,00Z,2,Jul,1986,7,300.0,9740.0,-26.3,,,,135.0,39.0,348.2,,348.2
8,00Z,2,Jul,1986,8,250.0,11040.0,-36.7,,,,110.0,45.0,351.4,,351.4
9,00Z,2,Jul,1986,9,200.0,12540.0,-49.3,,,,110.0,29.0,354.5,,354.5
12,00Z,1,Jul,1987,0,1000.0,,,,,,,,,,
14,00Z,1,Jul,1987,2,850.0,1420.0,20.8,18.6,87.0,16.14,170.0,22.0,307.9,357.0,310.9
15,00Z,1,Jul,1987,3,700.0,3071.0,13.6,7.6,67.0,9.44,280.0,22.0,317.5,347.6,319.3
16,00Z,1,Jul,1987,4,500.0,5800.0,0.4,-11.6,40.0,3.17,285.0,9.0,333.5,344.7,334.1
17,00Z,1,Jul,1987,5,400.0,7520.0,-10.1,-20.1,44.0,1.95,145.0,15.0,341.8,349.1,342.2
18,00Z,1,Jul,1987,6,300.0,9650.0,-23.1,-38.1,24.0,0.48,165.0,14.0,352.7,354.7,352.8
19,00Z,1,Jul,1987,7,250.0,10960.0,-32.5,,,,140.0,19.0,357.6,,357.6
20,00Z,1,Jul,1987,8,200.0,12500.0,-42.7,,,,115.0,26.0,365.0,,365.0
22,00Z,2,Jul,1987,0,1000.0,34.0,27.8,23.9,79.0,19.09,180.0,12.0,300.9,357.4,304.4
27,00Z,2,Jul,1987,5,850.0,1494.0,20.6,13.6,64.0,11.65,195.0,25.0,307.7,343.2,309.9
29,00Z,2,Jul,1987,7,700.0,3138.0,12.6,5.6,62.0,8.21,215.0,9.0,316.4,342.6,318.0
30,00Z,2,Jul,1987,8,500.0,5850.0,-1.3,-15.3,34.0,2.34,180.0,8.0,331.4,339.8,331.9
31,00Z,2,Jul,1987,9,400.0,7560.0,-10.7,-20.7,44.0,1.85,130.0,13.0,341.0,347.9,341.4
32,00Z,2,Jul,1987,10,300.0,9730.0,-22.7,,,,135.0,13.0,353.3,,353.3
33,00Z,3,Jul,1987,0,1000.0,,,,,,,,,,
36,00Z,3,Jul,1987,3,850.0,1417.0,19.6,16.4,82.0,14.0,180.0,23.0,306.7,349.0,309.2
37,00Z,3,Jul,1987,4,700.0,3063.0,12.6,8.4,76.0,9.98,135.0,15.0,316.4,348.0,318.3
38,00Z,3,Jul,1987,5,500.0,5800.0,0.4,-4.1,72.0,5.68,110.0,15.0,333.5,353.1,334.6
39,00Z,3,Jul,1987,6,300.0,9690.0,-21.1,-28.4,52.0,1.23,100.0,19.0,355.5,360.5,355.8
40,00Z,3,Jul,1987,7,250.0,11010.0,-30.5,-37.1,53.0,0.64,85.0,27.0,360.6,363.3,360.7
41,00Z,3,Jul,1987,8,200.0,12560.0,-42.7,-47.7,58.0,0.26,70.0,39.0,365.0,366.1,365.1
44,00Z,8,Jul,1987,0,1000.0,,,,,,,,,,
50,00Z,8,Jul,1987,6,850.0,1444.0,20.4,18.9,91.0,16.45,240.0,17.0,307.5,357.4,310.5
52,00Z,8,Jul,1987,8,700.0,3097.0,13.4,10.0,80.0,11.14,210.0,19.0,317.3,352.6,319.4
53,00Z,8,Jul,1987,9,500.0,5860.0,-0.3,-4.0,76.0,5.73,185.0,13.0,332.6,352.3,333.8
54,00Z,8,Jul,1987,10,300.0,9780.0,-24.7,-35.7,35.0,0.61,55.0,10.0,350.5,353.0,350.6
55,00Z,8,Jul,1987,11,250.0,11090.0,-32.3,,,,115.0,34.0,357.9,,357.9
56,00Z,8,Jul,1987,12,200.0,12690.0,-44.3,,,,75.0,41.0,362.5,,362.5
62,00Z,2,Jul,1988,2,1000.0,94.0,26.0,25.8,99.0,21.47,200.0,17.0,299.1,362.2,303.0
66,00Z,2,Jul,1988,6,850.0,1479.0,17.0,17.0,100.0,14.56,345.0,18.0,303.9,347.4,306.6
68,00Z,2,Jul,1988,8,700.0,3092.0,8.2,8.2,100.0,9.84,245.0,30.0,311.5,342.1,313.4
69,00Z,2,Jul,1988,9,500.0,5800.0,-2.9,-2.9,100.0,6.22,130.0,14.0,329.4,350.5,330.7
71,00Z,2,Jul,1988,11,400.0,7540.0,-10.7,-14.0,77.0,3.26,100.0,,341.0,352.8,341.7
75,00Z,6,Jul,1988,2,1000.0,86.0,25.4,23.4,89.0,18.51,170.0,10.0,298.6,352.6,301.9
79,00Z,6,Jul,1988,6,850.0,1497.0,-33.3,,,,,,251.2,,251.2
81,00Z,8,Jul,1988,1,1000.0,86.0,25.0,23.9,94.0,19.09,155.0,17.0,298.1,353.9,301.6
82,00Z,8,Jul,1988,2,850.0,1486.0,20.0,19.0,94.0,16.56,215.0,35.0,307.1,357.2,310.1
83,00Z,8,Jul,1988,3,700.0,3141.0,12.6,9.7,83.0,10.91,230.0,15.0,316.4,350.9,318.5
84,00Z,8,Jul,1988,4,400.0,7640.0,-10.1,-13.1,79.0,3.51,215.0,19.0,341.8,354.5,342.5
85,00Z,8,Jul,1988,5,300.0,9810.0,-21.9,-26.3,67.0,1.5,165.0,5.0,354.4,360.4,354.7
86,00Z,8,Jul,1988,6,250.0,11130.0,-31.1,-36.1,61.0,0.7,35.0,4.0,359.7,362.6,359.8
87,00Z,8,Jul,1988,7,200.0,12993.0,-42.7,,,,35.0,79.0,365.0,,365.0
92,00Z,11,Jul,1988,1,1000.0,126.0,27.0,25.0,89.0,20.44,165.0,8.0,300.1,360.4,303.8
94,00Z,11,Jul,1988,3,850.0,1511.0,20.0,17.2,84.0,14.75,230.0,14.0,307.1,351.8,309.8
95,00Z,11,Jul,1988,4,700.0,3149.0,10.8,7.3,79.0,9.25,280.0,18.0,314.4,343.5,316.2
96,00Z,11,Jul,1988,5,500.0,5870.0,-2.3,-5.7,77.0,5.03,290.0,6.0,330.2,347.4,331.2
97,00Z,11,Jul,1988,6,400.0,7610.0,-11.7,-15.9,71.0,2.78,35.0,14.0,339.7,349.8,340.3
99,00Z,12,Jul,1988,1,1000.0,91.0,26.4,24.2,88.0,19.45,185.0,16.0,299.6,356.7,303.0
100,00Z,12,Jul,1988,2,850.0,1496.0,18.4,16.9,91.0,14.46,215.0,11.0,305.4,348.9,308.1
101,00Z,12,Jul,1988,3,700.0,3131.0,11.0,8.5,85.0,10.05,295.0,6.0,314.6,346.2,316.5
103,00Z,12,Jul,1988,5,500.0,5840.0,-2.5,-6.2,76.0,4.84,90.0,7.0,329.9,346.5,330.9
104,00Z,12,Jul,1988,6,400.0,7590.0,-10.9,-17.9,56.0,2.35,80.0,15.0,340.7,349.4,341.2
105,00Z,12,Jul,1988,7,300.0,9740.0,-23.9,-32.9,43.0,0.8,65.0,13.0,351.6,354.9,351.8
106,00Z,12,Jul,1988,8,250.0,11050.0,-30.5,,,,60.0,31.0,360.6,,360.6
107,00Z,12,Jul,1988,9,200.0,12600.0,-44.3,,,,65.0,50.0,362.5,,362.5
113,00Z,19,Jul,1988,2,1000.0,107.0,26.8,22.8,79.0,17.83,105.0,201.0,299.9,352.4,303.1
118,00Z,19,Jul,1988,7,850.0,1333.0,-85.5,-87.8,67.0,0.0,205.0,,196.6,196.6,196.6
120,00Z,20,Jul,1988,1,1000.0,55.0,27.4,23.4,79.0,18.51,160.0,3.0,300.6,355.1,303.9
122,00Z,20,Jul,1988,3,850.0,1470.0,20.4,19.0,92.0,16.56,90.0,10.0,307.5,357.7,310.6
123,00Z,20,Jul,1988,4,700.0,3224.0,12.6,7.6,72.0,9.44,330.0,5.0,316.4,346.4,318.2
124,00Z,20,Jul,1988,5,500.0,5970.0,-2.1,-4.5,84.0,5.51,85.0,16.0,330.4,349.2,331.5
125,00Z,20,Jul,1988,6,400.0,7720.0,-11.5,-27.5,25.0,1.01,55.0,22.0,339.9,343.8,340.2
126,00Z,20,Jul,1988,7,300.0,9870.0,-25.3,-41.3,21.0,0.34,65.0,63.0,349.6,351.1,349.7
127,00Z,20,Jul,1988,8,250.0,11170.0,-34.5,-53.5,13.0,0.11,80.0,43.0,354.6,355.1,354.7
128,00Z,20,Jul,1988,9,200.0,12694.0,-45.5,,,,70.0,64.0,360.6,,360.6
131,00Z,21,Jul,1988,1,1000.0,86.0,28.0,25.7,87.0,21.34,160.0,15.0,301.1,364.4,305.0
133,00Z,21,Jul,1988,3,850.0,1496.0,21.6,17.5,77.0,15.04,160.0,18.0,308.8,354.6,311.5
134,00Z,21,Jul,1988,4,700.0,3144.0,13.6,8.9,73.0,10.33,165.0,19.0,317.5,350.3,319.5
135,00Z,21,Jul,1988,5,500.0,5890.0,-1.9,-7.9,64.0,4.24,130.0,12.0,330.7,345.3,331.5
136,00Z,21,Jul,1988,6,400.0,7640.0,-10.9,-19.9,47.0,1.98,130.0,13.0,340.7,348.1,341.1
137,00Z,21,Jul,1988,7,300.0,9790.0,-23.1,-32.1,44.0,0.87,90.0,19.0,352.7,356.2,352.9
138,00Z,21,Jul,1988,8,250.0,11090.0,-32.5,,,,150.0,48.0,357.6,,357.6
139,00Z,21,Jul,1988,9,200.0,12640.0,-43.3,,,,95.0,48.0,364.0,,364.0
144,00Z,22,Jul,1988,2,1000.0,87.0,26.8,22.8,79.0,17.83,130.0,12.0,299.9,352.4,303.1
148,00Z,22,Jul,1988,6,850.0,1502.0,20.0,16.5,80.0,14.09,170.0,34.0,307.1,349.8,309.7
149,00Z,22,Jul,1988,7,700.0,3155.0,12.8,6.8,67.0,8.93,215.0,14.0,316.6,345.0,318.3
150,00Z,22,Jul,1988,8,500.0,5900.0,-1.9,-3.2,91.0,6.08,170.0,10.0,330.7,351.3,331.9
153,00Z,22,Jul,1988,11,400.0,7650.0,-10.3,-13.5,77.0,3.39,170.0,14.0,341.5,353.8,342.2
154,00Z,22,Jul,1988,12,300.0,9710.0,-22.9,-26.0,76.0,1.54,90.0,21.0,353.0,359.1,353.3
155,00Z,22,Jul,1988,13,250.0,11030.0,-35.1,-41.1,54.0,0.42,90.0,31.0,353.7,355.5,353.8
156,00Z,22,Jul,1988,14,200.0,12620.0,-45.7,,,,80.0,37.0,360.2,,360.2
161,00Z,23,Jul,1988,1,1000.0,92.0,26.4,23.9,86.0,19.09,180.0,10.0,299.6,355.6,303.0
162,00Z,23,Jul,1988,2,850.0,1402.0,17.4,16.4,94.0,14.0,205.0,11.0,304.4,346.3,306.9
163,00Z,23,Jul,1988,3,700.0,3117.0,11.6,11.6,100.0,12.41,180.0,8.0,315.3,354.2,317.6
164,00Z,23,Jul,1988,4,500.0,5840.0,-0.5,-0.5,100.0,7.44,165.0,2.0,332.4,357.6,333.9
165,00Z,23,Jul,1988,5,400.0,7590.0,-10.1,-17.1,57.0,2.52,190.0,55.0,341.8,351.1,342.3
166,00Z,23,Jul,1988,6,300.0,9780.0,-24.7,,,,65.0,18.0,350.5,,350.5
167,00Z,23,Jul,1988,7,250.0,11040.0,-32.9,,,,85.0,67.0,357.0,,357.0
168,00Z,23,Jul,1988,8,200.0,12590.0,-43.7,,,,85.0,62.0,363.4,,363.4
173,00Z,24,Jul,1988,1,1000.0,100.0,26.1,24.1,89.0,19.34,150.0,19.0,299.2,356.0,302.7
175,00Z,24,Jul,1988,3,850.0,1508.0,19.4,19.4,100.0,16.99,240.0,56.0,306.4,357.8,309.6
176,00Z,24,Jul,1988,4,700.0,3121.0,4.0,,,,185.0,42.0,306.9,,306.9
177,00Z,24,Jul,1988,5,500.0,5830.0,-0.7,,,,90.0,17.0,332.1,,332.1
179,00Z,26,Jul,1988,1,1000.0,84.0,25.8,23.6,88.0,18.74,155.0,11.0,298.9,353.8,302.3
181,00Z,26,Jul,1988,3,850.0,1489.0,21.4,18.0,81.0,15.53,110.0,13.0,308.6,355.9,311.4
182,00Z,26,Jul,1988,4,700.0,3144.0,14.0,10.8,81.0,11.76,110.0,13.0,318.0,355.3,320.2
183,00Z,26,Jul,1988,5,500.0,5900.0,0.0,-10.0,47.0,3.6,130.0,15.0,333.0,345.6,333.7
184,00Z,26,Jul,1988,6,300.0,9810.0,-22.1,-28.1,58.0,1.27,100.0,13.0,354.1,359.2,354.4
187,00Z,27,Jul,1988,1,1000.0,96.0,26.0,23.8,88.0,18.98,155.0,19.0,299.1,354.8,302.5
189,00Z,27,Jul,1988,3,850.0,1496.0,19.2,17.2,88.0,14.75,190.0,18.0,306.2,350.8,308.9
190,00Z,27,Jul,1988,4,700.0,3131.0,11.2,9.6,90.0,10.84,195.0,17.0,314.9,348.9,316.9
191,00Z,27,Jul,1988,5,500.0,5850.0,-2.5,-6.6,73.0,4.69,200.0,4.0,329.9,346.0,330.9
192,00Z,27,Jul,1988,6,400.0,7590.0,-11.7,-17.7,61.0,2.39,90.0,12.0,339.7,348.5,340.2
