,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,00Z,3,Aug,1988,0,1000.0,,,,,,,,,,
3,00Z,3,Aug,1988,3,850.0,1403.0,19.0,17.0,88.0,14.56,170.0,29.0,306.0,349.9,308.7
4,00Z,3,Aug,1988,4,500.0,5800.0,-0.9,-2.6,88.0,6.36,175.0,22.0,331.9,353.6,333.1
5,00Z,3,Aug,1988,5,300.0,9700.0,-24.9,-32.9,47.0,0.8,135.0,25.0,350.2,353.4,350.3
6,00Z,3,Aug,1988,6,250.0,11000.0,-33.5,-39.5,55.0,0.5,155.0,27.0,356.1,358.2,356.2
7,00Z,3,Aug,1988,7,200.0,12540.0,-46.7,,,,135.0,15.0,358.7,,358.7
9,00Z,4,Aug,1988,1,1000.0,85.0,25.8,23.4,87.0,18.51,120.0,42.0,298.9,353.1,302.2
10,00Z,4,Aug,1988,2,850.0,1490.0,21.4,17.5,78.0,15.04,180.0,25.0,308.6,354.4,311.3
11,00Z,4,Aug,1988,3,500.0,5900.0,1.0,-5.0,64.0,5.31,130.0,17.0,334.2,352.6,335.3
12,00Z,4,Aug,1988,4,300.0,9830.0,-23.7,,,,135.0,19.0,351.9,,351.9
13,00Z,4,Aug,1988,5,250.0,11200.0,-33.5,,,,135.0,12.0,356.1,,356.1
16,00Z,6,Aug,1988,1,1000.0,86.0,23.8,21.5,87.0,16.44,140.0,15.0,296.9,344.6,299.9
18,00Z,6,Aug,1988,3,850.0,1481.0,19.0,19.0,100.0,16.56,285.0,14.0,306.0,355.9,309.1
19,00Z,6,Aug,1988,4,700.0,3116.0,11.4,11.4,100.0,12.24,315.0,13.0,315.1,353.5,317.4
20,00Z,6,Aug,1988,5,500.0,5840.0,-2.5,-4.0,89.0,5.73,120.0,14.0,329.9,349.4,331.1
21,00Z,6,Aug,1988,6,400.0,7590.0,-10.5,-14.7,71.0,3.08,105.0,23.0,341.2,352.5,341.9
22,00Z,6,Aug,1988,7,300.0,9740.0,-23.5,-29.5,58.0,1.11,85.0,40.0,352.1,356.6,352.4
23,00Z,6,Aug,1988,8,250.0,11050.0,-31.5,-41.5,37.0,0.4,85.0,57.0,359.1,360.8,359.2
24,00Z,6,Aug,1988,9,200.0,12500.0,-43.7,,,,70.0,43.0,363.4,,363.4
26,00Z,10,Aug,1988,1,1000.0,70.0,5.2,3.4,88.0,4.91,160.0,29.0,278.4,292.0,279.2
28,00Z,10,Aug,1988,3,850.0,1391.0,20.0,,,,200.0,25.0,307.1,,307.1
29,00Z,10,Aug,1988,4,700.0,2941.0,12.6,,,,215.0,18.0,316.4,,316.4
30,00Z,10,Aug,1988,5,500.0,5700.0,-1.1,,,,235.0,7.0,331.6,,331.6
