,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
5135,00Z,1,Jan,1996,1,1000.0,141.0,19.6,11.6,60.0,8.65,95.0,3.0,292.8,317.7,294.3
5140,00Z,1,Jan,1996,6,850.0,1524.0,12.2,-5.8,28.0,2.93,210.0,7.0,298.9,308.1,299.4
5143,00Z,1,Jan,1996,9,700.0,3121.0,2.4,-7.6,48.0,3.1,275.0,21.0,305.1,315.0,305.7
5148,00Z,1,Jan,1996,14,500.0,5760.0,-9.7,-26.7,24.0,0.87,270.0,52.0,321.1,324.3,321.3
5150,00Z,1,Jan,1996,16,400.0,7450.0,-20.5,-35.5,25.0,0.47,260.0,91.0,328.3,330.1,328.4
5152,00Z,1,Jan,1996,18,300.0,9520.0,-34.9,-54.9,11.0,0.07,265.0,105.0,336.1,336.4,336.1
5154,00Z,1,Jan,1996,20,250.0,10760.0,-45.5,,,,265.0,101.0,338.3,,338.3
5157,00Z,1,Jan,1996,23,200.0,12210.0,-57.1,,,,255.0,109.0,342.2,,342.2
5164,00Z,3,Jan,1996,1,1000.0,142.0,20.6,9.6,49.0,7.55,35.0,4.0,293.8,315.8,295.1
5166,00Z,3,Jan,1996,3,850.0,1527.0,13.0,-8.0,22.0,2.47,295.0,4.0,299.8,307.6,300.2
5167,00Z,3,Jan,1996,4,700.0,3128.0,2.0,-6.0,55.0,3.51,260.0,13.0,304.7,315.7,305.3
5168,00Z,3,Jan,1996,5,500.0,5780.0,-11.1,-52.1,2.0,0.06,260.0,30.0,319.4,319.7,319.4
5169,00Z,3,Jan,1996,6,400.0,7460.0,-21.9,-34.9,30.0,0.5,260.0,84.0,326.4,328.3,326.5
5170,00Z,3,Jan,1996,7,300.0,9500.0,-38.9,-58.9,10.0,0.05,260.0,92.0,330.4,330.6,330.4
5171,00Z,3,Jan,1996,8,250.0,10730.0,-46.1,,,,260.0,103.0,337.4,,337.4
5173,00Z,3,Jan,1996,10,200.0,12190.0,-54.9,,,,260.0,93.0,345.7,,345.7
5179,00Z,5,Jan,1996,1,1000.0,127.0,17.8,13.1,74.0,9.56,280.0,10.0,290.9,318.2,292.6
5181,00Z,5,Jan,1996,3,850.0,1504.0,9.6,3.6,66.0,5.86,270.0,15.0,296.2,313.6,297.2
5182,00Z,5,Jan,1996,4,700.0,3090.0,4.4,-22.6,12.0,0.89,295.0,25.0,307.3,310.4,307.5
5183,00Z,5,Jan,1996,5,500.0,5750.0,-10.7,-37.7,9.0,0.3,280.0,51.0,319.9,321.1,320.0
5184,00Z,5,Jan,1996,6,400.0,7420.0,-24.5,-39.5,24.0,0.31,290.0,52.0,323.1,324.3,323.1
5185,00Z,5,Jan,1996,7,300.0,9460.0,-35.9,-68.9,2.0,0.01,275.0,82.0,334.7,334.7,334.7
5186,00Z,5,Jan,1996,8,250.0,10700.0,-44.3,,,,270.0,100.0,340.1,,340.1
5188,00Z,5,Jan,1996,10,200.0,12170.0,-53.9,,,,270.0,91.0,347.2,,347.2
5194,00Z,6,Jan,1996,1,1000.0,117.0,16.4,12.6,78.0,9.24,35.0,6.0,289.6,315.8,291.2
5196,00Z,6,Jan,1996,3,850.0,1489.0,8.8,3.8,71.0,5.95,345.0,5.0,295.4,312.9,296.4
