,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,1,Jan,1985,1,1000.0,126.0,17.8,17.1,96.0,12.42,175.0,307.0,290.9,326.1,293.1
2,00Z,1,Jan,1985,2,850.0,1521.0,15.0,8.0,63.0,7.98,310.0,13.0,301.9,325.8,303.3
3,00Z,1,Jan,1985,3,700.0,3134.0,10.4,3.4,62.0,7.03,300.0,27.0,314.0,336.3,315.3
4,00Z,1,Jan,1985,4,500.0,5810.0,-10.7,,,,290.0,23.0,319.9,,319.9
5,00Z,1,Jan,1985,5,400.0,7490.0,-22.1,,,,275.0,45.0,326.2,,326.2
6,00Z,1,Jan,1985,6,300.0,9550.0,-35.7,,,,285.0,55.0,334.9,,334.9
8,00Z,1,Jan,1985,8,250.0,10800.0,-43.5,,,,270.0,60.0,341.3,,341.3
10,00Z,3,Jan,1985,1,1000.0,144.0,17.0,17.0,100.0,12.34,215.0,5.0,290.1,325.0,292.3
13,00Z,3,Jan,1985,4,850.0,1525.0,10.2,8.3,88.0,8.14,295.0,12.0,296.8,320.8,298.3
14,00Z,3,Jan,1985,5,700.0,3111.0,1.0,-7.0,55.0,3.25,250.0,27.0,303.6,313.8,304.2
15,00Z,3,Jan,1985,6,500.0,5740.0,-15.5,,,,260.0,53.0,314.1,,314.1
16,00Z,3,Jan,1985,7,400.0,7400.0,-24.9,,,,235.0,27.0,322.5,,322.5
17,00Z,3,Jan,1985,8,300.0,9450.0,-34.1,,,,260.0,31.0,337.2,,337.2
19,00Z,4,Jan,1985,1,1000.0,145.0,16.4,15.7,96.0,11.34,340.0,7.0,289.6,321.5,291.5
20,00Z,4,Jan,1985,2,850.0,1530.0,13.4,7.4,67.0,7.65,350.0,6.0,300.2,323.1,301.6
21,00Z,4,Jan,1985,3,700.0,3139.0,6.0,-8.0,36.0,3.0,310.0,19.0,309.1,318.8,309.7
22,00Z,4,Jan,1985,4,500.0,5790.0,-10.7,-31.7,16.0,0.54,260.0,57.0,319.9,321.9,320.0
23,00Z,4,Jan,1985,5,400.0,7470.0,-21.7,-38.7,20.0,0.34,280.0,58.0,326.7,328.0,326.8
24,00Z,4,Jan,1985,6,300.0,9520.0,-37.7,-45.6,43.0,0.22,,,332.1,333.0,332.2
25,00Z,4,Jan,1985,7,250.0,10740.0,-25.0,-50.0,8.0,0.16,,,368.8,369.5,368.8
27,00Z,5,Jan,1985,1,1000.0,138.0,17.0,15.5,91.0,11.19,335.0,10.0,290.1,321.8,292.1
30,00Z,5,Jan,1985,4,850.0,1525.0,9.4,7.9,90.0,7.92,335.0,8.0,296.0,319.2,297.4
31,00Z,5,Jan,1985,5,700.0,3122.0,4.4,-4.6,52.0,3.9,309.0,34.0,307.3,319.7,308.1
32,00Z,5,Jan,1985,6,500.0,5780.0,-10.9,-26.9,26.0,0.85,265.0,78.0,319.7,322.8,319.9
35,00Z,6,Jan,1985,1,1000.0,124.0,18.4,14.4,78.0,10.41,20.0,6.0,291.6,321.2,293.4
37,00Z,6,Jan,1985,3,850.0,1504.0,14.4,6.4,59.0,7.14,325.0,9.0,301.2,322.7,302.5
38,00Z,6,Jan,1985,4,700.0,3116.0,1.4,-0.5,87.0,5.31,317.0,33.0,304.0,320.4,305.0
46,00Z,8,Jan,1985,1,1000.0,135.0,19.0,12.0,64.0,8.88,340.0,10.0,292.1,317.7,293.7
49,00Z,8,Jan,1985,4,850.0,1515.0,12.2,6.2,67.0,7.04,280.0,15.0,298.9,319.9,300.2
50,00Z,8,Jan,1985,5,700.0,3114.0,2.6,,,,275.0,33.0,305.3,,305.3
51,00Z,8,Jan,1985,6,500.0,5770.0,-12.1,,,,265.0,57.0,318.2,,318.2
52,00Z,8,Jan,1985,7,400.0,7440.0,-23.7,,,,260.0,62.0,324.1,,324.1
53,00Z,8,Jan,1985,8,300.0,9470.0,-39.1,,,,255.0,93.0,330.1,,330.1
54,00Z,8,Jan,1985,9,250.0,10700.0,-46.5,,,,255.0,91.0,336.8,,336.8
55,00Z,8,Jan,1985,10,200.0,12260.0,-53.7,,,,255.0,115.0,347.6,,347.6
58,00Z,10,Jan,1985,1,1000.0,136.0,19.0,12.0,64.0,8.88,350.0,9.0,292.1,317.7,293.7
59,00Z,10,Jan,1985,2,850.0,1513.0,12.2,6.2,67.0,7.04,290.0,26.0,298.9,319.9,300.2
60,00Z,10,Jan,1985,3,700.0,3129.0,4.6,-2.4,60.0,4.6,285.0,29.0,307.6,322.0,308.4
61,00Z,10,Jan,1985,4,500.0,5800.0,-10.1,-16.1,61.0,2.19,265.0,58.0,320.7,328.2,321.1
62,00Z,10,Jan,1985,5,400.0,7490.0,-22.3,-27.3,64.0,1.02,265.0,73.0,325.9,329.7,326.1
64,00Z,10,Jan,1985,7,300.0,9560.0,-34.3,-37.6,72.0,0.5,250.0,91.0,336.9,338.9,337.0
65,00Z,10,Jan,1985,8,250.0,10810.0,-44.5,-47.0,76.0,0.22,255.0,99.0,339.8,340.7,339.8
66,00Z,10,Jan,1985,9,200.0,12620.0,-54.5,,,,260.0,,346.3,,346.3
68,00Z,12,Jan,1985,1,1000.0,124.0,16.4,-2.2,28.0,3.26,,,289.6,299.3,290.1
76,00Z,14,Jan,1985,1,1000.0,133.0,17.4,7.4,52.0,6.5,355.0,8.0,290.6,309.3,291.7
78,00Z,14,Jan,1985,3,850.0,1515.0,10.6,,,,290.0,21.0,297.2,,297.2
79,00Z,14,Jan,1985,4,700.0,3104.0,3.2,,,,290.0,31.0,306.0,,306.0
80,00Z,14,Jan,1985,5,500.0,5755.0,-11.7,,,,260.0,43.0,318.7,,318.7
81,00Z,14,Jan,1985,6,400.0,7420.0,-25.3,,,,205.0,33.0,322.0,,322.0
