,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,4,Oct,1985,1,1000.0,89.0,26.2,24.8,92.0,20.19,360.0,3.0,299.4,358.6,302.9
3,00Z,4,Oct,1985,3,850.0,1510.0,18.4,12.4,68.0,10.75,20.0,4.0,305.4,337.9,307.4
4,00Z,4,Oct,1985,4,700.0,3153.0,10.6,-4.4,35.0,3.96,60.0,7.0,314.2,327.1,314.9
5,00Z,4,Oct,1985,5,500.0,5860.0,-8.5,-10.1,88.0,3.57,60.0,6.0,322.6,334.7,323.3
6,00Z,4,Oct,1985,6,400.0,7570.0,-16.3,-39.3,12.0,0.32,40.0,13.0,333.7,335.0,333.8
7,00Z,4,Oct,1985,7,300.0,9650.0,-33.1,,,,5.0,11.0,338.6,,338.6
8,00Z,4,Oct,1985,8,200.0,12390.0,-53.7,,,,325.0,31.0,347.6,,347.6
11,00Z,5,Oct,1985,1,1000.0,89.0,26.0,24.5,91.0,19.82,110.0,3.0,299.1,357.3,302.7
13,00Z,5,Oct,1985,3,850.0,1511.0,19.4,16.6,84.0,14.18,110.0,6.0,306.4,349.3,309.1
14,00Z,5,Oct,1985,4,700.0,3148.0,9.6,0.6,53.0,5.74,85.0,16.0,313.1,331.4,314.2
16,00Z,5,Oct,1985,6,500.0,5850.0,-5.9,-14.9,49.0,2.42,40.0,17.0,325.8,334.2,326.3
17,00Z,5,Oct,1985,7,400.0,7560.0,-17.9,-25.9,50.0,1.16,110.0,6.0,331.6,336.0,331.9
18,00Z,5,Oct,1985,8,300.0,9650.0,-32.5,-36.5,67.0,0.56,305.0,9.0,339.4,341.7,339.6
19,00Z,5,Oct,1985,9,250.0,10900.0,-43.9,,,,335.0,25.0,340.7,,340.7
20,00Z,5,Oct,1985,10,200.0,12400.0,-56.3,,,,335.0,22.0,343.4,,343.4
24,00Z,6,Oct,1985,2,1000.0,107.0,25.6,23.9,90.0,19.09,350.0,3.0,298.8,354.6,302.1
26,00Z,6,Oct,1985,4,850.0,1526.0,20.0,-6.0,17.0,2.89,155.0,6.0,307.1,316.4,307.6
27,00Z,6,Oct,1985,5,700.0,3152.0,9.8,,,,115.0,13.0,313.3,,313.3
28,00Z,6,Oct,1985,6,600.0,4395.0,0.0,,,,55.0,11.0,316.1,,316.1
31,00Z,6,Oct,1985,9,500.0,5840.0,-3.1,,,,345.0,8.0,329.2,,329.2
32,00Z,6,Oct,1985,10,400.0,7540.0,-16.1,,,,345.0,12.0,334.0,,334.0
33,00Z,6,Oct,1985,11,300.0,9630.0,-32.5,,,,50.0,22.0,339.4,,339.4
36,00Z,8,Oct,1985,1,1000.0,75.0,26.0,24.0,89.0,19.21,130.0,7.0,299.1,355.5,302.6
41,00Z,8,Oct,1985,6,850.0,1474.0,17.0,,,,205.0,6.0,303.9,,303.9
43,00Z,8,Oct,1985,8,700.0,3106.0,7.6,,,,280.0,4.0,310.9,,310.9
44,00Z,8,Oct,1985,9,500.0,5820.0,-5.3,,,,280.0,17.0,326.5,,326.5
46,00Z,8,Oct,1985,11,400.0,7550.0,-15.3,,,,280.0,17.0,335.0,,335.0
48,00Z,8,Oct,1985,13,300.0,9660.0,-30.7,,,,295.0,11.0,342.0,,342.0
49,00Z,8,Oct,1985,14,250.0,10930.0,-41.9,,,,295.0,22.0,343.6,,343.6
50,00Z,8,Oct,1985,15,200.0,12400.0,-55.1,,,,,,345.4,,345.4
