,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,1,Nov,1985,1,1000.0,110.0,21.7,19.7,88.0,14.66,,,294.9,337.0,297.4
8,00Z,3,Nov,1985,1,1000.0,124.0,22.2,19.7,86.0,14.67,295.0,4.0,295.4,337.6,297.9
11,00Z,3,Nov,1985,4,850.0,1520.0,15.0,11.0,77.0,9.79,260.0,4.0,301.9,331.1,303.6
12,00Z,3,Nov,1985,5,700.0,3136.0,3.6,-4.4,56.0,3.96,240.0,10.0,306.4,318.9,307.2
13,00Z,3,Nov,1985,6,500.0,5520.0,-8.3,-20.3,37.0,1.53,270.0,21.0,322.9,328.3,323.2
14,00Z,3,Nov,1985,7,400.0,7510.0,-21.5,-31.5,40.0,0.69,270.0,22.0,327.0,329.6,327.1
15,00Z,3,Nov,1985,8,300.0,9570.0,-34.7,-43.7,40.0,0.27,270.0,71.0,336.4,337.4,336.4
16,00Z,3,Nov,1985,9,250.0,10820.0,-40.3,,,,,,346.0,,346.0
18,00Z,4,Nov,1985,1,1000.0,128.0,23.4,23.2,99.0,18.28,360.0,3.0,296.6,349.5,299.8
21,00Z,4,Nov,1985,4,850.0,1453.0,15.0,12.5,85.0,10.82,325.0,4.0,301.9,334.1,303.8
22,00Z,4,Nov,1985,5,700.0,3152.0,4.2,-1.8,65.0,4.81,265.0,12.0,307.1,322.2,308.0
23,00Z,4,Nov,1985,6,500.0,5830.0,-8.9,-19.9,41.0,1.59,270.0,38.0,322.1,327.7,322.4
24,00Z,4,Nov,1985,7,400.0,7520.0,-19.5,-30.5,37.0,0.76,275.0,51.0,329.6,332.4,329.7
25,00Z,4,Nov,1985,8,300.0,9600.0,-31.5,-41.5,37.0,0.34,280.0,49.0,340.9,342.2,340.9
26,00Z,4,Nov,1985,9,250.0,10870.0,-41.7,-51.7,33.0,0.13,280.0,60.0,343.9,344.5,344.0
27,00Z,4,Nov,1985,10,200.0,12454.0,-20.1,-23.6,74.0,2.87,273.0,17.0,400.8,413.6,401.5
30,00Z,5,Nov,1985,1,1000.0,115.0,22.8,19.8,83.0,14.76,30.0,13.0,295.9,338.6,298.6
35,00Z,5,Nov,1985,6,850.0,1505.0,15.2,12.2,82.0,10.61,270.0,8.0,302.1,333.7,304.0
37,00Z,5,Nov,1985,8,700.0,3187.0,2.4,-0.7,80.0,5.22,265.0,12.0,305.1,321.3,306.1
38,00Z,5,Nov,1985,9,500.0,5850.0,-8.3,-24.3,26.0,1.08,275.0,36.0,322.9,326.8,323.1
40,00Z,5,Nov,1985,11,400.0,7550.0,-19.5,-34.5,25.0,0.52,280.0,43.0,329.6,331.6,329.7
42,00Z,5,Nov,1985,13,300.0,9630.0,-32.9,-46.9,23.0,0.19,275.0,45.0,338.9,339.7,338.9
44,00Z,5,Nov,1985,15,250.0,10890.0,-41.1,-54.1,23.0,0.1,,,344.8,345.3,344.9
46,00Z,8,Nov,1985,1,1000.0,114.0,5.4,-1.6,61.0,3.42,300.0,21.0,278.6,288.2,279.1
55,00Z,10,Nov,1985,1,1000.0,104.0,23.4,18.4,74.0,13.5,130.0,6.0,296.6,335.7,298.9
60,00Z,10,Nov,1985,6,850.0,1505.0,14.0,9.0,72.0,8.54,190.0,11.0,300.8,326.3,302.4
62,00Z,10,Nov,1985,8,500.0,5820.0,-8.3,-21.3,34.0,1.4,240.0,46.0,322.9,327.9,323.1
65,00Z,10,Nov,1985,11,300.0,9480.0,-34.1,-44.1,36.0,0.26,265.0,69.0,337.2,338.2,337.2
66,00Z,10,Nov,1985,12,250.0,10730.0,-43.1,,,,265.0,88.0,341.9,,341.9
68,00Z,10,Nov,1985,14,200.0,12210.0,-54.5,,,,,,346.3,,346.3
70,00Z,11,Nov,1985,1,1000.0,98.0,20.2,20.0,99.0,14.95,20.0,8.0,293.4,336.0,296.0
73,00Z,11,Nov,1985,4,850.0,1499.0,15.4,7.4,59.0,7.65,,,302.3,325.4,303.7
77,00Z,13,Nov,1985,1,1000.0,114.0,19.8,19.2,96.0,14.21,25.0,9.0,292.9,333.5,295.4
80,00Z,13,Nov,1985,4,850.0,1524.0,17.8,-8.2,16.0,2.43,40.0,12.0,304.8,312.6,305.2
81,00Z,13,Nov,1985,5,700.0,3152.0,8.8,,,,40.0,4.0,312.2,,312.2
82,00Z,13,Nov,1985,6,500.0,5860.0,-6.5,,,,285.0,23.0,325.1,,325.1
83,00Z,13,Nov,1985,7,400.0,7560.0,-20.1,,,,265.0,37.0,328.8,,328.8
84,00Z,13,Nov,1985,8,300.0,9650.0,-30.7,,,,250.0,61.0,342.0,,342.0
85,00Z,13,Nov,1985,9,250.0,10920.0,-39.1,,,,250.0,57.0,347.8,,347.8
86,00Z,13,Nov,1985,10,200.0,12410.0,-51.3,,,,260.0,86.0,351.4,,351.4
90,00Z,15,Nov,1985,1,1000.0,92.0,18.2,17.0,93.0,12.34,345.0,4.0,291.4,326.4,293.5
94,00Z,15,Nov,1985,5,850.0,1506.0,16.0,5.0,48.0,6.47,60.0,10.0,302.9,322.6,304.1
96,00Z,15,Nov,1985,7,700.0,3122.0,-86.7,-90.0,55.0,0.0,85.0,170.0,206.4,206.4,206.4
99,00Z,16,Nov,1985,1,1000.0,110.0,23.6,15.6,61.0,11.26,60.0,8.0,296.8,329.6,298.8
105,00Z,16,Nov,1985,7,850.0,1521.0,16.8,6.8,52.0,7.34,10.0,4.0,303.7,326.1,305.1
107,00Z,16,Nov,1985,9,700.0,3178.0,9.6,-11.4,21.0,2.3,310.0,4.0,313.1,320.8,313.5
108,00Z,16,Nov,1985,10,500.0,5870.0,-9.3,-34.3,11.0,0.42,230.0,17.0,321.6,323.2,321.7
109,00Z,16,Nov,1985,11,400.0,7570.0,-15.9,-38.9,12.0,0.33,285.0,41.0,334.2,335.6,334.3
110,00Z,16,Nov,1985,12,300.0,9690.0,-29.3,-50.3,11.0,0.13,285.0,60.0,344.0,344.5,344.0
111,00Z,16,Nov,1985,13,250.0,10960.0,-40.5,-58.5,13.0,0.06,285.0,58.0,345.7,346.0,345.7
112,00Z,16,Nov,1985,14,200.0,12440.0,-51.9,,,,275.0,66.0,350.4,,350.4
114,00Z,17,Nov,1985,1,1000.0,114.0,24.0,18.0,69.0,13.16,50.0,7.0,297.1,335.4,299.5
115,00Z,17,Nov,1985,2,850.0,1626.0,15.4,11.5,78.0,10.12,50.0,7.0,302.3,332.5,304.1
116,00Z,17,Nov,1985,3,700.0,3157.0,9.0,-1.0,50.0,5.11,220.0,12.0,312.4,328.7,313.4
117,00Z,17,Nov,1985,4,500.0,5860.0,-3.9,-6.8,80.0,4.62,265.0,33.0,328.2,344.0,329.1
118,00Z,17,Nov,1985,5,400.0,7580.0,-16.3,-27.3,38.0,1.02,280.0,35.0,333.7,337.6,333.9
119,00Z,17,Nov,1985,6,300.0,9680.0,-33.7,-37.0,72.0,0.54,325.0,260.0,337.8,339.9,337.9
121,00Z,18,Nov,1985,1,1000.0,104.0,24.0,23.3,96.0,18.39,105.0,8.0,297.1,350.6,300.4
126,00Z,18,Nov,1985,6,700.0,3148.0,8.6,-0.4,53.0,5.34,265.0,15.0,312.0,329.0,313.0
127,00Z,18,Nov,1985,7,500.0,5810.0,-5.3,-23.3,23.0,1.18,280.0,30.0,326.5,330.8,326.8
129,00Z,19,Nov,1985,1,1000.0,85.0,22.8,22.2,96.0,17.17,360.0,4.0,295.9,345.5,299.0
131,00Z,19,Nov,1985,3,850.0,1491.0,15.4,13.1,86.0,11.27,5.0,17.0,302.3,335.8,304.3
132,00Z,19,Nov,1985,4,700.0,3156.0,7.0,4.1,82.0,7.39,205.0,12.0,310.2,333.2,311.6
133,00Z,19,Nov,1985,5,500.0,5840.0,-8.7,-13.7,67.0,2.67,250.0,39.0,322.4,331.5,322.9
134,00Z,19,Nov,1985,6,400.0,7540.0,-17.7,-27.7,41.0,0.99,257.0,47.0,331.9,335.6,332.1
135,00Z,19,Nov,1985,7,300.0,9640.0,-32.1,-41.1,40.0,0.35,265.0,58.0,340.0,341.4,340.1
136,00Z,19,Nov,1985,8,250.0,10900.0,-41.3,,,,265.0,64.0,344.5,,344.5
137,00Z,19,Nov,1985,9,200.0,12380.0,-52.9,,,,260.0,74.0,348.8,,348.8
141,00Z,20,Nov,1985,1,1000.0,85.0,20.2,16.2,78.0,11.71,315.0,12.0,293.4,326.9,295.4
142,00Z,20,Nov,1985,2,850.0,1494.0,14.2,13.0,92.0,11.19,315.0,8.0,301.0,334.2,303.0
143,00Z,20,Nov,1985,3,700.0,3114.0,6.0,-3.0,52.0,4.4,275.0,15.0,309.1,323.1,309.9
144,00Z,20,Nov,1985,4,500.0,5820.0,-7.1,-18.1,41.0,1.85,275.0,33.0,324.3,330.8,324.7
145,00Z,20,Nov,1985,5,400.0,7527.0,-16.9,-26.9,42.0,1.06,275.0,39.0,332.9,336.9,333.1
146,00Z,20,Nov,1985,6,300.0,9630.0,-32.3,-40.3,45.0,0.38,275.0,82.0,339.7,341.3,339.8
147,00Z,20,Nov,1985,7,250.0,10890.0,-41.7,-50.7,37.0,0.15,265.0,81.0,343.9,344.6,344.0
148,00Z,20,Nov,1985,8,200.0,12370.0,-52.9,,,,265.0,82.0,348.8,,348.8
150,00Z,23,Nov,1985,1,1000.0,101.0,19.0,17.7,92.0,12.91,250.0,6.0,292.1,328.9,294.4
151,00Z,23,Nov,1985,2,850.0,1506.0,13.2,9.2,77.0,8.66,275.0,8.0,300.0,325.7,301.5
152,00Z,23,Nov,1985,3,700.0,3158.0,8.0,1.0,61.0,5.91,290.0,47.0,311.3,330.0,312.4
153,00Z,23,Nov,1985,4,500.0,5890.0,-5.3,-9.3,73.0,3.8,285.0,39.0,326.5,339.5,327.3
154,00Z,23,Nov,1985,5,400.0,7610.0,-16.7,-23.7,55.0,1.42,285.0,64.0,333.2,338.4,333.5
156,00Z,23,Nov,1985,7,300.0,9710.0,-35.5,,,,280.0,62.0,335.2,,335.2
157,00Z,23,Nov,1985,8,250.0,10970.0,-41.7,,,,270.0,84.0,343.9,,343.9
160,00Z,25,Nov,1985,1,1000.0,122.0,18.4,15.9,85.0,11.49,30.0,4.0,291.6,324.2,293.6
163,00Z,25,Nov,1985,4,850.0,1512.0,12.4,6.4,67.0,7.14,110.0,4.0,299.1,320.4,300.4
166,00Z,25,Nov,1985,7,700.0,3138.0,11.4,-0.6,43.0,5.26,285.0,14.0,315.1,332.1,316.1
168,00Z,25,Nov,1985,9,500.0,5850.0,-6.7,-18.7,38.0,1.76,260.0,37.0,324.8,331.0,325.1
171,00Z,26,Nov,1985,1,1000.0,127.0,19.4,18.2,93.0,13.33,,,292.6,330.5,294.9
174,00Z,26,Nov,1985,4,850.0,1513.0,11.4,8.4,82.0,8.2,,,298.1,322.3,299.6
178,00Z,27,Nov,1985,1,1000.0,124.0,20.8,18.6,87.0,13.67,,,293.9,333.1,296.4
184,00Z,27,Nov,1985,7,850.0,1510.0,11.0,,,,,,297.7,,297.7
186,00Z,1,Nov,1986,1,1000.0,106.0,25.8,24.4,92.0,19.69,360.0,6.0,298.9,356.6,302.5
188,00Z,1,Nov,1986,3,850.0,1519.0,17.4,15.2,87.0,12.94,360.0,13.0,304.4,343.2,306.7
189,00Z,1,Nov,1986,4,700.0,3153.0,7.0,2.4,73.0,6.54,240.0,14.0,310.2,330.7,311.4
193,00Z,1,Nov,1986,8,500.0,5860.0,-5.7,,,,,,326.0,,326.0
196,00Z,2,Nov,1986,1,1000.0,102.0,24.2,22.2,89.0,17.17,285.0,6.0,297.4,347.2,300.4
199,00Z,2,Nov,1986,4,850.0,1512.0,16.2,15.5,96.0,13.2,360.0,4.0,303.1,342.4,305.5
200,00Z,2,Nov,1986,5,700.0,3146.0,4.8,4.2,96.0,7.44,235.0,18.0,307.8,330.7,309.1
201,00Z,2,Nov,1986,6,500.0,5830.0,-7.5,-13.5,62.0,2.71,270.0,24.0,323.8,333.2,324.4
