,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,2,Dec,1985,1,1000.0,127.0,17.6,16.0,90.0,11.56,345.0,8.0,290.8,323.5,292.8
3,00Z,2,Dec,1985,3,850.0,1515.0,11.8,1.8,50.0,5.15,320.0,8.0,298.5,314.1,299.4
4,00Z,2,Dec,1985,4,700.0,3136.0,7.2,-2.8,49.0,4.47,275.0,25.0,310.4,324.7,311.3
5,00Z,2,Dec,1985,5,500.0,5830.0,-9.1,-19.1,44.0,1.7,275.0,35.0,321.9,327.8,322.2
7,00Z,2,Dec,1985,7,400.0,7520.0,-19.1,-29.1,41.0,0.87,270.0,68.0,330.1,333.3,330.2
8,00Z,2,Dec,1985,8,300.0,9600.0,-32.5,-41.5,40.0,0.34,270.0,58.0,339.4,340.8,339.5
9,00Z,2,Dec,1985,9,250.0,10860.0,-42.7,,,,270.0,90.0,342.4,,342.4
10,00Z,2,Dec,1985,10,200.0,12330.0,-54.7,,,,270.0,84.0,346.0,,346.0
13,00Z,5,Dec,1985,1,1000.0,123.0,20.2,17.6,85.0,12.82,345.0,12.0,293.4,330.0,295.6
14,00Z,5,Dec,1985,2,850.0,1505.0,10.4,6.9,79.0,7.39,345.0,8.0,297.0,318.9,298.4
15,00Z,5,Dec,1985,3,700.0,3109.0,8.4,5.2,80.0,7.98,280.0,12.0,311.8,336.7,313.3
16,00Z,5,Dec,1985,4,500.0,5850.0,-7.7,-14.7,57.0,2.46,290.0,31.0,323.6,332.1,324.1
17,00Z,5,Dec,1985,5,400.0,7550.0,-21.3,-28.3,53.0,0.93,290.0,41.0,327.2,330.7,327.4
19,00Z,5,Dec,1985,7,300.0,9610.0,-36.9,-43.9,48.0,0.26,300.0,58.0,333.2,334.3,333.3
20,00Z,5,Dec,1985,8,250.0,10840.0,-46.9,,,,285.0,51.0,336.2,,336.2
22,00Z,5,Dec,1985,10,200.0,12230.0,-53.5,,,,285.0,70.0,347.9,,347.9
25,00Z,7,Dec,1985,1,1000.0,115.0,19.4,18.3,93.0,13.41,360.0,4.0,292.6,330.8,294.9
28,00Z,7,Dec,1985,4,850.0,1529.0,12.0,9.5,85.0,8.84,70.0,7.0,298.7,324.8,300.3
29,00Z,7,Dec,1985,5,700.0,3190.0,13.4,5.4,58.0,8.1,315.0,73.0,317.3,343.2,318.8
30,00Z,7,Dec,1985,6,500.0,5930.0,-4.9,-11.9,58.0,3.09,330.0,23.0,327.0,337.7,327.6
31,00Z,7,Dec,1985,7,400.0,7640.0,-17.7,-25.7,50.0,1.19,290.0,32.0,331.9,336.3,332.1
32,00Z,7,Dec,1985,8,300.0,9710.0,-36.7,-43.7,48.0,0.27,290.0,39.0,333.5,334.6,333.6
33,00Z,7,Dec,1985,9,250.0,10960.0,-43.5,,,,295.0,53.0,341.3,,341.3
34,00Z,7,Dec,1985,10,200.0,12420.0,-55.9,,,,,,344.1,,344.1
37,00Z,11,Dec,1985,2,1000.0,125.0,13.0,8.0,72.0,6.77,345.0,10.0,286.1,305.3,287.3
40,00Z,11,Dec,1985,5,850.0,1473.0,9.0,-1.0,50.0,4.2,330.0,13.0,295.6,308.2,296.3
42,00Z,17,Dec,1985,1,1000.0,118.0,20.6,18.8,89.0,13.85,15.0,6.0,293.8,333.4,296.2
45,00Z,17,Dec,1985,4,850.0,1511.0,15.8,8.8,63.0,8.43,345.0,10.0,302.7,328.1,304.2
46,00Z,17,Dec,1985,5,700.0,3182.0,8.0,1.0,61.0,5.91,325.0,27.0,311.3,330.0,312.4
47,00Z,17,Dec,1985,6,500.0,5880.0,-9.1,-15.1,62.0,2.38,260.0,49.0,321.9,330.1,322.3
