,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,18,Feb,1985,1,1000.0,90.0,18.8,14.5,76.0,10.48,360.0,4.0,291.9,321.9,293.8
3,00Z,18,Feb,1985,3,850.0,1477.0,12.6,8.6,77.0,8.31,290.0,6.0,299.3,324.0,300.8
8,00Z,18,Feb,1985,8,700.0,3076.0,5.6,,,,290.0,17.0,308.6,,308.6
13,00Z,18,Feb,1985,13,500.0,5810.0,-2.5,,,,295.0,43.0,329.9,,329.9
14,00Z,18,Feb,1985,14,400.0,7540.0,-14.9,,,,305.0,43.0,335.5,,335.5
15,00Z,18,Feb,1985,15,250.0,10920.0,-37.1,,,,290.0,39.0,350.8,,350.8
16,00Z,18,Feb,1985,16,200.0,12430.0,-50.7,,,,290.0,41.0,352.3,,352.3
20,00Z,19,Feb,1985,1,1000.0,76.0,14.9,-5.1,25.0,2.63,210.0,12.0,288.1,295.9,288.5
22,00Z,19,Feb,1985,3,850.0,1456.0,10.4,3.4,62.0,5.78,270.0,8.0,297.0,314.3,298.1
23,00Z,19,Feb,1985,4,700.0,3050.0,5.6,-8.4,36.0,2.91,250.0,23.0,308.6,318.1,309.2
24,00Z,19,Feb,1985,5,500.0,5780.0,-1.1,-14.1,37.0,2.58,195.0,37.0,331.6,340.8,332.1
26,00Z,27,Feb,1985,1,1000.0,77.0,21.6,20.8,95.0,15.73,205.0,10.0,294.8,339.9,297.5
29,00Z,27,Feb,1985,4,850.0,1468.0,15.4,-21.6,6.0,0.8,215.0,21.0,302.3,305.0,302.4
30,00Z,27,Feb,1985,5,700.0,3077.0,5.4,,,,270.0,27.0,308.4,,308.4
31,00Z,27,Feb,1985,6,500.0,5780.0,-4.7,,,,300.0,74.0,327.2,,327.2
32,00Z,27,Feb,1985,7,400.0,7500.0,-17.5,,,,295.0,49.0,332.2,,332.2
33,00Z,27,Feb,1985,8,300.0,9490.0,-34.1,,,,315.0,195.0,337.2,,337.2
34,00Z,27,Feb,1985,9,250.0,10730.0,-44.1,,,,,,340.4,,340.4
36,00Z,2,Feb,1986,1,1000.0,113.0,17.0,12.0,72.0,8.88,360.0,8.0,290.1,315.4,291.7
39,00Z,2,Feb,1986,4,850.0,1484.0,10.2,9.0,92.0,8.54,280.0,15.0,296.8,321.9,298.4
42,00Z,3,Feb,1986,1,1000.0,116.0,17.2,11.3,68.0,8.5,,,290.4,314.6,291.8
50,00Z,4,Feb,1986,1,1000.0,123.0,18.0,7.0,49.0,6.32,360.0,8.0,291.1,309.5,292.3
56,00Z,4,Feb,1986,7,850.0,1504.0,12.0,4.0,58.0,6.03,290.0,14.0,298.7,316.8,299.8
60,00Z,5,Feb,1986,1,1000.0,119.0,19.0,15.3,79.0,11.05,70.0,8.0,292.1,323.7,294.1
63,00Z,5,Feb,1986,4,850.0,1506.0,29.0,27.3,91.0,27.85,290.0,17.0,316.5,405.5,321.7
64,00Z,5,Feb,1986,5,700.0,3114.0,5.6,-1.4,61.0,4.96,295.0,35.0,308.6,324.3,309.6
66,00Z,5,Feb,1986,7,500.0,5790.0,-11.3,-18.3,56.0,1.82,280.0,43.0,319.2,325.5,319.6
67,00Z,5,Feb,1986,8,400.0,7470.0,-18.5,-25.5,54.0,1.21,280.0,68.0,330.9,335.3,331.1
68,00Z,5,Feb,1986,9,300.0,9550.0,-34.1,-40.1,55.0,0.39,265.0,103.0,337.2,338.8,337.3
69,00Z,5,Feb,1986,10,250.0,10800.0,-43.5,,,,265.0,97.0,341.3,,341.3
70,00Z,5,Feb,1986,11,200.0,12260.0,-55.3,,,,265.0,91.0,345.0,,345.0
77,00Z,6,Feb,1986,1,1000.0,115.0,19.0,16.7,87.0,12.1,290.0,12.0,292.1,326.6,294.3
78,00Z,6,Feb,1986,2,850.0,1514.0,14.0,9.0,72.0,8.54,280.0,13.0,300.8,326.3,302.4
79,00Z,6,Feb,1986,3,700.0,3126.0,4.0,-2.0,65.0,4.74,290.0,29.0,306.9,321.8,307.8
80,00Z,6,Feb,1986,4,500.0,5790.0,-9.7,-16.7,57.0,2.08,275.0,43.0,321.1,328.4,321.6
81,00Z,6,Feb,1986,5,400.0,7480.0,-22.1,-29.1,53.0,0.87,265.0,70.0,326.2,329.4,326.4
82,00Z,6,Feb,1986,6,300.0,9560.0,-35.5,-43.5,44.0,0.27,265.0,84.0,335.2,336.3,335.3
83,00Z,6,Feb,1986,7,250.0,10780.0,-43.1,-50.1,46.0,0.16,260.0,86.0,341.9,342.5,341.9
85,00Z,6,Feb,1986,9,200.0,12240.0,-56.3,,,,260.0,107.0,343.4,,343.4
