,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,3,Mar,1985,1,1000.0,58.0,22.6,22.2,98.0,17.17,210.0,10.0,295.8,345.3,298.8
2,00Z,3,Mar,1985,2,850.0,1461.0,17.4,-10.6,14.0,2.02,225.0,10.0,304.4,310.9,304.7
3,00Z,3,Mar,1985,3,700.0,3072.0,5.2,,,,270.0,13.0,308.2,,308.2
4,00Z,3,Mar,1985,4,500.0,5790.0,-4.3,,,,290.0,43.0,327.7,,327.7
5,00Z,3,Mar,1985,5,400.0,7500.0,-18.7,,,,285.0,35.0,330.6,,330.6
6,00Z,3,Mar,1985,6,300.0,9570.0,-35.9,,,,290.0,53.0,334.7,,334.7
7,00Z,3,Mar,1985,7,250.0,10820.0,-41.3,,,,270.0,72.0,344.5,,344.5
9,00Z,4,Mar,1985,1,1000.0,78.0,22.2,21.0,93.0,15.93,190.0,12.0,295.4,341.2,298.2
10,00Z,4,Mar,1985,2,850.0,1485.0,18.0,,,,240.0,13.0,305.0,,305.0
11,00Z,4,Mar,1985,3,700.0,3105.0,6.6,,,,275.0,21.0,309.8,,309.8
12,00Z,4,Mar,1985,4,500.0,5820.0,-4.9,,,,310.0,55.0,327.0,,327.0
13,00Z,4,Mar,1985,5,400.0,7530.0,-17.9,,,,310.0,56.0,331.6,,331.6
14,00Z,4,Mar,1985,6,300.0,9600.0,-37.9,,,,310.0,53.0,331.8,,331.8
15,00Z,4,Mar,1985,7,250.0,10630.0,-45.5,,,,315.0,62.0,338.3,,338.3
17,00Z,4,Mar,1985,9,200.0,12300.0,-51.7,,,,280.0,66.0,350.7,,350.7
20,00Z,6,Mar,1985,1,1000.0,-385.0,-23.0,-24.0,91.0,0.55,150.0,7.0,250.2,251.7,250.2
24,00Z,6,Mar,1985,5,850.0,1497.0,19.0,15.0,78.0,12.77,200.0,19.0,306.0,344.6,308.4
25,00Z,6,Mar,1985,6,700.0,3131.0,9.0,2.0,62.0,6.36,250.0,12.0,312.4,332.5,313.6
26,00Z,6,Mar,1985,7,500.0,5850.0,-4.3,-25.3,18.0,0.98,290.0,31.0,327.7,331.4,327.9
27,00Z,6,Mar,1985,8,400.0,7570.0,-18.5,-40.5,13.0,0.28,325.0,37.0,330.9,332.0,330.9
29,00Z,6,Mar,1985,10,300.0,9658.0,-31.7,-49.7,15.0,0.14,305.0,39.0,340.6,341.2,340.6
30,00Z,6,Mar,1985,11,250.0,10930.0,-42.1,-58.1,16.0,0.06,,,343.3,343.6,343.4
