,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,1,Apr,1985,1,1000.0,93.0,25.2,24.4,95.0,19.69,190.0,10.0,298.4,355.9,301.9
4,00Z,1,Apr,1985,4,850.0,1519.0,19.4,10.4,56.0,9.4,230.0,13.0,306.4,335.1,308.2
5,00Z,1,Apr,1985,5,700.0,3156.0,7.2,0.2,61.0,5.58,255.0,15.0,310.4,328.0,311.5
6,00Z,1,Apr,1985,6,500.0,5840.0,-1.5,-9.5,54.0,3.74,250.0,19.0,331.1,344.2,331.9
7,00Z,1,Apr,1985,7,400.0,7540.0,-18.7,-26.7,49.0,1.08,250.0,25.0,330.6,334.6,330.8
8,00Z,1,Apr,1985,8,300.0,9610.0,-34.5,-41.5,49.0,0.34,250.0,43.0,336.6,338.0,336.7
9,00Z,1,Apr,1985,9,250.0,10860.0,-44.1,-52.1,41.0,0.12,250.0,55.0,340.4,340.9,340.4
10,00Z,1,Apr,1985,10,200.0,12320.0,-54.5,,,,250.0,90.0,346.3,,346.3
14,00Z,2,Apr,1985,1,1000.0,92.0,25.4,24.6,95.0,19.94,215.0,10.0,298.6,356.9,302.1
18,00Z,2,Apr,1985,5,850.0,1518.0,21.6,10.6,50.0,9.53,260.0,10.0,308.8,338.1,310.5
19,00Z,2,Apr,1985,6,700.0,3175.0,8.2,4.1,75.0,7.39,280.0,21.0,311.5,334.7,312.9
20,00Z,2,Apr,1985,7,500.0,5870.0,-6.9,-13.9,57.0,2.63,260.0,31.0,324.6,333.6,325.1
21,00Z,2,Apr,1985,8,400.0,7570.0,-18.1,-26.1,50.0,1.14,260.0,43.0,331.4,335.6,331.6
23,00Z,2,Apr,1985,10,300.0,9650.0,-33.1,-40.1,49.0,0.39,255.0,59.0,338.6,340.2,338.7
24,00Z,2,Apr,1985,11,250.0,10910.0,-42.3,,,,255.0,66.0,343.0,,343.0
26,00Z,2,Apr,1985,13,200.0,12384.0,-52.9,,,,265.0,70.0,348.8,,348.8
29,00Z,3,Apr,1985,1,1000.0,72.0,25.2,24.2,94.0,19.45,145.0,6.0,298.4,355.2,301.8
33,00Z,3,Apr,1985,5,850.0,1497.0,21.0,4.0,33.0,6.03,255.0,12.0,308.1,327.0,309.2
34,00Z,3,Apr,1985,6,700.0,3137.0,8.0,3.3,72.0,6.98,280.0,21.0,311.3,333.2,312.6
37,00Z,3,Apr,1985,9,500.0,5840.0,-7.5,,,,260.0,26.0,323.8,,323.8
38,00Z,3,Apr,1985,10,400.0,7540.0,-13.3,,,,254.0,41.0,337.6,,337.6
41,00Z,3,Apr,1985,13,200.0,12407.0,-52.5,,,,,,349.5,,349.5
44,00Z,4,Apr,1985,1,1000.0,65.0,23.0,22.2,95.0,17.17,215.0,12.0,296.1,345.8,299.2
47,00Z,4,Apr,1985,4,850.0,1498.0,21.2,15.2,69.0,12.94,290.0,13.0,308.3,347.8,310.7
48,00Z,4,Apr,1985,5,700.0,3145.0,9.4,-5.6,34.0,3.62,290.0,27.0,312.9,324.6,313.6
49,00Z,4,Apr,1985,6,500.0,5850.0,-7.3,-28.3,17.0,0.75,235.0,22.0,324.1,326.9,324.2
50,00Z,4,Apr,1985,7,400.0,7550.0,-20.5,-32.5,33.0,0.63,235.0,26.0,328.3,330.6,328.4
51,00Z,4,Apr,1985,8,300.0,9620.0,-34.3,-45.3,32.0,0.22,240.0,62.0,336.9,337.8,337.0
52,00Z,4,Apr,1985,9,250.0,10880.0,-40.1,-53.1,24.0,0.11,240.0,76.0,346.3,346.8,346.3
54,00Z,4,Apr,1985,11,200.0,12370.0,-49.7,,,,,,353.9,,353.9
56,00Z,6,Apr,1985,1,1000.0,76.0,25.4,20.4,74.0,15.33,265.0,12.0,298.6,343.4,301.3
59,00Z,6,Apr,1985,4,850.0,1495.0,20.4,-5.6,17.0,2.98,265.0,15.0,307.5,317.1,308.1
60,00Z,6,Apr,1985,5,700.0,3134.0,7.0,-4.0,45.0,4.08,265.0,12.0,310.2,323.3,311.0
61,00Z,6,Apr,1985,6,500.0,5810.0,-9.1,-27.8,20.0,0.79,260.0,29.0,321.9,324.8,322.0
62,00Z,6,Apr,1985,7,400.0,7500.0,-21.5,-43.5,12.0,0.2,250.0,35.0,327.0,327.8,327.0
63,00Z,6,Apr,1985,8,300.0,9560.0,-35.3,-40.3,60.0,0.38,250.0,62.0,335.5,337.0,335.6
64,00Z,6,Apr,1985,9,250.0,10810.0,-41.5,,,,240.0,78.0,344.2,,344.2
65,00Z,6,Apr,1985,10,200.0,12300.0,-50.1,,,,240.0,99.0,353.3,,353.3
68,00Z,10,Apr,1985,1,1000.0,27.0,26.6,24.2,87.0,19.45,165.0,6.0,299.8,356.9,303.2
71,00Z,10,Apr,1985,4,850.0,1451.0,23.4,11.4,47.0,10.05,245.0,19.0,310.6,341.8,312.5
72,00Z,10,Apr,1985,5,700.0,3107.0,9.4,3.4,66.0,7.03,255.0,25.0,312.9,335.1,314.2
73,00Z,10,Apr,1985,6,500.0,5800.0,-4.9,,,,290.0,47.0,327.0,,327.0
74,00Z,10,Apr,1985,7,400.0,7530.0,-14.7,,,,290.0,53.0,335.8,,335.8
75,00Z,10,Apr,1985,8,300.0,9640.0,-31.7,,,,285.0,50.0,340.6,,340.6
76,00Z,10,Apr,1985,9,250.0,10900.0,-42.5,,,,270.0,8.0,342.7,,342.7
77,00Z,10,Apr,1985,10,200.0,12370.0,-54.1,,,,,,346.9,,346.9
78,00Z,11,Apr,1985,0,1000.0,9.0,27.0,25.3,90.0,20.82,180.0,83.0,300.1,361.5,303.9
79,00Z,11,Apr,1985,1,850.0,1440.0,20.0,16.0,78.0,13.64,270.0,13.0,307.1,348.4,309.6
80,00Z,11,Apr,1985,2,700.0,3092.0,10.6,,,,279.0,26.0,314.2,,314.2
81,00Z,11,Apr,1985,3,500.0,5830.0,-3.5,,,,295.0,49.0,328.7,,328.7
82,00Z,11,Apr,1985,4,400.0,7550.0,-16.1,,,,295.0,51.0,334.0,,334.0
83,00Z,11,Apr,1985,5,300.0,9651.0,-31.1,,,,280.0,62.0,341.4,,341.4
85,00Z,11,Apr,1985,7,250.0,10920.0,-40.3,,,,280.0,60.0,346.0,,346.0
86,00Z,11,Apr,1985,8,200.0,12410.0,-51.3,,,,280.0,43.0,351.4,,351.4
87,00Z,24,Apr,1985,0,1000.0,9.0,27.2,25.2,89.0,20.69,210.0,9.0,300.4,361.4,304.1
93,00Z,24,Apr,1985,6,850.0,1447.0,26.2,5.2,26.0,6.56,240.0,19.0,313.6,334.5,314.8
