,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,2,May,1985,1,1000.0,23.0,21.4,20.7,96.0,15.63,130.0,8.0,294.6,339.4,297.3
4,00Z,2,May,1985,4,850.0,1439.0,17.2,15.6,90.0,13.29,200.0,12.0,304.1,343.9,306.6
5,00Z,2,May,1985,5,700.0,3078.0,10.4,2.4,58.0,6.54,295.0,29.0,314.0,334.8,315.2
6,00Z,2,May,1985,6,500.0,5800.0,-7.3,-21.3,32.0,1.4,295.0,39.0,324.1,329.1,324.4
7,00Z,2,May,1985,7,400.0,7500.0,-18.9,-31.9,31.0,0.66,295.0,35.0,330.3,332.9,330.5
10,00Z,3,May,1985,1,1000.0,33.0,22.2,20.0,87.0,14.95,120.0,8.0,295.4,338.4,298.0
13,00Z,3,May,1985,4,850.0,1453.0,19.6,12.6,64.0,10.9,195.0,8.0,306.7,339.8,308.7
14,00Z,3,May,1985,5,700.0,3097.0,10.4,4.4,66.0,7.55,230.0,19.0,314.0,337.8,315.4
16,00Z,3,May,1985,7,500.0,5780.0,-14.9,-25.9,39.0,0.93,280.0,43.0,314.8,318.1,315.0
18,00Z,3,May,1985,9,400.0,7440.0,-20.7,-31.7,37.0,0.68,280.0,37.0,328.0,330.6,328.1
19,00Z,3,May,1985,10,300.0,9510.0,-36.1,-46.1,35.0,0.2,260.0,33.0,334.4,335.2,334.4
20,00Z,3,May,1985,11,250.0,10750.0,-44.5,,,,,,339.8,,339.8
23,00Z,4,May,1985,1,1000.0,2.0,24.4,23.4,94.0,18.51,100.0,4.0,297.6,351.4,300.8
31,00Z,4,May,1985,9,850.0,1447.0,21.4,12.4,56.0,10.75,255.0,12.0,308.6,341.5,310.5
33,00Z,5,May,1985,1,1000.0,58.0,21.0,19.5,91.0,14.48,350.0,15.0,294.1,335.7,296.7
36,00Z,5,May,1985,4,850.0,1463.0,13.8,13.4,97.0,11.49,5.0,23.0,300.6,334.6,302.7
37,00Z,5,May,1985,5,700.0,3068.0,4.0,4.0,100.0,7.33,305.0,27.0,306.9,329.4,308.2
39,00Z,6,May,1985,1,1000.0,61.0,22.4,21.5,95.0,16.44,150.0,8.0,295.6,342.9,298.4
43,00Z,6,May,1985,5,850.0,1479.0,20.6,9.6,49.0,8.9,205.0,17.0,307.7,335.0,309.4
44,00Z,6,May,1985,6,700.0,3130.0,9.4,-0.6,50.0,5.26,280.0,23.0,312.9,329.7,313.9
45,00Z,6,May,1985,7,500.0,5810.0,-8.5,-17.5,48.0,1.95,280.0,29.0,322.6,329.4,323.0
46,00Z,6,May,1985,8,400.0,7500.0,-21.1,-36.1,25.0,0.44,265.0,29.0,327.5,329.2,327.6
47,00Z,6,May,1985,9,300.0,9550.0,-36.9,-49.9,25.0,0.13,265.0,47.0,333.2,333.8,333.3
48,00Z,6,May,1985,10,250.0,10790.0,-46.1,,,,250.0,51.0,337.4,,337.4
50,00Z,6,May,1985,12,200.0,12260.0,-51.5,,,,,,351.1,,351.1
52,00Z,7,May,1985,1,1000.0,86.0,21.2,18.8,86.0,13.85,5.0,4.0,294.4,334.1,296.8
57,00Z,7,May,1985,6,850.0,1504.0,19.8,9.8,52.0,9.02,225.0,17.0,306.9,334.5,308.5
59,00Z,7,May,1985,8,700.0,3148.0,10.2,3.2,62.0,6.93,295.0,21.0,313.8,335.7,315.1
60,00Z,7,May,1985,9,500.0,5840.0,-8.7,-13.6,68.0,2.69,295.0,3.0,322.4,331.6,322.9
62,00Z,7,May,1985,11,400.0,7540.0,-17.7,-26.7,45.0,1.08,250.0,39.0,331.9,335.9,332.1
63,00Z,7,May,1985,12,300.0,9630.0,-32.3,-40.3,45.0,0.38,250.0,41.0,339.7,341.3,339.8
65,00Z,7,May,1985,14,200.0,12380.0,-47.3,,,,,,357.7,,357.7
67,00Z,8,May,1985,1,1000.0,81.0,23.8,19.2,75.0,14.21,80.0,12.0,296.9,338.2,299.5
71,00Z,8,May,1985,5,850.0,1510.0,21.0,12.0,56.0,10.47,130.0,13.0,308.1,340.2,310.1
73,00Z,8,May,1985,7,700.0,3158.0,8.8,2.8,66.0,6.73,160.0,10.0,312.2,333.4,313.5
74,00Z,8,May,1985,8,500.0,5840.0,-9.3,-20.3,40.0,1.53,235.0,8.0,321.6,327.0,321.9
76,00Z,8,May,1985,10,400.0,7530.0,-21.1,-26.1,64.0,1.14,260.0,8.0,327.5,331.7,327.7
77,00Z,8,May,1985,11,300.0,9580.0,-35.7,-44.7,39.0,0.24,275.0,6.0,334.9,335.9,335.0
79,00Z,9,May,1985,1,1000.0,76.0,25.4,23.4,89.0,18.48,,,298.6,352.5,301.8
86,00Z,14,May,1985,1,1000.0,41.0,26.2,25.4,95.0,20.95,150.0,8.0,299.4,360.9,303.1
89,00Z,14,May,1985,4,850.0,1467.0,18.4,11.4,64.0,10.05,195.0,10.0,305.4,335.9,307.2
91,00Z,14,May,1985,6,700.0,3116.0,12.0,3.0,54.0,6.83,305.0,25.0,315.7,337.6,317.0
92,00Z,14,May,1985,7,500.0,5840.0,-5.3,-26.3,17.0,0.9,305.0,29.0,326.5,329.8,326.7
94,00Z,14,May,1985,9,400.0,7550.0,-16.1,-30.1,29.0,0.79,305.0,28.0,334.0,337.0,334.1
96,00Z,14,May,1985,11,300.0,9660.0,-28.3,,,,305.0,24.0,345.4,,345.4
97,00Z,14,May,1985,12,250.0,10930.0,-39.1,,,,270.0,27.0,347.8,,347.8
98,00Z,14,May,1985,13,200.0,12420.0,-51.7,,,,270.0,28.0,350.7,,350.7
101,00Z,17,May,1985,1,1000.0,59.0,26.8,23.9,84.0,19.04,,,299.9,355.9,303.4
107,00Z,19,May,1985,1,1000.0,64.0,27.4,24.9,86.0,20.31,210.0,3.0,300.6,360.5,304.2
109,00Z,19,May,1985,3,850.0,1486.0,23.8,-7.2,12.0,2.63,230.0,7.0,311.1,319.7,311.6
