,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,1,Jun,1985,1,1000.0,18.0,28.0,25.5,86.0,21.08,175.0,10.0,301.1,363.6,304.9
3,00Z,1,Jun,1985,3,850.0,1443.0,18.8,14.4,76.0,12.28,195.0,15.0,305.8,342.9,308.1
5,00Z,1,Jun,1985,5,700.0,3098.0,11.8,7.5,75.0,9.38,265.0,15.0,315.5,345.2,317.3
7,00Z,1,Jun,1985,7,500.0,5830.0,-3.5,-11.5,54.0,3.19,265.0,22.0,328.7,339.8,329.3
8,00Z,1,Jun,1985,8,400.0,7560.0,-12.5,-36.5,12.0,0.42,267.0,22.0,338.6,340.4,338.7
9,00Z,1,Jun,1985,9,300.0,9670.0,-28.3,-48.3,13.0,0.16,270.0,23.0,345.4,346.1,345.4
10,00Z,1,Jun,1985,10,250.0,10970.0,-37.5,-47.5,34.0,0.21,270.0,10.0,350.2,351.1,350.2
11,00Z,1,Jun,1985,11,200.0,12460.0,-52.3,,,,270.0,8.0,349.8,,349.8
15,00Z,2,Jun,1985,1,1000.0,9.0,27.0,24.4,86.0,19.69,180.0,6.0,300.1,358.1,303.7
17,00Z,2,Jun,1985,3,850.0,1435.0,19.6,17.5,88.0,15.04,180.0,7.0,306.7,352.1,309.4
18,00Z,2,Jun,1985,4,700.0,3087.0,10.4,8.6,89.0,10.12,180.0,27.0,314.0,345.7,315.9
19,00Z,2,Jun,1985,5,500.0,5820.0,-2.1,-10.1,54.0,3.57,265.0,28.0,330.4,342.8,331.1
20,00Z,2,Jun,1985,6,400.0,7550.0,-13.7,-24.7,39.0,1.3,270.0,27.0,337.1,342.0,337.4
21,00Z,2,Jun,1985,7,300.0,9670.0,-28.3,-43.3,22.0,0.28,270.0,15.0,345.4,346.6,345.4
